,date,PLNT_closingprice,ANPDY_closingprice,PEP_closingprice,DKS_closingprice,MODG_closingprice,COLM_closingprice,BGFV_closingprice,HKD_closingprice,CHDN_closingprice,MSGE_closingprice,WWE_closingprice,JPY_closingprice,RCI_closingprice,HGLD_closingprice,SGD_closingprice,CMCSA_closingprice,VFC_closingprice,EURUSD_closingprice,LSXMK_closingprice,BGI_closingprice,UAA_closingprice,DECK_closingprice,NZDUSD_closingprice,AUDUSD_closingprice,MTN_closingprice,PTON_closingprice,WWW_closingprice,FL_closingprice,CNY_closingprice,ASCCF_closingprice,DIS_closingprice,LULU_closingprice,SKX_closingprice,T_closingprice,PUM.DE_closingprice,EA_closingprice,ANGL.TA_closingprice,ONON_closingprice,GBPUSD_closingprice,ADDYY_closingprice,NKE_closingprice,INR_closingprice,SHMDF_closingprice,cotton_closingprice,natural_closingprice,gold_closingprice,heating_closingprice,crude_closingprice,WWW_neg,WWW_neu,WWW_pos,WWW_compound,VFC_neg,VFC_neu,VFC_pos,VFC_compound,PLNT_neg,PLNT_neu,PLNT_pos,PLNT_compound,WWE_neg,WWE_neu,WWE_pos,WWE_compound,ANGL.TA_neg,ANGL.TA_neu,ANGL.TA_pos,ANGL.TA_compound,BGI_neg,BGI_neu,BGI_pos,BGI_compound,ADDYY_neg,ADDYY_neu,ADDYY_pos,ADDYY_compound,DECK_neg,DECK_neu,DECK_pos,DECK_compound,MSGE_neg,MSGE_neu,MSGE_pos,MSGE_compound,EA_neg,EA_neu,EA_pos,EA_compound,FL_neg,FL_neu,FL_pos,FL_compound,NKE_neg,NKE_neu,NKE_pos,NKE_compound,ASCCF_neg,ASCCF_neu,ASCCF_pos,ASCCF_compound,UAA_neg,UAA_neu,UAA_pos,UAA_compound,ONON_neg,ONON_neu,ONON_pos,ONON_compound,PTON_neg,PTON_neu,PTON_pos,PTON_compound,T_neg,T_neu,T_pos,T_compound,PUM.DE_neg,PUM.DE_neu,PUM.DE_pos,PUM.DE_compound,RCI_neg,RCI_neu,RCI_pos,RCI_compound,CHDN_neg,CHDN_neu,CHDN_pos,CHDN_compound,COLM_neg,COLM_neu,COLM_pos,COLM_compound,MODG_neg,MODG_neu,MODG_pos,MODG_compound,DKS_neg,DKS_neu,DKS_pos,DKS_compound,LSXMK_neg,LSXMK_neu,LSXMK_pos,LSXMK_compound,SHMDF_neg,SHMDF_neu,SHMDF_pos,SHMDF_compound,ANPDY_neg,ANPDY_neu,ANPDY_pos,ANPDY_compound,DIS_neg,DIS_neu,DIS_pos,DIS_compound,PEP_neg,PEP_neu,PEP_pos,PEP_compound,CMCSA_neg,CMCSA_neu,CMCSA_pos,CMCSA_compound,MTN_neg,MTN_neu,MTN_pos,MTN_compound,LULU_neg,LULU_neu,LULU_pos,LULU_compound,SKX_neg,SKX_neu,SKX_pos,SKX_compound,BGFV_neg,BGFV_neu,BGFV_pos,BGFV_compound,HGLD_neg,HGLD_neu,HGLD_pos,HGLD_compound
0,2023-07-03,67.42,261.75,183.47,131.04,19.88,76.91,9.02,7.8314,136.45,33.33,107.59,144.023,45.31,0.0052,1.3488,40.89,19.0,1.0872,32.59,5.3,7.26,528.51,0.6128,0.6638,248.03,7.85,14.72,26.58,7.2362,28.19,88.91,377.61,52.69,15.95,53.78,129.01,"3,426.00",32.87,1.266,95.75,109.11,81.7662,166.7,82.56,2.709,"1,929.50",2.3773,69.79,,,,,0.102,0.664,0.235,0.4588,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,,,,,,,,,0.0,1.0,0.0,0.0,0.1066666666666666,0.8933333333333334,0.0,-0.1702,,,,,0.0,1.0,0.0,0.0,,,,,0.0,1.0,0.0,0.0,,,,,,,,,,,,,0.0,0.9,0.1,0.064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.8210000000000001,0.1789999999999999,0.2601333333333333,,,,,0.0,0.656,0.344,0.6369,0.0,0.709,0.291,0.4364,0.0,1.0,0.0,0.0,,,,
1,2023-06-30,66.89,255.54,183.88,129.35,19.84,76.44,8.92,7.8342,135.89,33.31,107.37,144.228,45.57,0.0052,1.3518,41.4,18.76,1.0836,32.0,5.3,7.11,517.99,0.606,0.6605,249.12,7.46,14.19,26.36,7.242,28.19,88.61,374.76,50.26,15.83,52.9,129.56,,31.86,1.2601,96.5,109.8,82.0081,166.7,81.58,2.798,"1,929.40",2.4482,70.64,0.0,0.673,0.327,0.5267,,,,,0.0,0.7135,0.2865,0.4720999999999999,,,,,,,,,,,,,,,,,0.0,0.815,0.185,0.3612,,,,,,,,,0.0785,0.9215,0.0,-0.21075,0.034027027027027,0.8639729729729729,0.102,0.1332162162162162,,,,,,,,,0.0,1.0,0.0,0.0,,,,,,,,,0.0,1.0,0.0,0.0,,,,,0.341,0.659,0.0,-0.4767,,,,,,,,,0.0,0.833,0.167,0.34,0.0,0.717,0.283,0.743,,,,,,,,,,,,,0.149,0.851,0.0,-0.2506,0.0676666666666666,0.7793333333333333,0.1533333333333333,0.2480666666666666,,,,,0.0,1.0,0.0,0.0,,,,,,,,,,,,
2,2023-06-29,66.18,251.29,181.39,132.48,19.64,76.01,9.03,7.8313,132.96,33.47,106.29,144.138,45.13,0.0052,1.3508,41.3,18.76,1.0862,31.27,5.31,7.08,512.79,0.6052,0.6596,246.62,7.26,14.2,26.48,7.2251,28.19,87.34,369.84,49.78,15.74,52.84,128.79,"3,624.00",31.32,1.2593,93.31,112.61,81.997,160.01,79.21,2.701,"1,917.90",2.4156,69.86,,,,,,,,,,,,,0.0,0.827,0.173,0.3182,,,,,0.0,1.0,0.0,0.0,,,,,0.121,0.879,0.0,-0.07655,,,,,,,,,,,,,0.0898333333333333,0.868,0.0421666666666666,-0.0577083333333333,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,,,,,0.0,0.931,0.0689999999999999,0.1755666666666666,0.0,1.0,0.0,0.0,,,,,0.09,0.91,0.0,-0.17075,0.0,1.0,0.0,0.0,0.0,0.839,0.161,0.3182,,,,,,,,,0.0945,0.7205,0.185,0.19785,0.1253333333333333,0.8746666666666667,0.0,-0.1444666666666666,0.097,0.7636000000000001,0.1394,0.0819599999999999,,,,,0.0,0.7315,0.2684999999999999,0.4462,0.0676666666666666,0.9323333333333332,0.0,-0.1404999999999999,,,,,,,,
3,2023-06-28,66.14,262.4,183.38,134.41,19.54,75.14,8.74,7.8289,132.27,32.73,106.3,143.736,44.77,0.0052,1.3486,41.31,18.6,1.09,30.58,5.22,7.03,512.37,0.6071,0.6599,246.48,7.2,13.83,26.01,7.2187,28.19,88.53,374.34,50.31,15.61,53.24,130.27,"3,624.00",30.99,1.2608,93.66,112.12,81.9611,160.01,78.08,2.603,"1,913.40",2.4067,69.56,0.0,1.0,0.0,0.0,0.0,0.593,0.407,0.5859,,,,,0.0,1.0,0.0,0.0,,,,,,,,,,,,,0.0,1.0,0.0,0.0,0.0,0.769,0.231,0.2023,0.0,0.7715000000000001,0.2285,0.31845,0.0455,0.9545,0.0,-0.05135,0.158,0.7945,0.0475,-0.1252749999999999,,,,,0.0,1.0,0.0,0.0,,,,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,0.0,0.6759999999999999,0.324,0.7351,,,,,0.0,1.0,0.0,0.0,0.0,0.803,0.197,0.4019,,,,,,,,,0.0,1.0,0.0,0.0,,,,,,,,,0.0,0.8346,0.1654,0.27906,,,,,0.0,0.571,0.429,0.7184,,,,,,,,,,,,
4,2023-06-27,66.51,257.72,183.96,134.16,19.35,75.12,8.57,7.8284,131.33,31.12,104.5,143.292,44.86,0.0052,1.3461,40.37,18.31,1.0903,29.61,5.22,7.14,508.44,0.6158,0.6671,245.04,7.14,13.52,25.98,7.1993,28.19,88.49,374.16,50.02,15.53,52.7,127.23,"3,538.00",30.67,1.2705,94.74,112.43,81.943,160.01,76.51,2.763,"1,915.10",2.399,67.7,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.833,0.167,0.296,,,,,,,,,,,,,0.097,0.755,0.148,0.125,,,,,0.0,1.0,0.0,0.0,,,,,0.0,0.888,0.112,0.34,,,,,,,,,,,,,0.237,0.763,0.0,-0.4302333333333333,,,,,0.0,0.588,0.412,0.6369,,,,,,,,,,,,,0.0,0.82,0.18,0.296,0.0,0.658,0.342,0.3818,0.0,0.745,0.255,0.5267,,,,,,,,,0.0,0.789,0.211,0.4466,,,,,0.0,0.8240000000000001,0.176,0.2759,,,,,0.097,0.6990000000000001,0.204,0.23815,0.0,0.9,0.1,0.2294,,,,,,,,
5,2023-06-26,65.33,254.58,184.12,134.68,19.0,74.35,8.5,7.8264,129.61,30.62,100.83,142.973,44.27,0.0052,1.3503,40.17,18.06,1.0888,29.58,5.2,7.14,505.15,0.6139,0.6668,241.01,7.22,13.5,25.94,7.178,28.19,87.77,373.47,50.18,15.43,51.54,124.69,"3,501.00",29.83,1.269,95.76,109.67,81.9431,160.01,77.16,2.791,"1,925.10",2.4388,69.37,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,0.0,0.748,0.252,0.4019,0.0,1.0,0.0,0.0,,,,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,0.0,0.874,0.126,0.20095,0.335,0.665,0.0,-0.3657,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.84775,0.15225,0.298775,,,,,0.0,0.8673333333333333,0.1326666666666666,0.2161999999999999,0.061,0.733,0.206,0.26025,,,,,,,,
6,2023-06-23,64.01,255.88,185.95,134.32,18.89,73.6,8.33,7.8274,130.16,32.1,99.96,142.762,44.35,0.0052,1.3442,39.94,18.11,1.0845,29.49,5.35,6.97,497.12,0.6118,0.6664,242.93,7.25,13.33,25.7,7.1785,28.19,87.61,372.46,50.48,15.42,51.6,124.58,,28.52,1.2692,95.23,107.3,81.9249,153.0,79.83,2.729,"1,921.00",2.4071,69.16,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.667,0.333,0.6124,0.0,1.0,0.0,0.0,0.0855,0.6755,0.239,0.2365499999999999,0.097,0.903,0.0,-0.1027,0.0,1.0,0.0,0.0,0.0,0.781,0.219,0.4215,,,,,0.0514,0.8532,0.0952,0.06642,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,,,,,,,,,0.0,0.704,0.296,0.6369,,,,,,,,,,,,,,,,,,,,,,,,,0.0723333333333333,0.6896666666666667,0.238,0.3414999999999999,,,,,0.0955,0.766,0.1385,0.10115,0.05775,0.94225,0.0,-0.085,,,,,,,,
7,2023-06-22,66.6,257.39,185.87,134.76,19.02,75.05,8.2,7.8248,132.08,32.27,100.37,141.626,44.09,0.011,1.3395,40.2,18.57,1.0951,29.66,5.4,7.27,501.74,0.6185,0.675,245.75,7.35,13.69,26.37,7.1784,28.19,88.12,376.0,50.82,15.47,46.97,124.08,"3,501.00",28.55,1.273,97.74,109.78,81.8874,166.0,81.79,2.608,"1,915.00",2.4655,69.51,0.276,0.724,0.0,-0.4939,0.0,1.0,0.0,0.0,,,,,,,,,,,,,0.0,1.0,0.0,0.0,0.221,0.57,0.209,-0.0431,0.0983333333333333,0.6886666666666666,0.2133333333333333,0.1316999999999999,0.0,0.706,0.294,0.6124,,,,,0.0835,0.9165,0.0,-0.07655,0.0,1.0,0.0,0.0,,,,,0.0,1.0,0.0,0.0,,,,,0.383,0.617,0.0,-0.4767,,,,,,,,,,,,,0.0,0.6965,0.3035,0.5719,,,,,,,,,0.0,0.866,0.134,0.2553,,,,,,,,,,,,,,,,,,,,,0.0,0.843,0.157,0.3691333333333333,,,,,0.0,0.7993333333333333,0.2006666666666666,0.3324,0.0,0.8825000000000001,0.1175,0.183775,,,,,,,,
8,2023-06-21,66.71,258.21,184.19,135.2,18.93,75.3,8.17,7.823,134.45,34.82,100.34,141.371,43.6,0.011,1.3416,40.32,19.12,1.0907,29.96,5.4,7.41,508.78,0.6158,0.6744,245.15,7.32,13.6,26.32,7.1776,28.19,88.11,378.02,50.65,15.49,47.52,124.41,"3,501.00",28.26,1.2694,95.22,108.71,81.947,166.0,82.11,2.597,"1,936.10",2.5642,72.53,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.878,0.122,0.2202,0.143,0.624,0.233,0.23845,,,,,,,,,0.0,0.806,0.194,0.34,0.286,0.714,0.0,-0.25,,,,,,,,,,,,,,,,,,,,,0.216,0.784,0.0,-0.296,,,,,0.074,0.8802857142857142,0.0457142857142857,0.0069428571428571,,,,,,,,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.286,0.714,0.0,-0.25,0.1215,0.766,0.1125,0.0136499999999999,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.6890000000000001,0.311,0.6404,0.182,0.818,0.0,-0.4404,,,,,0.0,0.8781428571428572,0.1218571428571428,0.1750428571428571,,,,,,,,
9,2023-06-20,67.06,270.29,185.24,133.37,18.91,75.36,8.15,7.8141,134.5,38.06,100.68,141.245,43.87,0.011,1.3401,40.62,19.38,1.0895,30.17,5.4,7.49,501.99,0.6136,0.6755,243.9,8.14,13.67,26.54,7.16,28.19,89.74,378.76,50.45,15.77,48.36,126.23,"3,575.00",28.33,1.2715,92.37,108.96,81.9153,166.0,82.74,2.492,"1,938.90",2.4754,70.5,,,,,0.0335454545454545,0.9495454545454546,0.0169090909090909,-0.0119090909090909,,,,,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.7053333333333334,0.2946666666666667,0.5148333333333334,0.0345,0.9655,0.0,-0.038275,0.291,0.709,0.0,-0.4767,0.1275,0.8725,0.0,-0.23835,,,,,,,,,0.1045,0.8955,0.0,-0.2202,,,,,0.12,0.569,0.311,0.4639,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,0.0,1.0,0.0,0.0,,,,,0.0,0.8493999999999999,0.1506,0.14538,,,,,0.0,0.8285,0.1715,0.28595,0.031,0.936,0.033,0.00645,,,,,,,,
