,date,neg,neu,pos,compound
0,2018-08-09,0.0,0.796,0.204,0.3182
1,2018-08-28,0.0,0.674,0.326,0.7003
2,2018-10-01,0.0,1.0,0.0,0.0
3,2018-10-11,0.0,1.0,0.0,0.0
4,2019-04-17,0.0,0.8,0.2,0.3612
5,2019-04-18,0.0,1.0,0.0,0.0
6,2019-04-25,0.0,0.843,0.157,0.4215
7,2019-04-30,0.412,0.588,0.0,-0.5994
8,2019-06-12,0.0,1.0,0.0,0.0
9,2019-06-14,0.0,1.0,0.0,0.0
10,2019-07-12,0.0,0.724,0.276,0.6369
11,2019-07-23,0.0,1.0,0.0,0.0
12,2019-08-08,0.0,0.752,0.248,0.5106
13,2019-08-13,0.0,1.0,0.0,0.0
14,2020-01-04,0.147,0.853,0.0,-0.2263
15,2020-01-07,0.0,0.769,0.231,0.4588
16,2020-03-16,0.0,0.828,0.172,0.4404
17,2020-05-04,0.0,0.797,0.203,0.4215
18,2020-06-09,0.0,1.0,0.0,0.0
19,2020-06-12,0.0,1.0,0.0,0.0
20,2020-06-16,0.0,0.909,0.091,0.0772
21,2020-12-15,0.0,0.818,0.182,0.4404
22,2021-01-04,0.0,1.0,0.0,0.0
23,2021-03-25,0.261,0.739,0.0,-0.5574
24,2021-05-10,0.0,1.0,0.0,0.0
25,2021-08-12,0.0,1.0,0.0,0.0
26,2021-08-18,0.0,1.0,0.0,0.0
27,2022-03-08,0.0,1.0,0.0,0.0
28,2022-03-09,0.0,0.791,0.209,0.4404
29,2022-05-05,0.0,1.0,0.0,0.0
30,2022-05-06,0.0,1.0,0.0,0.0
31,2022-05-24,0.0,0.748,0.252,0.4019
32,2022-07-27,0.118,0.882,0.0,-0.1531
33,2022-08-22,0.135,0.865,0.0,-0.20095
34,2022-09-01,0.294,0.706,0.0,-0.6124
35,2022-10-07,0.0,1.0,0.0,0.0
36,2022-10-08,0.0,1.0,0.0,0.0
37,2022-10-20,0.194,0.806,0.0,-0.34
38,2022-10-25,0.162,0.838,0.0,-0.4019
39,2022-11-02,0.0,1.0,0.0,0.0
40,2022-11-03,0.0,1.0,0.0,0.0
41,2022-11-04,0.293,0.707,0.0,-0.4404
42,2022-11-08,0.0,1.0,0.0,0.0
43,2022-11-09,0.0585,0.9165,0.025,-0.1715
44,2022-11-10,0.24,0.76,0.0,-0.6249
45,2022-11-18,0.0,1.0,0.0,0.0
46,2022-11-25,0.1625,0.8095,0.028,-0.41355
47,2022-11-27,0.124,0.769,0.107,-0.0772
48,2022-11-29,0.158,0.724,0.118,-0.1531
49,2022-12-21,0.0,1.0,0.0,0.0
50,2022-12-27,0.246,0.508,0.246,0.0
51,2023-01-30,0.0,0.774,0.226,0.3612
52,2023-02-10,0.16799999999999998,0.7565,0.0755,-0.22674999999999998
53,2023-02-15,0.0,1.0,0.0,0.0
54,2023-02-21,0.0,0.843,0.157,0.3818
55,2023-03-08,0.0945,0.796,0.1095,0.07415
56,2023-03-13,0.146,0.854,0.0,-0.4404
57,2023-03-16,0.0,0.8,0.2,0.4588
58,2023-03-21,0.0,1.0,0.0,0.0
59,2023-03-22,0.05566666666666667,0.9443333333333334,0.0,-0.09866666666666667
60,2023-03-28,0.0,1.0,0.0,0.0
61,2023-03-29,0.0,0.922,0.078,0.0258
62,2023-04-02,0.0,0.756,0.244,0.4404
63,2023-04-07,0.0,1.0,0.0,0.0
64,2023-04-10,0.0,0.682,0.318,0.4215
65,2023-04-14,0.0,1.0,0.0,0.0
66,2023-04-23,0.0,1.0,0.0,0.0
67,2023-04-27,0.0,1.0,0.0,0.0
68,2023-04-30,0.0,1.0,0.0,0.0
69,2023-05-02,0.0,1.0,0.0,0.0
70,2023-05-05,0.0,0.772,0.228,0.4496
71,2023-05-10,0.0,1.0,0.0,0.0
72,2023-05-12,0.0,1.0,0.0,0.0
73,2023-05-19,0.0,1.0,0.0,0.0
74,2023-05-21,0.0,1.0,0.0,0.0
75,2023-05-24,0.2,0.8,0.0,-0.3612
76,2023-05-31,0.0,1.0,0.0,0.0
77,2023-06-02,0.0,0.8845000000000001,0.1155,0.20095
78,2023-06-05,0.194,0.59,0.216,0.0772
79,2023-06-07,0.0,0.773,0.227,0.4466
80,2023-06-12,0.064,0.9359999999999999,0.0,-0.148
81,2023-06-18,0.0,1.0,0.0,0.0
82,2023-06-19,0.0,1.0,0.0,0.0
83,2023-06-21,0.0,0.806,0.194,0.34
84,2023-06-22,0.221,0.57,0.209,-0.0431
85,2023-06-23,0.0,0.667,0.333,0.6124
86,2023-06-26,0.0,1.0,0.0,0.0
