,date,neg,neu,pos,compound
0,2018-12-15,0.167,0.833,0.0,-0.296
1,2019-05-28,0.0,1.0,0.0,0.0
2,2020-06-09,0.0,1.0,0.0,0.0
3,2021-03-15,0.0,1.0,0.0,0.0
4,2021-05-06,0.238,0.762,0.0,-0.3612
5,2021-06-02,0.0,0.8,0.2,0.3612
6,2021-06-30,0.0,1.0,0.0,0.0
7,2022-01-04,0.0,1.0,0.0,0.0
8,2022-04-12,0.0,0.833,0.167,0.2023
9,2022-06-01,0.223,0.777,0.0,-0.3182
10,2022-06-12,0.0,1.0,0.0,0.0
11,2022-06-30,0.0,1.0,0.0,0.0
12,2022-07-06,0.0,0.833,0.167,0.296
13,2022-07-18,0.0,0.764,0.236,0.5267
14,2022-10-03,0.0,1.0,0.0,0.0
15,2022-10-09,0.0,1.0,0.0,0.0
16,2022-10-10,0.0,1.0,0.0,0.0
17,2023-02-06,0.0,1.0,0.0,0.0
18,2023-02-25,0.0,0.828,0.172,0.3612
19,2023-03-15,0.0,1.0,0.0,0.0
20,2023-04-10,0.0,1.0,0.0,0.0
21,2023-05-08,0.0,1.0,0.0,0.0
22,2023-05-14,0.0,1.0,0.0,0.0
23,2023-06-02,0.0,0.806,0.194,0.34
24,2023-06-10,0.0,0.559,0.441,0.7845
25,2023-06-15,0.0,1.0,0.0,0.0
