,date,neg,neu,pos,compound
0,2018-11-19,0.0,0.806,0.194,0.34
1,2019-05-24,0.0,0.759,0.241,0.2263
2,2019-10-31,0.151,0.484,0.366,0.4588
3,2019-11-01,0.0,0.73,0.27,0.5719
4,2020-03-24,0.0,1.0,0.0,0.0
5,2020-06-02,0.0,1.0,0.0,0.0
6,2021-04-16,0.182,0.647,0.171,-0.0516
7,2022-01-04,0.0,1.0,0.0,0.0
8,2022-02-08,0.0,1.0,0.0,0.0
9,2022-08-04,0.0,0.741,0.259,0.6369
10,2022-08-31,0.164,0.571,0.264,0.34
11,2022-10-11,0.0,1.0,0.0,0.0
12,2022-11-02,0.0,0.84,0.16,0.2263
13,2022-12-12,0.0,1.0,0.0,0.0
14,2023-04-27,0.0,0.615,0.385,0.6124
15,2023-05-17,0.506,0.494,0.0,-0.4767
16,2023-06-15,0.0,1.0,0.0,0.0
17,2023-06-28,0.0,1.0,0.0,0.0
