,date,neg,neu,pos,compound
0,2018-07-10,0.0,0.376,0.624,0.8074
1,2018-10-31,0.0,0.82,0.18,0.296
2,2018-12-07,0.0,0.517,0.483,0.6808
3,2019-01-23,0.0,1.0,0.0,0.0
4,2019-04-16,0.0,1.0,0.0,0.0
5,2019-08-28,0.0,1.0,0.0,0.0
6,2020-01-22,0.0,0.69,0.31,0.6597
7,2020-02-13,0.121,0.682,0.197,0.25
8,2021-12-03,0.218,0.518,0.264,0.2263
9,2022-01-17,0.0,1.0,0.0,0.0
10,2022-08-03,0.0,0.701,0.299,0.5719
11,2022-08-15,0.0,0.708,0.292,0.5106
12,2022-09-29,0.179,0.569,0.252,0.2263
13,2022-10-13,0.196,0.804,0.0,-0.296
14,2022-11-29,0.0,0.833,0.167,0.296
15,2022-12-15,0.0,1.0,0.0,0.0
16,2023-01-31,0.0,0.845,0.155,0.296
17,2023-04-10,0.0,0.682,0.318,0.4215
18,2023-04-12,0.0,0.698,0.302,0.5994
19,2023-04-14,0.0,0.841,0.159,0.3535
20,2023-04-20,0.0,1.0,0.0,0.0
21,2023-05-22,0.0,0.845,0.155,0.5106
22,2023-06-02,0.0,1.0,0.0,0.0
