,date,neg,neu,pos,compound
0,2019-12-02,0.194,0.806,0.0,-0.34
1,2020-07-09,0.0,0.853,0.147,0.2263
2,2020-12-10,0.0,0.734,0.266,0.4404
3,2021-01-13,0.0,1.0,0.0,0.0
4,2021-01-28,0.0,1.0,0.0,0.0
5,2021-02-16,0.0,1.0,0.0,0.0
6,2021-05-09,0.0,1.0,0.0,0.0
7,2021-05-11,0.0,0.879,0.121,0.24695
8,2021-06-01,0.239,0.761,0.0,-0.296
9,2021-07-12,0.207,0.431,0.362,0.4215
10,2021-07-27,0.0,1.0,0.0,0.0
11,2021-08-02,0.0,1.0,0.0,0.0
12,2021-08-03,0.0,1.0,0.0,0.0
13,2021-08-04,0.0,1.0,0.0,0.0
14,2021-08-05,0.0,0.787,0.213,0.4019
15,2021-08-07,0.0,1.0,0.0,0.0
16,2021-08-19,0.0,1.0,0.0,0.0
17,2021-09-01,0.207,0.431,0.362,0.4215
18,2021-09-02,0.0,1.0,0.0,0.0
19,2021-09-08,0.0,0.9259999999999999,0.074,0.1909
20,2021-09-12,0.0,0.733,0.267,0.6249
21,2021-09-25,0.0,0.8125,0.1875,0.31845
22,2021-10-05,0.0,0.805,0.195,0.4404
23,2021-10-08,0.0,1.0,0.0,0.0
24,2021-10-18,0.0,1.0,0.0,0.0
25,2021-10-26,0.0,1.0,0.0,0.0
26,2021-10-29,0.0,1.0,0.0,0.0
27,2021-11-02,0.0,1.0,0.0,0.0
28,2021-11-03,0.0,1.0,0.0,0.0
29,2021-11-05,0.0,1.0,0.0,0.0
30,2021-11-11,0.0,1.0,0.0,0.0
31,2021-11-15,0.0,0.845,0.155,0.10115
32,2021-11-16,0.065,0.8646666666666668,0.07033333333333333,-0.033466666666666665
33,2021-11-19,0.0,1.0,0.0,0.0
34,2021-11-24,0.0,1.0,0.0,0.0
35,2021-11-25,0.093,0.728,0.179,0.3182
36,2021-11-29,0.0,1.0,0.0,0.0
37,2021-12-01,0.123,0.538,0.338,0.4215
38,2021-12-25,0.0,1.0,0.0,0.0
39,2022-01-10,0.191,0.636,0.173,-0.0516
40,2022-01-13,0.0,0.934,0.066,0.16463333333333333
41,2022-01-24,0.0,0.82,0.18,0.296
42,2022-02-22,0.0,1.0,0.0,0.0
43,2022-02-23,0.0,1.0,0.0,0.0
44,2022-02-25,0.365,0.635,0.0,-0.5574
45,2022-03-01,0.0,1.0,0.0,0.0
46,2022-03-02,0.0,1.0,0.0,0.0
47,2022-03-25,0.0,0.58,0.42,0.4404
48,2022-03-28,0.0,0.756,0.244,0.48355
49,2022-03-30,0.0,0.833,0.167,0.2023
50,2022-04-02,0.0,1.0,0.0,0.0
51,2022-04-26,0.0,1.0,0.0,0.0
52,2022-04-29,0.155,0.663,0.182,0.128
53,2022-05-03,0.0,1.0,0.0,0.0
54,2022-05-04,0.0,1.0,0.0,0.0
55,2022-05-13,0.286,0.714,0.0,-0.4215
56,2022-05-18,0.0,0.625,0.375,0.6369
57,2022-05-20,0.0,1.0,0.0,0.0
58,2022-06-02,0.0,0.8674999999999999,0.1325,0.10115
59,2022-06-14,0.0,0.787,0.213,0.4019
60,2022-06-22,0.212,0.788,0.0,-0.5423
61,2022-06-29,0.193,0.545,0.262,0.1027
62,2022-07-12,0.0,0.762,0.238,0.3612
63,2022-07-19,0.0,1.0,0.0,0.0
64,2022-07-26,0.0,1.0,0.0,0.0
65,2022-07-28,0.0,0.675,0.325,0.5927
66,2022-07-29,0.207,0.431,0.362,0.4215
67,2022-08-02,0.06966666666666667,0.9303333333333333,0.0,-0.1468
68,2022-08-04,0.159,0.841,0.0,-0.1326
69,2022-08-06,0.149,0.851,0.0,-0.1027
70,2022-08-12,0.0,1.0,0.0,0.0
71,2022-08-22,0.0,0.87,0.13,0.2023
72,2022-08-31,0.0,1.0,0.0,0.0
73,2022-09-02,0.195,0.805,0.0,-0.4404
74,2022-09-08,0.0,1.0,0.0,0.0
75,2022-09-11,0.0,0.828,0.172,0.4019
76,2022-09-15,0.0,1.0,0.0,0.0
77,2022-09-20,0.0,0.841,0.159,0.1779
78,2022-09-23,0.225,0.775,0.0,-0.4404
79,2022-10-06,0.088,0.726,0.1865,0.13975
80,2022-10-18,0.0,1.0,0.0,0.0
81,2022-10-25,0.0,0.8280000000000001,0.172,0.3715
82,2022-10-26,0.0,0.625,0.375,0.6369
83,2022-10-28,0.209,0.791,0.0,-0.4404
84,2022-10-30,0.0,1.0,0.0,0.0
85,2022-10-31,0.29,0.71,0.0,-0.5994
86,2022-11-01,0.16033333333333333,0.8396666666666667,0.0,-0.22846666666666668
87,2022-11-02,0.0,0.789,0.211,0.34
88,2022-11-05,0.0,1.0,0.0,0.0
89,2022-11-15,0.325,0.675,0.0,-0.6486
90,2022-11-18,0.0,0.784,0.216,0.5106
91,2022-11-27,0.189,0.811,0.0,-0.2732
92,2022-11-28,0.31,0.69,0.0,-0.6597
93,2022-12-05,0.0,1.0,0.0,0.0
94,2022-12-09,0.0,0.815,0.185,0.3612
95,2022-12-12,0.133,0.867,0.0,-0.25
96,2022-12-17,0.0,1.0,0.0,0.0
97,2022-12-19,0.273,0.664,0.063,-0.6908
98,2022-12-20,0.0,1.0,0.0,0.0
99,2022-12-26,0.1085,0.75,0.1415,-0.0258
100,2023-01-11,0.167,0.833,0.0,-0.2023
101,2023-01-14,0.098,0.6575,0.2445,0.2202
102,2023-01-15,0.0,1.0,0.0,0.0
103,2023-01-17,0.0,0.9165,0.0835,0.17
104,2023-01-18,0.0,0.602,0.398,0.6486
105,2023-01-20,0.0,1.0,0.0,0.0
106,2023-01-21,0.0,1.0,0.0,0.0
107,2023-01-31,0.0,0.968,0.032,0.06743333333333333
108,2023-02-07,0.079,0.495,0.426,0.8402
109,2023-02-08,0.0,0.869,0.131,0.2997
110,2023-02-09,0.0,1.0,0.0,0.0
111,2023-02-13,0.0,1.0,0.0,0.0
112,2023-02-15,0.0,1.0,0.0,0.0
113,2023-02-21,0.0,0.935,0.065,0.17556666666666665
114,2023-02-23,0.138,0.862,0.0,-0.1531
115,2023-02-27,0.0,1.0,0.0,0.0
