,date,neg,neu,pos,compound
0,2016-11-02,0.0,1.0,0.0,0.0
1,2016-11-16,0.0,1.0,0.0,0.0
2,2016-12-21,0.0,0.659,0.341,0.6908
3,2017-01-12,0.0,0.643,0.357,0.6124
4,2017-01-17,0.0,0.787,0.213,0.4019
5,2017-05-11,0.0,1.0,0.0,0.0
6,2017-06-02,0.0,0.812,0.188,0.4588
7,2017-06-05,0.0,0.812,0.188,0.4588
8,2017-06-23,0.0,0.794,0.206,0.3818
9,2017-06-28,0.0,1.0,0.0,0.0
10,2017-08-11,0.0,0.7319999999999999,0.268,0.8625000000000002
11,2017-10-19,0.0,0.709,0.291,0.5719
12,2017-10-23,0.0,0.9250000000000002,0.075,0.17790000000000003
13,2017-10-26,0.0,0.676,0.324,0.7351
14,2017-11-16,0.0,1.0,0.0,0.0
15,2017-11-23,0.0,1.0,0.0,0.0
16,2017-11-27,0.0,0.696,0.304,0.5859
17,2018-01-12,0.0,0.652,0.34800000000000003,0.6597
18,2018-03-23,0.0,1.0,0.0,0.0
19,2018-04-03,0.0,1.0,0.0,0.0
20,2018-04-04,0.0,1.0,0.0,0.0
21,2018-07-03,0.0,1.0,0.0,0.0
22,2018-07-06,0.0,1.0,0.0,0.0
23,2018-07-09,0.0,1.0,0.0,0.0
24,2018-10-04,0.1015,0.8985000000000001,0.0,-0.21075
25,2018-10-21,0.0,0.685,0.315,0.5574
26,2018-10-25,0.0,0.84,0.16,0.2263
27,2018-11-16,0.0,0.827,0.173,0.3182
28,2018-11-27,0.0,1.0,0.0,0.0
29,2019-01-09,0.0,1.0,0.0,0.0
30,2019-02-05,0.0,1.0,0.0,0.0
31,2019-05-28,0.0,0.864,0.136,0.296
32,2019-06-11,0.0,0.794,0.206,0.3818
33,2019-06-21,0.0,1.0,0.0,0.0
34,2019-08-29,0.0,1.0,0.0,0.0
35,2019-10-10,0.0,0.903,0.097,0.1027
36,2019-11-06,0.0,1.0,0.0,0.0
37,2019-11-13,0.0,1.0,0.0,0.0
38,2019-11-21,0.0,0.839,0.161,0.3182
39,2019-11-24,0.126,0.747,0.126,0.0
40,2019-12-04,0.0,0.886,0.114,0.2023
41,2019-12-19,0.0,1.0,0.0,0.0
42,2020-02-12,0.0,1.0,0.0,0.0
43,2020-02-18,0.0,1.0,0.0,0.0
44,2020-02-26,0.0,1.0,0.0,0.0
45,2020-03-04,0.237,0.763,0.0,-0.4767
46,2020-03-09,0.0,1.0,0.0,0.0
47,2020-03-18,0.0,1.0,0.0,0.0
48,2020-03-30,0.0,0.935,0.065,0.10115
49,2020-03-31,0.0,1.0,0.0,0.0
50,2020-04-07,0.0,1.0,0.0,0.0
51,2020-04-20,0.0,1.0,0.0,0.0
52,2020-06-11,0.0,1.0,0.0,0.0
53,2020-07-02,0.216,0.784,0.0,-0.5106
54,2020-07-08,0.0,0.776,0.224,0.3818
55,2020-07-09,0.0,1.0,0.0,0.0
56,2020-08-05,0.0,0.787,0.213,0.4019
57,2020-08-13,0.0,1.0,0.0,0.0
58,2020-08-18,0.0,1.0,0.0,0.0
59,2020-09-23,0.0,1.0,0.0,0.0
60,2020-10-14,0.139,0.861,0.0,-0.2732
61,2020-10-28,0.0,0.75,0.25,0.4588
62,2020-11-25,0.0,1.0,0.0,0.0
63,2020-12-11,0.0,1.0,0.0,0.0
64,2020-12-23,0.0,1.0,0.0,0.0
65,2020-12-24,0.0,0.611,0.389,0.7906
66,2021-01-13,0.0,1.0,0.0,0.0
67,2021-01-14,0.0,0.748,0.252,0.4019
68,2021-01-15,0.0,0.884,0.116,0.2732
69,2021-01-25,0.0,1.0,0.0,0.0
70,2021-01-28,0.0,0.796,0.204,0.3182
71,2021-01-31,0.0,0.775,0.225,0.4939
72,2021-02-21,0.0,1.0,0.0,0.0
73,2021-02-24,0.0,1.0,0.0,0.0
74,2021-03-12,0.0,0.667,0.333,0.6705
75,2021-04-16,0.0,0.863,0.137,0.2263
76,2021-06-01,0.0,1.0,0.0,0.0
77,2021-06-15,0.0,0.746,0.254,0.5267
78,2021-06-17,0.0,1.0,0.0,0.0
79,2021-06-24,0.0,1.0,0.0,0.0
80,2021-06-30,0.0,1.0,0.0,0.0
81,2021-07-07,0.0,0.803,0.197,0.4019
82,2021-07-09,0.167,0.833,0.0,-0.296
83,2021-07-22,0.0,1.0,0.0,0.0
84,2021-09-03,0.0,0.806,0.194,0.34
85,2021-09-06,0.0,1.0,0.0,0.0
86,2021-09-30,0.0,1.0,0.0,0.0
87,2021-10-22,0.085,0.915,0.0,-0.1027
88,2021-11-18,0.0,0.953,0.04699999999999999,0.06743333333333333
89,2021-12-06,0.0,1.0,0.0,0.0
90,2021-12-10,0.0,0.725,0.275,0.5859
91,2021-12-29,0.0,0.698,0.302,0.3818
92,2022-01-11,0.0,0.6565,0.3435,0.6338
93,2022-02-07,0.0,1.0,0.0,0.0
94,2022-03-04,0.0,0.745,0.255,0.34
95,2022-03-29,0.235,0.523,0.242,0.0258
96,2022-04-22,0.0,1.0,0.0,0.0
97,2022-05-04,0.0,1.0,0.0,0.0
98,2022-05-09,0.0,1.0,0.0,0.0
99,2022-06-23,0.0,0.7545,0.2455,0.23925000000000002
100,2022-07-14,0.138,0.862,0.0,-0.1531
101,2022-08-05,0.0,1.0,0.0,0.0
102,2022-08-14,0.0,1.0,0.0,0.0
103,2022-08-18,0.0,0.674,0.326,0.4404
104,2022-08-29,0.0,1.0,0.0,0.0
105,2022-08-31,0.302,0.698,0.0,-0.4404
106,2022-09-02,0.0,1.0,0.0,0.0
107,2022-09-07,0.0,1.0,0.0,0.0
108,2022-09-16,0.0,0.714,0.286,0.4939
109,2022-09-20,0.0,0.748,0.252,0.4019
110,2022-09-30,0.0,0.838,0.162,0.4019
111,2022-10-04,0.0,1.0,0.0,0.0
112,2022-10-05,0.0,0.897,0.103,0.128
113,2022-10-06,0.0,1.0,0.0,0.0
114,2022-10-07,0.247,0.753,0.0,-0.5574
115,2022-10-10,0.0,1.0,0.0,0.0
116,2022-10-13,0.0,1.0,0.0,0.0
117,2022-10-14,0.0,0.816,0.184,0.4019
118,2022-10-26,0.0,1.0,0.0,0.0
119,2022-10-31,0.0,1.0,0.0,0.0
120,2022-11-09,0.133,0.867,0.0,-0.3182
121,2022-11-14,0.0,1.0,0.0,0.0
122,2022-11-30,0.0,1.0,0.0,0.0
123,2022-12-15,0.0,1.0,0.0,0.0
124,2022-12-19,0.145,0.855,0.0,-0.2584
125,2022-12-20,0.0,0.85,0.15,0.2294
126,2022-12-23,0.0,1.0,0.0,0.0
127,2022-12-30,0.0,0.576,0.424,0.7964
128,2023-01-09,0.0,1.0,0.0,0.0
129,2023-01-23,0.0,0.722,0.278,0.4019
130,2023-02-07,0.078,0.922,0.0,-0.0258
131,2023-02-10,0.0,0.816,0.184,0.4019
132,2023-02-21,0.0,1.0,0.0,0.0
133,2023-02-27,0.427,0.573,0.0,-0.7717
134,2023-02-28,0.0,1.0,0.0,0.0
135,2023-03-02,0.0,1.0,0.0,0.0
136,2023-03-03,0.0,1.0,0.0,0.0
137,2023-03-04,0.366,0.634,0.0,-0.6369
138,2023-03-07,0.0,0.781,0.219,0.4215
139,2023-03-08,0.0,1.0,0.0,0.0
140,2023-03-09,0.0,0.813,0.187,0.3182
141,2023-03-22,0.106,0.682,0.212,0.34
142,2023-03-27,0.164,0.8360000000000001,0.0,-0.32985
143,2023-03-30,0.0,1.0,0.0,0.0
144,2023-04-05,0.0,1.0,0.0,0.0
145,2023-04-12,0.306,0.694,0.0,-0.6597
146,2023-04-17,0.0,0.799,0.201,0.3089
147,2023-05-16,0.0,1.0,0.0,0.0
148,2023-05-23,0.0,1.0,0.0,0.0
149,2023-05-24,0.0,1.0,0.0,0.0
150,2023-05-25,0.0,1.0,0.0,0.0
151,2023-05-29,0.0,1.0,0.0,0.0
152,2023-06-04,0.225,0.775,0.0,-0.4939
153,2023-06-06,0.0,1.0,0.0,0.0
154,2023-06-08,0.138,0.862,0.0,-0.1531
155,2023-06-22,0.0,1.0,0.0,0.0
156,2023-06-29,0.0,1.0,0.0,0.0
