,date,neg,neu,pos,compound
0,2018-08-03,0.0,1.0,0.0,0.0
1,2018-08-13,0.0,0.758,0.242,0.4939
2,2018-09-15,0.0,1.0,0.0,0.0
3,2018-09-21,0.0,1.0,0.0,0.0
4,2018-10-02,0.0,1.0,0.0,0.0
5,2018-10-31,0.0,0.777,0.223,0.3182
6,2019-02-05,0.0,1.0,0.0,0.0
7,2019-06-06,0.0,0.809,0.191,0.3818
8,2019-08-02,0.0,1.0,0.0,0.0
9,2019-10-04,0.0,1.0,0.0,0.0
10,2020-01-23,0.0,0.855,0.145,0.1779
11,2020-02-04,0.0,1.0,0.0,0.0
12,2020-03-09,0.0,1.0,0.0,0.0
13,2020-03-16,0.16,0.84,0.0,-0.2732
14,2020-04-07,0.0,1.0,0.0,0.0
15,2020-05-04,0.0,1.0,0.0,0.0
16,2020-06-19,0.0,0.902,0.098,0.34
17,2020-12-22,0.0,1.0,0.0,0.0
18,2021-03-15,0.0,0.8375,0.1625,0.3243
19,2021-03-23,0.0,1.0,0.0,0.0
20,2021-05-28,0.0,0.738,0.262,0.4939
21,2021-06-02,0.0,0.606,0.394,0.8442
22,2021-06-22,0.0,1.0,0.0,0.0
23,2021-07-28,0.0,1.0,0.0,0.0
24,2021-09-22,0.0,1.0,0.0,0.0
25,2021-09-30,0.0,0.714,0.286,0.4215
26,2021-12-02,0.0,1.0,0.0,0.0
27,2022-02-10,0.0,1.0,0.0,0.0
28,2022-02-22,0.0,0.714,0.286,0.4939
29,2022-02-24,0.0,1.0,0.0,0.0
30,2022-03-22,0.0,1.0,0.0,0.0
31,2022-03-30,0.0,1.0,0.0,0.0
32,2022-04-05,0.0,1.0,0.0,0.0
33,2022-04-27,0.0,1.0,0.0,0.0
34,2022-05-06,0.0,1.0,0.0,0.0
35,2022-06-17,0.0,1.0,0.0,0.0
36,2022-08-11,0.0,0.823,0.177,0.4215
37,2022-08-27,0.0,1.0,0.0,0.0
38,2022-09-01,0.0,1.0,0.0,0.0
39,2022-09-06,0.0,1.0,0.0,0.0
40,2022-09-08,0.0,1.0,0.0,0.0
41,2022-09-12,0.0,1.0,0.0,0.0
42,2022-09-15,0.0,0.7955000000000001,0.20450000000000002,0.4939
43,2022-09-16,0.0,1.0,0.0,0.0
44,2022-09-18,0.0,1.0,0.0,0.0
45,2022-09-25,0.0,1.0,0.0,0.0
46,2022-09-26,0.0,1.0,0.0,0.0
47,2022-09-28,0.0,0.588,0.412,0.6369
48,2022-09-29,0.0,0.588,0.412,0.6369
49,2022-09-30,0.485,0.515,0.0,-0.5719
50,2022-10-04,0.0,1.0,0.0,0.0
51,2022-10-05,0.0,1.0,0.0,0.0
52,2022-10-07,0.0,0.602,0.398,0.6486
53,2022-10-12,0.315,0.685,0.0,-0.3182
54,2022-10-14,0.0,1.0,0.0,0.0
55,2022-10-17,0.0,1.0,0.0,0.0
56,2022-10-26,0.0,1.0,0.0,0.0
57,2022-10-31,0.0,1.0,0.0,0.0
58,2022-11-01,0.0,0.8714999999999999,0.1285,0.27115
59,2022-11-02,0.227,0.442,0.331,0.2263
60,2022-11-08,0.06466666666666666,0.9353333333333333,0.0,-0.11333333333333334
61,2022-11-18,0.0,0.588,0.412,0.6369
62,2022-11-22,0.0,0.692,0.308,0.4588
63,2022-11-29,0.0,0.9505,0.0495,0.123475
64,2022-12-07,0.0,1.0,0.0,0.0
65,2022-12-16,0.0,1.0,0.0,0.0
66,2022-12-19,0.0,1.0,0.0,0.0
67,2022-12-20,0.0,1.0,0.0,0.0
68,2022-12-21,0.0,0.686,0.314,0.4939
69,2022-12-27,0.0,0.625,0.375,0.6369
70,2023-01-09,0.0,0.7955,0.20450000000000002,0.4939
71,2023-01-11,0.0,0.877,0.123,0.128
72,2023-01-12,0.0,0.805,0.195,0.1779
73,2023-01-13,0.0,1.0,0.0,0.0
74,2023-01-14,0.0,1.0,0.0,0.0
75,2023-01-27,0.0,1.0,0.0,0.0
76,2023-02-03,0.231,0.769,0.0,-0.5574
77,2023-02-08,0.0,0.741,0.259,0.6369
78,2023-02-15,0.0,1.0,0.0,0.0
79,2023-02-16,0.0,1.0,0.0,0.0
80,2023-02-17,0.1765,0.8235,0.0,-0.2997
81,2023-02-21,0.0,1.0,0.0,0.0
82,2023-02-22,0.09533333333333333,0.9046666666666666,0.0,-0.11333333333333334
83,2023-02-24,0.0,0.9015,0.0985,0.20095
84,2023-03-04,0.0,1.0,0.0,0.0
85,2023-03-19,0.0,0.82,0.18,0.296
86,2023-03-21,0.0,0.8,0.2,0.3612
87,2023-03-27,0.112,0.8300000000000001,0.05833333333333333,-0.10606666666666666
88,2023-03-29,0.0,0.8626666666666667,0.13733333333333334,0.21230000000000002
89,2023-04-01,0.0,0.786,0.214,0.4588
90,2023-04-03,0.0,1.0,0.0,0.0
91,2023-04-05,0.0,1.0,0.0,0.0
92,2023-04-06,0.0,1.0,0.0,0.0
93,2023-04-10,0.0,0.881,0.119,0.1806
94,2023-04-11,0.0,1.0,0.0,0.0
95,2023-04-19,0.0,0.8009999999999999,0.199,0.3243
96,2023-04-24,0.0,0.9359999999999999,0.064,0.148
97,2023-04-25,0.0,0.9363333333333334,0.06366666666666666,0.17020000000000002
98,2023-04-26,0.04766666666666666,0.9523333333333334,0.0,-0.041666666666666664
99,2023-04-27,0.139,0.861,0.0,-0.2732
100,2023-04-28,0.0,1.0,0.0,0.0
101,2023-05-01,0.0,0.787,0.213,0.4019
102,2023-05-04,0.13879999999999998,0.8612,0.0,-0.2747
103,2023-05-05,0.0,0.8800000000000001,0.12,0.2823
