,date,neg,neu,pos,compound
0,2019-09-14,0.174,0.826,0.0,-0.2732
1,2019-09-15,0.403,0.597,0.0,-0.7964
2,2019-10-01,0.0,1.0,0.0,0.0
3,2021-04-12,0.0,1.0,0.0,0.0
4,2021-05-03,0.295,0.542,0.163,-0.296
5,2021-05-07,0.0,1.0,0.0,0.0
6,2021-06-28,0.229,0.571,0.2,-0.1027
7,2021-07-16,0.0,1.0,0.0,0.0
8,2022-01-04,0.0,0.826,0.174,0.2732
9,2022-02-25,0.0,1.0,0.0,0.0
10,2022-03-01,0.0,1.0,0.0,0.0
11,2022-03-04,0.0,1.0,0.0,0.0
12,2022-03-21,0.1425,0.8574999999999999,0.0,-0.3057
13,2022-03-26,0.0,1.0,0.0,0.0
14,2022-05-02,0.16,0.8400000000000001,0.0,-0.3454
15,2022-05-03,0.0,1.0,0.0,0.0
16,2022-06-23,0.0,1.0,0.0,0.0
17,2022-06-27,0.0,1.0,0.0,0.0
18,2022-07-09,0.0,1.0,0.0,0.0
19,2022-07-13,0.0,0.803,0.197,0.4003
20,2022-07-29,0.0,0.734,0.266,0.4404
21,2022-08-04,0.0,1.0,0.0,0.0
22,2022-08-08,0.242,0.758,0.0,-0.4939
23,2022-08-11,0.0,0.769,0.231,0.4588
24,2022-08-19,0.358,0.642,0.0,-0.7717
25,2022-08-24,0.0,1.0,0.0,0.0
26,2022-09-07,0.0,0.659,0.341,0.69
27,2022-10-06,0.0,0.9425,0.0575,0.0386
28,2022-11-14,0.0,1.0,0.0,0.0
29,2022-11-16,0.0,1.0,0.0,0.0
30,2022-12-02,0.0,0.471,0.529,0.8779
31,2023-01-09,0.0,1.0,0.0,0.0
32,2023-01-14,0.0,0.941,0.059,0.14049999999999999
33,2023-01-16,0.1225,0.81,0.0675,-0.15295000000000003
34,2023-01-22,0.0,0.736,0.264,0.5106
35,2023-01-24,0.178,0.822,0.0,-0.3818
36,2023-01-26,0.0,1.0,0.0,0.0
37,2023-02-01,0.0,1.0,0.0,0.0
38,2023-02-06,0.0,0.685,0.315,0.5562
39,2023-02-13,0.0,1.0,0.0,0.0
40,2023-02-16,0.0,1.0,0.0,0.0
41,2023-02-20,0.0,1.0,0.0,0.0
42,2023-02-21,0.245,0.755,0.0,-0.5983
43,2023-03-02,0.434,0.566,0.0,-0.5574
44,2023-03-09,0.155,0.845,0.0,-0.296
45,2023-03-13,0.0,0.815,0.185,0.3595
46,2023-03-16,0.1665,0.8335,0.0,-0.3953
47,2023-03-20,0.0,1.0,0.0,0.0
48,2023-03-21,0.0,1.0,0.0,0.0
49,2023-03-27,0.0,1.0,0.0,0.0
50,2023-03-28,0.0,0.869,0.131,0.24695
51,2023-03-30,0.207,0.444,0.348,0.2263
52,2023-03-31,0.063,0.7959999999999999,0.14100000000000001,0.1566
53,2023-04-03,0.0,1.0,0.0,0.0
54,2023-04-04,0.1205,0.8795,0.0,-0.21075
55,2023-04-05,0.0,0.9183333333333333,0.08166666666666667,0.12726666666666667
56,2023-04-10,0.0,1.0,0.0,0.0
57,2023-04-11,0.0,1.0,0.0,0.0
58,2023-04-12,0.0,0.595,0.405,0.5267
59,2023-04-13,0.0,1.0,0.0,0.0
60,2023-04-14,0.0,0.801,0.199,0.3034
61,2023-04-16,0.457,0.543,0.0,-0.7096
62,2023-04-17,0.0,0.7,0.3,0.45424999999999993
63,2023-04-18,0.0,0.91425,0.08574999999999999,0.152025
64,2023-04-19,0.09133333333333334,0.9086666666666666,0.0,-0.17556666666666665
65,2023-04-20,0.0,0.893,0.107,0.2294
66,2023-04-21,0.0,0.888,0.112,0.1909
67,2023-04-22,0.0,0.73,0.27,0.5719
68,2023-04-24,0.09,0.8674999999999999,0.0425,-0.1094
69,2023-04-25,0.0,0.8594999999999999,0.1405,0.2997
70,2023-04-26,0.143,0.857,0.0,-0.125
71,2023-04-27,0.1325,0.5305,0.33699999999999997,0.25644999999999996
72,2023-04-28,0.0,0.85875,0.14125,0.26322500000000004
73,2023-05-01,0.078,0.9219999999999999,0.0,-0.17
74,2023-05-03,0.064,0.8736666666666667,0.062,-0.0086
75,2023-05-04,0.043166666666666666,0.7481666666666666,0.20866666666666667,0.25803333333333334
76,2023-05-05,0.0,0.92275,0.07725,0.15705
77,2023-05-09,0.241,0.759,0.0,-0.2263
78,2023-05-10,0.167,0.833,0.0,-0.1531
79,2023-05-11,0.0,1.0,0.0,0.0
80,2023-05-12,0.0,1.0,0.0,0.0
81,2023-05-15,0.0,0.9615,0.0385,0.0625
82,2023-05-16,0.0,1.0,0.0,0.0
83,2023-05-17,0.0,0.8305,0.1695,0.31245
84,2023-05-18,0.306,0.694,0.0,-0.5267
85,2023-05-21,0.0,1.0,0.0,0.0
86,2023-05-22,0.09366666666666668,0.9063333333333333,0.0,-0.21619999999999998
87,2023-05-23,0.0,1.0,0.0,0.0
88,2023-05-25,0.0,0.881,0.119,0.21265
89,2023-05-26,0.02214285714285714,0.8311428571428571,0.14671428571428574,0.2356
90,2023-05-30,0.0,1.0,0.0,0.0
91,2023-05-31,0.0,0.704,0.296,0.6369
92,2023-06-01,0.0,0.7825,0.2175,0.3892
93,2023-06-05,0.0,1.0,0.0,0.0
94,2023-06-06,0.0,0.84575,0.15425,0.20652500000000001
95,2023-06-07,0.286,0.714,0.0,-0.4939
96,2023-06-08,0.0,1.0,0.0,0.0
97,2023-06-09,0.0805,0.8335,0.086,0.0258
98,2023-06-10,0.295,0.705,0.0,-0.2716
99,2023-06-11,0.38,0.62,0.0,-0.5994
100,2023-06-12,0.0,1.0,0.0,0.0
101,2023-06-13,0.0,0.949,0.051,0.1468
102,2023-06-14,0.05266666666666667,0.9473333333333334,0.0,-0.042666666666666665
103,2023-06-15,0.13999999999999999,0.7769999999999999,0.08299999999999999,-0.0672
104,2023-06-16,0.149,0.851,0.0,-0.2732
105,2023-06-19,0.0,0.625,0.375,0.5574
106,2023-06-21,0.286,0.714,0.0,-0.25
107,2023-06-22,0.09833333333333333,0.6886666666666666,0.21333333333333335,0.13169999999999998
108,2023-06-23,0.0,1.0,0.0,0.0
109,2023-06-26,0.0,0.748,0.252,0.4019
110,2023-06-27,0.097,0.755,0.148,0.125
111,2023-06-28,0.0,1.0,0.0,0.0
112,2023-06-29,0.121,0.879,0.0,-0.07655
113,2023-06-30,0.0,0.815,0.185,0.3612
114,2023-07-03,0.0,1.0,0.0,0.0
115,2023-07-05,0.0,1.0,0.0,0.0
116,2023-07-13,0.0,0.8625,0.1375,0.11315
117,2023-07-14,0.0,1.0,0.0,0.0
118,2023-07-16,0.0,0.654,0.346,0.6486
119,2023-07-17,0.0,1.0,0.0,0.0
120,2023-07-18,0.0,1.0,0.0,0.0
