,date,neg,neu,pos,compound
0,2018-07-27,0.0,1.0,0.0,0.0
1,2018-08-28,0.36,0.64,0.0,-0.6705
2,2018-08-30,0.204,0.796,0.0,-0.3182
3,2019-02-05,0.343,0.5,0.157,-0.3818
4,2019-05-07,0.0,1.0,0.0,0.0
5,2019-06-08,0.0,0.789,0.211,0.34
6,2019-06-20,0.0,0.637,0.363,0.6908
7,2019-07-09,0.162,0.667,0.171,0.0258
8,2020-03-06,0.231,0.769,0.0,-0.4588
9,2020-05-05,0.0,1.0,0.0,0.0
10,2020-06-22,0.0,1.0,0.0,0.0
11,2021-04-26,0.0,0.851,0.149,0.4215
12,2021-06-10,0.27,0.73,0.0,-0.5719
13,2021-10-30,0.338,0.662,0.0,-0.6808
14,2021-11-16,0.0,0.709,0.291,0.5719
15,2022-05-10,0.0,1.0,0.0,0.0
16,2022-05-11,0.0,1.0,0.0,0.0
17,2022-05-18,0.0,1.0,0.0,0.0
18,2022-05-20,0.0,1.0,0.0,0.0
19,2022-05-23,0.0,1.0,0.0,0.0
20,2022-06-17,0.0,1.0,0.0,0.0
21,2022-08-02,0.0,1.0,0.0,0.0
22,2022-08-15,0.0,1.0,0.0,0.0
23,2022-08-18,0.151,0.67,0.179,0.128
24,2022-08-24,0.0,1.0,0.0,0.0
25,2022-08-26,0.0,0.8145,0.1855,0.3819
26,2022-09-12,0.0,1.0,0.0,0.0
27,2022-09-14,0.0,0.794,0.206,0.3818
28,2022-09-15,0.383,0.617,0.0,-0.7351
29,2022-09-20,0.0,1.0,0.0,0.0
30,2022-09-22,0.0,1.0,0.0,0.0
31,2022-09-27,0.0,0.764,0.236,0.5267
32,2022-10-06,0.0,0.893,0.107,0.0516
33,2022-10-12,0.0,1.0,0.0,0.0
34,2022-10-18,0.0,0.794,0.206,0.3818
35,2022-10-29,0.0,1.0,0.0,0.0
36,2022-10-31,0.0,0.782,0.218,0.4215
37,2022-11-06,0.0,1.0,0.0,0.0
38,2022-11-07,0.0,1.0,0.0,0.0
39,2022-11-08,0.35,0.65,0.0,-0.5106
40,2022-11-09,0.0,1.0,0.0,0.0
41,2022-11-15,0.0,1.0,0.0,0.0
42,2022-11-18,0.0,0.694,0.306,0.6486
43,2023-01-19,0.0,1.0,0.0,0.0
44,2023-01-26,0.0,1.0,0.0,0.0
45,2023-01-31,0.065,0.876,0.059,0.061
46,2023-02-01,0.096,0.904,0.0,-0.11315
47,2023-02-03,0.0,1.0,0.0,0.0
48,2023-02-05,0.0,1.0,0.0,0.0
49,2023-02-07,0.0,0.73,0.27,0.5719
50,2023-02-08,0.275,0.725,0.0,-0.6908
51,2023-02-10,0.0,1.0,0.0,0.0
52,2023-02-12,0.0,1.0,0.0,0.0
53,2023-02-13,0.0,0.9,0.1,0.2294
54,2023-02-16,0.0,1.0,0.0,0.0
55,2023-02-19,0.0,1.0,0.0,0.0
56,2023-02-21,0.0,1.0,0.0,0.0
57,2023-02-24,0.0,1.0,0.0,0.0
58,2023-02-27,0.171,0.658,0.171,0.0
59,2023-02-28,0.0,0.766,0.234,0.26335
60,2023-03-02,0.0,0.8215,0.1785,0.3062
61,2023-03-05,0.075,0.8095,0.1155,-0.05794999999999999
62,2023-03-06,0.0,0.719,0.28099999999999997,0.44403333333333334
63,2023-03-11,0.179,0.286,0.536,0.7184
64,2023-03-13,0.09,0.824,0.086,0.05295
65,2023-03-21,0.12433333333333334,0.8756666666666666,0.0,-0.33266666666666667
66,2023-03-23,0.0,0.756,0.244,0.4404
67,2023-03-26,0.0,1.0,0.0,0.0
68,2023-03-27,0.0,0.7865,0.21350000000000002,0.318
69,2023-03-29,0.07083333333333333,0.9291666666666667,0.0,-0.1124
70,2023-03-30,0.06785714285714285,0.9101428571428573,0.022,-0.07437142857142856
71,2023-04-04,0.06833333333333333,0.9316666666666666,0.0,-0.06743333333333333
72,2023-04-06,0.0,1.0,0.0,0.0
73,2023-04-07,0.0,0.9635,0.0365,0.064
74,2023-04-08,0.0,0.612,0.388,0.2263
75,2023-04-09,0.0,1.0,0.0,0.0
76,2023-04-10,0.0,1.0,0.0,0.0
77,2023-04-11,0.049999999999999996,0.9500000000000001,0.0,-0.10606666666666666
78,2023-04-12,0.0,0.888,0.112,0.2263
79,2023-04-13,0.0,1.0,0.0,0.0
