,date,neg,neu,pos,compound
0,2019-09-13,0.0,1.0,0.0,0.0
1,2019-09-14,0.0,1.0,0.0,0.0
2,2020-11-04,0.0,1.0,0.0,0.0
3,2022-01-14,0.0,0.756,0.244,0.6369
4,2022-03-08,0.0,1.0,0.0,0.0
5,2022-03-16,0.0,1.0,0.0,0.0
6,2022-04-22,0.0,0.822,0.178,0.3818
7,2022-05-12,0.0,1.0,0.0,0.0
8,2022-06-30,0.0,1.0,0.0,0.0
9,2022-07-14,0.0,1.0,0.0,0.0
10,2022-07-25,0.121,0.879,0.0,-0.296
11,2022-09-16,0.0,0.851,0.149,0.2732
12,2022-09-29,0.135,0.865,0.0,-0.28595
13,2022-09-30,0.0,1.0,0.0,0.0
14,2022-10-17,0.0,1.0,0.0,0.0
15,2022-10-20,0.0,1.0,0.0,0.0
16,2022-11-04,0.194,0.484,0.323,0.34
17,2022-11-08,0.0,1.0,0.0,0.0
18,2022-11-09,0.0,0.857,0.143,0.21075
19,2022-11-10,0.0,1.0,0.0,0.0
20,2022-11-21,0.0,0.787,0.213,0.4019
21,2022-12-12,0.0,0.795,0.205,0.2023
22,2023-01-25,0.299,0.508,0.192,-0.2263
23,2023-01-31,0.0,1.0,0.0,0.0
24,2023-02-03,0.0,1.0,0.0,0.0
25,2023-02-07,0.0,1.0,0.0,0.0
26,2023-02-15,0.181,0.695,0.124,-0.128
27,2023-02-20,0.0,1.0,0.0,0.0
28,2023-02-22,0.202,0.798,0.0,-0.6486
29,2023-02-23,0.0,1.0,0.0,0.0
30,2023-03-02,0.0,1.0,0.0,0.0
31,2023-03-03,0.0,1.0,0.0,0.0
32,2023-03-06,0.0,1.0,0.0,0.0
33,2023-03-07,0.0,1.0,0.0,0.0
34,2023-03-08,0.0,0.629,0.371,0.6486
35,2023-03-11,0.187,0.647,0.165,-0.0772
36,2023-03-15,0.0,1.0,0.0,0.0
37,2023-03-16,0.055,0.8776666666666667,0.06766666666666667,0.05103333333333334
38,2023-03-17,0.0,1.0,0.0,0.0
39,2023-03-20,0.0,0.9165,0.0835,0.10115
40,2023-03-22,0.0,0.9195,0.0805,0.1591
41,2023-03-23,0.191,0.809,0.0,-0.3818
42,2023-03-27,0.0,0.839,0.161,0.3182
43,2023-03-28,0.0,1.0,0.0,0.0
44,2023-03-31,0.18,0.82,0.0,-0.296
45,2023-04-03,0.0,0.9136666666666667,0.08633333333333333,0.18076666666666666
46,2023-04-04,0.245,0.68,0.075,-0.5423
47,2023-04-06,0.0,0.8736666666666667,0.12633333333333333,0.23013333333333333
48,2023-04-07,0.343,0.657,0.0,-0.5719
49,2023-04-10,0.0,1.0,0.0,0.0
50,2023-04-12,0.477,0.523,0.0,-0.8481
51,2023-04-13,0.0,1.0,0.0,0.0
52,2023-04-14,0.1235,0.8765000000000001,0.0,-0.2787
53,2023-04-16,0.0,0.526,0.474,0.743
54,2023-04-18,0.3035,0.6964999999999999,0.0,-0.47229999999999994
55,2023-04-19,0.0,0.881,0.11900000000000001,0.220775
56,2023-04-24,0.0,0.8205,0.1795,0.3404
57,2023-04-25,0.0,0.8450000000000001,0.155,0.33956666666666663
58,2023-04-28,0.052,0.879,0.068,0.128
59,2023-05-02,0.113,0.887,0.0,-0.1027
60,2023-05-03,0.0,1.0,0.0,0.0
61,2023-05-04,0.0,1.0,0.0,0.0
62,2023-05-08,0.0,1.0,0.0,0.0
63,2023-05-11,0.0,0.794,0.206,0.3818
64,2023-05-12,0.0,1.0,0.0,0.0
65,2023-05-15,0.1775,0.8225,0.0,-0.148
66,2023-05-16,0.0,0.732,0.268,0.296
67,2023-05-17,0.0,0.877,0.123,0.2233
68,2023-05-18,0.07033333333333333,0.8696666666666667,0.06,-0.01466666666666668
69,2023-05-19,0.15978125,0.7916562500000001,0.04859375,-0.12505625
70,2023-05-20,0.351,0.649,0.0,-0.4019
71,2023-05-21,0.135,0.865,0.0,-0.1027
72,2023-05-22,0.1108421052631579,0.8506315789473684,0.038526315789473686,-0.10232105263157894
73,2023-05-23,0.0,1.0,0.0,0.0
