,date,neg,neu,pos,compound
0,2019-03-02,0.118,0.882,0.0,-0.1531
1,2019-03-28,0.0,1.0,0.0,0.0
2,2019-06-13,0.0,1.0,0.0,0.0
3,2019-08-02,0.0,1.0,0.0,0.0
4,2019-09-09,0.0,1.0,0.0,0.0
5,2019-10-16,0.0,1.0,0.0,0.0
6,2019-12-03,0.0,1.0,0.0,0.0
7,2019-12-12,0.0,1.0,0.0,0.0
8,2020-01-13,0.0,1.0,0.0,0.0
9,2020-03-26,0.0,0.809,0.191,0.3716
10,2020-04-23,0.0,1.0,0.0,0.0
11,2020-06-11,0.121,0.751,0.127,0.0258
12,2020-06-29,0.0,0.826,0.174,0.2732
13,2020-08-12,0.0,0.711,0.289,0.6908
14,2020-09-05,0.321,0.679,0.0,-0.875
15,2020-09-08,0.0,0.728,0.272,0.4767
16,2020-12-10,0.096,0.577,0.327,0.5574
17,2021-02-11,0.0,1.0,0.0,0.0
18,2021-03-08,0.0,1.0,0.0,0.0
19,2021-03-31,0.088,0.76,0.152,0.2732
20,2021-06-03,0.0,1.0,0.0,0.0
21,2021-09-29,0.0,1.0,0.0,0.0
22,2021-10-17,0.0,1.0,0.0,0.0
23,2021-10-25,0.0,0.755,0.245,0.3818
24,2021-12-09,0.147,0.632,0.221,0.1027
25,2022-03-29,0.0,0.796,0.204,0.3182
26,2022-04-12,0.0,1.0,0.0,0.0
27,2022-04-20,0.0,0.809,0.191,0.3818
28,2022-06-02,0.0,1.0,0.0,0.0
29,2022-06-21,0.0,1.0,0.0,0.0
30,2022-06-29,0.0,1.0,0.0,0.0
31,2022-07-10,0.06566666666666666,0.8873333333333333,0.04699999999999999,-0.027899999999999998
32,2022-07-19,0.181,0.819,0.0,-0.4767
33,2022-07-25,0.205,0.795,0.0,-0.4767
34,2022-09-01,0.0,0.641,0.359,0.6808
35,2022-09-04,0.127,0.873,0.0,-0.1531
36,2022-09-12,0.0,0.844,0.156,0.4497
37,2022-10-06,0.0,1.0,0.0,0.0
38,2022-10-11,0.0,1.0,0.0,0.0
39,2022-10-13,0.0,1.0,0.0,0.0
