,date,neg,neu,pos,compound
0,2018-08-03,0.266,0.734,0.0,-0.4404
1,2021-01-08,0.0,1.0,0.0,0.0
2,2021-06-11,0.0,1.0,0.0,0.0
3,2021-06-14,0.226,0.774,0.0,-0.5423
4,2021-06-30,0.0,1.0,0.0,0.0
5,2022-02-02,0.0,0.734,0.266,0.4404
6,2022-02-09,0.0,1.0,0.0,0.0
7,2022-03-09,0.0,1.0,0.0,0.0
8,2022-03-23,0.176,0.64,0.184,0.0258
9,2022-04-20,0.0,0.84,0.16,0.2732
10,2022-04-27,0.211,0.602,0.188,-0.0772
11,2022-05-11,0.0,1.0,0.0,0.0
12,2022-08-21,0.171,0.588,0.241,0.296
13,2022-08-25,0.0,1.0,0.0,0.0
14,2022-09-07,0.0,1.0,0.0,0.0
15,2022-09-08,0.0,1.0,0.0,0.0
16,2022-09-13,0.244,0.756,0.0,-0.4404
17,2022-09-21,0.0,1.0,0.0,0.0
18,2022-09-28,0.1465,0.8534999999999999,0.0,-0.2202
19,2022-10-11,0.0,0.543,0.457,0.6369
20,2022-10-12,0.0,0.809,0.191,0.3818
21,2022-10-16,0.0,1.0,0.0,0.0
22,2022-10-17,0.0,0.8254999999999999,0.1745,0.25
23,2022-10-20,0.0,0.8933333333333334,0.10666666666666667,0.17020000000000002
24,2022-10-25,0.0,0.866,0.134,0.148
25,2022-10-28,0.0,1.0,0.0,0.0
26,2022-11-03,0.04875,0.9095,0.04175,-0.059525
27,2022-11-09,0.0,1.0,0.0,0.0
28,2022-11-10,0.0,1.0,0.0,0.0
29,2022-11-11,0.0,0.672,0.328,0.8316
30,2022-11-17,0.0,0.738,0.262,0.4927
31,2022-11-23,0.0,0.802,0.198,0.5709
32,2022-11-27,0.0,0.588,0.412,0.6369
33,2022-11-30,0.0,1.0,0.0,0.0
34,2022-12-01,0.086,0.7715,0.14250000000000002,0.01185
35,2022-12-07,0.0,0.857,0.143,0.3597
36,2022-12-11,0.0,1.0,0.0,0.0
37,2022-12-23,0.086,0.914,0.0,-0.2235
38,2023-01-04,0.0,1.0,0.0,0.0
39,2023-01-05,0.0,1.0,0.0,0.0
40,2023-01-06,0.0,1.0,0.0,0.0
41,2023-01-07,0.0,0.8626666666666667,0.13733333333333334,0.13906666666666667
42,2023-01-08,0.0,0.86,0.14,0.0772
43,2023-01-10,0.0,1.0,0.0,0.0
44,2023-01-11,0.0,0.651,0.349,0.7096
45,2023-01-20,0.172,0.469,0.359,0.34
46,2023-01-31,0.1085,0.8915,0.0,-0.1806
47,2023-02-01,0.0,1.0,0.0,0.0
48,2023-02-05,0.0,0.678,0.322,0.6908
49,2023-02-07,0.0,0.708,0.292,0.5106
50,2023-02-09,0.063,0.8523333333333333,0.08466666666666667,0.06116666666666667
51,2023-02-15,0.0,0.744,0.256,0.4767
52,2023-02-21,0.0,0.674,0.326,0.5256
53,2023-03-01,0.0,1.0,0.0,0.0
54,2023-03-05,0.0,0.72,0.28,0.5423
55,2023-03-10,0.161,0.839,0.0,-0.3182
56,2023-03-13,0.0,0.833,0.167,0.3818
57,2023-03-16,0.078,0.6343333333333333,0.2876666666666667,0.46883333333333327
58,2023-03-21,0.0,0.688,0.312,0.6124
59,2023-03-22,0.0,0.843,0.157,0.3818
60,2023-03-25,0.0,1.0,0.0,0.0
61,2023-03-27,0.0,1.0,0.0,0.0
62,2023-03-29,0.0,0.658,0.342,0.3818
63,2023-03-30,0.0,0.816,0.184,0.2023
64,2023-03-31,0.0,1.0,0.0,0.0
65,2023-04-10,0.0,0.7704,0.22960000000000003,0.51474
66,2023-04-12,0.195,0.805,0.0,-0.4404
67,2023-04-18,0.0,1.0,0.0,0.0
68,2023-04-19,0.0,0.8016666666666667,0.19833333333333333,0.33536666666666665
69,2023-04-22,0.0,1.0,0.0,0.0
70,2023-04-26,0.286,0.714,0.0,-0.25
71,2023-04-28,0.0,0.825,0.175,0.1779
72,2023-05-01,0.0,1.0,0.0,0.0
73,2023-05-02,0.0,1.0,0.0,0.0
74,2023-05-03,0.0,0.842,0.158,0.4588
75,2023-05-04,0.0,0.653,0.347,0.5829
76,2023-05-09,0.0,1.0,0.0,0.0
77,2023-05-10,0.05289999999999999,0.9096,0.0375,-0.029389999999999993
78,2023-05-11,0.167,0.833,0.0,-0.296
79,2023-05-12,0.0,0.8435,0.1565,0.23835
80,2023-05-13,0.0,0.885,0.115,0.296
81,2023-05-15,0.0,1.0,0.0,0.0
82,2023-05-16,0.0,0.902,0.098,0.148
83,2023-05-17,0.0895,0.6495,0.261,0.2787
