,date,neg,neu,pos,compound
0,2018-08-28,0.0,0.827,0.173,0.3182
1,2019-01-24,0.0,1.0,0.0,0.0
2,2020-04-20,0.0,0.781,0.219,0.4215
3,2020-05-13,0.0,1.0,0.0,0.0
4,2020-05-18,0.248,0.752,0.0,-0.5106
5,2020-06-19,0.0,0.791,0.209,0.4404
6,2020-08-10,0.0,1.0,0.0,0.0
7,2020-09-18,0.0,1.0,0.0,0.0
8,2020-09-21,0.0,0.741,0.259,0.4215
9,2020-12-23,0.0,0.739,0.261,0.5574
10,2021-03-11,0.0,1.0,0.0,0.0
11,2021-03-26,0.0,0.714,0.286,0.4215
12,2021-03-29,0.0,1.0,0.0,0.0
13,2021-05-06,0.0,0.8315,0.16849999999999998,0.4215
14,2021-05-07,0.0,0.781,0.219,0.4215
15,2021-05-20,0.0,1.0,0.0,0.0
16,2021-05-26,0.0,1.0,0.0,0.0
17,2021-06-04,0.0,0.754,0.246,0.4466
18,2021-06-08,0.0,0.781,0.219,0.4215
19,2021-07-09,0.0,0.7115,0.2885,0.4215
20,2021-07-22,0.0,0.671,0.329,0.7823
21,2021-07-29,0.0,0.756,0.244,0.6705
22,2021-08-06,0.0,0.851,0.149,0.4215
23,2021-08-13,0.0,0.833,0.167,0.4215
24,2021-08-18,0.0,1.0,0.0,0.0
25,2021-08-23,0.0,0.724,0.276,0.56555
26,2021-08-26,0.0,1.0,0.0,0.0
27,2021-10-01,0.156,0.844,0.0,-0.5719
28,2021-10-06,0.0,0.749,0.251,0.4577
29,2021-10-20,0.0,0.797,0.203,0.4215
30,2021-11-02,0.0,0.664,0.336,0.6801
31,2021-11-03,0.0,0.811,0.189,0.4215
32,2021-11-04,0.0,0.455,0.545,0.802
33,2021-11-09,0.0,0.781,0.219,0.4215
34,2021-11-12,0.0,0.812,0.188,0.4215
35,2021-11-15,0.0,1.0,0.0,0.0
36,2021-11-17,0.0,0.7375,0.2625,0.53505
37,2021-11-18,0.0,0.8885000000000001,0.1115,0.1591
38,2021-12-07,0.0,1.0,0.0,0.0
39,2021-12-10,0.0,1.0,0.0,0.0
40,2021-12-11,0.0,0.823,0.177,0.4215
41,2021-12-16,0.0,0.797,0.203,0.4215
42,2021-12-17,0.0735,0.9265,0.0,-0.11315
43,2021-12-20,0.0,1.0,0.0,0.0
44,2021-12-21,0.0,0.796,0.20400000000000001,0.4215
45,2021-12-27,0.0,0.823,0.177,0.4215
46,2022-01-07,0.0,0.761,0.239,0.4215
47,2022-01-13,0.0,0.823,0.177,0.4215
48,2022-01-15,0.196,0.664,0.14,-0.1901
49,2022-01-21,0.107,0.893,0.0,-0.0516
50,2022-02-01,0.0,0.765,0.23500000000000001,0.51865
51,2022-02-02,0.0,0.811,0.189,0.4215
52,2022-02-04,0.0,0.923,0.077,0.125
53,2022-02-08,0.0,1.0,0.0,0.0
54,2022-02-09,0.09,0.8005,0.1095,0.06275
55,2022-03-07,0.0,1.0,0.0,0.0
56,2022-03-17,0.0,0.714,0.286,0.4215
57,2022-04-11,0.0,1.0,0.0,0.0
58,2022-05-04,0.0,0.811,0.189,0.4215
59,2022-05-09,0.0,0.781,0.219,0.4215
60,2022-05-13,0.114,0.746,0.139,0.128
61,2022-05-27,0.102,0.756,0.142,0.2263
62,2022-07-12,0.0,0.905,0.095,0.296
63,2022-07-14,0.0835,0.9165,0.0,-0.10115
64,2022-07-20,0.0,0.686,0.314,0.7823
65,2022-07-22,0.0,1.0,0.0,0.0
66,2022-07-26,0.0,0.8029999999999999,0.197,0.4215
67,2022-08-04,0.0,1.0,0.0,0.0
68,2022-08-11,0.0,1.0,0.0,0.0
69,2022-08-15,0.0,0.833,0.167,0.4215
70,2022-08-18,0.0,0.6779999999999999,0.322,0.58605
71,2022-08-19,0.0,0.8845000000000001,0.1155,0.21075
72,2022-09-08,0.0,0.797,0.203,0.4215
73,2022-09-09,0.0,1.0,0.0,0.0
74,2022-09-20,0.0,0.714,0.286,0.6369
75,2022-10-12,0.137,0.71,0.153,0.0772
76,2022-10-13,0.0,1.0,0.0,0.0
77,2022-10-26,0.0,0.781,0.219,0.6808
78,2022-10-27,0.0,0.724,0.276,0.4939
79,2022-11-04,0.0,0.811,0.189,0.4215
80,2022-11-09,0.0,0.9561999999999999,0.0438,0.0843
81,2022-11-15,0.238,0.762,0.0,-0.4487
82,2022-11-17,0.0,0.723,0.277,0.5859
83,2022-12-06,0.0,0.7676666666666666,0.23233333333333336,0.4215
84,2022-12-08,0.0,0.777,0.223,0.3182
85,2022-12-21,0.0,0.806,0.194,0.34
86,2023-01-04,0.0,1.0,0.0,0.0
87,2023-01-10,0.0,0.828,0.172,0.4404
88,2023-01-13,0.0,0.8443333333333333,0.15566666666666665,0.36743333333333333
89,2023-01-19,0.0,1.0,0.0,0.0
90,2023-01-21,0.0,1.0,0.0,0.0
91,2023-01-25,0.0,1.0,0.0,0.0
92,2023-01-26,0.433,0.567,0.0,-0.6249
93,2023-02-02,0.094,0.8115000000000001,0.0945,-0.01865
94,2023-02-06,0.0,0.781,0.219,0.4215
95,2023-02-07,0.0,1.0,0.0,0.0
96,2023-02-09,0.0,0.7897500000000001,0.21025,0.397825
97,2023-02-14,0.0,0.859,0.141,0.33525
98,2023-02-16,0.0,0.8905000000000001,0.1095,0.21075
99,2023-02-17,0.0,1.0,0.0,0.0
100,2023-02-20,0.0,0.49,0.51,0.743
101,2023-02-21,0.0,0.634,0.366,0.6369
102,2023-02-24,0.326,0.674,0.0,-0.743
103,2023-03-01,0.0,0.866,0.134,0.2553
104,2023-03-07,0.0,1.0,0.0,0.0
105,2023-03-14,0.0,1.0,0.0,0.0
106,2023-03-15,0.0,0.915,0.085,0.0516
107,2023-03-28,0.304,0.696,0.0,-0.5423
108,2023-03-30,0.0,0.627,0.373,0.6331333333333333
109,2023-04-01,0.0,0.593,0.407,0.6705
110,2023-04-03,0.0,0.9115,0.0885,0.21075
111,2023-04-06,0.0615,0.5705,0.3685,0.5362
112,2023-04-11,0.0,0.737,0.263,0.5783
