,date,neg,neu,pos,compound
0,2019-02-14,0.0,0.789,0.211,0.34
1,2019-03-15,0.178,0.822,0.0,-0.3818
2,2019-04-02,0.0,1.0,0.0,0.0
3,2019-05-09,0.0,1.0,0.0,0.0
4,2019-05-28,0.0,1.0,0.0,0.0
5,2020-01-09,0.0,1.0,0.0,0.0
6,2020-02-04,0.0,0.859,0.141,0.2023
7,2020-03-25,0.0,0.787,0.213,0.4019
8,2020-07-18,0.466,0.437,0.097,-0.8225
9,2020-08-11,0.0,1.0,0.0,0.0
10,2021-03-01,0.15,0.85,0.0,-0.3182
11,2021-03-17,0.0,1.0,0.0,0.0
12,2021-04-01,0.0,1.0,0.0,0.0
13,2021-04-13,0.176,0.606,0.218,0.1779
14,2021-07-09,0.0,1.0,0.0,0.0
15,2021-08-02,0.0,0.7,0.3,0.508
16,2021-08-10,0.0,1.0,0.0,0.0
17,2021-08-25,0.0,1.0,0.0,0.0
18,2021-10-04,0.0,0.598,0.402,0.8126
19,2021-10-12,0.126,0.714,0.159,0.1531
20,2021-11-19,0.104,0.896,0.0,-0.1027
21,2021-12-08,0.0,1.0,0.0,0.0
22,2022-03-03,0.0,0.773,0.227,0.4995
23,2022-03-09,0.0,0.734,0.266,0.4404
24,2022-06-07,0.0,0.822,0.178,0.3818
25,2022-06-14,0.0,0.87,0.13,0.128
26,2022-06-23,0.152,0.505,0.343,0.5859
27,2022-06-26,0.0,1.0,0.0,0.0
28,2022-07-11,0.0,1.0,0.0,0.0
29,2022-07-13,0.0,0.773,0.227,0.6249
30,2022-07-15,0.0,1.0,0.0,0.0
31,2022-07-22,0.298,0.506,0.197,-0.4215
32,2022-08-03,0.37,0.63,0.0,-0.5719
33,2022-08-11,0.0,1.0,0.0,0.0
34,2022-08-17,0.141,0.859,0.0,-0.2023
35,2022-08-25,0.0,0.933,0.067,0.08895
36,2022-08-29,0.105,0.49,0.405,0.7983
37,2022-09-04,0.0,0.788,0.212,0.4973
38,2022-09-07,0.0,1.0,0.0,0.0
39,2022-09-08,0.0,1.0,0.0,0.0
40,2022-09-21,0.0425,0.9575,0.0,-0.05135
41,2022-09-26,0.118,0.882,0.0,-0.28595
42,2022-09-27,0.0,0.886,0.114,0.2023
43,2022-10-10,0.0,1.0,0.0,0.0
44,2022-10-14,0.13,0.87,0.0,-0.2023
45,2022-10-19,0.0,1.0,0.0,0.0
46,2022-10-27,0.0,0.461,0.539,0.8481
47,2022-10-31,0.195,0.805,0.0,-0.4404
48,2022-11-02,0.0,0.773,0.227,0.6249
49,2022-11-17,0.0,1.0,0.0,0.0
50,2022-11-18,0.0,1.0,0.0,0.0
51,2022-11-21,0.0,0.905,0.095,0.25
52,2022-11-22,0.0,1.0,0.0,0.0
53,2022-11-23,0.0,0.821,0.179,0.34
54,2022-11-28,0.0,0.9215,0.0785,0.123475
55,2022-11-29,0.0,0.8145,0.1855,0.3243
56,2022-12-01,0.0985,0.9015,0.0,-0.20095
57,2022-12-06,0.0,1.0,0.0,0.0
58,2022-12-08,0.0366,0.9112,0.0524,0.05
59,2022-12-09,0.077,0.8365,0.0865,0.0258
60,2022-12-10,0.2,0.8,0.0,-0.3612
61,2022-12-13,0.0,0.803,0.197,0.4019
62,2022-12-14,0.0,1.0,0.0,0.0
63,2022-12-15,0.0,1.0,0.0,0.0
64,2022-12-19,0.0,1.0,0.0,0.0
65,2022-12-21,0.0,1.0,0.0,0.0
66,2022-12-27,0.0,0.839,0.161,0.3473
67,2022-12-29,0.0,1.0,0.0,0.0
68,2022-12-30,0.0835,0.9165,0.0,-0.148
69,2023-01-03,0.0,1.0,0.0,0.0
70,2023-01-04,0.0,1.0,0.0,0.0
71,2023-01-06,0.0,1.0,0.0,0.0
72,2023-01-10,0.292,0.511,0.197,-0.0772
73,2023-01-13,0.09633333333333333,0.8543333333333333,0.04933333333333333,-0.10606666666666666
74,2023-01-17,0.0,0.9430000000000001,0.057,0.10115
75,2023-01-18,0.0,0.9203333333333333,0.07966666666666666,0.19946666666666668
76,2023-01-19,0.0,1.0,0.0,0.0
77,2023-01-20,0.0,1.0,0.0,0.0
78,2023-01-24,0.0,1.0,0.0,0.0
79,2023-01-25,0.0,0.8125,0.1875,0.31845
80,2023-01-27,0.0,1.0,0.0,0.0
81,2023-01-28,0.166,0.675,0.16,-0.0258
82,2023-01-31,0.259,0.741,0.0,-0.5423
83,2023-02-01,0.0,1.0,0.0,0.0
84,2023-02-03,0.13,0.87,0.0,-0.128
85,2023-02-06,0.0,1.0,0.0,0.0
86,2023-02-09,0.0,0.674,0.326,0.5256
87,2023-02-11,0.0,1.0,0.0,0.0
88,2023-02-12,0.0,0.816,0.184,0.2023
89,2023-02-15,0.0,0.759,0.241,0.28405
90,2023-02-16,0.0,1.0,0.0,0.0
91,2023-02-25,0.0,1.0,0.0,0.0
92,2023-02-27,0.0,0.859,0.141,0.3182
93,2023-03-01,0.192,0.808,0.0,-0.2808
94,2023-03-02,0.0,1.0,0.0,0.0
95,2023-03-06,0.0,0.8955,0.1045,0.11315
96,2023-03-07,0.0,0.761,0.239,0.765
97,2023-03-09,0.0848,0.8756,0.0396,0.020559999999999988
98,2023-03-10,0.12033333333333333,0.6156666666666667,0.264,0.2295
99,2023-03-13,0.09375,0.90625,0.0,-0.164925
100,2023-03-19,0.123,0.877,0.0,-0.1027
101,2023-03-20,0.259,0.741,0.0,-0.5423
102,2023-03-23,0.0,1.0,0.0,0.0
103,2023-03-27,0.0,1.0,0.0,0.0
104,2023-03-30,0.081,0.659,0.26,0.34425
105,2023-03-31,0.1235,0.72,0.1565,0.12155000000000002
106,2023-04-03,0.0,1.0,0.0,0.0
107,2023-04-04,0.0,1.0,0.0,0.0
108,2023-04-05,0.0,0.709,0.291,0.6249
109,2023-04-06,0.185,0.815,0.0,-0.5267
110,2023-04-17,0.333,0.536,0.131,-0.5267
111,2023-04-20,0.0,1.0,0.0,0.0
112,2023-04-21,0.0,0.87,0.13,0.2732
113,2023-04-24,0.0,0.796,0.204,0.3182
114,2023-04-25,0.292,0.708,0.0,-0.628
115,2023-05-01,0.0,1.0,0.0,0.0
116,2023-05-02,0.0,0.745,0.255,0.6249
117,2023-05-04,0.0,0.872,0.128,0.23835
118,2023-05-05,0.217,0.783,0.0,-0.3612
119,2023-05-08,0.0,1.0,0.0,0.0
120,2023-05-09,0.198,0.517,0.284,0.25
121,2023-05-10,0.0,0.709,0.291,0.4019
122,2023-05-11,0.0,1.0,0.0,0.0
123,2023-05-15,0.0,1.0,0.0,0.0
124,2023-05-18,0.0,1.0,0.0,0.0
125,2023-05-25,0.0,1.0,0.0,0.0
126,2023-05-31,0.27,0.511,0.219,0.0772
127,2023-06-01,0.0,1.0,0.0,0.0
128,2023-06-02,0.0,1.0,0.0,0.0
129,2023-06-05,0.0,1.0,0.0,0.0
130,2023-06-06,0.0,1.0,0.0,0.0
131,2023-06-07,0.0,1.0,0.0,0.0
132,2023-06-08,0.0445,0.935,0.0205,-0.0282875
133,2023-06-09,0.093,0.907,0.0,-0.07655
134,2023-06-10,0.0,1.0,0.0,0.0
135,2023-06-12,0.0,1.0,0.0,0.0
136,2023-06-13,0.212,0.508,0.28,0.2023
137,2023-06-14,0.215,0.579,0.207,-0.0258
138,2023-06-21,0.182,0.818,0.0,-0.4404
139,2023-07-06,0.0,0.598,0.402,0.5719
140,2023-07-12,0.0,0.794,0.206,0.3818
141,2023-07-15,0.0,0.847,0.153,0.2023
