,date,neg,neu,pos,compound
0,2018-08-15,0.0,1.0,0.0,0.0
1,2019-03-21,0.0,1.0,0.0,0.0
2,2019-03-22,0.227,0.588,0.185,-0.128
3,2019-06-27,0.0,1.0,0.0,0.0
4,2019-09-05,0.0,0.816,0.184,0.2023
5,2019-09-24,0.0,0.75,0.25,0.4588
6,2019-09-26,0.273,0.49,0.238,-0.128
7,2019-10-01,0.0,1.0,0.0,0.0
8,2019-10-29,0.0,1.0,0.0,0.0
9,2019-12-06,0.0,1.0,0.0,0.0
10,2019-12-20,0.162,0.838,0.0,-0.4019
11,2020-02-06,0.0,1.0,0.0,0.0
12,2020-03-24,0.0,0.718,0.282,0.7096
13,2020-05-27,0.0,1.0,0.0,0.0
14,2020-06-25,0.17,0.667,0.163,-0.0258
15,2020-09-22,0.0,0.864,0.136,0.296
16,2020-10-07,0.0,1.0,0.0,0.0
17,2020-11-20,0.0,1.0,0.0,0.0
18,2020-12-18,0.0,0.634,0.366,0.7579
19,2021-03-11,0.0,0.859,0.141,0.3182
20,2021-03-16,0.155,0.845,0.0,-0.296
21,2021-03-18,0.185,0.815,0.0,-0.5267
22,2021-06-24,0.0,1.0,0.0,0.0
23,2021-06-25,0.0,1.0,0.0,0.0
24,2021-09-23,0.136,0.678,0.186,0.1531
25,2021-11-03,0.0,0.811,0.189,0.2732
26,2021-12-21,0.304,0.696,0.0,-0.5423
27,2022-03-21,0.088,0.76,0.152,0.2732
28,2022-05-19,0.0,0.833,0.167,0.296
29,2022-06-28,0.0,0.896,0.104,0.1027
30,2022-07-26,0.176,0.667,0.158,-0.0772
31,2022-08-25,0.0,1.0,0.0,0.0
32,2022-09-09,0.0,1.0,0.0,0.0
33,2022-09-20,0.244,0.756,0.0,-0.4404
34,2022-09-29,0.0745,0.8275,0.098,0.011399999999999993
35,2022-09-30,0.0,1.0,0.0,0.0
36,2022-10-05,0.465,0.535,0.0,-0.8617
37,2022-10-08,0.0,1.0,0.0,0.0
38,2022-10-09,0.266,0.734,0.0,-0.4404
39,2022-10-18,0.0,1.0,0.0,0.0
40,2022-11-11,0.266,0.734,0.0,-0.4404
41,2022-11-14,0.225,0.775,0.0,-0.4404
42,2022-11-19,0.0,1.0,0.0,0.0
43,2022-11-29,0.22,0.63,0.15,-0.2263
44,2022-12-05,0.0,1.0,0.0,0.0
45,2022-12-18,0.0,1.0,0.0,0.0
46,2022-12-20,0.0,0.8425,0.1575,0.2787
47,2022-12-21,0.0,1.0,0.0,0.0
48,2023-01-06,0.266,0.734,0.0,-0.4404
49,2023-01-12,0.187,0.642,0.171,0.1779
50,2023-01-13,0.0,1.0,0.0,0.0
51,2023-01-14,0.244,0.756,0.0,-0.4404
52,2023-01-23,0.244,0.756,0.0,-0.4404
53,2023-02-01,0.293,0.707,0.0,-0.4404
54,2023-02-11,0.0,0.844,0.156,0.34
55,2023-02-12,0.0,0.776,0.224,0.3818
56,2023-03-07,0.0,1.0,0.0,0.0
57,2023-03-13,0.0,1.0,0.0,0.0
58,2023-03-14,0.149,0.851,0.0,-0.2732
59,2023-03-16,0.0,1.0,0.0,0.0
60,2023-03-18,0.0,0.87,0.13,0.2732
61,2023-03-20,0.069,0.75,0.181,0.4215
62,2023-03-21,0.0995,0.7010000000000001,0.1995,0.2036
63,2023-03-22,0.049,0.9510000000000001,0.0,-0.0386
64,2023-03-31,0.182,0.818,0.0,-0.4404
65,2023-04-07,0.0,0.825,0.175,0.5267
66,2023-04-08,0.0,0.806,0.194,0.34
67,2023-04-17,0.191,0.809,0.0,-0.3818
68,2023-04-21,0.156,0.645,0.199,0.2023
69,2023-04-25,0.0,0.9435,0.0565,0.05135
70,2023-05-05,0.0,1.0,0.0,0.0
71,2023-05-08,0.0,1.0,0.0,0.0
72,2023-05-10,0.17,0.692,0.138,-0.128
73,2023-05-18,0.0,1.0,0.0,0.0
74,2023-05-19,0.0,1.0,0.0,0.0
75,2023-05-22,0.073,0.882,0.045,-0.10115
76,2023-05-23,0.144,0.856,0.0,-0.4019
77,2023-05-24,0.0,1.0,0.0,0.0
78,2023-06-01,0.0,1.0,0.0,0.0
79,2023-06-02,0.089,0.911,0.0,-0.1909
80,2023-06-06,0.0,0.8915,0.1085,0.1806
81,2023-06-12,0.0,1.0,0.0,0.0
82,2023-06-14,0.0,0.826,0.174,0.2732
83,2023-06-20,0.1275,0.8725,0.0,-0.23835
84,2023-06-22,0.0,1.0,0.0,0.0
85,2023-06-23,0.0,0.781,0.219,0.4215
86,2023-06-25,0.0,0.752,0.248,0.5106
87,2023-06-26,0.0,1.0,0.0,0.0
88,2023-06-27,0.0,0.888,0.112,0.34
89,2023-06-28,0.158,0.7945,0.0475,-0.12527499999999997
90,2023-06-29,0.08983333333333333,0.868,0.042166666666666665,-0.057708333333333334
91,2023-06-30,0.03402702702702703,0.8639729729729729,0.10200000000000001,0.1332162162162162
92,2023-07-01,0.0,1.0,0.0,0.0
93,2023-07-02,0.07325,0.92675,0.0,-0.1101
94,2023-07-03,0.10666666666666667,0.8933333333333334,0.0,-0.17020000000000002
95,2023-07-04,0.0,1.0,0.0,0.0
96,2023-07-05,0.0,0.9273333333333333,0.07266666666666667,0.13611666666666666
97,2023-07-06,0.1835,0.8165,0.0,-0.2202
98,2023-07-07,0.0785,0.679,0.2425,0.326525
99,2023-07-11,0.11280000000000001,0.8872,0.0,-0.27527999999999997
100,2023-07-12,0.16,0.84,0.0,-0.2732
101,2023-07-13,0.0,0.7753333333333333,0.22466666666666668,0.4673
102,2023-07-15,0.0,0.577,0.423,0.5267
103,2023-07-17,0.0,0.8845000000000001,0.1155,0.10115
104,2023-07-18,0.0,0.9013333333333332,0.09866666666666667,0.21230000000000002
