,date,neg,neu,pos,compound
0,2018-11-19,0.0,1.0,0.0,0.0
1,2020-01-07,0.0,1.0,0.0,0.0
2,2020-01-13,0.0,0.776,0.224,0.3818
3,2020-04-15,0.19,0.635,0.175,-0.0516
4,2020-04-17,0.0,1.0,0.0,0.0
5,2021-01-07,0.0,0.792,0.208,0.2732
6,2021-02-10,0.0,1.0,0.0,0.0
7,2021-02-11,0.214,0.786,0.0,-0.4588
8,2021-10-22,0.0,1.0,0.0,0.0
9,2022-01-03,0.0,1.0,0.0,0.0
10,2022-05-12,0.0,1.0,0.0,0.0
11,2022-06-30,0.0,0.753,0.247,0.5574
12,2022-07-18,0.0,1.0,0.0,0.0
13,2022-07-25,0.226,0.774,0.0,-0.5423
14,2022-08-05,0.0,0.769,0.231,0.5994
15,2022-08-10,0.2,0.8,0.0,-0.3612
16,2022-08-18,0.0,0.805,0.195,0.1779
17,2022-08-20,0.247,0.633,0.12,-0.4588
18,2022-09-01,0.0,1.0,0.0,0.0
19,2022-09-07,0.0,0.846,0.154,0.2057
20,2022-09-09,0.448,0.552,0.0,-0.7579
21,2022-09-19,0.455,0.545,0.0,-0.7579
22,2022-09-28,0.0,0.789,0.211,0.2808
23,2022-10-26,0.0,0.811,0.189,0.2732
24,2022-10-27,0.0,1.0,0.0,0.0
25,2022-10-31,0.0,1.0,0.0,0.0
26,2022-11-01,0.0,0.7245,0.2755,0.42255
27,2022-11-03,0.092,0.628,0.28,0.43025
28,2022-11-06,0.172,0.51,0.318,0.3182
29,2022-11-08,0.0,0.76025,0.23975,0.29695
30,2022-11-15,0.0,0.6817500000000001,0.31825,0.5794
31,2022-11-22,0.0,0.606,0.394,0.6369
32,2022-11-26,0.0,0.755,0.245,0.3818
33,2022-11-29,0.0,0.668,0.332,0.7555
34,2022-11-30,0.0,0.811,0.189,0.2732
35,2022-12-05,0.0,0.552,0.448,0.6705
36,2022-12-06,0.0,0.861,0.139,0.2732
37,2022-12-08,0.0,0.84,0.16,0.2732
38,2022-12-12,0.0,0.811,0.189,0.2732
39,2022-12-14,0.0,1.0,0.0,0.0
40,2022-12-20,0.0,0.568,0.432,0.4215
41,2022-12-21,0.0,0.704,0.296,0.2732
42,2022-12-30,0.332,0.452,0.216,-0.6841
43,2023-01-03,0.0,0.7575000000000001,0.2425,0.2732
44,2023-01-04,0.0,0.468,0.532,0.6901
45,2023-01-06,0.0,0.87,0.13,0.2732
46,2023-01-07,0.0,1.0,0.0,0.0
47,2023-01-09,0.0,0.7575000000000001,0.2425,0.2732
48,2023-01-10,0.0,0.792,0.208,0.2732
49,2023-01-11,0.0,0.913,0.087,0.1366
50,2023-01-17,0.0,0.7575000000000001,0.2425,0.28595
51,2023-01-20,0.0,0.531,0.469,0.8327
52,2023-01-23,0.0,0.555,0.445,0.9008
53,2023-01-24,0.0,0.429,0.571,0.7906
54,2023-01-25,0.0,0.583,0.417,0.6124
55,2023-01-26,0.0,1.0,0.0,0.0
56,2023-01-31,0.0,1.0,0.0,0.0
57,2023-02-03,0.206,0.539,0.255,0.25
58,2023-02-06,0.0,0.828,0.172,0.3612
59,2023-02-08,0.0,0.841,0.159,0.21075
60,2023-02-09,0.0,0.809,0.191,0.4278
61,2023-02-10,0.0,1.0,0.0,0.0
