,date,neg,neu,pos,compound
0,2019-09-10,0.0,0.885,0.115,0.296
1,2019-09-26,0.0,1.0,0.0,0.0
2,2020-04-17,0.161,0.839,0.0,-0.3182
3,2020-05-06,0.0,0.864,0.136,0.296
4,2020-08-27,0.0,1.0,0.0,0.0
5,2020-09-10,0.223,0.609,0.168,-0.0258
6,2020-09-14,0.0,1.0,0.0,0.0
7,2020-09-16,0.0,0.734,0.266,0.4404
8,2020-10-12,0.197,0.803,0.0,-0.4019
9,2020-11-05,0.084,0.783,0.133,0.2023
10,2020-11-16,0.191,0.809,0.0,-0.3818
11,2020-12-21,0.0,0.686,0.314,0.4939
12,2021-01-14,0.0,1.0,0.0,0.0
13,2021-01-19,0.0,0.635,0.365,0.7096
14,2021-02-04,0.0,0.802,0.198,0.4939
15,2021-02-07,0.366,0.634,0.0,-0.6369
16,2021-08-26,0.276,0.612,0.112,-0.4939
17,2021-09-10,0.0,1.0,0.0,0.0
18,2021-11-05,0.101,0.738,0.161,0.2263
19,2021-11-09,0.0,0.758,0.242,0.4939
20,2021-11-16,0.0,1.0,0.0,0.0
21,2022-01-20,0.058,0.8625,0.0795,0.07655
22,2022-01-28,0.0,1.0,0.0,0.0
23,2022-03-10,0.0,1.0,0.0,0.0
24,2022-05-10,0.278,0.481,0.241,-0.1779
25,2022-05-17,0.212,0.593,0.195,-0.0516
26,2022-05-21,0.192,0.662,0.146,-0.1779
27,2022-05-31,0.141,0.859,0.0,-0.2023
28,2022-06-06,0.0,1.0,0.0,0.0
29,2022-07-12,0.18,0.82,0.0,-0.296
30,2022-07-19,0.193,0.667,0.14,-0.2023
31,2022-08-12,0.155,0.845,0.0,-0.296
32,2022-08-24,0.0,0.9125,0.0875,0.08895
33,2022-08-25,0.127,0.873,0.0,-0.1531
34,2022-08-29,0.1425,0.8574999999999999,0.0,-0.27815
35,2022-09-07,0.0,0.84,0.16,0.2263
36,2022-09-09,0.266,0.734,0.0,-0.4404
37,2022-09-21,0.0,1.0,0.0,0.0
38,2022-09-29,0.335,0.506,0.158,-0.4215
39,2022-09-30,0.13,0.87,0.0,-0.2023
40,2022-10-03,0.0,0.851,0.149,0.2732
41,2022-10-06,0.129,0.675,0.196,0.2732
42,2022-10-12,0.333,0.667,0.0,-0.5423
43,2022-10-13,0.0,0.706,0.294,0.6124
44,2022-10-14,0.0,1.0,0.0,0.0
45,2022-10-30,0.0,1.0,0.0,0.0
46,2022-11-03,0.21766666666666667,0.6789999999999999,0.10333333333333333,-0.2467666666666667
47,2022-11-08,0.0,1.0,0.0,0.0
48,2022-11-16,0.081,0.8005,0.1185,-0.08360000000000001
49,2022-11-17,0.0,1.0,0.0,0.0
50,2022-11-22,0.0,0.876,0.124,0.1779
51,2022-12-29,0.252,0.748,0.0,-0.4019
52,2023-01-11,0.0,0.651,0.349,0.7096
53,2023-01-17,0.0,1.0,0.0,0.0
54,2023-01-18,0.0,1.0,0.0,0.0
55,2023-01-25,0.222,0.778,0.0,-0.5719
56,2023-01-27,0.225,0.775,0.0,-0.4404
57,2023-01-31,0.217,0.783,0.0,-0.3612
58,2023-02-01,0.06,0.7953333333333333,0.14466666666666667,0.13786666666666667
59,2023-02-03,0.2,0.8,0.0,-0.3612
60,2023-02-06,0.0,1.0,0.0,0.0
61,2023-02-18,0.411,0.484,0.105,-0.5859
62,2023-02-23,0.0,1.0,0.0,0.0
63,2023-03-06,0.0,1.0,0.0,0.0
64,2023-03-13,0.0,0.833,0.167,0.3818
65,2023-03-21,0.0,0.688,0.312,0.6124
66,2023-03-23,0.293,0.707,0.0,-0.4404
67,2023-03-27,0.225,0.775,0.0,-0.4404
68,2023-03-28,0.0,1.0,0.0,0.0
69,2023-04-03,0.0975,0.8165,0.086,-0.039599999999999996
70,2023-04-12,0.195,0.805,0.0,-0.4404
71,2023-04-18,0.137,0.863,0.0,-0.4019
72,2023-04-19,0.0,1.0,0.0,0.0
73,2023-04-26,0.0,1.0,0.0,0.0
74,2023-05-03,0.145,0.855,0.0,-0.1779
75,2023-05-04,0.10275000000000001,0.8495,0.04775,-0.09145
76,2023-05-05,0.1,0.9,0.0,-0.1806
77,2023-05-06,0.1195,0.749,0.1315,0.0683
78,2023-05-07,0.257,0.476,0.267,0.0258
79,2023-05-08,0.1234,0.736,0.1406,0.14156
80,2023-05-09,0.029,0.91,0.061,0.08125
81,2023-05-11,0.07517391304347826,0.8583913043478261,0.06643478260869565,-0.0008869565217391317
82,2023-05-12,0.037571428571428575,0.8377142857142857,0.12471428571428571,0.10991428571428571
83,2023-05-14,0.173,0.63,0.197,0.0772
84,2023-05-16,0.0365,0.9635,0.0,-0.085
85,2023-05-17,0.0,1.0,0.0,0.0
86,2023-05-18,0.0,0.763,0.23700000000000002,0.3943
87,2023-05-19,0.0586,0.9414,0.0,-0.08808
88,2023-05-21,0.0,1.0,0.0,0.0
89,2023-05-23,0.0,0.8978333333333333,0.10216666666666667,0.14085
90,2023-05-24,0.0,0.8385,0.1615,0.32930000000000004
91,2023-05-25,0.0,0.469,0.531,0.7783
92,2023-05-30,0.13233333333333333,0.759,0.10866666666666668,-0.19666666666666663
93,2023-05-31,0.148,0.7175,0.135,-0.0386
94,2023-06-02,0.0,0.635,0.365,0.7096
95,2023-06-04,0.105,0.627,0.268,0.2202
96,2023-06-05,0.0,0.797,0.203,0.3164
97,2023-06-07,0.394,0.606,0.0,-0.5994
98,2023-06-09,0.0,0.769,0.231,0.5106
99,2023-06-15,0.12633333333333333,0.6953333333333335,0.17833333333333334,-0.00576666666666666
100,2023-06-16,0.0,0.469,0.531,0.7783
101,2023-06-17,0.097,0.678,0.225,0.4588
102,2023-06-19,0.18633333333333335,0.8136666666666666,0.0,-0.255
103,2023-06-21,0.074,0.8802857142857142,0.045714285714285714,0.0069428571428571395
104,2023-06-22,0.383,0.617,0.0,-0.4767
105,2023-06-24,0.0,0.795,0.205,0.2023
106,2023-06-26,0.335,0.665,0.0,-0.3657
107,2023-06-27,0.237,0.763,0.0,-0.4302333333333333
108,2023-06-28,0.0,1.0,0.0,0.0
109,2023-07-03,0.0,1.0,0.0,0.0
110,2023-07-12,0.0,1.0,0.0,0.0
111,2023-07-13,0.159,0.841,0.0,-0.3818
112,2023-07-14,0.0,1.0,0.0,0.0
113,2023-07-17,0.07966666666666666,0.6456666666666666,0.27466666666666667,0.3845
