,date,neg,neu,pos,compound
0,2018-08-01,0.0,1.0,0.0,0.0
1,2018-10-01,0.0,1.0,0.0,0.0
2,2018-10-18,0.0,1.0,0.0,0.0
3,2018-11-28,0.0,1.0,0.0,0.0
4,2018-12-22,0.067,0.742,0.191,0.6366
5,2018-12-29,0.0,1.0,0.0,0.0
6,2019-05-30,0.0,1.0,0.0,0.0
7,2019-10-03,0.0,0.741,0.259,0.4215
8,2019-12-06,0.0,0.86,0.14,0.0772
9,2020-04-27,0.0,1.0,0.0,0.0
10,2020-06-18,0.0,0.828,0.172,0.4019
11,2020-07-16,0.0,0.775,0.225,0.4939
12,2020-07-20,0.0,1.0,0.0,0.0
13,2020-09-13,0.0,1.0,0.0,0.0
14,2020-09-18,0.0,0.737,0.263,0.3612
15,2020-09-20,0.292,0.708,0.0,-0.5106
16,2020-11-10,0.0,1.0,0.0,0.0
17,2020-11-17,0.0,0.839,0.161,0.3612
18,2020-12-08,0.0,0.873,0.127,0.2247
19,2021-05-27,0.351,0.649,0.0,-0.6597
20,2021-08-31,0.0,0.839,0.161,0.3612
21,2021-11-28,0.0,0.827,0.173,0.2235
22,2021-12-24,0.0,0.709,0.291,0.5719
23,2022-01-01,0.0,1.0,0.0,0.0
24,2022-02-05,0.0,1.0,0.0,0.0
25,2022-02-25,0.0,1.0,0.0,0.0
26,2022-03-16,0.0,1.0,0.0,0.0
27,2022-05-04,0.0,1.0,0.0,0.0
28,2022-06-01,0.0,1.0,0.0,0.0
29,2022-06-24,0.0,1.0,0.0,0.0
30,2022-07-11,0.231,0.769,0.0,-0.2732
31,2022-07-22,0.0,1.0,0.0,0.0
32,2022-08-02,0.0,1.0,0.0,0.0
33,2022-08-03,0.0,1.0,0.0,0.0
34,2022-08-04,0.0,1.0,0.0,0.0
35,2022-08-10,0.0,0.833,0.167,0.296
36,2022-08-26,0.0,0.761,0.239,0.624
37,2022-09-06,0.0,1.0,0.0,0.0
38,2022-09-07,0.0,0.842,0.158,0.128
39,2022-09-08,0.0,0.756,0.244,0.4404
40,2022-09-15,0.0,1.0,0.0,0.0
41,2022-09-27,0.0,0.791,0.209,0.5719
42,2022-10-03,0.0,0.778,0.222,0.5719
43,2022-10-27,0.0,0.577,0.423,0.6808
44,2022-11-01,0.0,1.0,0.0,0.0
45,2022-11-04,0.0,0.907,0.093,0.24695
46,2022-11-05,0.0,1.0,0.0,0.0
47,2022-11-08,0.0,1.0,0.0,0.0
48,2022-12-01,0.0,0.55,0.45,0.8402
49,2022-12-08,0.189,0.811,0.0,-0.2732
50,2022-12-09,0.0,0.667,0.333,0.7184
51,2022-12-16,0.0,1.0,0.0,0.0
52,2022-12-17,0.231,0.769,0.0,-0.5574
53,2022-12-18,0.278,0.722,0.0,-0.4019
54,2022-12-21,0.167,0.833,0.0,-0.3818
55,2023-02-02,0.0,0.672,0.328,0.5994
56,2023-02-03,0.0,1.0,0.0,0.0
57,2023-02-06,0.0,0.797,0.203,0.4215
58,2023-02-09,0.0,1.0,0.0,0.0
59,2023-02-16,0.0,0.764,0.236,0.5719
60,2023-02-17,0.0,1.0,0.0,0.0
61,2023-02-18,0.0795,0.8049999999999999,0.116,0.148
62,2023-03-01,0.0,1.0,0.0,0.0
63,2023-03-03,0.0,0.578,0.422,0.8074
64,2023-03-07,0.0,0.855,0.145,0.296
65,2023-03-20,0.0,1.0,0.0,0.0
66,2023-03-23,0.0,0.686,0.314,0.4939
67,2023-04-02,0.0,0.773,0.227,0.5719
68,2023-04-06,0.0,1.0,0.0,0.0
69,2023-04-17,0.0,0.809,0.191,0.5106
70,2023-04-18,0.0,1.0,0.0,0.0
71,2023-04-25,0.0,1.0,0.0,0.0
72,2023-04-28,0.0,1.0,0.0,0.0
73,2023-05-02,0.0,1.0,0.0,0.0
74,2023-05-11,0.0,0.806,0.194,0.34
75,2023-05-16,0.0,0.671,0.32899999999999996,0.5966
76,2023-05-19,0.0,1.0,0.0,0.0
77,2023-05-21,0.0,1.0,0.0,0.0
78,2023-05-23,0.0,1.0,0.0,0.0
79,2023-05-24,0.0,0.625,0.375,0.6369
80,2023-06-01,0.0,0.9199999999999999,0.08,0.1366
81,2023-06-04,0.153,0.736,0.11,-0.1779
82,2023-06-06,0.0,0.588,0.412,0.6369
83,2023-06-08,0.16,0.8400000000000001,0.0,-0.2553
84,2023-06-10,0.0,1.0,0.0,0.0
85,2023-06-11,0.0,1.0,0.0,0.0
86,2023-06-14,0.0,1.0,0.0,0.0
87,2023-06-18,0.0,1.0,0.0,0.0
88,2023-06-19,0.0,1.0,0.0,0.0
89,2023-06-25,0.0,1.0,0.0,0.0
90,2023-06-27,0.0,0.588,0.412,0.6369
91,2023-06-30,0.0,1.0,0.0,0.0
