,date,neg,neu,pos,compound
0,2018-08-22,0.0,0.862,0.138,0.1531
1,2018-08-29,0.405,0.595,0.0,-0.7783
2,2018-09-13,0.0,0.777,0.223,0.3182
3,2018-11-02,0.0,1.0,0.0,0.0
4,2018-11-07,0.0,1.0,0.0,0.0
5,2019-02-08,0.0,1.0,0.0,0.0
6,2019-02-21,0.0,1.0,0.0,0.0
7,2019-02-25,0.0,1.0,0.0,0.0
8,2019-06-24,0.0,1.0,0.0,0.0
9,2019-08-08,0.0,0.794,0.206,0.3818
10,2019-08-09,0.0,1.0,0.0,0.0
11,2019-11-11,0.384,0.616,0.0,-0.6808
12,2020-05-04,0.0,0.67,0.33,0.6633
13,2020-07-27,0.1535,0.8465,0.0,-0.23835
14,2020-08-17,0.0,1.0,0.0,0.0
15,2020-12-09,0.0,0.738,0.262,0.4939
16,2020-12-23,0.0,0.652,0.348,0.4939
17,2021-01-09,0.0,1.0,0.0,0.0
18,2021-01-12,0.0,1.0,0.0,0.0
19,2021-03-02,0.0,1.0,0.0,0.0
20,2021-03-11,0.0,1.0,0.0,0.0
21,2021-05-18,0.0,1.0,0.0,0.0
22,2021-05-19,0.0,0.677,0.323,0.5106
23,2021-06-01,0.0,1.0,0.0,0.0
24,2021-07-26,0.0,0.826,0.174,0.2732
25,2021-08-20,0.0,1.0,0.0,0.0
26,2021-10-02,0.0,1.0,0.0,0.0
27,2021-10-19,0.0,1.0,0.0,0.0
28,2021-10-24,0.167,0.833,0.0,-0.34
29,2022-01-18,0.0,1.0,0.0,0.0
30,2022-05-04,0.0,1.0,0.0,0.0
31,2022-05-05,0.0,0.8875,0.1125,0.24695
32,2022-05-10,0.0,1.0,0.0,0.0
33,2022-05-31,0.0,1.0,0.0,0.0
34,2022-07-20,0.0,1.0,0.0,0.0
35,2022-07-22,0.12066666666666666,0.5623333333333334,0.317,0.26686666666666664
36,2022-08-09,0.431,0.569,0.0,-0.6486
37,2022-08-17,0.225,0.775,0.0,-0.4404
38,2022-08-18,0.0,1.0,0.0,0.0
39,2022-08-23,0.113,0.887,0.0,-0.3182
40,2022-08-31,0.0,0.678,0.322,0.5859
41,2022-10-13,0.0,1.0,0.0,0.0
42,2022-10-14,0.0,1.0,0.0,0.0
43,2022-10-27,0.279,0.721,0.0,-0.4767
44,2022-10-28,0.0,0.714,0.286,0.6808
45,2022-11-09,0.0,0.833,0.167,0.3818
46,2022-11-17,0.0,1.0,0.0,0.0
47,2022-12-07,0.0,1.0,0.0,0.0
48,2022-12-08,0.0,0.803,0.197,0.4019
49,2022-12-13,0.0,0.913,0.087,0.1366
50,2022-12-20,0.0,0.822,0.178,0.3818
51,2022-12-21,0.0,1.0,0.0,0.0
52,2022-12-28,0.0,0.638,0.362,0.7378
53,2022-12-29,0.0,0.801,0.199,0.2484
54,2023-01-03,0.172,0.828,0.0,-0.3612
55,2023-01-11,0.0,0.859,0.141,0.2023
56,2023-01-13,0.1685,0.8315,0.0,-0.3404
57,2023-01-17,0.143,0.655,0.202,0.2057
58,2023-01-25,0.0,0.9612499999999999,0.03875,0.074
59,2023-01-26,0.0,0.893,0.107,0.2294
60,2023-01-27,0.0,1.0,0.0,0.0
61,2023-01-30,0.0,0.8603333333333333,0.13966666666666666,0.23426666666666665
62,2023-02-02,0.0,0.7423333333333334,0.25766666666666665,0.3758666666666666
63,2023-02-03,0.16849999999999998,0.8314999999999999,0.0,-0.1531
64,2023-02-04,0.0,1.0,0.0,0.0
65,2023-02-05,0.0,1.0,0.0,0.0
66,2023-02-09,0.0,1.0,0.0,0.0
67,2023-02-10,0.11549999999999999,0.8845000000000001,0.0,-0.128
68,2023-02-13,0.0,0.8799999999999999,0.12,0.19733333333333333
69,2023-02-15,0.0,1.0,0.0,0.0
70,2023-02-17,0.0,0.743,0.257,0.4723
71,2023-02-20,0.0,0.82,0.18,0.296
72,2023-02-27,0.0,0.814,0.186,0.1531
73,2023-03-04,0.0,1.0,0.0,0.0
74,2023-03-07,0.0,0.811,0.189,0.4215
75,2023-03-09,0.0,1.0,0.0,0.0
76,2023-03-13,0.094,0.812,0.094,0.0
77,2023-03-15,0.0,1.0,0.0,0.0
78,2023-03-16,0.0,1.0,0.0,0.0
79,2023-03-20,0.179,0.589,0.23199999999999998,-0.02084999999999998
80,2023-03-21,0.0,0.714,0.286,0.4939
81,2023-03-27,0.0,1.0,0.0,0.0
82,2023-03-28,0.0,0.784,0.216,0.5106
83,2023-03-29,0.0,1.0,0.0,0.0
84,2023-03-30,0.0765,0.857,0.0665,-0.0258
85,2023-03-31,0.0,0.8239090909090909,0.1760909090909091,0.2768272727272727
86,2023-04-02,0.0,0.629,0.371,0.6486
87,2023-04-03,0.0,0.9285,0.0715,0.105375
88,2023-04-04,0.0,0.753,0.247,0.5574
89,2023-04-06,0.0,1.0,0.0,0.0
90,2023-04-10,0.0,1.0,0.0,0.0
91,2023-04-11,0.0,1.0,0.0,0.0
92,2023-04-17,0.0,0.9633333333333334,0.03666666666666667,0.09106666666666667
93,2023-04-19,0.0,1.0,0.0,0.0
94,2023-04-20,0.072,0.9279999999999999,0.0,-0.17020000000000002
95,2023-04-26,0.026,0.8776363636363637,0.09636363636363637,0.1330909090909091
96,2023-04-27,0.0,1.0,0.0,0.0
97,2023-04-29,0.135,0.865,0.0,-0.1027
98,2023-05-01,0.0,1.0,0.0,0.0
99,2023-05-02,0.0,1.0,0.0,0.0
100,2023-05-03,0.0,0.596,0.404,0.7269
101,2023-05-04,0.16733333333333333,0.7703333333333333,0.062,-0.10013333333333331
102,2023-05-05,0.0,1.0,0.0,0.0
103,2023-05-06,0.0,1.0,0.0,0.0
104,2023-05-09,0.0,0.8,0.2,0.3612
105,2023-05-10,0.0,0.8155,0.1845,0.23835
106,2023-05-12,0.0,1.0,0.0,0.0
107,2023-05-16,0.0,1.0,0.0,0.0
108,2023-05-18,0.0,0.9075,0.0925,0.17985
109,2023-05-25,0.127,0.7675000000000001,0.1055,-0.18679999999999997
110,2023-05-26,0.0,1.0,0.0,0.0
111,2023-05-30,0.0,0.845,0.155,0.27815
112,2023-06-01,0.0,0.6995,0.3005,0.49275
113,2023-06-06,0.073,0.846,0.082,0.0772
114,2023-06-07,0.0,0.6756666666666667,0.32433333333333336,0.5715666666666667
115,2023-06-08,0.0,0.935,0.065,0.17
116,2023-06-13,0.11266666666666668,0.8873333333333333,0.0,-0.2083
117,2023-06-14,0.0,0.744,0.256,0.4767
118,2023-06-15,0.0,1.0,0.0,0.0
119,2023-06-21,0.0,1.0,0.0,0.0
120,2023-06-23,0.0,1.0,0.0,0.0
121,2023-06-29,0.0,0.931,0.06899999999999999,0.17556666666666665
122,2023-07-05,0.0,1.0,0.0,0.0
123,2023-07-06,0.0,1.0,0.0,0.0
124,2023-07-07,0.0,1.0,0.0,0.0
125,2023-07-11,0.0,0.551,0.449,0.6908
