,date,neg,neu,pos,compound
0,2018-07-24,0.225,0.775,0.0,-0.4404
1,2018-10-11,0.0,0.769,0.231,0.34
2,2019-01-17,0.0,0.726,0.274,0.5267
3,2019-02-08,0.0,0.805,0.195,0.4404
4,2019-05-15,0.0,1.0,0.0,0.0
5,2019-06-05,0.0,0.748,0.252,0.5719
6,2019-09-26,0.0,1.0,0.0,0.0
7,2019-10-01,0.0,1.0,0.0,0.0
8,2020-03-07,0.0,1.0,0.0,0.0
9,2020-05-14,0.184,0.816,0.0,-0.2023
10,2020-12-27,0.0,1.0,0.0,0.0
11,2021-07-23,0.0,1.0,0.0,0.0
12,2021-08-20,0.0,0.811,0.189,0.504
13,2021-09-06,0.0,1.0,0.0,0.0
14,2021-12-01,0.0,0.638,0.362,0.6249
15,2022-01-27,0.196,0.652,0.152,-0.1531
16,2022-02-02,0.0,1.0,0.0,0.0
17,2022-02-03,0.0,1.0,0.0,0.0
18,2022-02-15,0.0,0.794,0.206,0.3818
19,2022-03-09,0.0,1.0,0.0,0.0
20,2022-04-11,0.196,0.804,0.0,-0.296
21,2022-04-26,0.0,1.0,0.0,0.0
22,2022-05-09,0.0,1.0,0.0,0.0
23,2022-06-11,0.0,1.0,0.0,0.0
24,2022-07-21,0.0,0.787,0.213,0.4019
25,2022-07-25,0.0,1.0,0.0,0.0
26,2022-08-09,0.0,0.756,0.244,0.4404
27,2022-08-17,0.0,1.0,0.0,0.0
28,2022-09-14,0.16,0.84,0.0,-0.2263
29,2022-09-15,0.0,1.0,0.0,0.0
30,2022-10-19,0.0,0.862,0.138,0.1531
31,2022-10-24,0.0,1.0,0.0,0.0
32,2022-10-25,0.0,1.0,0.0,0.0
33,2022-10-26,0.0,1.0,0.0,0.0
34,2022-11-30,0.205,0.795,0.0,-0.2023
35,2022-12-01,0.0,1.0,0.0,0.0
36,2022-12-15,0.187,0.813,0.0,-0.3182
37,2022-12-20,0.0,0.704,0.296,0.4939
38,2022-12-29,0.0,0.707,0.293,0.4404
39,2023-01-25,0.0,0.816,0.184,0.2023
40,2023-01-28,0.0,0.82,0.18,0.296
41,2023-02-03,0.0,1.0,0.0,0.0
42,2023-02-06,0.0,1.0,0.0,0.0
43,2023-02-08,0.0,0.672,0.328,0.5994
44,2023-02-13,0.0,1.0,0.0,0.0
