,date,neg,neu,pos,compound
0,2018-07-19,0.197,0.803,0.0,-0.2411
1,2018-07-26,0.424,0.576,0.0,-0.7096
2,2018-09-05,0.0,1.0,0.0,0.0
3,2019-04-23,0.262,0.738,0.0,-0.5583
4,2019-05-24,0.148,0.852,0.0,-0.3818
5,2019-11-05,0.245,0.755,0.0,-0.6711
6,2020-01-27,0.0,1.0,0.0,0.0
7,2020-02-18,0.213,0.787,0.0,-0.4019
8,2020-10-21,0.0,1.0,0.0,0.0
9,2020-10-30,0.0,1.0,0.0,0.0
10,2021-02-18,0.0,1.0,0.0,0.0
11,2021-03-16,0.0,0.889,0.111,0.128
12,2021-03-30,0.0,1.0,0.0,0.0
13,2021-06-08,0.0,1.0,0.0,0.0
14,2021-09-02,0.0,1.0,0.0,0.0
15,2022-01-20,0.138,0.862,0.0,-0.34
16,2022-03-16,0.0,1.0,0.0,0.0
17,2022-04-09,0.226,0.774,0.0,-0.5423
18,2022-05-19,0.0,0.895,0.105,0.0762
19,2022-06-02,0.459,0.541,0.0,-0.8591
20,2022-06-06,0.0,1.0,0.0,0.0
21,2022-06-10,0.123,0.695,0.182,0.2716
22,2022-06-25,0.142,0.631,0.227,0.3274
23,2022-06-30,0.0,1.0,0.0,0.0
24,2022-08-24,0.0,0.774,0.226,0.4449
25,2022-08-29,0.11,0.814,0.076,-0.1531
26,2022-09-15,0.0,0.833,0.167,0.296
27,2022-10-18,0.148,0.852,0.0,-0.3071
28,2022-10-19,0.167,0.833,0.0,-0.3818
29,2022-10-20,0.184,0.816,0.0,-0.4019
30,2022-10-21,0.0,1.0,0.0,0.0
31,2022-10-25,0.0,1.0,0.0,0.0
32,2022-11-14,0.153,0.723,0.123,-0.1779
33,2022-11-25,0.0,1.0,0.0,0.0
34,2022-12-06,0.0,1.0,0.0,0.0
35,2022-12-13,0.0,0.78,0.22,0.4767
36,2022-12-20,0.148,0.671,0.181,0.128
37,2022-12-31,0.0,0.795,0.205,0.5574
38,2023-01-20,0.0,1.0,0.0,0.0
39,2023-01-23,0.050333333333333334,0.832,0.11766666666666666,0.024833333333333336
40,2023-01-31,0.0,1.0,0.0,0.0
41,2023-02-02,0.2815,0.7184999999999999,0.0,-0.52725
42,2023-02-09,0.18,0.82,0.0,-0.296
43,2023-02-10,0.0,1.0,0.0,0.0
44,2023-02-11,0.086,0.914,0.0,-0.128
45,2023-02-16,0.1785,0.7435,0.078,-0.19344999999999998
46,2023-02-27,0.0,1.0,0.0,0.0
47,2023-03-01,0.3,0.7,0.0,-0.5096
48,2023-03-08,0.0,0.739,0.261,0.5559
49,2023-03-09,0.0,1.0,0.0,0.0
50,2023-03-10,0.0,1.0,0.0,0.0
51,2023-03-13,0.0,1.0,0.0,0.0
52,2023-03-18,0.198,0.802,0.0,-0.4019
53,2023-03-19,0.065,0.793,0.143,0.3565
54,2023-03-21,0.321,0.511,0.168,-0.4767
55,2023-03-22,0.0,0.839,0.161,0.3182
56,2023-03-27,0.159,0.841,0.0,-0.2235
57,2023-03-29,0.167,0.833,0.0,-0.296
58,2023-03-31,0.225,0.775,0.0,-0.4404
59,2023-04-11,0.209,0.664,0.128,-0.4019
60,2023-04-13,0.030333333333333334,0.9696666666666666,0.0,-0.03423333333333333
61,2023-04-18,0.0,1.0,0.0,0.0
62,2023-04-19,0.0,1.0,0.0,0.0
63,2023-04-20,0.156,0.844,0.0,-0.2572
64,2023-04-22,0.211,0.789,0.0,-0.3412
65,2023-04-24,0.235,0.765,0.0,-0.4585
66,2023-05-01,0.0,1.0,0.0,0.0
67,2023-05-04,0.0,1.0,0.0,0.0
68,2023-05-06,0.0,1.0,0.0,0.0
69,2023-05-07,0.313,0.687,0.0,-0.6131
70,2023-05-09,0.151,0.7290000000000001,0.12,-0.07995
71,2023-05-10,0.0,0.839,0.161,0.3612
72,2023-05-17,0.0,0.9390000000000001,0.061,0.10115
73,2023-05-19,0.0,0.783,0.217,0.3612
74,2023-05-22,0.0,1.0,0.0,0.0
75,2023-05-23,0.23,0.665,0.104,-0.3536
76,2023-05-24,0.0,1.0,0.0,0.0
77,2023-05-30,0.182,0.682,0.136,-0.1531
78,2023-05-31,0.0,0.88,0.12,0.128
79,2023-06-02,0.0,0.848,0.152,0.4003
80,2023-06-05,0.0,1.0,0.0,0.0
81,2023-06-13,0.0,0.8095,0.1905,0.28595
82,2023-06-14,0.118,0.718,0.164,-0.0268
83,2023-06-15,0.0,0.778,0.222,0.431
84,2023-06-20,0.12,0.569,0.311,0.4639
85,2023-06-28,0.0,1.0,0.0,0.0
86,2023-06-29,0.0,1.0,0.0,0.0
87,2023-07-14,0.06911111111111111,0.8693888888888889,0.06155555555555556,0.01642777777777778
88,2023-07-15,0.192,0.808,0.0,-0.2263
89,2023-07-17,0.0903448275862069,0.8129310344827586,0.0966551724137931,-0.0033241379310344804
90,2023-07-18,0.04836842105263158,0.861421052631579,0.09026315789473685,0.05657368421052631
91,2023-07-19,0.028727272727272726,0.9124545454545455,0.05881818181818182,0.06221515151515152
