,date,neg,neu,pos,compound
0,2019-01-14,0.264,0.736,0.0,-0.5106
1,2019-01-16,0.197,0.803,0.0,-0.4019
2,2019-01-22,0.189,0.667,0.144,-0.2023
3,2019-03-05,0.137,0.719,0.144,0.0258
4,2019-04-08,0.0,1.0,0.0,0.0
5,2019-09-27,0.0,1.0,0.0,0.0
6,2020-02-11,0.191,0.691,0.117,-0.1027
7,2020-02-25,0.216,0.632,0.153,-0.296
8,2020-04-30,0.0,0.825,0.175,0.4522
9,2020-05-11,0.0,1.0,0.0,0.0
10,2020-05-28,0.0,1.0,0.0,0.0
11,2020-08-19,0.143,0.857,0.0,-0.128
12,2020-10-30,0.0,0.571,0.429,0.7184
13,2021-05-04,0.158,0.842,0.0,-0.128
14,2021-05-12,0.0,1.0,0.0,0.0
15,2021-05-28,0.0,0.727,0.273,0.128
16,2021-08-03,0.0,0.714,0.286,0.4588
17,2021-08-31,0.0,1.0,0.0,0.0
18,2021-10-20,0.0,1.0,0.0,0.0
19,2021-11-24,0.0,1.0,0.0,0.0
20,2021-11-27,0.0,1.0,0.0,0.0
21,2022-02-11,0.198,0.474,0.328,0.25
22,2022-02-22,0.0,0.902,0.098,0.0516
23,2022-02-23,0.0,0.732,0.268,0.4466
24,2022-05-06,0.321,0.679,0.0,-0.6369
25,2022-05-20,0.0,0.698,0.302,0.6369
26,2022-05-25,0.0,1.0,0.0,0.0
27,2022-06-21,0.277,0.723,0.0,-0.3182
28,2022-07-25,0.0,0.811,0.189,0.4215
29,2022-08-03,0.122,0.718,0.16,0.1779
30,2022-08-11,0.0,1.0,0.0,0.0
31,2022-08-30,0.0,1.0,0.0,0.0
32,2022-09-07,0.0,1.0,0.0,0.0
33,2022-09-24,0.0,0.798,0.202,0.5859
34,2022-09-26,0.0,0.823,0.177,0.4215
35,2022-09-27,0.0,1.0,0.0,0.0
36,2022-10-02,0.0,1.0,0.0,0.0
37,2022-10-11,0.0,1.0,0.0,0.0
38,2022-10-21,0.0,0.629,0.371,0.7579
39,2022-10-28,0.0,1.0,0.0,0.0
40,2022-11-02,0.0,1.0,0.0,0.0
41,2022-11-03,0.0,1.0,0.0,0.0
42,2022-11-04,0.0,1.0,0.0,0.0
43,2022-11-06,0.0,1.0,0.0,0.0
44,2022-11-15,0.236,0.764,0.0,-0.5267
45,2022-11-19,0.0,0.622,0.378,0.836
46,2022-11-20,0.0,1.0,0.0,0.0
47,2022-11-22,0.155,0.845,0.0,-0.296
48,2022-11-29,0.0,0.859,0.141,0.3182
49,2022-12-08,0.0,1.0,0.0,0.0
50,2022-12-12,0.0,0.789,0.211,0.34
51,2022-12-21,0.0,1.0,0.0,0.0
52,2022-12-31,0.0,0.821,0.179,0.34
53,2023-01-13,0.0,1.0,0.0,0.0
54,2023-01-17,0.0,1.0,0.0,0.0
55,2023-01-18,0.0,0.9219999999999999,0.078,0.17
56,2023-01-25,0.0,1.0,0.0,0.0
57,2023-01-28,0.0,1.0,0.0,0.0
58,2023-01-31,0.0,1.0,0.0,0.0
59,2023-02-01,0.0,1.0,0.0,0.0
60,2023-02-02,0.0,0.749,0.251,0.5719
61,2023-02-05,0.132,0.662,0.205,0.0258
62,2023-02-08,0.028333333333333332,0.8566666666666666,0.115,0.16030000000000003
63,2023-02-09,0.0,0.488,0.512,0.6369
64,2023-02-10,0.0,0.9343333333333333,0.06566666666666666,0.10615000000000001
65,2023-02-13,0.0,0.643,0.357,0.6124
66,2023-02-14,0.042666666666666665,0.9573333333333333,0.0,-0.09866666666666667
67,2023-02-15,0.176,0.824,0.0,-0.128
68,2023-02-16,0.0,1.0,0.0,0.0
69,2023-02-18,0.0,1.0,0.0,0.0
70,2023-02-21,0.0,0.69975,0.30025,0.456175
71,2023-02-22,0.0,0.606,0.394,0.6369
72,2023-02-23,0.0,1.0,0.0,0.0
73,2023-02-27,0.10666666666666667,0.8933333333333334,0.0,-0.17020000000000002
74,2023-03-06,0.0,0.8225,0.1775,0.2553
75,2023-03-07,0.0,0.795,0.205,0.2023
76,2023-03-08,0.0,1.0,0.0,0.0
77,2023-03-10,0.048,0.8295,0.123,0.27115
78,2023-03-13,0.087,0.913,0.0,-0.11315
79,2023-03-19,0.221,0.779,0.0,-0.6597
80,2023-03-21,0.0,1.0,0.0,0.0
81,2023-03-22,0.0,1.0,0.0,0.0
82,2023-03-24,0.0,0.891,0.109,0.0258
83,2023-03-27,0.0,0.734,0.266,0.4404
84,2023-03-29,0.0,1.0,0.0,0.0
85,2023-03-30,0.0,0.9285,0.0715,0.064
86,2023-03-31,0.0,1.0,0.0,0.0
87,2023-04-02,0.0,1.0,0.0,0.0
88,2023-04-04,0.208,0.495,0.297,0.1109
89,2023-04-05,0.0,0.755,0.245,0.3818
90,2023-04-06,0.0,1.0,0.0,0.0
91,2023-04-08,0.279,0.721,0.0,-0.4767
92,2023-04-11,0.0,1.0,0.0,0.0
93,2023-04-15,0.0,0.811,0.189,0.4215
94,2023-04-21,0.153,0.847,0.0,-0.2023
95,2023-04-22,0.0,1.0,0.0,0.0
96,2023-04-24,0.0,1.0,0.0,0.0
