,date,neg,neu,pos,compound
0,2018-12-18,0.0,1.0,0.0,0.0
1,2019-07-24,0.0,0.769,0.231,0.4019
2,2019-09-25,0.0,0.794,0.206,0.3818
3,2021-03-25,0.0,0.874,0.126,0.3182
4,2021-07-14,0.0,1.0,0.0,0.0
5,2021-10-26,0.0,1.0,0.0,0.0
6,2022-01-18,0.0,1.0,0.0,0.0
7,2022-03-15,0.0,0.77,0.23,0.5563
8,2022-03-17,0.0,1.0,0.0,0.0
9,2022-03-28,0.0,1.0,0.0,0.0
10,2022-04-13,0.0,1.0,0.0,0.0
11,2022-05-02,0.0,1.0,0.0,0.0
12,2022-05-16,0.0,0.804,0.196,0.296
13,2022-05-18,0.0,0.756,0.244,0.6369
14,2022-05-19,0.0,0.809,0.191,0.3818
15,2022-05-25,0.149,0.693,0.158,0.0516
16,2022-05-31,0.0,1.0,0.0,0.0
17,2022-06-07,0.0,0.833,0.167,0.34
18,2022-06-13,0.0,1.0,0.0,0.0
19,2022-06-14,0.0,0.809,0.191,0.5106
20,2022-06-21,0.0,0.663,0.337,0.6808
21,2022-06-28,0.0,0.833,0.167,0.296
22,2022-07-11,0.0,1.0,0.0,0.0
23,2022-07-28,0.0,0.873,0.127,0.1531
24,2022-08-01,0.0,0.694,0.306,0.296
25,2022-08-08,0.0,1.0,0.0,0.0
26,2022-08-12,0.0,0.849,0.151,0.1531
27,2022-08-16,0.0,0.758,0.242,0.4939
28,2022-08-29,0.0,1.0,0.0,0.0
29,2022-09-07,0.0,1.0,0.0,0.0
30,2022-09-08,0.0,0.759,0.241,0.5859
31,2022-09-12,0.0,1.0,0.0,0.0
32,2022-09-19,0.0,1.0,0.0,0.0
33,2022-09-28,0.0,1.0,0.0,0.0
34,2022-10-03,0.0,1.0,0.0,0.0
35,2022-10-26,0.0,1.0,0.0,0.0
36,2022-11-07,0.0,1.0,0.0,0.0
37,2022-11-14,0.0,0.879,0.121,0.24695
38,2022-12-01,0.0,1.0,0.0,0.0
39,2022-12-05,0.0,1.0,0.0,0.0
40,2022-12-07,0.21,0.667,0.124,-0.2263
41,2022-12-19,0.0,1.0,0.0,0.0
42,2023-01-04,0.168,0.657,0.175,0.0258
43,2023-01-09,0.0,0.9,0.1,0.1806
44,2023-01-19,0.0,0.877,0.123,0.1027
45,2023-02-02,0.0,1.0,0.0,0.0
46,2023-02-07,0.0,0.8646,0.13540000000000002,0.19790000000000002
47,2023-02-08,0.028999999999999998,0.9455,0.0255,0.03568333333333334
48,2023-02-09,0.0,1.0,0.0,0.0
49,2023-02-10,0.04666666666666667,0.8166666666666668,0.1366666666666667,0.18783333333333332
50,2023-02-11,0.0,1.0,0.0,0.0
51,2023-02-12,0.0,1.0,0.0,0.0
52,2023-02-13,0.0,1.0,0.0,0.0
53,2023-02-15,0.0,1.0,0.0,0.0
54,2023-02-19,0.0,0.828,0.172,0.3597
55,2023-02-23,0.0,1.0,0.0,0.0
56,2023-02-24,0.0,1.0,0.0,0.0
57,2023-02-26,0.091,0.909,0.0,-0.2202
58,2023-02-28,0.0,0.66,0.34,0.7717
59,2023-03-01,0.0,0.8069999999999999,0.193,0.4767
60,2023-03-02,0.0,1.0,0.0,0.0
61,2023-03-06,0.0,0.791,0.209,0.4512
62,2023-03-07,0.0,0.8773333333333332,0.12266666666666666,0.2679333333333333
63,2023-03-08,0.0,0.575,0.425,0.5719
64,2023-03-09,0.0,0.816,0.184,0.2023
65,2023-03-13,0.0,0.8045,0.1955,0.5563
66,2023-03-16,0.0,1.0,0.0,0.0
67,2023-03-20,0.0,1.0,0.0,0.0
68,2023-03-21,0.0,0.809,0.191,0.3818
69,2023-03-23,0.0,1.0,0.0,0.0
70,2023-03-24,0.0,0.903,0.097,0.17
71,2023-03-27,0.0,0.734,0.266,0.4404
72,2023-03-28,0.077,0.923,0.0,-0.09106666666666667
73,2023-03-29,0.0,1.0,0.0,0.0
74,2023-03-30,0.0,0.522,0.478,0.6899500000000001
75,2023-03-31,0.0,0.857,0.143,0.3612
76,2023-04-03,0.0,0.806,0.194,0.34
77,2023-04-05,0.0,1.0,0.0,0.0
78,2023-04-06,0.0,1.0,0.0,0.0
79,2023-04-07,0.086,0.9139999999999999,0.0,-0.1806
80,2023-04-13,0.0,0.569,0.431,0.6486
81,2023-04-14,0.0,1.0,0.0,0.0
82,2023-04-16,0.0,0.769,0.231,0.2023
83,2023-04-17,0.0,1.0,0.0,0.0
84,2023-04-19,0.0,1.0,0.0,0.0
85,2023-04-21,0.0,0.722,0.278,0.4019
86,2023-04-22,0.136,0.864,0.0,-0.296
87,2023-04-24,0.0,0.872,0.128,0.296
88,2023-04-25,0.0,0.674,0.326,0.4404
89,2023-04-26,0.0,1.0,0.0,0.0
90,2023-04-27,0.0,1.0,0.0,0.0
91,2023-05-02,0.0,1.0,0.0,0.0
92,2023-05-03,0.0,0.789,0.211,0.34
93,2023-05-05,0.0,1.0,0.0,0.0
94,2023-05-06,0.0,1.0,0.0,0.0
95,2023-05-07,0.375,0.625,0.0,-0.765
96,2023-05-08,0.0,1.0,0.0,0.0
97,2023-05-09,0.0,0.7805,0.2195,0.28595
98,2023-05-15,0.0,0.8945000000000001,0.1055,0.17
99,2023-05-16,0.0,1.0,0.0,0.0
100,2023-05-17,0.0,1.0,0.0,0.0
101,2023-05-19,0.0,0.916,0.084,0.13396666666666665
102,2023-05-23,0.017285714285714286,0.9051428571428571,0.07757142857142858,0.11975714285714287
103,2023-05-24,0.13616666666666666,0.8638333333333333,0.0,-0.2654666666666667
104,2023-05-25,0.0,0.857,0.143,0.17
105,2023-05-26,0.0,1.0,0.0,0.0
106,2023-05-31,0.0,0.7735000000000001,0.22649999999999998,0.4939
107,2023-06-03,0.0,0.84,0.16,0.2716
