,date,neg,neu,pos,compound
0,2018-07-11,0.0,1.0,0.0,0.0
1,2018-08-03,0.0,1.0,0.0,0.0
2,2018-09-19,0.138,0.591,0.271,0.4019
3,2018-10-24,0.0,1.0,0.0,0.0
4,2018-10-30,0.0,0.848,0.152,0.3612
5,2018-11-12,0.13,0.698,0.172,0.2263
6,2018-12-01,0.274,0.726,0.0,-0.5267
7,2018-12-13,0.0,1.0,0.0,0.0
8,2019-01-15,0.0,1.0,0.0,0.0
9,2019-01-29,0.085,0.915,0.0,-0.0516
10,2019-02-05,0.135,0.725,0.14,0.0258
11,2019-02-18,0.0,0.847,0.153,0.4404
12,2019-02-22,0.0,1.0,0.0,0.0
13,2019-03-06,0.0,0.804,0.196,0.5994
14,2019-03-18,0.0,0.714,0.286,0.7506
15,2019-03-22,0.0,0.837,0.163,0.4449
16,2019-04-01,0.0,0.828,0.172,0.4404
17,2019-04-05,0.0,0.663,0.337,0.6808
18,2019-04-08,0.269,0.731,0.0,-0.7096
19,2019-04-15,0.0,1.0,0.0,0.0
20,2019-05-22,0.158,0.842,0.0,-0.4939
21,2019-06-11,0.0,1.0,0.0,0.0
22,2019-06-24,0.0,1.0,0.0,0.0
23,2019-08-12,0.0,0.893,0.107,0.2023
24,2019-08-15,0.0,0.769,0.231,0.5574
25,2019-08-16,0.0,1.0,0.0,0.0
26,2019-08-23,0.0,1.0,0.0,0.0
27,2019-09-10,0.375,0.625,0.0,-0.5574
28,2019-09-18,0.0,1.0,0.0,0.0
29,2019-11-13,0.149,0.851,0.0,-0.4215
30,2019-12-06,0.0,1.0,0.0,0.0
31,2019-12-18,0.0,1.0,0.0,0.0
32,2019-12-20,0.157,0.843,0.0,-0.4215
33,2019-12-30,0.141,0.859,0.0,-0.4215
34,2020-05-11,0.0,1.0,0.0,0.0
35,2020-10-16,0.131,0.869,0.0,-0.2057
36,2021-01-10,0.0,1.0,0.0,0.0
37,2021-04-02,0.0,0.86,0.14,0.3818
38,2021-04-15,0.0,1.0,0.0,0.0
39,2021-06-25,0.208,0.627,0.165,-0.3182
40,2021-11-22,0.079,0.789,0.132,0.25
41,2022-01-12,0.0,0.8,0.2,0.7184
42,2022-02-03,0.0,1.0,0.0,0.0
43,2022-03-15,0.281,0.719,0.0,-0.6486
44,2022-05-17,0.0,0.831,0.169,0.6249
45,2022-06-15,0.0,1.0,0.0,0.0
46,2022-06-29,0.0,0.598,0.402,0.8555
47,2022-07-08,0.0,1.0,0.0,0.0
48,2022-07-22,0.0,0.8705,0.1295,0.21075
49,2022-07-23,0.0,1.0,0.0,0.0
50,2022-07-25,0.0,1.0,0.0,0.0
51,2022-07-30,0.0,0.721,0.279,0.4767
52,2022-09-18,0.046,0.823,0.131,0.4215
53,2022-10-07,0.0,0.743,0.257,0.5859
54,2022-10-22,0.244,0.562,0.194,-0.2023
55,2022-11-27,0.0,0.795,0.205,0.4767
56,2023-01-06,0.0,1.0,0.0,0.0
57,2023-01-10,0.0,1.0,0.0,0.0
58,2023-01-11,0.0,1.0,0.0,0.0
59,2023-01-27,0.0,0.807,0.193,0.4767
60,2023-01-28,0.0,1.0,0.0,0.0
61,2023-02-08,0.22,0.78,0.0,-0.4767
62,2023-02-22,0.0,1.0,0.0,0.0
63,2023-02-24,0.0,1.0,0.0,0.0
64,2023-03-08,0.0,1.0,0.0,0.0
65,2023-03-20,0.0,0.775,0.225,0.4404
66,2023-03-28,0.0,1.0,0.0,0.0
67,2023-03-29,0.0,1.0,0.0,0.0
68,2023-03-30,0.252,0.748,0.0,-0.4019
69,2023-03-31,0.0,1.0,0.0,0.0
70,2023-04-02,0.0,0.9113333333333333,0.08866666666666667,0.19886666666666666
71,2023-04-03,0.025903225806451612,0.8786451612903226,0.0954516129032258,0.11811612903225806
72,2023-04-04,0.039400000000000004,0.9238,0.0368,-0.03992
73,2023-04-05,0.06533333333333334,0.8393333333333333,0.09533333333333333,0.06596666666666667
74,2023-04-06,0.1775,0.8225,0.0,-0.38585
75,2023-04-07,0.0,0.815,0.185,0.3612
76,2023-04-10,0.0,1.0,0.0,0.0
77,2023-04-12,0.0,1.0,0.0,0.0
78,2023-04-14,0.1965,0.586,0.2175,0.09129999999999999
79,2023-04-17,0.0,0.714,0.286,0.5574
80,2023-04-18,0.0,0.8180000000000001,0.182,0.36985
81,2023-04-20,0.0,1.0,0.0,0.0
82,2023-04-21,0.1135,0.6175,0.269,0.10935
83,2023-04-25,0.0,0.532,0.468,0.5267
84,2023-04-26,0.1034,0.7978,0.09880000000000001,0.06887999999999998
85,2023-04-27,0.0,1.0,0.0,0.0
86,2023-04-28,0.1055,0.8945000000000001,0.0,-0.17
87,2023-05-02,0.076,0.7555000000000001,0.1685,0.18284999999999998
88,2023-05-03,0.0446,0.8394,0.11599999999999999,0.14542
89,2023-05-04,0.0,1.0,0.0,0.0
90,2023-05-05,0.096,0.7737499999999999,0.13025,-0.013999999999999985
91,2023-05-06,0.0,1.0,0.0,0.0
92,2023-05-08,0.079,0.8380000000000001,0.0835,0.0258
93,2023-05-12,0.0,1.0,0.0,0.0
94,2023-05-15,0.0,0.921,0.079,0.2553
95,2023-05-17,0.0,1.0,0.0,0.0
96,2023-05-18,0.083,0.7543333333333333,0.16266666666666665,0.01980000000000004
97,2023-05-25,0.108,0.892,0.0,-0.148
98,2023-05-26,0.0,0.649,0.351,0.7579
99,2023-05-27,0.0,0.841,0.159,0.5267
100,2023-05-29,0.171,0.829,0.0,-0.4767
101,2023-05-30,0.0,0.75,0.25,0.6114
102,2023-06-02,0.0,1.0,0.0,0.0
103,2023-06-05,0.0,1.0,0.0,0.0
104,2023-06-07,0.0,0.698,0.302,0.5994
105,2023-06-08,0.0,1.0,0.0,0.0
106,2023-06-11,0.0,0.902,0.098,0.0772
107,2023-06-14,0.0,0.681,0.319,0.7269
108,2023-06-16,0.08033333333333333,0.9196666666666666,0.0,-0.07543333333333334
109,2023-06-17,0.0,1.0,0.0,0.0
110,2023-06-20,0.0,1.0,0.0,0.0
111,2023-06-21,0.143,0.624,0.233,0.23845
112,2023-06-25,0.0,1.0,0.0,0.0
113,2023-06-27,0.0,0.833,0.167,0.296
114,2023-06-28,0.0,1.0,0.0,0.0
115,2023-06-29,0.0,0.827,0.173,0.3182
116,2023-07-05,0.0,1.0,0.0,0.0
117,2023-07-07,0.0,0.9,0.1,0.1806
118,2023-07-13,0.0,0.682,0.318,0.4215
119,2023-07-14,0.0,0.8315,0.1685,0.3404
120,2023-07-19,0.0,0.763,0.237,0.4215
