,date,neg,neu,pos,compound
0,2018-07-05,0.0,1.0,0.0,0.0
1,2018-09-02,0.0,1.0,0.0,0.0
2,2018-10-10,0.0,1.0,0.0,0.0
3,2018-10-18,0.0,1.0,0.0,0.0
4,2018-10-23,0.0,0.633,0.367,0.4404
5,2018-10-30,0.0,1.0,0.0,0.0
6,2018-11-13,0.0,1.0,0.0,0.0
7,2018-12-04,0.0,1.0,0.0,0.0
8,2018-12-12,0.0,1.0,0.0,0.0
9,2018-12-14,0.237,0.763,0.0,-0.2787
10,2019-01-08,0.0,1.0,0.0,0.0
11,2019-02-04,0.23,0.5,0.27,0.1027
12,2019-02-27,0.0,1.0,0.0,0.0
13,2019-03-06,0.0,1.0,0.0,0.0
14,2019-03-27,0.0,1.0,0.0,0.0
15,2019-06-19,0.0,1.0,0.0,0.0
16,2019-06-26,0.0,0.674,0.326,0.4404
17,2019-07-02,0.0,1.0,0.0,0.0
18,2019-07-09,0.0,0.734,0.266,0.4404
19,2019-08-07,0.0,1.0,0.0,0.0
20,2019-09-04,0.0,1.0,0.0,0.0
21,2020-01-17,0.0,1.0,0.0,0.0
22,2020-01-24,0.435,0.565,0.0,-0.6597
23,2020-02-20,0.0,1.0,0.0,0.0
24,2020-04-28,0.268,0.732,0.0,-0.296
25,2020-05-12,0.0,1.0,0.0,0.0
26,2020-06-01,0.0,0.694,0.306,0.296
27,2020-06-08,0.429,0.571,0.0,-0.6705
28,2020-06-09,0.298,0.702,0.0,-0.3548
29,2020-06-11,0.0,1.0,0.0,0.0
30,2020-06-12,0.0,1.0,0.0,0.0
31,2020-06-15,0.0,1.0,0.0,0.0
32,2020-06-22,0.0,1.0,0.0,0.0
33,2020-06-30,0.0,1.0,0.0,0.0
34,2020-07-02,0.0,1.0,0.0,0.0
35,2020-07-03,0.0,1.0,0.0,0.0
36,2020-07-06,0.0,1.0,0.0,0.0
37,2020-07-08,0.0,1.0,0.0,0.0
38,2020-07-09,0.278,0.722,0.0,-0.5362
39,2020-07-28,0.0,1.0,0.0,0.0
40,2020-09-07,0.0,1.0,0.0,0.0
41,2020-10-09,0.0,1.0,0.0,0.0
42,2020-10-22,0.0,1.0,0.0,0.0
43,2020-10-28,0.0,1.0,0.0,0.0
44,2021-03-22,0.351,0.649,0.0,-0.4019
45,2021-04-06,0.0,1.0,0.0,0.0
46,2021-04-16,0.0,1.0,0.0,0.0
47,2021-05-19,0.0,1.0,0.0,0.0
48,2021-05-25,0.0,1.0,0.0,0.0
49,2021-05-29,0.0,1.0,0.0,0.0
50,2021-07-12,0.0,0.772,0.228,0.3327
51,2021-07-29,0.0,1.0,0.0,0.0
52,2021-08-17,0.0,1.0,0.0,0.0
53,2021-09-15,0.358,0.642,0.0,-0.5994
54,2021-09-28,0.0,1.0,0.0,0.0
55,2021-10-20,0.242,0.758,0.0,-0.1531
56,2021-11-11,0.0,1.0,0.0,0.0
57,2022-01-18,0.0,1.0,0.0,0.0
58,2022-01-24,0.0,1.0,0.0,0.0
59,2022-01-31,0.0,1.0,0.0,0.0
60,2022-02-14,0.0,1.0,0.0,0.0
61,2022-03-04,0.0,1.0,0.0,0.0
62,2022-04-26,0.0,1.0,0.0,0.0
63,2022-06-06,0.0,1.0,0.0,0.0
64,2022-06-21,0.0,1.0,0.0,0.0
65,2022-06-29,0.0,1.0,0.0,0.0
66,2022-06-30,0.0,1.0,0.0,0.0
67,2022-07-08,0.0,1.0,0.0,0.0
68,2022-07-27,0.0,0.769,0.231,0.34
69,2022-08-15,0.0,0.816,0.184,0.4019
70,2022-08-16,0.182,0.818,0.0,-0.25
71,2022-08-22,0.241,0.759,0.0,-0.5423
72,2022-10-19,0.286,0.714,0.0,-0.5574
73,2022-11-09,0.1212,0.8168,0.062,-0.021560000000000006
74,2022-11-10,0.0835,0.7615,0.155,0.2797
75,2022-11-12,0.0,1.0,0.0,0.0
76,2022-11-15,0.0,0.455,0.545,0.9217
77,2022-11-17,0.0,0.812,0.188,0.5719
78,2022-11-29,0.0,0.844,0.156,0.34
79,2022-12-01,0.0,1.0,0.0,0.0
80,2022-12-03,0.0,1.0,0.0,0.0
81,2022-12-08,0.0,0.94225,0.05775,0.085
82,2022-12-09,0.0,1.0,0.0,0.0
83,2022-12-18,0.0,0.805,0.195,0.4404
84,2022-12-24,0.0,1.0,0.0,0.0
85,2023-01-05,0.04766666666666666,0.9523333333333334,0.0,-0.12040000000000001
86,2023-01-08,0.0,0.87,0.13,0.2023
87,2023-01-09,0.0,1.0,0.0,0.0
88,2023-01-10,0.0,0.682,0.318,0.4215
89,2023-01-12,0.0,1.0,0.0,0.0
90,2023-01-18,0.0,1.0,0.0,0.0
91,2023-01-21,0.0,1.0,0.0,0.0
92,2023-01-26,0.0,0.8225,0.1775,0.26335
93,2023-01-27,0.0,0.791,0.209,0.4404
94,2023-01-31,0.0,1.0,0.0,0.0
95,2023-02-07,0.153,0.675,0.172,0.0772
96,2023-02-08,0.0,1.0,0.0,0.0
97,2023-02-09,0.099,0.7585,0.142,0.125
98,2023-02-14,0.0,1.0,0.0,0.0
99,2023-02-15,0.0,1.0,0.0,0.0
100,2023-02-16,0.0,1.0,0.0,0.0
101,2023-02-17,0.0,1.0,0.0,0.0
102,2023-02-20,0.404,0.596,0.0,-0.8158
103,2023-02-21,0.0,0.826,0.174,0.2732
104,2023-02-22,0.11842857142857142,0.8388571428571429,0.04271428571428571,-0.10487142857142857
105,2023-02-23,0.0,1.0,0.0,0.0
106,2023-02-24,0.0,0.797,0.203,0.4215
107,2023-02-28,0.0,0.552,0.448,0.8074
108,2023-03-01,0.0,0.769,0.231,0.2023
109,2023-03-02,0.0,0.889,0.111,0.3597
110,2023-03-07,0.0,0.645,0.355,0.5106
111,2023-03-09,0.0,1.0,0.0,0.0
112,2023-03-13,0.151,0.849,0.0,-0.1531
113,2023-03-14,0.0,1.0,0.0,0.0
114,2023-03-15,0.0,1.0,0.0,0.0
115,2023-03-16,0.0,1.0,0.0,0.0
116,2023-03-17,0.0,0.9165,0.0835,0.10115
117,2023-03-24,0.0,0.888,0.112,0.1909
118,2023-03-27,0.249,0.751,0.0,-0.6486
