,ADDYY
2023-07-03,95.75
2023-06-30,96.50
2023-06-29,93.31
2023-06-28,93.66
2023-06-27,94.74
2023-06-26,95.76
2023-06-23,95.23
2023-06-22,97.74
2023-06-21,95.22
2023-06-20,92.37
2023-06-16,95.08
2023-06-15,94.13
2023-06-14,93.50
2023-06-13,92.93
2023-06-12,90.24
2023-06-09,85.84
2023-06-08,85.31
2023-06-07,84.95
2023-06-06,84.43
2023-06-05,84.48
2023-06-02,85.01
2023-06-01,79.58
2023-05-31,80.56
2023-05-30,82.93
2023-05-26,82.75
2023-05-25,81.98
2023-05-24,82.49
2023-05-23,85.23
2023-05-22,87.02
2023-05-19,85.15
2023-05-18,87.77
2023-05-17,87.46
2023-05-16,87.74
2023-05-15,89.71
2023-05-12,89.11
2023-05-11,90.49
2023-05-10,89.06
2023-05-09,90.37
2023-05-08,92.98
2023-05-05,92.60
2023-05-04,85.28
2023-05-03,86.06
2023-05-02,87.01
2023-05-01,87.55
2023-04-28,87.23
2023-04-27,86.53
2023-04-26,87.12
2023-04-25,87.00
2023-04-24,88.54
2023-04-21,88.27
2023-04-20,87.70
2023-04-19,88.39
2023-04-18,89.00
2023-04-17,88.42
2023-04-14,90.54
2023-04-13,89.21
2023-04-12,89.38
2023-04-11,90.15
2023-04-10,87.20
2023-04-06,89.02
2023-04-05,88.68
2023-04-04,88.12
2023-04-03,88.43
2023-03-31,87.01
2023-03-30,83.42
2023-03-29,78.33
2023-03-28,76.06
2023-03-27,75.58
2023-03-24,75.18
2023-03-23,75.61
2023-03-22,75.00
2023-03-21,76.13
2023-03-20,75.28
2023-03-17,74.49
2023-03-16,73.24
2023-03-15,73.62
2023-03-14,78.73
2023-03-13,76.92
2023-03-10,78.34
2023-03-09,79.14
2023-03-08,73.94
2023-03-07,75.85
2023-03-06,77.96
2023-03-03,77.28
2023-03-02,75.23
2023-03-01,74.75
2023-02-28,74.66
2023-02-27,73.11
2023-02-24,71.37
2023-02-23,73.44
2023-02-22,73.64
2023-02-21,72.91
2023-02-17,76.10
2023-02-16,76.46
2023-02-15,74.65
2023-02-14,74.06
2023-02-13,74.17
2023-02-10,73.55
2023-02-09,74.01
2023-02-08,82.27
2023-02-07,81.27
2023-02-06,82.72
2023-02-03,84.54
2023-02-02,84.72
2023-02-01,79.91
2023-01-31,79.18
2023-01-30,79.62
2023-01-27,79.70
2023-01-26,78.71
2023-01-25,79.16
2023-01-24,80.24
2023-01-23,80.03
2023-01-20,78.32
2023-01-19,77.76
2023-01-18,80.11
2023-01-17,80.91
2023-01-13,79.06
2023-01-12,78.58
2023-01-11,77.47
2023-01-10,74.68
2023-01-09,75.25
2023-01-06,72.45
2023-01-05,72.73
2023-01-04,66.79
2023-01-03,69.19
2022-12-30,67.36
2022-12-29,67.70
2022-12-28,66.34
2022-12-27,66.45
2022-12-23,65.68
2022-12-22,65.68
2022-12-21,66.02
2022-12-20,62.44
2022-12-19,63.67
2022-12-16,63.95
2022-12-15,62.56
2022-12-14,64.97
2022-12-13,65.08
2022-12-12,61.19
2022-12-09,61.73
2022-12-08,60.33
2022-12-07,61.15
2022-12-06,61.65
2022-12-05,63.89
2022-12-02,64.50
2022-12-01,64.95
2022-11-30,62.60
2022-11-29,62.13
2022-11-28,62.30
2022-11-25,63.87
2022-11-23,63.42
2022-11-22,63.10
2022-11-21,63.09
2022-11-18,66.20
2022-11-17,66.14
2022-11-16,66.97
2022-11-15,66.50
2022-11-14,67.74
2022-11-11,67.81
2022-11-10,63.68
2022-11-09,61.59
2022-11-08,59.00
2022-11-07,56.53
2022-11-04,50.37
2022-11-03,45.48
2022-11-02,47.04
2022-11-01,48.33
2022-10-31,48.66
2022-10-28,49.08
2022-10-27,49.29
2022-10-26,48.63
2022-10-25,47.45
2022-10-24,50.28
2022-10-21,50.65
2022-10-20,53.22
2022-10-19,55.93
2022-10-18,57.99
2022-10-17,57.46
2022-10-14,55.00
2022-10-13,51.90
2022-10-12,53.86
2022-10-11,54.82
2022-10-10,54.99
2022-10-07,55.82
2022-10-06,58.54
2022-10-05,59.96
2022-10-04,61.37
2022-10-03,56.49
2022-09-30,57.02
2022-09-29,59.76
2022-09-28,61.46
2022-09-27,60.22
2022-09-26,61.58
2022-09-23,62.78
2022-09-22,65.53
2022-09-21,66.15
2022-09-20,66.70
2022-09-19,67.80
2022-09-16,66.56
2022-09-15,67.80
2022-09-14,70.34
2022-09-13,70.78
2022-09-12,75.12
2022-09-09,72.78
2022-09-08,68.99
2022-09-07,69.47
2022-09-06,70.42
2022-09-02,71.51
2022-09-01,71.82
2022-08-31,74.14
2022-08-30,74.91
2022-08-29,74.08
2022-08-26,74.83
2022-08-25,78.12
2022-08-24,77.79
2022-08-23,77.41
2022-08-22,77.81
2022-08-19,82.57
2022-08-18,84.10
2022-08-17,85.68
2022-08-16,86.41
2022-08-15,87.60
2022-08-12,87.50
2022-08-11,88.42
2022-08-10,88.36
2022-08-09,86.40
2022-08-08,88.73
2022-08-05,86.88
2022-08-04,88.06
2022-08-03,85.82
2022-08-02,84.32
2022-08-01,86.78
2022-07-29,82.75
2022-07-28,83.30
2022-07-27,81.07
2022-07-26,83.36
2022-07-25,89.48
2022-07-22,89.76
2022-07-21,87.75
2022-07-20,87.59
2022-07-19,86.91
2022-07-18,83.21
2022-07-15,79.00
2022-07-14,76.71
2022-07-13,79.31
2022-07-12,80.00
2022-07-11,81.59
2022-07-08,84.50
2022-07-07,85.00
2022-07-06,83.42
2022-07-05,85.00
2022-07-01,86.58
2022-06-30,86.60
2022-06-29,88.09
2022-06-28,88.53
2022-06-27,90.44
2022-06-24,89.44
2022-06-23,87.11
2022-06-22,86.46
2022-06-21,87.04
2022-06-17,85.80
2022-06-16,84.00
2022-06-15,85.69
2022-06-14,85.04
2022-06-13,88.18
2022-06-10,92.17
2022-06-09,95.48
2022-06-08,99.46
2022-06-07,97.83
2022-06-06,100.03
2022-06-03,99.86
2022-06-02,99.42
2022-06-01,96.75
2022-05-31,98.54
2022-05-27,96.01
2022-05-26,93.46
2022-05-25,89.11
2022-05-24,91.64
2022-05-23,92.14
2022-05-20,90.12
2022-05-19,89.48
2022-05-18,90.85
2022-05-17,96.09
2022-05-16,92.71
2022-05-13,92.86
2022-05-12,90.64
2022-05-11,92.85
2022-05-10,90.82
2022-05-09,90.25
2022-05-06,93.53
2022-05-05,97.73
2022-05-04,101.56
2022-05-03,100.33
2022-05-02,100.63
2022-04-29,99.94
2022-04-28,97.33
2022-04-27,96.15
2022-04-26,99.00
2022-04-25,102.24
2022-04-22,107.00
2022-04-21,110.75
2022-04-20,112.03
2022-04-19,107.75
2022-04-18,105.75
2022-04-14,107.00
2022-04-13,105.81
2022-04-12,108.14
2022-04-11,109.67
2022-04-08,110.76
2022-04-07,110.46
2022-04-06,109.19
2022-04-05,113.18
2022-04-04,115.93
2022-04-01,115.65
2022-03-31,116.82
2022-03-30,119.63
2022-03-29,119.70
2022-03-28,116.11
2022-03-25,116.20
2022-03-24,114.06
2022-03-23,115.37
2022-03-22,118.81
2022-03-21,116.59
2022-03-18,115.85
2022-03-17,116.54
2022-03-16,115.35
2022-03-15,109.59
2022-03-14,111.75
2022-03-11,110.85
2022-03-10,108.32
2022-03-09,114.85
2022-03-08,98.67
2022-03-07,93.86
2022-03-04,101.00
2022-03-03,109.64
2022-03-02,112.93
2022-03-01,112.02
2022-02-28,116.23
2022-02-25,117.96
2022-02-24,116.20
2022-02-23,121.82
2022-02-22,124.27
2022-02-18,129.26
2022-02-17,129.73
2022-02-16,132.42
2022-02-15,133.06
2022-02-14,128.99
2022-02-11,131.11
2022-02-10,137.26
2022-02-09,139.75
2022-02-08,134.69
2022-02-07,137.05
2022-02-04,137.44
2022-02-03,137.66
2022-02-02,138.95
2022-02-01,136.40
2022-01-31,134.28
2022-01-28,130.00
2022-01-27,133.92
2022-01-26,135.24
2022-01-25,133.02
2022-01-24,134.70
2022-01-21,140.85
2022-01-20,143.50
2022-01-19,143.66
2022-01-18,143.80
2022-01-14,143.61
2022-01-13,145.44
2022-01-12,143.97
2022-01-11,144.66
2022-01-10,137.82
2022-01-07,139.41
2022-01-06,142.03
