,ANGL.TA
2023-07-03,"3,426.00"
2023-07-02,"3,624.00"
2023-06-29,"3,624.00"
2023-06-28,"3,624.00"
2023-06-27,"3,538.00"
2023-06-26,"3,501.00"
2023-06-25,"3,501.00"
2023-06-22,"3,501.00"
2023-06-21,"3,501.00"
2023-06-20,"3,575.00"
2023-06-19,"3,575.00"
2023-06-18,"3,501.00"
2023-06-15,"3,501.00"
2023-06-14,"3,501.00"
2023-06-13,"3,501.00"
2023-06-12,"3,503.00"
2023-06-11,"3,503.00"
2023-06-08,"3,502.00"
2023-06-07,"3,570.00"
2023-06-06,"3,502.00"
2023-06-05,"3,580.00"
2023-06-04,"3,595.00"
2023-06-01,"3,581.00"
2023-05-31,"3,655.00"
2023-05-30,"3,600.00"
2023-05-29,"3,613.00"
2023-05-28,"3,600.00"
2023-05-24,"3,600.00"
2023-05-23,"3,690.00"
2023-05-22,"3,691.00"
2023-05-21,"3,691.00"
2023-05-18,"3,627.00"
2023-05-17,"3,673.00"
2023-05-16,"3,641.00"
2023-05-15,"3,635.00"
2023-05-14,"3,719.00"
2023-05-11,"3,698.00"
2023-05-10,"3,632.00"
2023-05-09,"3,671.00"
2023-05-08,"3,646.00"
2023-05-07,"3,586.00"
2023-05-04,"3,756.00"
2023-05-03,"3,749.00"
2023-05-02,"3,770.00"
2023-05-01,"3,750.00"
2023-04-30,"3,800.00"
2023-04-27,"3,800.00"
2023-04-24,"3,699.00"
2023-04-23,"3,810.00"
2023-04-20,"3,810.00"
2023-04-19,"3,750.00"
2023-04-18,"3,834.00"
2023-04-17,"3,833.00"
2023-04-16,"3,762.00"
2023-04-13,"3,750.00"
2023-04-10,"3,747.00"
2023-04-09,"3,711.00"
2023-04-04,"3,688.00"
2023-04-03,"3,469.00"
2023-04-02,"3,369.00"
2023-03-30,"3,585.00"
2023-03-29,"3,606.00"
2023-03-28,"3,908.00"
2023-03-27,"3,996.00"
2023-03-26,"3,930.00"
2023-03-23,"3,852.00"
2023-03-22,"3,767.00"
2023-03-21,"3,641.00"
2023-03-20,"3,456.00"
2023-03-19,"3,599.00"
2023-03-16,"3,640.00"
2023-03-15,"3,675.00"
2023-03-14,"3,672.00"
2023-03-13,"3,671.00"
2023-03-12,"3,606.00"
2023-03-09,"3,571.00"
2023-03-08,"3,571.00"
2023-03-06,"3,482.00"
2023-03-05,"3,483.00"
2023-03-02,"3,550.00"
2023-03-01,"3,619.00"
2023-02-28,"3,599.00"
2023-02-27,"3,511.00"
2023-02-26,"3,550.00"
2023-02-23,"3,475.00"
2023-02-22,"3,630.00"
2023-02-21,"3,501.00"
2023-02-20,"3,418.00"
2023-02-19,"3,576.00"
2023-02-16,"3,572.00"
2023-02-15,"3,654.00"
2023-02-14,"3,570.00"
2023-02-13,"3,470.00"
2023-02-12,"3,500.00"
2023-02-09,"3,500.00"
2023-02-08,"3,546.00"
2023-02-07,"3,684.00"
2023-02-06,"3,571.00"
2023-02-05,"3,556.00"
2023-02-02,"3,498.00"
2023-02-01,"3,388.00"
2023-01-31,"3,231.00"
2023-01-30,"3,225.00"
2023-01-29,"3,291.00"
2023-01-26,"3,337.00"
2023-01-25,"3,358.00"
2023-01-24,"3,399.00"
2023-01-23,"3,420.00"
2023-01-22,"3,347.00"
2023-01-19,"3,301.00"
2023-01-18,"3,450.00"
2023-01-17,"3,490.00"
2023-01-16,"3,497.00"
2023-01-15,"3,409.00"
2023-01-12,"3,499.00"
2023-01-11,"3,389.00"
2023-01-10,"3,471.00"
2023-01-09,"3,416.00"
2023-01-08,"3,400.00"
2023-01-05,"3,460.00"
2023-01-04,"3,490.00"
2023-01-03,"3,488.00"
2023-01-02,"3,421.00"
2023-01-01,"3,393.00"
2022-12-29,"3,200.00"
2022-12-28,"3,267.00"
2022-12-27,"3,321.00"
2022-12-26,"3,420.00"
2022-12-25,"3,422.00"
2022-12-22,"3,457.00"
2022-12-21,"3,354.00"
