,ASCCF
2023-07-03,28.19
2023-06-30,28.19
2023-06-29,28.19
2023-06-28,28.19
2023-06-27,28.19
2023-06-26,28.19
2023-06-23,28.19
2023-06-22,28.19
2023-06-21,28.19
2023-06-20,28.19
2023-06-16,28.19
2023-06-15,28.19
2023-06-14,28.19
2023-06-13,28.19
2023-06-12,28.19
2023-06-09,28.19
2023-06-08,28.19
2023-06-07,28.19
2023-06-06,28.19
2023-06-05,28.19
2023-06-02,28.19
2023-06-01,28.19
2023-05-31,28.19
2023-05-30,28.19
2023-05-26,28.19
2023-05-25,28.19
2023-05-24,28.19
2023-05-23,28.19
2023-05-22,28.19
2023-05-19,28.13
2023-05-18,29.78
2023-05-17,29.78
2023-05-16,29.78
2023-05-15,29.78
2023-05-12,29.78
2023-05-11,29.78
2023-05-10,29.77
2023-05-09,23.40
2023-05-08,23.40
2023-05-05,23.40
2023-05-04,23.40
2023-05-03,23.40
2023-05-02,23.40
2023-05-01,23.40
2023-04-28,23.40
2023-04-27,23.40
2023-04-26,23.40
2023-04-25,23.40
2023-04-24,23.40
2023-04-21,23.40
2023-04-20,23.40
2023-04-19,23.40
2023-04-18,23.40
2023-04-17,23.40
2023-04-14,23.40
2023-04-13,23.40
2023-04-12,23.40
2023-04-11,23.40
2023-04-10,23.40
2023-04-06,23.40
2023-04-05,23.40
2023-04-04,23.40
2023-04-03,23.40
2023-03-31,23.40
2023-03-30,23.40
2023-03-29,23.40
2023-03-28,23.40
2023-03-27,23.40
2023-03-24,23.40
2023-03-23,23.40
2023-03-22,23.40
2023-03-21,23.40
2023-03-20,23.40
2023-03-17,23.40
2023-03-16,23.40
2023-03-15,23.40
2023-03-14,23.40
2023-03-13,23.40
2023-03-10,23.40
2023-03-09,23.40
2023-03-08,23.40
2023-03-07,23.40
2023-03-06,23.40
2023-03-03,23.40
2023-03-02,23.40
2023-03-01,23.40
2023-02-28,23.40
2023-02-27,23.40
2023-02-24,23.40
2023-02-23,23.40
2023-02-22,23.40
2023-02-21,23.40
2023-02-17,23.40
2023-02-16,23.40
2023-02-15,23.40
2023-02-14,23.40
2023-02-13,23.40
2023-02-10,23.40
2023-02-09,23.26
2023-02-08,22.15
2023-02-07,22.15
2023-02-06,22.15
2023-02-03,22.15
2023-02-02,22.15
2023-02-01,22.15
2023-01-31,22.15
2023-01-30,22.15
2023-01-27,22.15
2023-01-26,22.15
2023-01-25,22.15
2023-01-24,22.15
2023-01-23,22.15
2023-01-20,22.15
2023-01-19,22.15
2023-01-18,22.15
2023-01-17,22.15
2023-01-13,22.15
2023-01-12,22.15
2023-01-11,22.15
2023-01-10,22.15
2023-01-09,22.15
2023-01-06,22.15
2023-01-05,22.15
2023-01-04,22.15
2023-01-03,22.15
2022-12-30,22.15
2022-12-29,22.15
2022-12-28,22.15
2022-12-27,22.15
2022-12-23,22.15
2022-12-22,22.15
2022-12-21,22.15
2022-12-20,22.15
2022-12-19,22.15
2022-12-16,22.15
2022-12-15,22.15
2022-12-14,22.15
2022-12-13,22.15
2022-12-12,22.15
2022-12-09,22.15
2022-12-08,22.15
2022-12-07,22.15
2022-12-06,22.15
2022-12-05,22.15
2022-12-02,22.15
2022-12-01,22.15
2022-11-30,22.15
2022-11-29,22.15
2022-11-28,22.15
2022-11-25,22.15
2022-11-23,22.15
2022-11-22,22.15
2022-11-21,22.15
2022-11-18,22.00
2022-11-17,18.59
2022-11-16,18.59
2022-11-15,18.59
2022-11-14,18.59
2022-11-11,18.59
2022-11-10,15.75
2022-11-09,15.75
2022-11-08,15.75
2022-11-07,15.75
2022-11-04,15.75
2022-11-03,15.75
2022-11-02,15.75
2022-11-01,15.75
2022-10-31,15.75
2022-10-28,15.75
2022-10-27,15.75
2022-10-26,15.75
2022-10-25,15.75
2022-10-24,15.75
2022-10-21,15.75
2022-10-20,15.75
2022-10-19,17.07
2022-10-18,17.07
2022-10-17,17.07
2022-10-14,17.07
2022-10-13,17.07
2022-10-12,17.07
2022-10-11,17.07
2022-10-10,17.07
2022-10-07,17.07
2022-10-06,17.07
2022-10-05,17.07
2022-10-04,17.07
2022-10-03,17.07
2022-09-30,17.07
2022-09-29,17.07
2022-09-28,17.07
2022-09-27,18.28
2022-09-26,18.28
2022-09-23,18.28
2022-09-22,18.28
2022-09-21,18.28
2022-09-20,18.28
2022-09-19,18.28
2022-09-16,18.28
2022-09-15,18.28
2022-09-14,18.28
2022-09-13,18.28
2022-09-12,18.28
2022-09-09,17.67
2022-09-08,17.67
2022-09-07,17.67
2022-09-06,17.67
2022-09-02,17.67
2022-09-01,18.76
2022-08-31,18.76
2022-08-30,18.76
2022-08-29,18.76
2022-08-26,18.76
2022-08-25,18.76
2022-08-24,18.76
2022-08-23,18.76
2022-08-22,18.76
2022-08-19,18.76
2022-08-18,18.76
2022-08-17,18.76
2022-08-16,18.76
2022-08-15,18.76
