,BGFV
2023-07-03,9.02
2023-06-30,8.92
2023-06-29,9.03
2023-06-28,8.74
2023-06-27,8.57
2023-06-26,8.50
2023-06-23,8.33
2023-06-22,8.20
2023-06-21,8.17
2023-06-20,8.15
2023-06-16,8.12
2023-06-15,8.35
2023-06-14,8.55
2023-06-13,8.40
2023-06-12,8.16
2023-06-09,8.17
2023-06-08,8.30
2023-06-07,8.03
2023-06-06,7.67
2023-06-05,7.61
2023-06-02,7.51
2023-06-01,7.40
2023-05-31,7.22
2023-05-30,7.52
2023-05-26,7.46
2023-05-25,7.55
2023-05-24,7.67
2023-05-23,7.53
2023-05-22,7.51
2023-05-19,7.57
2023-05-18,7.71
2023-05-17,7.56
2023-05-16,7.40
2023-05-15,7.68
2023-05-12,7.60
2023-05-11,7.62
2023-05-10,7.53
2023-05-09,7.26
2023-05-08,7.31
2023-05-05,7.43
2023-05-04,6.91
2023-05-03,6.88
2023-05-02,7.37
2023-05-01,7.56
2023-04-28,7.68
2023-04-27,7.67
2023-04-26,7.72
2023-04-25,7.76
2023-04-24,7.90
2023-04-21,7.78
2023-04-20,7.82
2023-04-19,7.73
2023-04-18,7.76
2023-04-17,7.73
2023-04-14,7.80
2023-04-13,7.85
2023-04-12,8.24
2023-04-11,8.03
2023-04-10,7.65
2023-04-06,7.57
2023-04-05,7.47
2023-04-04,7.68
2023-04-03,7.63
2023-03-31,7.51
2023-03-30,7.35
2023-03-29,7.31
2023-03-28,7.25
2023-03-27,7.23
2023-03-24,7.13
2023-03-23,7.18
2023-03-22,7.47
2023-03-21,7.64
2023-03-20,7.52
2023-03-17,7.48
2023-03-16,7.52
2023-03-15,7.53
2023-03-14,7.71
2023-03-13,7.52
2023-03-10,8.06
2023-03-09,8.52
2023-03-08,8.64
2023-03-07,8.78
2023-03-06,8.69
2023-03-03,8.76
2023-03-02,8.56
2023-03-01,8.66
2023-02-28,8.75
2023-02-27,9.19
2023-02-24,9.57
2023-02-23,9.66
2023-02-22,9.70
2023-02-21,9.67
2023-02-17,9.87
2023-02-16,9.75
2023-02-15,9.45
2023-02-14,9.33
2023-02-13,9.42
2023-02-10,9.36
2023-02-09,9.54
2023-02-08,9.80
2023-02-07,10.09
2023-02-06,10.15
2023-02-03,10.01
2023-02-02,10.00
2023-02-01,9.57
2023-01-31,9.50
2023-01-30,9.30
2023-01-27,9.72
2023-01-26,9.69
2023-01-25,9.63
2023-01-24,9.64
2023-01-23,9.45
2023-01-20,9.22
2023-01-19,9.19
2023-01-18,9.21
2023-01-17,10.12
2023-01-13,9.79
2023-01-12,9.72
2023-01-11,9.59
2023-01-10,9.11
2023-01-09,9.19
2023-01-06,8.94
2023-01-05,8.83
2023-01-04,8.92
2023-01-03,8.91
2022-12-30,8.76
2022-12-29,8.45
2022-12-28,8.36
2022-12-27,8.77
2022-12-23,8.92
2022-12-22,9.03
2022-12-21,9.27
2022-12-20,9.17
2022-12-19,9.54
2022-12-16,9.98
2022-12-15,10.38
2022-12-14,10.45
2022-12-13,10.77
2022-12-12,10.87
2022-12-09,11.01
2022-12-08,11.24
2022-12-07,11.49
2022-12-06,11.50
2022-12-05,11.55
2022-12-02,11.88
2022-12-01,12.04
2022-11-30,11.93
2022-11-29,12.35
2022-11-28,12.53
2022-11-25,12.71
2022-11-23,12.57
2022-11-22,12.57
2022-11-21,12.33
2022-11-18,12.87
2022-11-17,12.54
2022-11-16,12.56
2022-11-15,13.05
2022-11-14,12.48
2022-11-11,12.29
2022-11-10,12.10
2022-11-09,11.67
2022-11-08,12.00
2022-11-07,12.45
2022-11-04,12.40
2022-11-03,11.76
2022-11-02,11.50
2022-11-01,12.41
2022-10-31,12.71
2022-10-28,12.50
2022-10-27,12.51
2022-10-26,12.35
2022-10-25,12.05
2022-10-24,11.54
2022-10-21,11.52
2022-10-20,11.23
2022-10-19,10.84
2022-10-18,11.06
2022-10-17,11.02
2022-10-14,10.77
2022-10-13,10.23
2022-10-12,10.42
2022-10-11,10.34
2022-10-10,10.45
2022-10-07,10.74
2022-10-06,11.20
2022-10-05,11.02
2022-10-04,10.97
2022-10-03,10.60
2022-09-30,10.30
2022-09-29,10.86
2022-09-28,10.82
2022-09-27,10.63
2022-09-26,10.51
2022-09-23,10.56
2022-09-22,10.88
2022-09-21,11.07
2022-09-20,11.18
2022-09-19,11.50
2022-09-16,11.51
2022-09-15,11.94
2022-09-14,11.74
2022-09-13,11.85
2022-09-12,12.21
2022-09-09,12.10
2022-09-08,11.49
2022-09-07,11.32
2022-09-06,11.44
2022-09-02,11.68
2022-09-01,11.72
2022-08-31,11.92
2022-08-30,12.01
2022-08-29,12.13
2022-08-26,12.12
2022-08-25,11.89
2022-08-24,11.83
2022-08-23,12.31
2022-08-22,12.14
2022-08-19,12.56
2022-08-18,12.73
2022-08-17,14.10
2022-08-16,13.54
2022-08-15,13.03
2022-08-12,12.54
2022-08-11,12.46
2022-08-10,12.04
2022-08-09,11.82
2022-08-08,11.13
2022-08-05,10.95
2022-08-04,11.50
2022-08-03,11.27
2022-08-02,12.70
2022-08-01,12.64
2022-07-29,12.42
2022-07-28,12.03
2022-07-27,12.01
2022-07-26,11.85
2022-07-25,12.51
2022-07-22,12.43
2022-07-21,12.14
2022-07-20,12.01
2022-07-19,11.97
2022-07-18,11.76
2022-07-15,11.70
2022-07-14,11.47
2022-07-13,11.47
2022-07-12,11.55
2022-07-11,11.62
2022-07-08,11.46
2022-07-07,10.98
2022-07-06,10.82
2022-07-05,10.75
2022-07-01,10.60
2022-06-30,10.71
2022-06-29,10.90
2022-06-28,11.32
2022-06-27,11.78
2022-06-24,11.86
2022-06-23,11.42
2022-06-22,11.05
2022-06-21,11.29
2022-06-17,11.25
2022-06-16,11.10
2022-06-15,11.25
2022-06-14,10.61
2022-06-13,10.39
2022-06-10,11.16
