,BGI
2023-07-03,5.3000
2023-06-30,5.3000
2023-06-29,5.3100
2023-06-28,5.2200
2023-06-27,5.2200
2023-06-26,5.2000
2023-06-23,5.3500
2023-06-22,5.4000
2023-06-21,5.4000
2023-06-20,5.4000
2023-06-16,5.4900
2023-06-15,5.6000
2023-06-14,5.3000
2023-06-13,5.3000
2023-06-12,5.1600
2023-06-09,5.2300
2023-06-08,5.2500
2023-06-07,5.3000
2023-06-06,5.1600
2023-06-05,5.2000
2023-06-02,5.8000
2023-06-01,7.0400
2023-05-31,9.2600
2023-05-30,9.7500
2023-05-26,9.8000
2023-05-25,9.8000
2023-05-24,9.8300
2023-05-23,9.8200
2023-05-22,9.8000
2023-05-19,9.7500
2023-05-18,9.8300
2023-05-17,9.8200
2023-05-16,9.7800
2023-05-15,9.9100
2023-05-12,9.8800
2023-05-11,9.8400
2023-05-10,9.7000
2023-05-09,9.5500
2023-05-08,9.2200
2023-05-05,8.6600
2023-05-04,8.5500
2023-05-03,8.4200
2023-05-02,8.4500
2023-05-01,8.3200
2023-04-28,8.4600
2023-04-27,8.3700
2023-04-26,8.2100
2023-04-25,8.0900
2023-04-24,8.0800
2023-04-21,8.0800
2023-04-20,8.0900
2023-04-19,8.0900
2023-04-18,8.0900
2023-04-17,8.0900
2023-04-14,8.1000
2023-04-13,8.0800
2023-04-12,8.1100
2023-04-11,8.1000
2023-04-10,8.0700
2023-04-06,8.1100
2023-04-05,8.1000
2023-04-04,8.0900
2023-04-03,8.0500
2023-03-31,8.0800
2023-03-30,8.1200
2023-03-29,8.1100
2023-03-28,8.0600
2023-03-27,8.0500
2023-03-24,8.1300
2023-03-23,8.0200
2023-03-22,7.9900
2023-03-21,8.1200
2023-03-20,8.1300
2023-03-17,8.1300
2023-03-16,8.0400
2023-03-15,8.1000
2023-03-14,8.2300
2023-03-13,8.1600
2023-03-10,8.1500
2023-03-09,8.1600
2023-03-08,8.3200
2023-03-07,8.2400
2023-03-06,8.0800
2023-03-03,8.2200
2023-03-02,8.2200
2023-03-01,8.1600
2023-02-28,8.0900
2023-02-27,7.7300
2023-02-24,7.5600
2023-02-23,7.5700
2023-02-22,7.5100
2023-02-21,7.4600
2023-02-17,7.4900
2023-02-16,7.4600
2023-02-15,7.5000
2023-02-14,7.4800
2023-02-13,7.4800
2023-02-10,7.4800
2023-02-09,7.4900
2023-02-08,7.5300
2023-02-07,7.5100
2023-02-06,7.4800
2023-02-03,7.5100
2023-02-02,7.4200
2023-02-01,7.5000
2023-01-31,7.4900
2023-01-30,7.4500
2023-01-27,7.4300
2023-01-26,7.5100
2023-01-25,7.4600
2023-01-24,7.4900
2023-01-23,7.4200
2023-01-20,7.4800
2023-01-19,7.4100
2023-01-18,7.4700
2023-01-17,7.4900
2023-01-13,7.4800
2023-01-12,7.4700
2023-01-11,7.5100
2023-01-10,7.5100
2023-01-09,7.5700
2023-01-06,7.7500
2023-01-05,7.8300
2023-01-04,7.8600
2023-01-03,7.7800
2022-12-30,7.6000
2022-12-29,6.6600
2022-12-28,5.8200
2022-12-27,5.4500
2022-12-23,5.2200
2022-12-22,5.3800
2022-12-21,5.3300
2022-12-20,5.1700
2022-12-19,5.1400
2022-12-16,5.1400
2022-12-15,5.1600
2022-12-14,5.1600
2022-12-13,5.1700
2022-12-12,5.1400
2022-12-09,5.1100
2022-12-08,5.1300
2022-12-07,5.1300
2022-12-06,5.1500
2022-12-05,5.1300
2022-12-02,5.1200
2022-12-01,5.1300
2022-11-30,5.1800
2022-11-29,5.1800
2022-11-28,5.1200
2022-11-25,5.1600
2022-11-23,5.2000
2022-11-22,5.1500
2022-11-21,5.1300
2022-11-18,5.1400
2022-11-17,5.1100
2022-11-16,5.1100
2022-11-15,5.1500
2022-11-14,5.1900
2022-11-11,5.1200
2022-11-10,5.1000
2022-11-09,5.1000
2022-11-08,5.1000
2022-11-07,5.1500
2022-11-04,5.1100
2022-11-03,5.1100
2022-11-02,5.1300
2022-11-01,5.1300
2022-10-31,5.1000
2022-10-28,5.1100
2022-10-27,5.1400
2022-10-26,5.1500
2022-10-25,5.1200
2022-10-24,5.0800
2022-10-21,5.0600
2022-10-20,5.1500
2022-10-19,5.1000
2022-10-18,5.1100
2022-10-17,5.1700
2022-10-14,5.1500
2022-10-13,5.1500
2022-10-12,5.1500
2022-10-11,5.1400
2022-10-10,5.1000
2022-10-07,5.1200
2022-10-06,5.1300
2022-10-05,5.1700
2022-10-04,5.0900
2022-10-03,5.1900
2022-09-30,5.1500
2022-09-29,5.1500
2022-09-28,5.2000
2022-09-27,5.2100
2022-09-26,5.2000
2022-09-23,5.3700
2022-09-22,5.4000
2022-09-21,5.6200
2022-09-20,5.5500
2022-09-19,5.5700
2022-09-16,5.3700
2022-09-15,5.3100
2022-09-14,5.2500
2022-09-13,5.1400
2022-09-12,5.1400
2022-09-09,5.1500
2022-09-08,5.0500
2022-09-07,5.0600
2022-09-06,5.0600
2022-09-02,5.0700
2022-09-01,5.0600
2022-08-31,5.0500
2022-08-30,5.1200
2022-08-29,5.1100
2022-08-26,5.1400
2022-08-25,5.1000
2022-08-24,5.1200
2022-08-23,5.1200
2022-08-22,5.1200
2022-08-19,5.2900
2022-08-18,5.2300
2022-08-17,5.1600
2022-08-16,5.0900
2022-08-15,5.0800
2022-08-12,5.0800
2022-08-11,5.0700
2022-08-10,5.0500
2022-08-09,5.0600
2022-08-08,5.1200
2022-08-05,5.0700
2022-08-04,5.1200
2022-08-03,5.0800
2022-08-02,5.1000
2022-08-01,5.0900
2022-07-29,5.0700
2022-07-28,5.0900
2022-07-27,5.1000
2022-07-26,5.0800
2022-07-25,5.0800
2022-07-22,5.0600
2022-07-21,5.0600
2022-07-20,5.0600
2022-07-19,5.0500
2022-07-18,5.0600
2022-07-15,5.0400
2022-07-14,5.0500
2022-07-13,5.0500
2022-07-12,5.1200
2022-07-11,5.1300
2022-07-08,5.1500
2022-07-07,5.1700
2022-07-06,5.1600
2022-07-05,5.1800
2022-07-01,5.1800
2022-06-30,5.1900
2022-06-29,5.2200
2022-06-28,5.1600
2022-06-27,5.2100
2022-06-24,5.1900
2022-06-23,5.1100
2022-06-22,5.1100
2022-06-21,5.0500
2022-06-17,5.0100
2022-06-16,5.0100
2022-06-15,5.0000
2022-06-14,5.0000
2022-06-13,5.0000
2022-06-10,5.0000
2022-06-09,5.0000
2022-06-08,5.0000
2022-06-07,5.0100
2022-06-06,5.0100
2022-06-03,5.0200
2022-06-02,5.0400
2022-06-01,5.0100
2022-05-31,5.0200
2022-05-27,5.0200
2022-05-26,5.0100
2022-05-25,5.0400
2022-05-24,5.0100
2022-05-23,5.0400
2022-05-20,5.0200
2022-05-19,5.0300
2022-05-18,5.0100
2022-05-17,5.1300
2022-05-16,5.0500
2022-05-13,5.0200
2022-05-12,5.0000
2022-05-11,4.9900
2022-05-10,5.0700
2022-05-09,5.0000
2022-05-06,5.0700
2022-05-05,5.0900
2022-05-04,5.1200
2022-05-03,5.0900
2022-05-02,5.0100
2022-04-29,5.1100
2022-04-28,4.9800
2022-04-27,4.2900
2022-04-26,5.4100
2022-04-25,5.7000
2022-04-22,5.7500
2022-04-21,5.7800
2022-04-20,5.7000
2022-04-19,5.7900
2022-04-18,5.8500
2022-04-14,5.8100
2022-04-13,5.8300
2022-04-12,5.7700
2022-04-11,5.7900
2022-04-08,5.7100
2022-04-07,5.7300
2022-04-06,5.7600
2022-04-05,5.6000
2022-04-04,5.3100
2022-04-01,5.1300
2022-03-31,5.1600
2022-03-30,5.0600
2022-03-29,5.0500
2022-03-28,5.0500
2022-03-25,5.0300
2022-03-24,5.0500
2022-03-23,5.0300
2022-03-22,5.0000
2022-03-21,4.7200
2022-03-18,4.6600
2022-03-17,4.5600
2022-03-16,4.5300
2022-03-15,4.4900
2022-03-14,4.4800
2022-03-11,4.5400
2022-03-10,4.5700
2022-03-09,4.5900
2022-03-08,4.5200
2022-03-07,4.5200
2022-03-04,4.5400
2022-03-03,4.5000
2022-03-02,4.5600
2022-03-01,4.6200
2022-02-28,4.6100
2022-02-25,4.6600
2022-02-24,4.4600
2022-02-23,4.5100
2022-02-22,4.4400
2022-02-18,4.5000
2022-02-17,4.5100
2022-02-16,4.5000
2022-02-15,4.5200
2022-02-14,4.5200
2022-02-11,4.4800
2022-02-10,4.5000
2022-02-09,4.5200
2022-02-08,4.5200
2022-02-07,4.5100
2022-02-04,4.3600
2022-02-03,4.3000
2022-02-02,4.4500
2022-02-01,4.5500
2022-01-31,4.6100
2022-01-28,4.5000
2022-01-27,4.4000
2022-01-26,4.5200
2022-01-25,4.5600
2022-01-24,4.5200
2022-01-21,4.5200
2022-01-20,4.5300
2022-01-19,4.6600
2022-01-18,4.3900
2022-01-14,4.6000
2022-01-13,4.6000
2022-01-12,4.5900
2022-01-11,4.5300
2022-01-10,4.5400
2022-01-07,4.6600
2022-01-06,4.4500
2022-01-05,4.4800
2022-01-04,4.5600
2022-01-03,4.5500
2021-12-31,4.6100
2021-12-30,4.6100
2021-12-29,4.5900
2021-12-28,4.5500
2021-12-27,4.4500
2021-12-23,4.5200
2021-12-22,4.4600
2021-12-21,4.4900
2021-12-20,4.2800
2021-12-17,4.5200
2021-12-16,4.4700
2021-12-15,4.1400
2021-12-14,4.1100
2021-12-13,4.9000
2021-12-10,5.0400
2021-12-09,5.0000
2021-12-08,4.9500
2021-12-07,4.8400
2021-12-06,4.4500
2021-12-03,4.4200
2021-12-02,4.2800
2021-12-01,4.2500
2021-11-30,4.1000
2021-11-29,4.2600
2021-11-26,4.4600
2021-11-24,4.0600
2021-11-23,4.1300
2021-11-22,3.6600
2021-11-19,3.3300
2021-11-18,3.1000
2021-11-17,2.8200
2021-11-16,2.7800
2021-11-15,2.8300
2021-11-12,2.8200
2021-11-11,2.9000
2021-11-10,2.9000
2021-11-09,2.9000
2021-11-08,3.0700
2021-11-05,3.0700
2021-11-04,2.9000
2021-11-03,3.1600
2021-11-02,3.7100
2021-11-01,7.0500
2021-10-29,5.8800
2021-10-28,5.8000
2021-10-27,5.0000
2021-10-26,4.5000
2021-10-25,4.1000
2021-10-22,3.9000
2021-10-21,3.8300
2021-10-20,3.7900
2021-10-19,3.7200
2021-10-18,3.7100
2021-10-15,3.4500
2021-10-14,3.2000
