,CHDN
2023-07-03,136.45
2023-06-30,135.89
2023-06-29,132.96
2023-06-28,132.27
2023-06-27,131.33
2023-06-26,129.61
2023-06-23,130.16
2023-06-22,132.08
2023-06-21,134.45
2023-06-20,134.50
2023-06-16,135.69
2023-06-15,136.74
2023-06-14,137.47
2023-06-13,138.05
2023-06-12,138.56
2023-06-09,139.04
2023-06-08,138.66
2023-06-07,137.45
2023-06-06,133.40
2023-06-05,133.40
2023-06-02,138.63
2023-06-01,135.34
2023-05-31,134.34
2023-05-30,135.23
2023-05-26,137.46
2023-05-25,138.76
2023-05-24,137.66
2023-05-23,139.04
2023-05-22,141.29
2023-05-19,142.79
2023-05-18,141.93
2023-05-17,142.29
2023-05-16,143.09
2023-05-15,145.43
2023-05-12,145.52
2023-05-11,145.51
2023-05-10,144.74
2023-05-09,144.16
2023-05-08,145.10
2023-05-05,145.16
2023-05-04,144.09
2023-05-03,147.90
2023-05-02,145.99
2023-05-01,145.86
2023-04-28,143.63
2023-04-27,131.29
2023-04-26,125.42
2023-04-25,126.65
2023-04-24,128.12
2023-04-21,127.35
2023-04-20,127.56
2023-04-19,127.80
2023-04-18,127.57
2023-04-17,126.86
2023-04-14,126.44
2023-04-13,126.58
2023-04-12,125.96
2023-04-11,126.56
2023-04-10,125.65
2023-04-06,124.09
2023-04-05,124.70
2023-04-04,126.08
2023-04-03,127.12
2023-03-31,127.97
2023-03-30,125.00
2023-03-29,123.90
2023-03-28,122.04
2023-03-27,121.69
2023-03-24,118.04
2023-03-23,121.57
2023-03-22,126.37
2023-03-21,126.13
2023-03-20,123.50
2023-03-17,121.22
2023-03-16,119.87
2023-03-15,117.64
2023-03-14,118.61
2023-03-13,115.21
2023-03-10,117.99
2023-03-09,120.40
2023-03-08,121.29
2023-03-07,121.68
2023-03-06,122.53
2023-03-03,122.46
2023-03-02,121.39
2023-03-01,122.50
2023-02-28,121.62
2023-02-27,120.97
2023-02-24,120.23
2023-02-23,118.64
2023-02-22,120.51
2023-02-21,120.33
2023-02-17,121.63
2023-02-16,122.40
2023-02-15,122.01
2023-02-14,120.71
2023-02-13,121.76
2023-02-10,120.83
2023-02-09,121.78
2023-02-08,123.93
2023-02-07,123.12
2023-02-06,123.83
2023-02-03,122.72
2023-02-02,122.33
2023-02-01,123.68
2023-01-31,121.53
2023-01-30,122.04
2023-01-27,123.55
2023-01-26,123.08
2023-01-25,121.53
2023-01-24,120.39
2023-01-23,120.76
2023-01-20,117.04
2023-01-19,114.64
2023-01-18,114.33
2023-01-17,112.00
2023-01-13,110.80
2023-01-12,109.29
2023-01-11,109.77
2023-01-10,108.75
2023-01-09,108.94
2023-01-06,107.72
2023-01-05,106.74
2023-01-04,105.80
2023-01-03,104.32
2022-12-30,104.22
2022-12-29,103.86
2022-12-28,103.31
2022-12-27,104.75
2022-12-23,104.64
2022-12-22,101.89
2022-12-21,104.29
2022-12-20,102.63
2022-12-19,102.47
2022-12-16,107.76
2022-12-15,109.29
2022-12-14,111.92
2022-12-13,111.91
2022-12-12,109.61
2022-12-09,109.17
2022-12-08,108.68
2022-12-07,109.37
2022-12-06,109.51
2022-12-05,109.14
2022-12-02,109.20
2022-12-01,110.39
2022-11-30,107.40
2022-11-29,110.56
2022-11-28,110.52
2022-11-25,111.07
2022-11-23,110.54
2022-11-22,109.03
2022-11-21,109.56
2022-11-18,111.01
2022-11-17,109.52
2022-11-16,110.21
2022-11-15,110.89
2022-11-14,109.04
2022-11-11,109.86
2022-11-10,108.59
2022-11-09,102.28
2022-11-08,103.58
2022-11-07,100.34
2022-11-04,98.39
2022-11-03,98.17
2022-11-02,101.71
2022-11-01,103.07
2022-10-31,101.07
2022-10-28,97.64
2022-10-27,98.86
2022-10-26,103.61
2022-10-25,102.12
2022-10-24,101.51
2022-10-21,98.82
2022-10-20,99.31
2022-10-19,98.24
2022-10-18,100.72
2022-10-17,99.36
2022-10-14,97.38
2022-10-13,93.04
2022-10-12,95.60
2022-10-11,93.45
2022-10-10,93.68
2022-10-07,96.93
2022-10-06,97.93
2022-10-05,96.82
2022-10-04,95.28
2022-10-03,91.18
2022-09-30,90.57
2022-09-29,90.54
2022-09-28,91.28
2022-09-27,89.94
2022-09-26,90.32
2022-09-23,89.17
2022-09-22,91.75
2022-09-21,96.57
2022-09-20,99.21
2022-09-19,96.00
2022-09-16,96.29
2022-09-15,99.19
2022-09-14,98.01
2022-09-13,100.18
