,CMCSA
2023-07-03,40.89
2023-06-30,41.40
2023-06-29,41.30
2023-06-28,41.31
2023-06-27,40.37
2023-06-26,40.17
2023-06-23,39.94
2023-06-22,40.20
2023-06-21,40.32
2023-06-20,40.62
2023-06-16,41.10
2023-06-15,40.70
2023-06-14,40.61
2023-06-13,40.62
2023-06-12,40.10
2023-06-09,40.10
2023-06-08,39.99
2023-06-07,39.44
2023-06-06,39.27
2023-06-05,39.22
2023-06-02,38.48
2023-06-01,38.68
2023-05-31,38.85
2023-05-30,39.07
2023-05-26,39.09
2023-05-25,38.99
2023-05-24,39.88
2023-05-23,40.37
2023-05-22,41.17
2023-05-19,40.98
2023-05-18,39.82
2023-05-17,39.73
2023-05-16,39.53
2023-05-15,40.07
2023-05-12,40.02
2023-05-11,39.78
2023-05-10,39.28
2023-05-09,39.57
2023-05-08,40.26
2023-05-05,39.85
2023-05-04,40.01
2023-05-03,40.81
2023-05-02,40.52
2023-05-01,41.53
2023-04-28,39.99
2023-04-27,37.60
2023-04-26,36.39
2023-04-25,36.75
2023-04-24,37.08
2023-04-21,37.50
2023-04-20,37.58
2023-04-19,37.98
2023-04-18,37.95
2023-04-17,37.94
2023-04-14,37.43
2023-04-13,37.74
2023-04-12,37.54
2023-04-11,38.28
2023-04-10,37.42
2023-04-06,37.55
2023-04-05,37.53
2023-04-04,37.46
2023-04-03,37.82
2023-03-31,37.21
2023-03-30,36.97
2023-03-29,36.73
2023-03-28,36.35
2023-03-27,36.17
2023-03-24,35.28
2023-03-23,35.64
2023-03-22,36.17
2023-03-21,36.67
2023-03-20,36.16
2023-03-17,35.63
2023-03-16,35.41
2023-03-15,34.63
2023-03-14,34.93
2023-03-13,34.94
2023-03-10,34.99
2023-03-09,35.33
2023-03-08,35.61
2023-03-07,35.94
2023-03-06,37.02
2023-03-03,37.00
2023-03-02,36.39
2023-03-01,36.34
2023-02-28,36.82
2023-02-27,37.12
2023-02-24,36.89
2023-02-23,37.44
2023-02-22,37.58
2023-02-21,37.79
2023-02-17,38.97
2023-02-16,38.80
2023-02-15,38.72
2023-02-14,38.53
2023-02-13,38.17
2023-02-10,37.88
2023-02-09,37.87
2023-02-08,38.53
2023-02-07,39.02
2023-02-06,39.26
2023-02-03,39.80
2023-02-02,39.73
2023-02-01,38.68
2023-01-31,39.08
2023-01-30,38.94
2023-01-27,39.53
2023-01-26,39.01
2023-01-25,39.56
2023-01-24,39.65
2023-01-23,39.25
2023-01-20,37.97
2023-01-19,37.77
2023-01-18,38.17
2023-01-17,38.44
2023-01-13,38.47
2023-01-12,37.71
2023-01-11,37.43
2023-01-10,37.34
2023-01-09,37.42
2023-01-06,37.17
2023-01-05,36.21
2023-01-04,36.03
2023-01-03,34.74
2022-12-30,34.53
2022-12-29,34.70
2022-12-28,34.61
2022-12-27,34.64
2022-12-23,34.74
2022-12-22,34.41
2022-12-21,34.67
2022-12-20,33.78
2022-12-19,33.93
2022-12-16,34.06
2022-12-15,34.45
2022-12-14,34.73
2022-12-13,36.49
2022-12-12,35.45
2022-12-09,34.80
2022-12-08,34.38
2022-12-07,34.26
2022-12-06,34.49
2022-12-05,35.13
2022-12-02,35.47
2022-12-01,36.20
2022-11-30,35.17
2022-11-29,35.11
2022-11-28,35.25
2022-11-25,35.49
2022-11-23,34.95
2022-11-22,34.44
2022-11-21,34.03
2022-11-18,34.28
2022-11-17,33.21
2022-11-16,33.65
2022-11-15,33.95
2022-11-14,33.81
2022-11-11,32.83
2022-11-10,32.16
2022-11-09,31.18
2022-11-08,31.47
2022-11-07,31.13
2022-11-04,30.38
2022-11-03,30.04
2022-11-02,30.85
2022-11-01,31.54
2022-10-31,31.23
2022-10-28,30.63
2022-10-27,31.86
2022-10-26,31.45
2022-10-25,31.08
2022-10-24,30.73
2022-10-21,30.05
2022-10-20,30.26
2022-10-19,30.26
2022-10-18,30.47
2022-10-17,30.40
2022-10-14,30.01
2022-10-13,28.39
2022-10-12,28.52
2022-10-11,28.63
2022-10-10,29.03
2022-10-07,29.20
2022-10-06,29.99
2022-10-05,30.14
2022-10-04,30.40
2022-10-03,29.59
2022-09-30,29.28
2022-09-29,30.00
2022-09-28,30.40
2022-09-27,30.00
2022-09-26,30.53
2022-09-23,31.45
2022-09-22,32.30
2022-09-21,32.68
2022-09-20,33.60
2022-09-19,34.00
2022-09-16,33.93
2022-09-15,33.72
2022-09-14,33.65
2022-09-13,33.41
2022-09-12,35.37
2022-09-09,34.34
2022-09-08,33.74
2022-09-07,34.59
2022-09-06,34.59
2022-09-02,35.65
2022-09-01,36.15
2022-08-31,36.03
2022-08-30,35.61
2022-08-29,36.25
2022-08-26,36.78
2022-08-25,37.03
2022-08-24,37.07
2022-08-23,37.22
2022-08-22,37.54
2022-08-19,38.14
2022-08-18,38.41
2022-08-17,39.08
2022-08-16,39.94
2022-08-15,39.40
2022-08-12,39.44
2022-08-11,39.13
2022-08-10,38.56
2022-08-09,37.86
2022-08-08,38.51
2022-08-05,37.77
2022-08-04,38.36
2022-08-03,37.64
2022-08-02,37.44
2022-08-01,36.76
2022-07-29,36.57
2022-07-28,38.98
2022-07-27,42.43
2022-07-26,42.21
2022-07-25,42.15
2022-07-22,42.22
2022-07-21,41.14
2022-07-20,40.95
2022-07-19,40.87
2022-07-18,40.44
2022-07-15,39.89
2022-07-14,39.05
2022-07-13,38.97
2022-07-12,39.13
2022-07-11,39.01
2022-07-08,39.50
2022-07-07,39.41
2022-07-06,39.61
2022-07-05,38.91
2022-07-01,39.28
2022-06-30,38.50
2022-06-29,38.76
2022-06-28,39.10
2022-06-27,39.50
2022-06-24,38.91
2022-06-23,38.47
2022-06-22,38.18
2022-06-21,38.28
2022-06-17,37.91
2022-06-16,37.56
2022-06-15,39.71
2022-06-14,39.62
2022-06-13,40.07
2022-06-10,41.52
2022-06-09,42.16
2022-06-08,42.42
2022-06-07,41.73
2022-06-06,42.01
2022-06-03,42.81
2022-06-02,42.99
2022-06-01,43.47
2022-05-31,43.48
2022-05-27,43.98
2022-05-26,43.74
2022-05-25,42.75
2022-05-24,42.08
2022-05-23,42.04
2022-05-20,41.18
2022-05-19,41.80
2022-05-18,41.93
2022-05-17,41.93
2022-05-16,41.36
2022-05-13,41.05
2022-05-12,39.78
2022-05-11,39.61
2022-05-10,39.95
2022-05-09,39.59
2022-05-06,39.47
2022-05-05,40.04
2022-05-04,40.19
2022-05-03,39.97
2022-05-02,39.60
2022-04-29,39.61
2022-04-28,40.76
2022-04-27,44.08
2022-04-26,44.49
2022-04-25,44.86
2022-04-22,45.33
2022-04-21,46.83
2022-04-20,47.34
2022-04-19,46.74
2022-04-18,46.65
2022-04-14,47.49
2022-04-13,47.22
2022-04-12,47.13
2022-04-11,47.55
2022-04-08,46.54
2022-04-07,46.59
2022-04-06,47.43
2022-04-05,47.41
2022-04-04,47.63
2022-04-01,46.85
2022-03-31,46.82
2022-03-30,47.41
2022-03-29,47.39
2022-03-28,46.73
2022-03-25,46.85
2022-03-24,46.43
