,CNY
2023-07-03,7.2362
2023-06-30,7.2420
2023-06-29,7.2251
2023-06-28,7.2187
2023-06-27,7.1993
2023-06-26,7.1780
2023-06-23,7.1785
2023-06-22,7.1784
2023-06-21,7.1776
2023-06-20,7.1600
2023-06-19,7.1255
2023-06-16,7.1013
2023-06-15,7.1221
2023-06-14,7.1469
2023-06-13,7.1409
2023-06-12,7.1275
2023-06-09,7.1105
2023-06-08,7.1112
2023-06-07,7.0975
2023-06-06,7.0986
2023-06-05,7.0837
2023-06-02,7.0552
2023-06-01,7.0935
2023-05-31,7.0785
2023-05-30,7.0650
2023-05-29,7.0548
2023-05-26,7.0441
2023-05-25,7.0597
2023-05-24,7.0371
2023-05-23,7.0309
2023-05-22,7.0068
2023-05-19,6.9957
2023-05-18,6.9944
2023-05-17,6.9763
2023-05-16,6.9514
2023-05-15,6.9413
2023-05-12,6.9357
2023-05-11,6.9241
2023-05-10,6.9142
2023-05-09,6.9105
2023-05-08,6.9058
2023-05-05,6.9020
2023-05-04,6.8868
2023-05-03,6.9106
2023-05-02,6.9106
2023-05-01,6.9110
2023-04-28,6.9049
2023-04-27,6.9102
2023-04-26,6.9112
2023-04-25,6.8921
2023-04-24,6.8827
2023-04-21,6.8720
2023-04-20,6.8620
2023-04-19,6.8747
2023-04-18,6.8658
2023-04-17,6.8612
2023-04-14,6.8314
2023-04-13,6.8637
2023-04-12,6.8688
2023-04-11,6.8809
2023-04-10,6.8691
2023-04-07,6.8652
2023-04-06,6.8634
2023-04-05,6.8784
2023-04-04,6.8719
2023-04-03,6.8680
2023-03-31,6.8416
2023-03-30,6.8707
2023-03-29,6.8730
2023-03-28,6.8712
2023-03-27,6.8670
2023-03-24,6.8184
2023-03-23,6.8129
2023-03-22,6.8734
2023-03-21,6.8612
2023-03-20,6.8704
2023-03-17,6.8613
2023-03-16,6.8881
2023-03-15,6.8671
2023-03-14,6.8442
2023-03-13,6.8358
2023-03-10,6.8963
2023-03-09,6.9500
2023-03-08,6.9443
2023-03-07,6.9221
2023-03-06,6.9039
2023-03-03,6.8877
2023-03-02,6.8680
2023-03-01,6.8615
2023-02-28,6.9208
2023-02-27,6.9418
2023-02-24,6.9070
2023-02-23,6.8724
2023-02-22,6.8724
2023-02-21,6.8536
2023-02-20,6.8488
2023-02-17,6.8596
2023-02-16,6.8381
2023-02-15,6.8233
2023-02-14,6.8052
2023-02-13,6.8084
2023-02-10,6.7796
2023-02-09,6.7683
2023-02-08,6.7685
2023-02-07,6.7665
2023-02-06,6.7699
2023-02-03,6.7278
2023-02-02,6.7099
2023-02-01,6.7325
2023-01-31,6.7438
2023-01-30,6.7417
2023-01-27,6.7823
2023-01-26,6.7745
2023-01-25,6.7830
2023-01-24,6.7830
2023-01-23,6.7830
2023-01-20,6.7683
2023-01-19,6.7471
2023-01-18,6.7427
2023-01-17,6.7325
2023-01-16,6.6906
2023-01-13,6.7023
2023-01-12,6.7298
2023-01-11,6.7605
2023-01-10,6.7531
2023-01-09,6.7601
2023-01-06,6.8361
2023-01-05,6.8600
2023-01-04,6.8782
2023-01-03,6.8748
2023-01-02,6.8971
2022-12-30,6.8890
2022-12-29,6.9597
2022-12-28,6.9590
2022-12-27,6.9483
2022-12-26,6.9575
2022-12-23,6.9738
2022-12-22,6.9666
2022-12-21,6.9596
2022-12-20,6.9523
2022-12-19,6.9608
2022-12-16,6.9615
2022-12-15,6.9468
2022-12-14,6.9383
2022-12-13,6.9434
2022-12-12,6.9573
2022-12-09,6.9392
2022-12-08,6.9620
2022-12-07,6.9685
2022-12-06,6.9564
2022-12-05,6.9394
2022-12-02,7.0199
2022-12-01,7.0429
2022-11-30,7.0697
2022-11-29,7.1553
2022-11-28,7.1644
2022-11-25,7.1474
2022-11-24,7.1253
2022-11-23,7.1390
2022-11-22,7.1313
2022-11-21,7.1186
2022-11-18,7.1074
2022-11-17,7.0871
2022-11-16,7.0429
2022-11-15,7.0250
2022-11-14,7.0250
2022-11-11,7.0896
2022-11-10,7.1846
2022-11-09,7.2328
2022-11-08,7.2201
2022-11-07,7.1751
2022-11-04,7.1785
2022-11-03,7.2886
2022-11-02,7.2659
2022-11-01,7.2540
2022-10-31,7.2515
2022-10-28,7.2187
2022-10-27,7.1698
2022-10-26,7.1659
2022-10-25,7.2504
2022-10-24,7.2420
2022-10-21,7.2154
2022-10-20,7.2126
2022-10-19,7.1972
2022-10-18,7.1826
2022-10-17,7.1869
2022-10-14,7.1616
2022-10-13,7.1664
2022-10-12,7.1509
2022-10-11,7.1514
2022-10-10,7.1076
2022-10-07,7.1149
2022-10-06,7.1150
2022-10-05,7.1150
2022-10-04,7.1149
2022-10-03,7.1149
2022-09-30,7.0831
2022-09-29,7.1152
2022-09-28,7.1764
