,COLM
2023-07-03,76.91
2023-06-30,76.44
2023-06-29,76.01
2023-06-28,75.14
2023-06-27,75.12
2023-06-26,74.35
2023-06-23,73.60
2023-06-22,75.05
2023-06-21,75.30
2023-06-20,75.36
2023-06-16,76.55
2023-06-15,76.23
2023-06-14,76.11
2023-06-13,76.14
2023-06-12,76.00
2023-06-09,76.59
2023-06-08,76.26
2023-06-07,78.26
2023-06-06,75.82
2023-06-05,74.55
2023-06-02,74.08
2023-06-01,72.90
2023-05-31,72.84
2023-05-30,73.92
2023-05-26,73.54
2023-05-25,73.41
2023-05-24,73.53
2023-05-23,75.66
2023-05-22,75.04
2023-05-19,74.57
2023-05-18,76.07
2023-05-17,75.58
2023-05-16,75.99
2023-05-15,77.19
2023-05-12,77.62
2023-05-11,79.17
2023-05-10,78.48
2023-05-09,80.27
2023-05-08,81.73
2023-05-05,81.47
2023-05-04,80.09
2023-05-03,80.67
2023-05-02,80.91
2023-05-01,83.13
2023-04-28,82.00
2023-04-27,85.49
2023-04-26,85.58
2023-04-25,86.11
2023-04-24,88.92
2023-04-21,87.97
2023-04-20,88.37
2023-04-19,86.89
2023-04-18,87.08
2023-04-17,86.47
2023-04-14,87.77
2023-04-13,87.61
2023-04-12,87.63
2023-04-11,88.35
2023-04-10,87.86
2023-04-06,87.42
2023-04-05,88.71
2023-04-04,89.76
2023-04-03,90.08
2023-03-31,88.22
2023-03-30,87.54
2023-03-29,87.01
2023-03-28,86.54
2023-03-27,86.01
2023-03-24,84.95
2023-03-23,85.01
2023-03-22,85.62
2023-03-21,87.12
2023-03-20,86.05
2023-03-17,85.48
2023-03-16,84.02
2023-03-15,83.92
2023-03-14,85.78
2023-03-13,84.92
2023-03-10,85.20
2023-03-09,87.39
2023-03-08,87.64
2023-03-07,88.13
2023-03-06,88.22
2023-03-03,88.26
2023-03-02,87.71
2023-03-01,87.05
2023-02-28,87.15
2023-02-27,87.64
2023-02-24,86.78
2023-02-23,87.23
2023-02-22,87.05
2023-02-21,87.31
2023-02-17,90.03
2023-02-16,90.20
2023-02-15,89.94
2023-02-14,90.22
2023-02-13,89.12
2023-02-10,88.52
2023-02-09,89.67
2023-02-08,89.11
2023-02-07,90.17
2023-02-06,90.77
2023-02-03,85.99
2023-02-02,95.22
2023-02-01,94.89
2023-01-31,93.03
2023-01-30,90.49
2023-01-27,89.99
2023-01-26,89.45
2023-01-25,88.77
2023-01-24,89.53
2023-01-23,88.85
2023-01-20,87.09
2023-01-19,87.31
2023-01-18,90.30
2023-01-17,91.24
2023-01-13,91.03
2023-01-12,90.78
2023-01-11,91.73
2023-01-10,90.76
2023-01-09,91.09
2023-01-06,90.39
2023-01-05,89.69
2023-01-04,89.37
2023-01-03,88.03
2022-12-30,86.82
2022-12-29,85.42
2022-12-28,84.71
2022-12-27,85.75
2022-12-23,84.66
2022-12-22,84.70
2022-12-21,85.29
2022-12-20,82.97
2022-12-19,83.25
2022-12-16,84.10
2022-12-15,84.96
2022-12-14,87.00
2022-12-13,88.18
2022-12-12,87.05
2022-12-09,87.45
2022-12-08,87.90
2022-12-07,87.38
2022-12-06,87.38
2022-12-05,88.56
2022-12-02,89.12
2022-12-01,87.88
2022-11-30,86.77
2022-11-29,86.64
2022-11-28,86.06
2022-11-25,86.09
2022-11-23,85.74
2022-11-22,85.25
2022-11-21,83.50
2022-11-18,82.58
2022-11-17,79.12
2022-11-16,79.28
2022-11-15,81.55
2022-11-14,80.11
2022-11-11,77.60
2022-11-10,75.03
2022-11-09,72.04
2022-11-08,73.91
2022-11-07,74.02
2022-11-04,74.89
2022-11-03,72.25
2022-11-02,73.43
2022-11-01,74.43
2022-10-31,74.41
2022-10-28,73.51
2022-10-27,72.32
2022-10-26,74.81
2022-10-25,74.30
2022-10-24,72.36
2022-10-21,70.54
2022-10-20,70.85
2022-10-19,71.76
2022-10-18,72.59
2022-10-17,71.97
2022-10-14,71.49
2022-10-13,69.40
2022-10-12,72.08
2022-10-11,71.47
2022-10-10,71.25
2022-10-07,72.43
2022-10-06,74.56
2022-10-05,71.71
2022-10-04,70.45
2022-10-03,67.53
2022-09-30,65.02
2022-09-29,68.08
2022-09-28,67.69
2022-09-27,66.37
2022-09-26,66.93
2022-09-23,66.53
2022-09-22,68.14
2022-09-21,70.01
2022-09-20,70.68
2022-09-19,70.31
2022-09-16,70.58
2022-09-15,71.82
2022-09-14,71.77
2022-09-13,72.72
2022-09-12,74.77
2022-09-09,73.30
2022-09-08,70.00
2022-09-07,69.66
2022-09-06,69.34
2022-09-02,70.37
2022-09-01,70.35
2022-08-31,71.18
2022-08-30,71.31
2022-08-29,72.20
2022-08-26,73.14
2022-08-25,74.33
2022-08-24,73.06
2022-08-23,73.37
2022-08-22,73.21
2022-08-19,75.47
2022-08-18,75.82
2022-08-17,76.40
2022-08-16,76.19
2022-08-15,75.89
2022-08-12,75.93
2022-08-11,75.97
2022-08-10,74.98
2022-08-09,73.22
2022-08-08,75.21
2022-08-05,72.83
2022-08-04,73.51
2022-08-03,72.52
2022-08-02,71.58
2022-08-01,73.02
2022-07-29,72.21
2022-07-28,70.82
2022-07-27,72.35
2022-07-26,72.33
2022-07-25,74.65
2022-07-22,75.24
2022-07-21,75.51
2022-07-20,75.08
2022-07-19,73.90
2022-07-18,72.98
2022-07-15,73.06
2022-07-14,72.18
2022-07-13,72.42
2022-07-12,73.48
2022-07-11,73.51
2022-07-08,73.38
2022-07-07,72.93
2022-07-06,72.03
2022-07-05,70.33
2022-07-01,70.51
2022-06-30,71.11
2022-06-29,72.54
2022-06-28,74.03
2022-06-27,75.37
2022-06-24,73.81
2022-06-23,72.04
2022-06-22,71.23
2022-06-21,71.33
2022-06-17,69.06
2022-06-16,68.29
2022-06-15,71.32
2022-06-14,70.80
2022-06-13,71.42
2022-06-10,75.00
2022-06-09,77.47
2022-06-08,78.07
2022-06-07,77.42
2022-06-06,79.73
2022-06-03,78.71
2022-06-02,77.64
2022-06-01,76.76
2022-05-31,75.53
2022-05-27,74.29
2022-05-26,74.61
2022-05-25,71.74
2022-05-24,70.91
2022-05-23,73.46
2022-05-20,73.51
2022-05-19,73.78
2022-05-18,74.65
2022-05-17,78.85
2022-05-16,78.67
2022-05-13,78.15
2022-05-12,74.06
2022-05-11,74.58
2022-05-10,74.77
2022-05-09,74.49
2022-05-06,76.01
2022-05-05,78.93
2022-05-04,80.81
2022-05-03,80.42
2022-05-02,80.91
2022-04-29,80.02
2022-04-28,86.39
2022-04-27,85.42
2022-04-26,85.04
2022-04-25,84.88
2022-04-22,86.10
2022-04-21,88.43
2022-04-20,89.71
2022-04-19,88.47
2022-04-18,87.07
2022-04-14,87.78
2022-04-13,86.68
2022-04-12,86.50
2022-04-11,85.66
2022-04-08,85.97
2022-04-07,85.51
2022-04-06,85.72
2022-04-05,88.28
2022-04-04,89.67
2022-04-01,90.00
2022-03-31,90.49
2022-03-30,93.20
2022-03-29,93.00
2022-03-28,90.50
2022-03-25,90.83
2022-03-24,90.32
2022-03-23,90.67
2022-03-22,91.90
2022-03-21,92.52
2022-03-18,92.68
2022-03-17,91.64
2022-03-16,89.45
2022-03-15,86.73
2022-03-14,86.17
2022-03-11,85.51
2022-03-10,85.76
2022-03-09,87.36
2022-03-08,83.75
2022-03-07,83.62
2022-03-04,90.01
2022-03-03,92.27
2022-03-02,90.15
2022-03-01,89.89
2022-02-28,91.64
2022-02-25,91.67
2022-02-24,88.64
2022-02-23,91.41
2022-02-22,93.54
2022-02-18,95.75
2022-02-17,96.94
2022-02-16,97.56
2022-02-15,96.63
2022-02-14,95.36
2022-02-11,96.00
2022-02-10,98.71
2022-02-09,99.46
2022-02-08,94.75
2022-02-07,93.63
2022-02-04,93.23
2022-02-03,89.76
2022-02-02,92.34
2022-02-01,91.65
2022-01-31,88.81
2022-01-28,87.43
2022-01-27,87.03
2022-01-26,87.09
2022-01-25,88.25
2022-01-24,87.54
2022-01-21,88.90
2022-01-20,88.99
2022-01-19,91.04
2022-01-18,90.01
2022-01-14,90.52
2022-01-13,92.76
2022-01-12,92.42
2022-01-11,90.85
2022-01-10,91.39
2022-01-07,93.10
2022-01-06,93.40
2022-01-05,94.82
2022-01-04,96.61
2022-01-03,97.23
2021-12-31,96.92
2021-12-30,97.35
2021-12-29,95.43
2021-12-28,94.50
2021-12-27,93.48
2021-12-23,92.45
2021-12-22,92.20
2021-12-21,91.81
2021-12-20,90.44
2021-12-17,94.40
2021-12-16,95.08
2021-12-15,97.59
2021-12-14,98.11
2021-12-13,98.67
2021-12-10,100.92
2021-12-09,101.38
2021-12-08,100.53
2021-12-07,100.58
2021-12-06,97.20
2021-12-03,96.00
2021-12-02,95.82
2021-12-01,96.08
2021-11-30,96.04
2021-11-29,99.34
2021-11-26,98.81
2021-11-24,101.17
2021-11-23,103.60
2021-11-22,103.28
2021-11-19,102.69
2021-11-18,104.58
2021-11-17,104.86
2021-11-16,105.91
2021-11-15,105.52
2021-11-12,105.19
2021-11-11,105.58
2021-11-10,105.56
2021-11-09,104.21
2021-11-08,103.98
2021-11-05,103.50
2021-11-04,102.84
2021-11-03,101.42
2021-11-02,101.27
2021-11-01,102.74
2021-10-29,99.52
2021-10-28,99.05
2021-10-27,99.51
2021-10-26,99.85
2021-10-25,98.88
2021-10-22,96.95
2021-10-21,96.75
2021-10-20,96.53
2021-10-19,95.65
2021-10-18,95.00
2021-10-15,96.05
2021-10-14,95.86
2021-10-13,94.46
2021-10-12,94.61
2021-10-11,94.74
2021-10-08,95.18
2021-10-07,95.63
2021-10-06,93.15
2021-10-05,93.29
2021-10-04,97.40
2021-10-01,96.00
2021-09-30,95.78
2021-09-29,98.44
2021-09-28,98.92
2021-09-27,98.97
2021-09-24,97.60
2021-09-23,99.18
2021-09-22,98.93
2021-09-21,98.15
2021-09-20,96.68
2021-09-17,98.28
2021-09-16,101.08
2021-09-15,101.29
2021-09-14,102.34
2021-09-13,102.66
2021-09-10,101.15
2021-09-09,100.01
2021-09-08,99.21
2021-09-07,100.30
2021-09-03,102.84
2021-09-02,102.80
2021-09-01,102.78
2021-08-31,101.73
2021-08-30,102.76
2021-08-27,102.44
2021-08-26,101.53
2021-08-25,102.01
2021-08-24,101.37
2021-08-23,101.12
2021-08-20,99.57
2021-08-19,98.89
2021-08-18,100.27
2021-08-17,100.00
2021-08-16,101.44
2021-08-13,102.26
2021-08-12,102.63
2021-08-11,101.58
2021-08-10,102.01
2021-08-09,101.50
2021-08-06,102.00
2021-08-05,101.34
2021-08-04,100.82
2021-08-03,101.50
2021-08-02,100.25
2021-07-30,99.17
2021-07-29,99.60
2021-07-28,97.88
2021-07-27,97.21
2021-07-26,98.16
2021-07-23,98.15
2021-07-22,97.68
2021-07-21,99.56
2021-07-20,96.77
2021-07-19,95.23
2021-07-16,97.85
2021-07-15,98.63
2021-07-14,100.15
2021-07-13,98.89
2021-07-12,100.55
2021-07-09,100.13
2021-07-08,98.00
2021-07-07,99.28
2021-07-06,98.57
2021-07-02,99.68
2021-07-01,98.50
2021-06-30,97.62
2021-06-29,98.90
2021-06-28,98.76
2021-06-25,100.79
2021-06-24,99.42
2021-06-23,99.70
2021-06-22,98.60
2021-06-21,98.23
2021-06-18,98.15
2021-06-17,97.93
2021-06-16,99.67
2021-06-15,100.16
2021-06-14,100.72
2021-06-11,100.97
2021-06-10,99.32
2021-06-09,100.40
2021-06-08,99.17
2021-06-07,99.17
2021-06-04,99.41
2021-06-03,99.59
2021-06-02,100.49
2021-06-01,101.62
2021-05-28,102.42
2021-05-27,103.02
2021-05-26,102.97
2021-05-25,101.40
2021-05-24,101.78
2021-05-21,102.07
2021-05-20,101.07
2021-05-19,102.03
2021-05-18,103.34
2021-05-17,104.86
2021-05-14,103.84
2021-05-13,102.63
2021-05-12,102.71
2021-05-11,104.27
2021-05-10,106.30
2021-05-07,106.20
2021-05-06,105.41
2021-05-05,106.82
2021-05-04,106.81
2021-05-03,107.77
2021-04-30,101.79
2021-04-29,112.78
2021-04-28,112.32
2021-04-27,110.61
2021-04-26,111.56
2021-04-23,110.85
2021-04-22,109.50
2021-04-21,108.75
2021-04-20,107.50
2021-04-19,108.85
2021-04-16,106.31
2021-04-15,106.63
2021-04-14,105.93
2021-04-13,104.61
2021-04-12,105.03
2021-04-09,105.22
2021-04-08,104.01
2021-04-07,105.45
2021-04-06,106.76
2021-04-05,103.49
2021-04-01,103.77
2021-03-31,105.57
2021-03-30,104.73
2021-03-29,105.01
2021-03-26,105.94
2021-03-25,101.51
2021-03-24,103.01
2021-03-23,105.14
2021-03-22,107.87
2021-03-19,103.38
2021-03-18,104.75
2021-03-17,102.78
2021-03-16,103.69
2021-03-15,104.19
2021-03-12,103.76
2021-03-11,103.07
2021-03-10,102.18
2021-03-09,102.65
2021-03-08,101.55
2021-03-05,98.11
2021-03-04,97.49
2021-03-03,102.30
2021-03-02,100.45
2021-03-01,104.39
2021-02-26,102.62
2021-02-25,104.90
2021-02-24,103.80
2021-02-23,100.86
2021-02-22,102.02
2021-02-19,101.28
2021-02-18,99.20
2021-02-17,98.48
2021-02-16,100.47
2021-02-12,99.84
2021-02-11,100.74
2021-02-10,101.19
2021-02-09,101.37
2021-02-08,101.68
2021-02-05,99.58
2021-02-04,90.17
2021-02-03,89.67
2021-02-02,90.62
2021-02-01,87.15
2021-01-29,85.82
2021-01-28,85.28
2021-01-27,86.45
2021-01-26,88.81
2021-01-25,90.84
2021-01-22,90.29
2021-01-21,91.59
2021-01-20,92.02
2021-01-19,91.33
2021-01-15,92.24
2021-01-14,93.51
2021-01-13,92.73
2021-01-12,90.50
2021-01-11,88.01
2021-01-08,87.63
2021-01-07,88.15
2021-01-06,85.89
2021-01-05,84.19
2021-01-04,84.23
2020-12-31,87.17
2020-12-30,87.40
2020-12-29,86.10
2020-12-28,87.01
2020-12-24,89.21
2020-12-23,89.17
2020-12-22,86.40
2020-12-21,86.35
2020-12-18,85.06
2020-12-17,85.56
2020-12-16,85.64
2020-12-15,83.56
2020-12-14,82.81
2020-12-11,82.82
2020-12-10,83.14
2020-12-09,83.53
2020-12-08,85.85
2020-12-07,86.22
2020-12-04,84.52
2020-12-03,82.97
2020-12-02,82.51
2020-12-01,82.24
2020-11-30,81.76
2020-11-27,84.00
2020-11-25,84.26
2020-11-24,85.40
2020-11-23,82.83
2020-11-20,82.27
2020-11-19,81.12
2020-11-18,82.55
2020-11-17,79.33
2020-11-16,78.56
2020-11-13,77.19
2020-11-12,77.08
2020-11-11,78.94
2020-11-10,79.36
2020-11-09,79.72
2020-11-06,78.25
2020-11-05,79.27
2020-11-04,77.82
2020-11-03,75.11
2020-11-02,74.02
2020-10-30,73.11
2020-10-29,92.33
2020-10-28,92.11
2020-10-27,95.20
2020-10-26,93.34
2020-10-23,94.82
2020-10-22,87.63
2020-10-21,92.40
2020-10-20,91.83
2020-10-19,92.31
2020-10-16,91.99
2020-10-15,91.69
2020-10-14,91.53
2020-10-13,91.90
2020-10-12,93.07
2020-10-09,93.07
2020-10-08,91.83
2020-10-07,90.19
2020-10-06,89.49
2020-10-05,89.48
2020-10-02,85.72
2020-10-01,87.13
2020-09-30,86.00
2020-09-29,85.57
2020-09-28,89.14
2020-09-25,89.04
2020-09-24,88.03
2020-09-23,89.85
2020-09-22,87.77
2020-09-21,85.75
2020-09-18,88.62
2020-09-17,90.44
2020-09-16,92.48
2020-09-15,91.01
2020-09-14,90.33
2020-09-11,89.23
2020-09-10,88.55
2020-09-09,87.84
2020-09-08,88.20
2020-09-04,88.39
2020-09-03,88.80
2020-09-02,89.29
2020-09-01,85.25
2020-08-31,85.53
2020-08-28,85.74
2020-08-27,84.39
2020-08-26,82.62
2020-08-25,83.00
2020-08-24,81.37
2020-08-21,79.61
2020-08-20,79.41
2020-08-19,80.02
2020-08-18,80.11
2020-08-17,80.25
2020-08-14,78.98
2020-08-13,77.92
2020-08-12,78.38
2020-08-11,79.64
2020-08-10,76.28
2020-08-07,73.80
2020-08-06,74.48
2020-08-05,73.59
2020-08-04,73.30
2020-08-03,73.51
2020-07-31,75.16
2020-07-30,80.08
2020-07-29,80.87
2020-07-28,80.64
2020-07-27,80.07
2020-07-24,80.22
2020-07-23,79.32
2020-07-22,78.61
2020-07-21,78.23
2020-07-20,76.57
2020-07-17,77.76
2020-07-16,79.36
2020-07-15,78.71
2020-07-14,76.45
2020-07-13,75.71
2020-07-10,75.04
2020-07-09,75.05
2020-07-08,76.13
2020-07-07,76.61
2020-07-06,79.48
2020-07-02,79.77
2020-07-01,79.88
2020-06-30,79.00
2020-06-29,77.48
2020-06-26,76.13
2020-06-25,75.51
2020-06-24,77.01
2020-06-23,78.83
2020-06-22,77.49
2020-06-19,78.23
2020-06-18,78.85
2020-06-17,80.17
2020-06-16,80.55
2020-06-15,77.37
2020-06-12,77.51
2020-06-11,77.33
2020-06-10,82.57
2020-06-09,83.77
2020-06-08,85.03
2020-06-05,84.40
2020-06-04,78.73
2020-06-03,76.79
2020-06-02,75.28
2020-06-01,73.04
2020-05-29,72.24
2020-05-28,73.56
2020-05-27,73.86
2020-05-26,72.01
2020-05-22,68.33
2020-05-21,67.08
2020-05-20,67.07
2020-05-19,66.12
2020-05-18,65.34
2020-05-15,59.50
2020-05-14,57.16
2020-05-13,59.08
2020-05-12,62.63
2020-05-11,64.54
2020-05-08,66.51
2020-05-07,65.29
2020-05-06,63.43
2020-05-05,65.15
2020-05-04,64.93
2020-05-01,65.91
2020-04-30,71.41
2020-04-29,74.40
2020-04-28,74.22
2020-04-27,70.65
2020-04-24,67.57
2020-04-23,66.87
2020-04-22,66.19
2020-04-21,65.80
2020-04-20,69.60
2020-04-17,71.64
2020-04-16,69.75
2020-04-15,69.48
2020-04-14,72.40
2020-04-13,71.04
2020-04-09,73.51
2020-04-08,71.41
2020-04-07,71.50
2020-04-06,67.17
2020-04-03,64.16
2020-04-02,64.42
2020-04-01,64.08
2020-03-31,68.78
2020-03-30,66.06
2020-03-27,66.74
2020-03-26,63.97
2020-03-25,61.23
2020-03-24,58.82
2020-03-23,54.59
2020-03-20,59.53
2020-03-19,56.02
2020-03-18,51.82
2020-03-17,56.08
2020-03-16,58.05
2020-03-13,63.27
2020-03-12,63.42
2020-03-11,67.82
2020-03-10,71.95
2020-03-09,70.89
2020-03-06,76.94
2020-03-05,78.60
2020-03-04,77.66
2020-03-03,78.04
2020-03-02,79.91
2020-02-28,79.64
2020-02-27,81.46
2020-02-26,84.37
2020-02-25,84.15
2020-02-24,87.29
2020-02-21,90.20
2020-02-20,90.17
2020-02-19,90.16
2020-02-18,90.62
2020-02-14,90.83
2020-02-13,90.51
2020-02-12,90.72
2020-02-11,88.89
2020-02-10,89.41
2020-02-07,87.69
2020-02-06,94.08
2020-02-05,94.73
2020-02-04,94.18
2020-02-03,93.87
2020-01-31,93.14
2020-01-30,94.07
2020-01-29,93.91
2020-01-28,91.43
