,DECK
2023-07-03,528.51
2023-06-30,517.99
2023-06-29,512.79
2023-06-28,512.37
2023-06-27,508.44
2023-06-26,505.15
2023-06-23,497.12
2023-06-22,501.74
2023-06-21,508.78
2023-06-20,501.99
2023-06-16,507.83
2023-06-15,502.44
2023-06-14,487.12
2023-06-13,489.36
2023-06-12,487.65
2023-06-09,485.80
2023-06-08,485.47
2023-06-07,491.07
2023-06-06,485.42
2023-06-05,477.36
2023-06-02,472.48
2023-06-01,464.25
2023-05-31,466.18
2023-05-30,470.18
2023-05-26,424.36
2023-05-25,441.17
2023-05-24,437.11
2023-05-23,443.67
2023-05-22,451.36
2023-05-19,441.74
2023-05-18,466.90
2023-05-17,464.42
2023-05-16,467.31
2023-05-15,487.62
2023-05-12,485.62
2023-05-11,489.43
2023-05-10,487.22
2023-05-09,489.77
2023-05-08,482.91
2023-05-05,480.12
2023-05-04,475.35
2023-05-03,480.16
2023-05-02,474.17
2023-05-01,479.61
2023-04-28,469.15
2023-04-27,460.81
2023-04-26,475.17
2023-04-25,475.00
2023-04-24,482.99
2023-04-21,477.44
2023-04-20,479.07
2023-04-19,476.34
2023-04-18,467.70
2023-04-17,464.16
2023-04-14,463.92
2023-04-13,457.20
2023-04-12,456.96
2023-04-11,455.92
2023-04-10,444.52
2023-04-06,439.27
2023-04-05,445.35
2023-04-04,448.21
2023-04-03,446.52
2023-03-31,446.52
2023-03-30,446.42
2023-03-29,447.88
2023-03-28,448.13
2023-03-27,441.10
2023-03-24,435.02
2023-03-23,435.50
2023-03-22,432.97
2023-03-21,423.15
2023-03-20,412.60
2023-03-17,405.54
2023-03-16,403.24
2023-03-15,395.91
2023-03-14,414.43
2023-03-13,401.27
2023-03-10,405.31
2023-03-09,421.22
2023-03-08,425.98
2023-03-07,431.19
2023-03-06,427.73
2023-03-03,420.73
2023-03-02,411.95
2023-03-01,412.50
2023-02-28,406.58
2023-02-27,403.29
2023-02-24,397.62
2023-02-23,402.26
2023-02-22,397.15
2023-02-21,398.69
2023-02-17,403.77
2023-02-16,405.52
2023-02-15,415.24
2023-02-14,418.04
2023-02-13,414.55
2023-02-10,411.45
2023-02-09,417.33
2023-02-08,408.13
2023-02-07,409.65
2023-02-06,408.61
2023-02-03,409.05
2023-02-02,417.16
2023-02-01,418.50
2023-01-31,417.23
2023-01-30,419.91
2023-01-27,419.53
2023-01-26,416.24
2023-01-25,411.07
2023-01-24,416.58
2023-01-23,419.88
2023-01-20,414.26
2023-01-19,415.72
2023-01-18,420.01
2023-01-17,417.99
2023-01-13,413.11
2023-01-12,408.61
2023-01-11,406.15
2023-01-10,402.25
2023-01-09,392.21
2023-01-06,395.21
2023-01-05,382.56
2023-01-04,387.06
2023-01-03,387.16
2022-12-30,391.40
2022-12-29,393.10
2022-12-28,385.51
2022-12-27,389.11
2022-12-23,384.45
2022-12-22,379.03
2022-12-21,372.13
2022-12-20,361.62
2022-12-19,364.28
2022-12-16,365.96
2022-12-15,375.70
2022-12-14,379.99
2022-12-13,375.04
2022-12-12,370.51
2022-12-09,368.36
2022-12-08,378.12
2022-12-07,369.82
2022-12-06,370.04
2022-12-05,375.43
2022-12-02,385.86
2022-12-01,386.11
2022-11-30,387.55
