,DIS
2023-07-03,88.91
2023-06-30,88.61
2023-06-29,87.34
2023-06-28,88.53
2023-06-27,88.49
2023-06-26,87.77
2023-06-23,87.61
2023-06-22,88.12
2023-06-21,88.11
2023-06-20,89.74
2023-06-16,90.86
2023-06-15,91.61
2023-06-14,91.92
2023-06-13,93.44
2023-06-12,91.77
2023-06-09,91.55
2023-06-08,91.30
2023-06-07,91.86
2023-06-06,91.02
2023-06-05,89.44
2023-06-02,89.60
2023-06-01,87.11
2023-05-31,87.15
2023-05-30,87.01
2023-05-26,88.10
2023-05-25,87.79
2023-05-24,88.41
2023-05-23,89.81
2023-05-22,89.89
2023-05-19,91.32
2023-05-18,92.46
2023-05-17,90.85
2023-05-16,90.78
2023-05-15,90.70
2023-05-12,91.24
2023-05-11,91.88
2023-05-10,100.04
2023-05-09,102.09
2023-05-08,101.69
2023-05-05,98.11
2023-05-04,96.61
2023-05-03,100.64
2023-05-02,99.62
2023-05-01,101.61
2023-04-28,99.08
2023-04-27,96.71
2023-04-26,96.46
2023-04-25,98.01
2023-04-24,98.67
2023-04-21,97.72
2023-04-20,97.39
2023-04-19,98.36
2023-04-18,99.60
2023-04-17,99.15
2023-04-14,98.93
2023-04-13,98.51
2023-04-12,97.70
2023-04-11,100.29
2023-04-10,98.90
2023-04-06,98.55
2023-04-05,98.63
2023-04-04,98.76
2023-04-03,99.27
2023-03-31,98.50
2023-03-30,97.67
2023-03-29,95.35
2023-03-28,94.59
2023-03-27,94.38
2023-03-24,93.02
2023-03-23,94.76
2023-03-22,94.82
2023-03-21,95.17
2023-03-20,93.00
2023-03-17,92.91
2023-03-16,91.89
2023-03-15,91.41
2023-03-14,92.34
2023-03-13,90.46
2023-03-10,92.83
2023-03-09,95.92
2023-03-08,98.30
2023-03-07,98.89
2023-03-06,100.49
2023-03-03,98.88
2023-03-02,97.42
2023-03-01,98.10
2023-02-28,99.57
2023-02-27,100.06
2023-02-24,98.96
2023-02-23,99.61
2023-02-22,101.09
2023-02-21,101.83
2023-02-17,103.88
2023-02-16,105.70
2023-02-15,106.70
2023-02-14,105.82
2023-02-13,106.55
2023-02-10,107.21
2023-02-09,109.81
2023-02-08,110.29
2023-02-07,108.86
2023-02-06,108.53
2023-02-03,110.37
2023-02-02,109.69
2023-02-01,106.90
2023-01-31,107.45
2023-01-30,107.48
2023-01-27,109.16
2023-01-26,107.57
2023-01-25,104.18
2023-01-24,102.00
2023-01-23,102.92
2023-01-20,99.30
2023-01-19,97.12
2023-01-18,98.72
2023-01-17,99.00
2023-01-13,98.01
2023-01-12,97.57
2023-01-11,95.05
2023-01-10,93.82
2023-01-09,93.45
2023-01-06,91.32
2023-01-05,90.51
2023-01-04,89.36
2023-01-03,87.83
2022-12-30,85.23
2022-12-29,84.97
2022-12-28,84.07
2022-12-27,85.96
2022-12-23,85.77
2022-12-22,84.69
2022-12-21,86.48
2022-12-20,85.76
2022-12-19,85.41
2022-12-16,88.81
2022-12-15,90.12
2022-12-14,92.62
2022-12-13,93.57
2022-12-12,92.61
2022-12-09,91.90
2022-12-08,91.67
2022-12-07,91.26
2022-12-06,91.98
2022-12-05,95.67
2022-12-02,97.01
2022-12-01,96.58
2022-11-30,93.87
2022-11-29,93.92
2022-11-28,95.43
2022-11-25,98.08
2022-11-23,95.78
