,DKS
2023-07-03,131.04
2023-06-30,129.35
2023-06-29,132.48
2023-06-28,134.41
2023-06-27,134.16
2023-06-26,134.68
2023-06-23,134.32
2023-06-22,134.76
2023-06-21,135.20
2023-06-20,133.37
2023-06-16,133.02
2023-06-15,132.01
2023-06-14,134.25
2023-06-13,134.95
2023-06-12,134.16
2023-06-09,134.60
2023-06-08,133.44
2023-06-07,134.13
2023-06-06,126.00
2023-06-05,127.41
2023-06-02,127.73
2023-06-01,125.95
2023-05-31,126.09
2023-05-30,126.00
2023-05-26,121.64
2023-05-25,121.59
2023-05-24,123.25
2023-05-23,123.62
2023-05-22,125.05
2023-05-19,126.29
2023-05-18,133.36
2023-05-17,132.19
2023-05-16,131.18
2023-05-15,137.06
2023-05-12,139.17
2023-05-11,138.04
2023-05-10,138.06
2023-05-09,139.19
2023-05-08,139.93
2023-05-05,139.55
2023-05-04,139.91
2023-05-03,142.07
2023-05-02,139.84
2023-05-01,139.96
2023-04-28,143.12
2023-04-27,143.11
2023-04-26,144.92
2023-04-25,145.48
2023-04-24,148.49
2023-04-21,145.79
2023-04-20,143.08
2023-04-19,141.51
2023-04-18,140.85
2023-04-17,138.39
2023-04-14,137.72
2023-04-13,134.59
2023-04-12,137.12
2023-04-11,138.20
2023-04-10,136.52
2023-04-06,135.86
2023-04-05,139.44
2023-04-04,142.67
2023-04-03,141.50
2023-03-31,137.04
2023-03-30,136.68
2023-03-29,136.81
2023-03-28,135.16
2023-03-27,133.29
2023-03-24,136.19
2023-03-23,137.48
2023-03-22,142.17
2023-03-21,145.51
2023-03-20,143.18
2023-03-17,143.44
2023-03-16,144.00
2023-03-15,144.17
2023-03-14,144.20
2023-03-13,143.78
2023-03-10,145.50
2023-03-09,149.26
2023-03-08,146.70
2023-03-07,138.85
2023-03-06,131.80
2023-03-03,129.14
2023-03-02,127.25
2023-03-01,127.02
2023-02-28,126.43
2023-02-27,129.11
2023-02-24,127.32
2023-02-23,128.15
2023-02-22,129.10
2023-02-21,127.61
2023-02-17,128.72
2023-02-16,129.38
2023-02-15,127.62
2023-02-14,128.02
2023-02-13,127.58
2023-02-10,127.90
2023-02-09,129.77
2023-02-08,130.99
2023-02-07,131.75
2023-02-06,133.60
2023-02-03,132.21
2023-02-02,132.72
2023-02-01,130.40
2023-01-31,126.45
2023-01-30,125.94
2023-01-27,125.47
2023-01-26,123.51
2023-01-25,121.67
2023-01-24,124.81
2023-01-23,123.84
2023-01-20,119.44
2023-01-19,119.22
2023-01-18,123.07
2023-01-17,126.70
2023-01-13,125.96
2023-01-12,127.99
2023-01-11,126.76
2023-01-10,127.05
2023-01-09,127.05
2023-01-06,125.85
2023-01-05,122.18
2023-01-04,121.12
2023-01-03,118.55
2022-12-30,116.92
2022-12-29,115.35
2022-12-28,113.91
2022-12-27,111.00
2022-12-23,107.47
2022-12-22,106.51
2022-12-21,111.68
2022-12-20,108.42
2022-12-19,109.55
2022-12-16,111.11
2022-12-15,111.00
2022-12-14,115.09
2022-12-13,114.51
2022-12-12,117.79
2022-12-09,117.16
2022-12-08,118.19
2022-12-07,114.96
2022-12-06,113.07
2022-12-05,114.33
2022-12-02,116.10
2022-12-01,114.86
2022-11-30,117.49
2022-11-29,115.59
2022-11-28,118.06
2022-11-25,117.79
2022-11-23,115.50
2022-11-22,105.26
2022-11-21,105.28
2022-11-18,105.24
2022-11-17,98.01
2022-11-16,98.14
2022-11-15,106.85
2022-11-14,104.78
2022-11-11,107.20
2022-11-10,106.93
2022-11-09,101.78
2022-11-08,101.89
2022-11-07,107.09
2022-11-04,108.41
2022-11-03,108.90
2022-11-02,111.20
2022-11-01,113.99
2022-10-31,113.72
2022-10-28,108.76
2022-10-27,110.57
2022-10-26,111.85
2022-10-25,114.51
