,EA
2023-07-03,129.01
2023-06-30,129.56
2023-06-29,128.79
2023-06-28,130.27
2023-06-27,127.23
2023-06-26,124.69
2023-06-23,124.58
2023-06-22,124.08
2023-06-21,124.41
2023-06-20,126.23
2023-06-16,128.22
2023-06-15,127.69
2023-06-14,126.61
2023-06-13,125.68
2023-06-12,125.27
2023-06-09,125.82
2023-06-08,126.50
2023-06-07,125.44
2023-06-06,126.96
2023-06-05,126.70
2023-06-02,126.46
2023-06-01,127.31
2023-05-31,126.22
2023-05-30,126.10
2023-05-26,124.48
2023-05-25,123.95
2023-05-24,124.39
2023-05-23,124.02
2023-05-22,124.72
2023-05-19,125.11
2023-05-18,124.43
2023-05-17,123.54
2023-05-16,123.95
2023-05-15,123.88
2023-05-12,124.74
2023-05-11,124.36
2023-05-10,122.93
2023-05-09,124.84
2023-05-08,124.28
2023-05-05,123.27
2023-05-04,123.86
2023-05-03,124.82
2023-05-02,124.74
2023-05-01,126.34
2023-04-28,126.28
2023-04-27,124.05
2023-04-26,124.09
2023-04-25,128.87
2023-04-24,128.22
2023-04-21,128.70
2023-04-20,128.15
2023-04-19,128.06
2023-04-18,127.82
2023-04-17,127.12
2023-04-14,127.44
2023-04-13,126.58
2023-04-12,125.82
2023-04-11,124.74
2023-04-10,123.74
2023-04-06,124.75
2023-04-05,124.84
2023-04-04,121.23
2023-04-03,119.60
2023-03-31,118.97
2023-03-30,118.84
2023-03-29,118.08
2023-03-28,117.36
2023-03-27,118.14
2023-03-24,117.61
2023-03-23,113.67
2023-03-22,113.14
2023-03-21,113.11
2023-03-20,113.01
2023-03-17,112.98
2023-03-16,111.39
2023-03-15,110.72
2023-03-14,110.21
2023-03-13,108.53
2023-03-10,108.92
2023-03-09,110.31
2023-03-08,111.79
2023-03-07,111.60
2023-03-06,112.66
2023-03-03,112.05
2023-03-02,110.40
2023-03-01,109.73
2023-02-28,110.47
2023-02-27,110.26
2023-02-24,109.45
2023-02-23,110.19
2023-02-22,111.37
2023-02-21,111.25
2023-02-17,110.73
2023-02-16,111.62
2023-02-15,111.28
2023-02-14,111.57
2023-02-13,111.47
2023-02-10,111.41
2023-02-09,111.39
2023-02-08,112.28
2023-02-07,111.80
2023-02-06,111.72
2023-02-03,113.78
2023-02-02,114.10
2023-02-01,112.58
2023-01-31,128.38
2023-01-30,128.11
2023-01-27,128.79
2023-01-26,128.19
2023-01-25,126.27
2023-01-24,126.37
2023-01-23,125.32
2023-01-20,123.77
2023-01-19,122.77
2023-01-18,122.53
2023-01-17,123.32
2023-01-13,124.85
2023-01-12,123.62
2023-01-11,123.67
2023-01-10,122.30
2023-01-09,123.42
2023-01-06,123.01
2023-01-05,124.04
2023-01-04,123.40
2023-01-03,122.32
2022-12-30,120.79
2022-12-29,119.42
2022-12-28,119.47
2022-12-27,120.34
2022-12-23,120.58
2022-12-22,120.26
2022-12-21,120.17
2022-12-20,120.34
2022-12-19,120.36
2022-12-16,119.90
2022-12-15,121.33
2022-12-14,123.77
2022-12-13,124.45
2022-12-12,123.47
2022-12-09,124.18
2022-12-08,125.23
2022-12-07,125.32
2022-12-06,126.76
2022-12-05,130.01
2022-12-02,130.36
2022-12-01,130.13
2022-11-30,126.74
2022-11-29,126.91
