,EURUSD
2023-07-03,1.0872
2023-06-30,1.0836
2023-06-29,1.0862
2023-06-28,1.0900
2023-06-27,1.0903
2023-06-26,1.0888
2023-06-23,1.0845
2023-06-22,1.0951
2023-06-21,1.0907
2023-06-20,1.0895
2023-06-19,1.0911
2023-06-16,1.0920
2023-06-15,1.0804
2023-06-14,1.0776
2023-06-13,1.0761
2023-06-12,1.0734
2023-06-09,1.0748
2023-06-08,1.0702
2023-06-07,1.0669
2023-06-06,1.0667
2023-06-05,1.0675
2023-06-02,1.0718
2023-06-01,1.0664
2023-05-31,1.0652
2023-05-30,1.0673
2023-05-29,1.0706
2023-05-26,1.0702
2023-05-25,1.0710
2023-05-24,1.0750
2023-05-23,1.0764
2023-05-22,1.0797
2023-05-19,1.0761
2023-05-18,1.0765
2023-05-17,1.0812
2023-05-16,1.0857
2023-05-15,1.0849
2023-05-12,1.0856
2023-05-11,1.0901
2023-05-10,1.0943
2023-05-09,1.0944
2023-05-08,1.1012
2023-05-05,1.0972
2023-05-04,1.0987
2023-05-03,1.1006
2023-05-02,1.0944
2023-05-01,1.0967
2023-04-28,1.0966
2023-04-27,1.0994
2023-04-26,1.0969
2023-04-25,1.0969
2023-04-24,1.0969
2023-04-21,1.0940
2023-04-20,1.0934
2023-04-19,1.0918
2023-04-18,1.0923
2023-04-17,1.0911
2023-04-14,1.0978
2023-04-13,1.0982
2023-04-12,1.0915
2023-04-11,1.0868
2023-04-10,1.0832
2023-04-07,1.0881
2023-04-06,1.0886
2023-04-05,1.0905
2023-04-04,1.0884
2023-04-03,1.0789
2023-03-31,1.0861
2023-03-30,1.0827
2023-03-29,1.0821
2023-03-28,1.0804
2023-03-27,1.0748
2023-03-24,1.0719
2023-03-23,1.0869
2023-03-22,1.0760
2023-03-21,1.0705
2023-03-20,1.0632
2023-03-17,1.0612
2023-03-16,1.0555
2023-03-15,1.0520
2023-03-14,1.0680
2023-03-13,1.0652
2023-03-10,1.0576
2023-03-09,1.0539
2023-03-08,1.0527
2023-03-07,1.0572
2023-03-06,1.0623
2023-03-03,1.0591
2023-03-02,1.0583
2023-03-01,1.0566
2023-02-28,1.0582
2023-02-27,1.0534
2023-02-24,1.0538
2023-02-23,1.0582
2023-02-22,1.0619
2023-02-21,1.0645
2023-02-20,1.0672
2023-02-17,1.0614
2023-02-16,1.0656
2023-02-15,1.0666
2023-02-14,1.0710
2023-02-13,1.0657
2023-02-10,1.0669
2023-02-09,1.0712
2023-02-08,1.0717
2023-02-07,1.0670
2023-02-06,1.0718
2023-02-03,1.0811
2023-02-02,1.0888
2023-02-01,1.0853
2023-01-31,1.0804
2023-01-30,1.0855
2023-01-27,1.0839
2023-01-26,1.0852
2023-01-25,1.0858
2023-01-24,1.0839
2023-01-23,1.0848
2023-01-20,1.0805
2023-01-19,1.0783
2023-01-18,1.0767
2023-01-17,1.0787
2023-01-16,1.0803
2023-01-13,1.0781
2023-01-12,1.0738
2023-01-11,1.0727
2023-01-10,1.0713
2023-01-09,1.0653
2023-01-06,1.0485
2023-01-05,1.0516
2023-01-04,1.0546
2023-01-03,1.0522
2023-01-02,1.0653
2022-12-30,1.0639
2022-12-29,1.0612
2022-12-28,1.0614
2022-12-27,1.0612
2022-12-26,1.0609
2022-12-23,1.0588
2022-12-22,1.0584
2022-12-21,1.0597
2022-12-20,1.0581
2022-12-19,1.0577
2022-12-16,1.0599
2022-12-15,1.0607
2022-12-14,1.0620
2022-12-13,1.0529
2022-12-12,1.0507
2022-12-09,1.0520
2022-12-08,1.0492
2022-12-07,1.0444
2022-12-06,1.0477
2022-12-05,1.0492
2022-12-02,1.0434
2022-12-01,1.0398
2022-11-30,1.0292
2022-11-29,1.0325
2022-11-28,1.0342
2022-11-25,1.0356
2022-11-24,1.0384
2022-11-23,1.0298
2022-11-22,1.0243
2022-11-21,1.0227
2022-11-18,1.0328
2022-11-17,1.0309
2022-11-16,1.0336
2022-11-15,1.0314
2022-11-14,1.0274
2022-11-11,1.0166
2022-11-10,0.9938
2022-11-09,1.0013
2022-11-08,0.9976
2022-11-07,0.9919
2022-11-04,0.9748
2022-11-03,0.9731
2022-11-02,0.9868
2022-11-01,0.9862
2022-10-31,0.9874
2022-10-28,0.9931
2022-10-27,0.9976
2022-10-26,0.9945
2022-10-25,0.9852
2022-10-24,0.9809
2022-10-21,0.9707
2022-10-20,0.9756
2022-10-19,0.9760
2022-10-18,0.9815
2022-10-17,0.9725
2022-10-14,0.9709
2022-10-13,0.9636
2022-10-12,0.9670
2022-10-11,0.9674
2022-10-10,0.9683
2022-10-07,0.9732
2022-10-06,0.9789
2022-10-05,0.9835
2022-10-04,0.9807
2022-10-03,0.9754
2022-09-30,0.9736
2022-09-29,0.9638
2022-09-28,0.9540
2022-09-27,0.9595
2022-09-26,0.9582
2022-09-23,0.9704
2022-09-22,0.9811
2022-09-21,0.9869
2022-09-20,0.9957
2022-09-19,0.9967
2022-09-16,0.9946
2022-09-15,0.9957
2022-09-14,0.9964
2022-09-13,0.9996
2022-09-12,1.0065
2022-09-09,1.0009
2022-09-08,0.9933
2022-09-07,0.9878
2022-09-06,0.9865
2022-09-05,0.9881
2022-09-02,0.9951
2022-09-01,0.9917
2022-08-31,0.9972
2022-08-30,0.9983
2022-08-29,0.9915
2022-08-26,0.9947
2022-08-25,0.9957
2022-08-24,0.9912
2022-08-23,0.9903
2022-08-22,0.9928
2022-08-19,1.0036
2022-08-18,1.0113
2022-08-17,1.0148
2022-08-16,1.0123
2022-08-15,1.0182
2022-08-12,1.0240
2022-08-11,1.0276
2022-08-10,1.0203
2022-08-09,1.0189
2022-08-08,1.0160
2022-08-05,1.0144
2022-08-04,1.0156
2022-08-03,1.0123
2022-08-02,1.0184
2022-08-01,1.0210
2022-07-29,1.0149
2022-07-28,1.0116
2022-07-27,1.0107
2022-07-26,1.0114
2022-07-25,1.0181
2022-07-22,1.0134
2022-07-21,1.0163
2022-07-20,1.0176
2022-07-19,1.0126
2022-07-18,1.0082
2022-07-15,1.0011
2022-07-14,0.9954
2022-07-13,0.9999
2022-07-12,1.0001
2022-07-11,1.0054
2022-07-08,1.0080
2022-07-07,1.0153
2022-07-06,1.0162
2022-07-05,1.0237
2022-07-04,1.0418
2022-07-01,1.0370
2022-06-30,1.0384
2022-06-29,1.0468
2022-06-28,1.0506
2022-06-27,1.0551
2022-06-24,1.0514
2022-06-23,1.0484
2022-06-22,1.0472
2022-06-21,1.0514
2022-06-20,1.0486
2022-06-17,1.0446
2022-06-16,1.0383
2022-06-15,1.0386
2022-06-14,1.0398
2022-06-13,1.0419
2022-06-10,1.0508
2022-06-09,1.0647
2022-06-08,1.0673
2022-06-07,1.0653
2022-06-06,1.0686
2022-06-03,1.0707
2022-06-02,1.0646
2022-06-01,1.0632
2022-05-31,1.0682
2022-05-30,1.0727
2022-05-27,1.0698
2022-05-26,1.0665
2022-05-25,1.0644
2022-05-24,1.0662
2022-05-23,1.0569
2022-05-20,1.0541
2022-05-19,1.0466
2022-05-18,1.0492
2022-05-17,1.0432
2022-05-16,1.0391
2022-05-13,1.0352
2022-05-12,1.0374
