,FL
2023-07-03,26.58
2023-06-30,26.36
2023-06-29,26.48
2023-06-28,26.01
2023-06-27,25.98
2023-06-26,25.94
2023-06-23,25.70
2023-06-22,26.37
2023-06-21,26.32
2023-06-20,26.54
2023-06-16,27.08
2023-06-15,27.03
2023-06-14,26.73
2023-06-13,26.50
2023-06-12,25.72
2023-06-09,25.69
2023-06-08,26.03
2023-06-07,25.26
2023-06-06,24.44
2023-06-05,24.59
2023-06-02,24.99
2023-06-01,24.76
2023-05-31,25.19
2023-05-30,25.67
2023-05-26,25.57
2023-05-25,25.38
2023-05-24,26.12
2023-05-23,27.05
2023-05-22,27.26
2023-05-19,29.88
2023-05-18,40.67
2023-05-17,39.00
2023-05-16,39.09
2023-05-15,39.20
2023-05-12,38.28
2023-05-11,38.31
2023-05-10,38.17
2023-05-09,38.57
2023-05-08,39.84
2023-05-05,40.05
2023-05-04,38.94
2023-05-03,40.61
2023-05-02,39.73
2023-05-01,41.70
2023-04-28,41.62
2023-04-27,40.58
2023-04-26,40.90
2023-04-25,40.45
2023-04-24,40.36
2023-04-21,41.14
2023-04-20,41.10
2023-04-19,40.42
2023-04-18,40.39
2023-04-17,39.70
2023-04-14,39.29
2023-04-13,39.05
2023-04-12,40.17
2023-04-11,40.67
2023-04-10,40.21
2023-04-06,39.94
2023-04-05,40.53
2023-04-04,40.59
2023-04-03,39.51
2023-03-31,39.31
2023-03-30,38.86
2023-03-29,39.30
2023-03-28,38.76
2023-03-27,38.00
2023-03-24,36.68
2023-03-23,37.33
2023-03-22,38.98
2023-03-21,40.44
2023-03-20,39.34
2023-03-17,41.63
2023-03-16,41.21
2023-03-15,39.04
2023-03-14,40.64
2023-03-13,39.95
2023-03-10,42.76
2023-03-09,43.69
2023-03-08,43.06
2023-03-07,43.18
2023-03-06,43.35
2023-03-03,43.87
2023-03-02,42.88
2023-03-01,42.91
2023-02-28,43.20
2023-02-27,43.18
2023-02-24,41.63
2023-02-23,42.35
2023-02-22,42.18
2023-02-21,42.51
2023-02-17,43.60
2023-02-16,43.93
2023-02-15,43.45
2023-02-14,43.85
2023-02-13,44.17
2023-02-10,43.62
2023-02-09,44.33
2023-02-08,44.83
2023-02-07,44.92
2023-02-06,44.97
2023-02-03,45.97
2023-02-02,45.51
2023-02-01,44.16
2023-01-31,42.40
2023-01-30,42.38
2023-01-27,42.96
2023-01-26,41.00
2023-01-25,38.94
2023-01-24,38.12
2023-01-23,37.52
2023-01-20,36.88
2023-01-19,37.05
2023-01-18,38.27
2023-01-17,38.05
2023-01-13,38.47
2023-01-12,39.28
2023-01-11,39.71
2023-01-10,38.62
2023-01-09,38.92
2023-01-06,38.51
2023-01-05,37.00
2023-01-04,37.24
2023-01-03,37.01
2022-12-30,36.53
2022-12-29,36.51
2022-12-28,35.56
2022-12-27,35.34
2022-12-23,34.40
2022-12-22,33.88
2022-12-21,34.34
2022-12-20,32.76
2022-12-19,33.62
2022-12-16,34.16
2022-12-15,34.54
2022-12-14,35.64
2022-12-13,36.66
2022-12-12,37.49
2022-12-09,37.88
2022-12-08,38.81
