,GBPUSD
2023-07-03,1.2660
2023-06-30,1.2601
2023-06-29,1.2593
2023-06-28,1.2608
2023-06-27,1.2705
2023-06-26,1.2690
2023-06-23,1.2692
2023-06-22,1.2730
2023-06-21,1.2694
2023-06-20,1.2715
2023-06-19,1.2787
2023-06-16,1.2769
2023-06-15,1.2631
2023-06-14,1.2601
2023-06-13,1.2515
2023-06-12,1.2488
2023-06-09,1.2536
2023-06-08,1.2442
2023-06-07,1.2396
2023-06-06,1.2394
2023-06-05,1.2370
2023-06-02,1.2458
2023-06-01,1.2403
2023-05-31,1.2349
2023-05-30,1.2328
2023-05-29,1.2337
2023-05-26,1.2312
2023-05-25,1.2319
2023-05-24,1.2358
2023-05-23,1.2373
2023-05-22,1.2415
2023-05-19,1.2394
2023-05-18,1.2401
2023-05-17,1.2422
2023-05-16,1.2467
2023-05-15,1.2446
2023-05-12,1.2460
2023-05-11,1.2500
2023-05-10,1.2604
2023-05-09,1.2581
2023-05-08,1.2628
2023-05-05,1.2566
2023-05-04,1.2552
2023-05-03,1.2470
2023-05-02,1.2437
2023-05-01,1.2490
2023-04-28,1.2449
2023-04-27,1.2439
2023-04-26,1.2404
2023-04-25,1.2389
2023-04-24,1.2414
2023-04-21,1.2370
2023-04-20,1.2406
2023-04-19,1.2394
2023-04-18,1.2368
2023-04-17,1.2355
2023-04-14,1.2414
2023-04-13,1.2480
2023-04-12,1.2400
2023-04-11,1.2388
2023-04-10,1.2349
2023-04-07,1.2394
2023-04-06,1.2414
2023-04-05,1.2436
2023-04-04,1.2396
2023-04-03,1.2277
2023-03-31,1.2345
2023-03-30,1.2295
2023-03-29,1.2305
2023-03-28,1.2282
2023-03-27,1.2220
2023-03-24,1.2192
2023-03-23,1.2267
2023-03-22,1.2209
2023-03-21,1.2183
2023-03-20,1.2168
2023-03-17,1.2103
2023-03-16,1.2029
2023-03-15,1.2019
2023-03-14,1.2142
2023-03-13,1.2052
2023-03-10,1.1912
2023-03-09,1.1834
2023-03-08,1.1808
2023-03-07,1.1853
2023-03-06,1.1994
2023-03-03,1.1949
2023-03-02,1.1928
2023-03-01,1.1967
2023-02-28,1.2028
2023-02-27,1.1923
2023-02-24,1.1931
2023-02-23,1.2013
2023-02-22,1.2059
2023-02-21,1.1991
2023-02-20,1.2015
2023-02-17,1.1917
2023-02-16,1.1967
2023-02-15,1.1991
2023-02-14,1.2121
2023-02-13,1.2033
2023-02-10,1.2060
2023-02-09,1.2058
2023-02-08,1.2040
2023-02-07,1.1963
2023-02-06,1.2006
2023-02-03,1.2066
2023-02-02,1.2241
2023-02-01,1.2303
2023-01-31,1.2286
2023-01-30,1.2369
2023-01-27,1.2348
2023-01-26,1.2346
2023-01-25,1.2286
2023-01-24,1.2265
2023-01-23,1.2325
2023-01-20,1.2337
2023-01-19,1.2314
2023-01-18,1.2257
2023-01-17,1.2171
2023-01-16,1.2174
2023-01-13,1.2152
2023-01-12,1.2097
2023-01-11,1.2102
2023-01-10,1.2113
2023-01-09,1.2095
2023-01-06,1.1845
2023-01-05,1.1878
2023-01-04,1.1968
2023-01-03,1.1904
2023-01-02,1.2038
2022-12-30,1.2013
2022-12-29,1.2015
2022-12-28,1.2003
2022-12-27,1.2003
2022-12-26,1.2054
2022-12-23,1.2021
2022-12-22,1.1994
2022-12-21,1.2071
2022-12-20,1.2087
2022-12-19,1.2123
2022-12-16,1.2122
2022-12-15,1.2204
2022-12-14,1.2344
2022-12-13,1.2251
