,HKD
2023-07-03,7.8314
2023-06-30,7.8342
2023-06-29,7.8313
2023-06-28,7.8289
2023-06-27,7.8284
2023-06-26,7.8264
2023-06-23,7.8274
2023-06-22,7.8248
2023-06-21,7.8230
2023-06-20,7.8141
2023-06-19,7.8129
2023-06-16,7.8183
2023-06-15,7.8218
2023-06-14,7.8297
2023-06-13,7.8327
2023-06-12,7.8322
2023-06-09,7.8335
2023-06-08,7.8328
2023-06-07,7.8372
2023-06-06,7.8372
2023-06-05,7.8356
2023-06-02,7.8289
2023-06-01,7.8302
2023-05-31,7.8258
2023-05-30,7.8236
2023-05-29,7.8259
2023-05-26,7.8321
2023-05-25,7.8275
2023-05-24,7.8276
2023-05-23,7.8251
2023-05-22,7.8133
2023-05-19,7.8065
2023-05-18,7.8244
2023-05-17,7.8282
2023-05-16,7.8329
2023-05-15,7.8378
2023-05-12,7.8372
2023-05-11,7.8255
2023-05-10,7.8283
2023-05-09,7.8412
2023-05-08,7.8470
2023-05-05,7.8470
2023-05-04,7.8469
2023-05-03,7.8491
2023-05-02,7.8489
2023-05-01,7.8492
2023-04-28,7.8488
2023-04-27,7.8491
2023-04-26,7.8489
2023-04-25,7.8481
2023-04-24,7.8465
2023-04-21,7.8440
2023-04-20,7.8476
2023-04-19,7.8471
2023-04-18,7.8491
2023-04-17,7.8475
2023-04-14,7.8489
2023-04-13,7.8472
2023-04-12,7.8496
2023-04-11,7.8489
2023-04-10,7.8495
2023-04-07,7.8494
2023-04-06,7.8490
2023-04-05,7.8486
2023-04-04,7.8465
2023-04-03,7.8490
2023-03-31,7.8488
2023-03-30,7.8475
2023-03-29,7.8486
2023-03-28,7.8487
2023-03-27,7.8489
2023-03-24,7.8490
2023-03-23,7.8467
2023-03-22,7.8442
2023-03-21,7.8354
2023-03-20,7.8408
2023-03-17,7.8487
2023-03-16,7.8471
2023-03-15,7.8467
2023-03-14,7.8379
2023-03-13,7.8380
2023-03-10,7.8481
2023-03-09,7.8489
2023-03-08,7.8490
2023-03-07,7.8487
2023-03-06,7.8492
2023-03-03,7.8486
2023-03-02,7.8482
2023-03-01,7.8483
2023-02-28,7.8442
2023-02-27,7.8444
2023-02-24,7.8459
2023-02-23,7.8416
2023-02-22,7.8414
2023-02-21,7.8335
2023-02-20,7.8230
2023-02-17,7.8432
2023-02-16,7.8459
2023-02-15,7.8443
2023-02-14,7.8490
2023-02-13,7.8484
2023-02-10,7.8487
2023-02-09,7.8483
2023-02-08,7.8480
2023-02-07,7.8463
2023-02-06,7.8446
2023-02-03,7.8430
2023-02-02,7.8382
2023-02-01,7.8389
2023-01-31,7.8340
2023-01-30,7.8278
2023-01-27,7.8271
2023-01-26,7.8264
2023-01-25,7.8292
2023-01-24,7.8264
2023-01-23,7.8254
2023-01-20,7.8249
2023-01-19,7.8224
2023-01-18,7.8176
2023-01-17,7.8100
2023-01-16,7.8056
2023-01-13,7.8077
2023-01-12,7.8074
2023-01-11,7.8079
2023-01-10,7.8049
2023-01-09,7.8029
2023-01-06,7.8048
2023-01-05,7.8074
2023-01-04,7.8109
2023-01-03,7.8044
2023-01-02,7.7946
2022-12-30,7.7911
2022-12-29,7.7874
2022-12-28,7.7851
2022-12-27,7.7952
2022-12-26,7.8017
2022-12-23,7.7941
2022-12-22,7.7869
2022-12-21,7.7872
2022-12-20,7.7779
2022-12-19,7.7759
2022-12-16,7.7723
2022-12-15,7.7706
2022-12-14,7.7702
2022-12-13,7.7677
2022-12-12,7.7678
2022-12-09,7.7793
2022-12-08,7.7816
2022-12-07,7.7744
2022-12-06,7.7670
2022-12-05,7.7620
2022-12-02,7.7774
2022-12-01,7.7767
2022-11-30,7.7977
2022-11-29,7.8081
2022-11-28,7.8083
2022-11-25,7.8070
2022-11-24,7.8047
2022-11-23,7.8138
2022-11-22,7.8009
2022-11-21,7.7998
2022-11-18,7.8211
2022-11-17,7.8221
2022-11-16,7.8176
2022-11-15,7.8200
2022-11-14,7.8344
2022-11-11,7.8341
2022-11-10,7.8451
2022-11-09,7.8488
2022-11-08,7.8495
2022-11-07,7.8490
2022-11-04,7.8489
2022-11-03,7.8487
2022-11-02,7.8489
2022-11-01,7.8487
2022-10-31,7.8483
2022-10-28,7.8469
2022-10-27,7.8473
2022-10-26,7.8490
2022-10-25,7.8487
2022-10-24,7.8483
2022-10-21,7.8484
2022-10-20,7.8479
2022-10-19,7.8493
2022-10-18,7.8486
2022-10-17,7.8484
2022-10-14,7.8494
2022-10-13,7.8477
2022-10-12,7.8490
2022-10-11,7.8495
2022-10-10,7.8488
2022-10-07,7.8494
2022-10-06,7.8493
2022-10-05,7.8494
2022-10-04,7.8494
2022-10-03,7.8494
2022-09-30,7.8493
2022-09-29,7.8489
2022-09-28,7.8487
2022-09-27,7.8492
2022-09-26,7.8492
2022-09-23,7.8482
2022-09-22,7.8484
2022-09-21,7.8486
2022-09-20,7.8482
2022-09-19,7.8482
2022-09-16,7.8482
2022-09-15,7.8457
2022-09-14,7.8479
2022-09-13,7.8476
2022-09-12,7.8483
2022-09-09,7.8477
2022-09-08,7.8482
2022-09-07,7.8486
