,JPY
2023-07-03,144.0230
2023-06-30,144.2280
2023-06-29,144.1380
2023-06-28,143.7360
2023-06-27,143.2920
2023-06-26,142.9730
2023-06-23,142.7620
2023-06-22,141.6260
2023-06-21,141.3710
2023-06-20,141.2450
2023-06-19,141.4540
2023-06-16,139.8620
2023-06-15,139.9600
2023-06-14,139.2970
2023-06-13,139.0160
2023-06-12,139.0710
2023-06-09,138.9000
2023-06-08,138.8250
2023-06-07,139.0430
2023-06-06,139.1170
2023-06-05,139.2560
2023-06-02,138.6100
2023-06-01,138.4970
2023-05-31,139.3160
2023-05-30,139.5800
2023-05-29,140.1200
2023-05-26,139.5140
2023-05-25,139.2060
2023-05-24,138.2490
2023-05-23,138.2530
2023-05-22,137.5040
2023-05-19,137.4620
2023-05-18,137.3110
2023-05-17,136.3040
2023-05-16,135.6980
2023-05-15,135.7160
2023-05-12,134.4020
2023-05-11,133.7520
2023-05-10,134.3100
2023-05-09,134.7370
2023-05-08,134.6640
2023-05-05,133.8860
2023-05-04,133.6860
2023-05-03,135.0720
2023-05-02,136.4090
2023-05-01,136.2630
2023-04-28,133.7340
2023-04-27,133.2950
2023-04-26,133.0260
2023-04-25,133.7470
2023-04-24,133.8900
2023-04-21,133.5550
2023-04-20,134.0270
2023-04-19,133.9610
2023-04-18,133.8680
2023-04-17,133.7140
2023-04-14,132.1760
2023-04-13,132.0300
2023-04-12,132.7810
2023-04-11,132.9810
2023-04-10,132.0140
2023-04-07,131.5250
2023-04-06,130.7910
2023-04-05,130.6840
2023-04-04,131.5740
2023-04-03,132.2210
2023-03-31,132.7260
2023-03-30,132.2220
2023-03-29,130.9280
2023-03-28,130.4460
2023-03-27,130.5090
2023-03-24,129.6740
2023-03-23,130.4480
2023-03-22,132.2670
2023-03-21,131.0480
2023-03-20,130.5580
2023-03-17,131.8370
2023-03-16,131.7440
2023-03-15,132.2520
2023-03-14,133.0710
2023-03-13,132.2930
2023-03-10,134.1720
2023-03-09,135.9900
2023-03-08,136.5060
2023-03-07,135.5810
2023-03-06,135.3950
2023-03-03,135.8280
2023-03-02,136.0880
2023-03-01,135.2600
2023-02-28,136.0220
2023-02-27,135.9290
2023-02-24,134.1810
2023-02-23,134.6440
2023-02-22,134.3830
2023-02-21,134.1560
2023-02-20,133.9290
2023-02-17,134.0720
2023-02-16,133.6090
2023-02-15,132.5550
2023-02-14,131.6620
2023-02-13,131.4660
2023-02-10,129.8340
2023-02-09,130.3520
2023-02-08,130.6090
2023-02-07,131.1600
2023-02-06,131.5910
2023-02-03,128.3360
2023-02-02,128.0930
2023-02-01,129.2100
2023-01-31,129.7690
2023-01-30,129.2050
2023-01-27,129.5460
2023-01-26,129.0350
2023-01-25,129.2930
2023-01-24,129.7440
2023-01-23,129.0620
2023-01-20,128.3550
2023-01-19,127.7770
2023-01-18,127.6070
2023-01-17,128.0220
2023-01-16,127.2540
2023-01-13,127.4680
2023-01-12,129.5690
2023-01-11,132.1030
2023-01-10,131.4330
2023-01-09,131.3270
2023-01-06,132.1870
2023-01-05,131.7300
2023-01-04,129.9640
2023-01-03,129.5340
2023-01-02,130.6210
2022-12-30,131.5410
2022-12-29,132.9360
2022-12-28,133.4110
2022-12-27,132.6480
2022-12-26,132.3300
2022-12-23,132.2910
2022-12-22,131.6550
2022-12-21,131.5220
2022-12-20,131.0170
2022-12-19,135.7730
2022-12-16,136.4100
2022-12-15,135.2830
2022-12-14,134.6810
2022-12-13,134.6880
2022-12-12,136.6330
2022-12-09,135.6120
2022-12-08,136.2960
2022-12-07,136.4180
2022-12-06,136.0080
2022-12-05,134.1340
2022-12-02,133.6730
2022-12-01,135.5390
2022-11-30,138.3380
2022-11-29,137.8860
2022-11-28,137.5140
2022-11-25,138.3890
2022-11-24,138.0950
2022-11-23,139.5870
2022-11-22,141.0860
2022-11-21,140.2030
2022-11-18,139.6500
2022-11-17,138.9060
2022-11-16,138.8940
2022-11-15,137.8090
2022-11-14,138.8690
2022-11-11,138.8880
2022-11-10,141.5380
2022-11-09,145.2190
2022-11-08,145.3130
2022-11-07,146.1140
2022-11-04,146.5790
2022-11-03,147.1100
2022-11-02,146.8520
2022-11-01,146.9910
2022-10-31,147.7500
2022-10-28,146.0280
2022-10-27,145.1560
2022-10-26,146.4090
2022-10-25,147.5550
2022-10-24,147.8090
2022-10-21,146.3200
2022-10-20,149.5670
2022-10-19,149.1240
2022-10-18,148.6930
2022-10-17,148.4310
2022-10-14,147.1100
2022-10-13,146.6630
2022-10-12,145.8790
2022-10-11,145.5050
2022-10-10,145.2360
2022-10-07,144.7600
2022-10-06,144.3870
2022-10-05,143.5560
2022-10-04,144.3190
2022-10-03,144.1610
2022-09-30,144.2140
2022-09-29,144.2100
2022-09-28,144.1480
2022-09-27,144.0820
2022-09-26,143.4380
2022-09-23,141.7820
2022-09-22,140.3970
2022-09-21,143.3780
