,LSXMK
2023-07-03,32.59
2023-06-30,32.00
2023-06-29,31.27
2023-06-28,30.58
2023-06-27,29.61
2023-06-26,29.58
2023-06-23,29.49
2023-06-22,29.66
2023-06-21,29.96
2023-06-20,30.17
2023-06-16,30.23
2023-06-15,30.30
2023-06-14,30.31
2023-06-13,30.04
2023-06-12,29.27
2023-06-09,29.38
2023-06-08,29.09
2023-06-07,29.17
2023-06-06,28.50
2023-06-05,28.06
2023-06-02,28.18
2023-06-01,27.63
2023-05-31,27.89
2023-05-30,28.41
2023-05-26,27.43
2023-05-25,27.23
2023-05-24,27.81
2023-05-23,27.99
2023-05-22,27.91
2023-05-19,27.98
2023-05-18,28.05
2023-05-17,27.53
2023-05-16,27.72
2023-05-15,27.74
2023-05-12,27.11
2023-05-11,27.71
2023-05-10,27.25
2023-05-09,27.67
2023-05-08,28.39
2023-05-05,26.90
2023-05-04,26.80
2023-05-03,27.53
2023-05-02,27.52
2023-05-01,27.81
2023-04-28,27.08
2023-04-27,25.28
2023-04-26,26.61
2023-04-25,27.17
2023-04-24,27.60
2023-04-21,28.13
2023-04-20,28.35
2023-04-19,28.18
2023-04-18,28.22
2023-04-17,28.93
2023-04-14,28.89
2023-04-13,28.88
2023-04-12,29.06
2023-04-11,28.90
2023-04-10,27.96
2023-04-06,28.01
2023-04-05,27.23
2023-04-04,27.06
2023-04-03,27.76
2023-03-31,27.34
2023-03-30,26.89
2023-03-29,26.19
2023-03-28,26.24
2023-03-27,26.01
2023-03-24,25.02
2023-03-23,25.20
2023-03-22,26.20
2023-03-21,27.01
2023-03-20,26.15
2023-03-17,26.11
2023-03-16,26.01
2023-03-15,26.03
2023-03-14,26.52
2023-03-13,26.67
2023-03-10,27.01
2023-03-09,28.64
2023-03-08,28.68
2023-03-07,29.63
2023-03-06,31.15
2023-03-03,30.91
2023-03-02,31.23
2023-03-01,31.17
2023-02-28,32.15
2023-02-27,32.03
2023-02-24,31.97
2023-02-23,32.79
2023-02-22,32.87
2023-02-21,33.25
2023-02-17,33.36
2023-02-16,33.81
2023-02-15,34.55
2023-02-14,34.73
2023-02-13,34.91
2023-02-10,34.60
2023-02-09,35.13
2023-02-08,35.54
2023-02-07,35.26
2023-02-06,35.42
2023-02-03,36.22
2023-02-02,37.81
2023-02-01,40.13
2023-01-31,39.95
2023-01-30,39.97
2023-01-27,40.37
2023-01-26,40.25
2023-01-25,39.61
2023-01-24,39.66
2023-01-23,39.70
2023-01-20,39.86
2023-01-19,39.76
2023-01-18,40.28
2023-01-17,41.24
2023-01-13,40.32
2023-01-12,40.23
2023-01-11,40.35
2023-01-10,40.11
2023-01-09,40.33
2023-01-06,40.41
2023-01-05,39.58
2023-01-04,39.66
2023-01-03,38.89
2022-12-30,38.90
2022-12-29,38.88
2022-12-28,38.67
2022-12-27,38.64
2022-12-23,38.86
2022-12-22,38.53
2022-12-21,38.70
2022-12-20,38.24
2022-12-19,38.14
2022-12-16,38.55
2022-12-15,39.08
2022-12-14,40.55
2022-12-13,41.08
2022-12-12,40.93
2022-12-09,41.15
2022-12-08,41.15
2022-12-07,41.13
2022-12-06,41.50
2022-12-05,42.16
2022-12-02,42.58
2022-12-01,43.10
2022-11-30,42.26
2022-11-29,42.78
2022-11-28,42.94
2022-11-25,43.18
2022-11-23,42.70
2022-11-22,41.98
2022-11-21,41.33
2022-11-18,41.38
2022-11-17,42.92
2022-11-16,43.77
2022-11-15,44.03
2022-11-14,44.12
2022-11-11,44.18
2022-11-10,43.44
2022-11-09,42.33
2022-11-08,42.50
2022-11-07,41.86
2022-11-04,40.95
2022-11-03,40.75
2022-11-02,41.71
2022-11-01,42.30
2022-10-31,41.85
2022-10-28,41.52
2022-10-27,41.80
2022-10-26,41.86
2022-10-25,41.82
2022-10-24,41.28
2022-10-21,40.32
2022-10-20,40.28
2022-10-19,40.16
2022-10-18,40.62
2022-10-17,38.96
2022-10-14,39.03
2022-10-13,37.47
2022-10-12,38.43
2022-10-11,38.31
2022-10-10,39.07
2022-10-07,38.97
2022-10-06,39.26
2022-10-05,38.93
2022-10-04,38.82
2022-10-03,37.50
2022-09-30,37.42
2022-09-29,36.88
2022-09-28,37.18
2022-09-27,36.89
2022-09-26,36.53
2022-09-23,37.21
2022-09-22,38.77
2022-09-21,39.85
2022-09-20,39.79
2022-09-19,39.57
2022-09-16,39.90
2022-09-15,40.77
2022-09-14,40.74
2022-09-13,41.11
2022-09-12,42.26
2022-09-09,41.26
2022-09-08,40.44
2022-09-07,40.08
2022-09-06,40.03
2022-09-02,40.90
2022-09-01,40.51
2022-08-31,41.33
2022-08-30,41.31
2022-08-29,41.53
2022-08-26,42.12
2022-08-25,42.32
2022-08-24,42.09
2022-08-23,42.06
2022-08-22,42.22
2022-08-19,42.70
2022-08-18,43.54
2022-08-17,44.23
2022-08-16,44.73
2022-08-15,44.33
2022-08-12,43.62
2022-08-11,42.89
2022-08-10,41.77
2022-08-09,40.73
2022-08-08,41.18
2022-08-05,40.54
2022-08-04,40.85
2022-08-03,40.24
2022-08-02,39.94
2022-08-01,39.50
2022-07-29,39.19
2022-07-28,39.09
2022-07-27,38.90
2022-07-26,38.83
2022-07-25,39.19
2022-07-22,39.26
2022-07-21,38.57
2022-07-20,37.70
2022-07-19,37.06
2022-07-18,36.49
2022-07-15,36.14
2022-07-14,35.72
2022-07-13,35.70
2022-07-12,35.78
2022-07-11,35.74
2022-07-08,36.50
2022-07-07,36.95
2022-07-06,36.63
2022-07-05,35.92
2022-07-01,35.85
2022-06-30,35.59
2022-06-29,35.55
2022-06-28,35.98
2022-06-27,35.53
2022-06-24,35.10
2022-06-23,34.34
2022-06-22,34.73
2022-06-21,35.28
2022-06-17,34.92
2022-06-16,34.88
2022-06-15,36.32
2022-06-14,35.93
2022-06-13,36.26
2022-06-10,38.23
2022-06-09,39.30
2022-06-08,39.85
2022-06-07,40.18
2022-06-06,40.65
2022-06-03,40.35
2022-06-02,40.42
2022-06-01,40.44
2022-05-31,40.93
2022-05-27,41.40
2022-05-26,40.79
2022-05-25,39.56
2022-05-24,39.44
2022-05-23,39.71
2022-05-20,39.48
2022-05-19,38.99
2022-05-18,39.49
2022-05-17,39.36
2022-05-16,38.87
2022-05-13,39.15
2022-05-12,38.53
2022-05-11,38.49
2022-05-10,37.51
2022-05-09,38.17
2022-05-06,39.77
2022-05-05,41.54
2022-05-04,41.17
2022-05-03,41.69
2022-05-02,41.29
2022-04-29,41.82
2022-04-28,41.95
2022-04-27,41.70
2022-04-26,43.05
2022-04-25,43.01
2022-04-22,43.83
2022-04-21,44.40
2022-04-20,44.60
2022-04-19,44.65
2022-04-18,44.11
2022-04-14,45.26
2022-04-13,45.18
2022-04-12,44.63
2022-04-11,44.56
2022-04-08,44.34
2022-04-07,44.07
2022-04-06,44.66
2022-04-05,45.23
2022-04-04,45.41
2022-04-01,45.47
2022-03-31,45.58
2022-03-30,45.85
2022-03-29,45.81
2022-03-28,45.98
2022-03-25,46.33
2022-03-24,45.54
2022-03-23,45.58
2022-03-22,45.54
2022-03-21,45.00
2022-03-18,44.83
2022-03-17,44.95
2022-03-16,44.70
2022-03-15,44.96
2022-03-14,44.24
2022-03-11,44.15
2022-03-10,43.86
2022-03-09,44.58
2022-03-08,43.89
2022-03-07,43.67
2022-03-04,46.62
2022-03-03,48.11
2022-03-02,48.07
2022-03-01,48.23
2022-02-28,49.81
2022-02-25,49.91
2022-02-24,48.39
2022-02-23,49.48
2022-02-22,50.52
2022-02-18,50.97
2022-02-17,50.70
2022-02-16,51.03
2022-02-15,50.96
2022-02-14,50.37
2022-02-11,50.36
2022-02-10,50.78
2022-02-09,51.04
2022-02-08,49.95
2022-02-07,49.70
2022-02-04,48.17
2022-02-03,47.90
2022-02-02,48.17
2022-02-01,46.34
2022-01-31,45.02
2022-01-28,44.22
2022-01-27,44.43
2022-01-26,44.36
2022-01-25,45.04
2022-01-24,44.78
2022-01-21,46.33
2022-01-20,46.92
2022-01-19,47.60
2022-01-18,47.80
2022-01-14,48.11
2022-01-13,49.17
2022-01-12,48.70
2022-01-11,48.60
2022-01-10,48.27
2022-01-07,48.95
2022-01-06,49.09
2022-01-05,49.28
2022-01-04,50.10
2022-01-03,50.81
2021-12-31,50.51
2021-12-30,50.45
2021-12-29,50.26
2021-12-28,49.86
2021-12-27,49.50
2021-12-23,48.98
2021-12-22,48.69
2021-12-21,48.44
2021-12-20,47.33
2021-12-17,47.80
2021-12-16,47.92
2021-12-15,47.36
2021-12-14,47.31
2021-12-13,47.51
2021-12-10,47.74
2021-12-09,47.46
2021-12-08,48.39
2021-12-07,48.58
2021-12-06,48.32
2021-12-03,47.33
2021-12-02,47.11
2021-12-01,47.02
2021-11-30,47.69
2021-11-29,49.30
2021-11-26,49.05
2021-11-24,50.90
2021-11-23,51.05
2021-11-22,51.33
2021-11-19,51.69
2021-11-18,53.21
2021-11-17,55.05
2021-11-16,55.20
2021-11-15,54.87
2021-11-12,54.54
2021-11-11,54.38
2021-11-10,54.11
2021-11-09,53.85
2021-11-08,53.82
2021-11-05,53.08
2021-11-04,51.64
2021-11-03,50.26
2021-11-02,49.89
2021-11-01,49.33
2021-10-29,49.12
2021-10-28,48.65
2021-10-27,48.32
2021-10-26,48.59
2021-10-25,48.78
2021-10-22,48.88
2021-10-21,49.04
2021-10-20,48.21
2021-10-19,48.34
2021-10-18,48.17
2021-10-15,48.62
2021-10-14,48.43
2021-10-13,48.23
2021-10-12,48.39
2021-10-11,48.34
2021-10-08,48.47
2021-10-07,48.76
2021-10-06,48.20
2021-10-05,47.70
2021-10-04,47.90
2021-10-01,47.34
2021-09-30,47.17
2021-09-29,47.56
2021-09-28,47.43
2021-09-27,47.06
2021-09-24,47.17
2021-09-23,47.22
2021-09-22,47.14
2021-09-21,47.04
2021-09-20,46.68
2021-09-17,47.34
2021-09-16,47.80
2021-09-15,47.17
2021-09-14,47.18
2021-09-13,47.26
2021-09-10,47.34
2021-09-09,48.01
2021-09-08,48.29
2021-09-07,48.81
2021-09-03,49.71
2021-09-02,49.51
2021-09-01,49.28
