,LULU
2023-07-03,377.61
2023-06-30,374.76
2023-06-29,369.84
2023-06-28,374.34
2023-06-27,374.16
2023-06-26,373.47
2023-06-23,372.46
2023-06-22,376.00
2023-06-21,378.02
2023-06-20,378.76
2023-06-16,381.05
2023-06-15,376.10
2023-06-14,369.09
2023-06-13,364.43
2023-06-12,357.16
2023-06-09,354.01
2023-06-08,350.90
2023-06-07,352.54
2023-06-06,354.78
2023-06-05,355.61
2023-06-02,364.82
2023-06-01,326.93
2023-05-31,329.12
2023-05-30,335.35
2023-05-26,339.49
2023-05-25,340.95
2023-05-24,343.42
2023-05-23,352.45
2023-05-22,356.65
2023-05-19,365.11
2023-05-18,371.15
2023-05-17,367.35
2023-05-16,367.55
2023-05-15,373.71
2023-05-12,372.50
2023-05-11,376.05
2023-05-10,377.72
2023-05-09,375.93
2023-05-08,380.92
2023-05-05,382.63
2023-05-04,381.02
2023-05-03,378.38
2023-05-02,378.25
2023-05-01,380.21
2023-04-28,375.91
2023-04-27,373.32
2023-04-26,371.86
2023-04-25,372.26
2023-04-24,377.83
2023-04-21,374.28
2023-04-20,369.07
2023-04-19,369.85
2023-04-18,369.53
2023-04-17,366.99
2023-04-14,363.86
2023-04-13,363.50
2023-04-12,363.11
2023-04-11,361.80
2023-04-10,361.17
2023-04-06,359.64
2023-04-05,362.76
2023-04-04,364.80
2023-04-03,361.74
2023-03-31,357.73
2023-03-30,356.50
2023-03-29,359.64
2023-03-28,314.22
2023-03-27,310.41
2023-03-24,306.59
2023-03-23,304.19
2023-03-22,300.78
2023-03-21,296.46
2023-03-20,289.81
2023-03-17,289.94
2023-03-16,289.14
2023-03-15,286.58
2023-03-14,291.50
2023-03-13,288.53
2023-03-10,294.23
2023-03-09,300.19
2023-03-08,300.65
2023-03-07,301.53
2023-03-06,304.53
2023-03-03,311.30
2023-03-02,306.57
2023-03-01,303.81
2023-02-28,308.38
2023-02-27,307.36
2023-02-24,305.82
2023-02-23,310.21
2023-02-22,312.35
2023-02-21,313.80
2023-02-17,315.20
2023-02-16,319.58
2023-02-15,317.67
2023-02-14,311.66
2023-02-13,309.97
2023-02-10,305.78
2023-02-09,309.23
2023-02-08,307.03
2023-02-07,305.78
2023-02-06,310.19
2023-02-03,317.50
2023-02-02,316.56
2023-02-01,305.25
2023-01-31,301.80
2023-01-30,302.41
2023-01-27,305.18
2023-01-26,305.77
2023-01-25,304.22
2023-01-24,302.11
2023-01-23,310.00
2023-01-20,304.34
2023-01-19,306.70
2023-01-18,317.17
2023-01-17,313.15
2023-01-13,310.25
2023-01-12,306.86
2023-01-11,306.90
2023-01-10,298.59
2023-01-09,289.48
2023-01-06,326.82
2023-01-05,316.50
2023-01-04,317.03
2023-01-03,319.46
2022-12-30,311.30
2022-12-29,310.04
2022-12-28,307.63
2022-12-27,309.66
2022-12-23,309.00
2022-12-22,308.69
2022-12-21,311.56
2022-12-20,306.38
2022-12-19,316.51
2022-12-16,318.19
2022-12-15,325.00
2022-12-14,326.00
2022-12-13,321.50
2022-12-12,319.00
2022-12-09,323.15
2022-12-08,368.44
2022-12-07,369.98
2022-12-06,366.39
2022-12-05,374.76
2022-12-02,375.20
2022-12-01,377.89
2022-11-30,362.65
2022-11-29,361.43
2022-11-28,361.33
2022-11-25,358.76
2022-11-23,353.08
2022-11-22,346.66
2022-11-21,340.50
2022-11-18,344.30
2022-11-17,347.59
2022-11-16,345.77
2022-11-15,357.35
2022-11-14,351.06
2022-11-11,353.00
2022-11-10,338.75
2022-11-09,320.15
2022-11-08,323.57
2022-11-07,317.60
2022-11-04,317.39
2022-11-03,310.52
2022-11-02,315.81
2022-11-01,327.08
2022-10-31,323.57
2022-10-28,312.49
2022-10-27,316.31
2022-10-26,314.10
2022-10-25,300.53
2022-10-24,287.64
2022-10-21,289.01
2022-10-20,290.20
2022-10-19,293.76
2022-10-18,294.26
2022-10-17,293.32
2022-10-14,286.28
2022-10-13,279.10
2022-10-12,292.12
2022-10-11,287.83
2022-10-10,286.55
2022-10-07,296.47
2022-10-06,308.02
2022-10-05,301.67
2022-10-04,301.67
2022-10-03,281.12
2022-09-30,277.50
2022-09-29,296.14
2022-09-28,298.54
2022-09-27,294.56
2022-09-26,291.87
2022-09-23,289.26
2022-09-22,306.02
2022-09-21,317.90
2022-09-20,327.80
2022-09-19,329.43
2022-09-16,330.16
2022-09-15,336.57
2022-09-14,335.39
2022-09-13,335.37
2022-09-12,348.06
2022-09-09,347.50
2022-09-08,332.91
2022-09-07,324.46
2022-09-06,312.39
2022-09-02,311.12
2022-09-01,283.31
2022-08-31,295.54
2022-08-30,302.50
2022-08-29,303.66
2022-08-26,310.14
2022-08-25,317.04
2022-08-24,313.26
2022-08-23,314.69
2022-08-22,313.52
2022-08-19,321.32
2022-08-18,328.51
2022-08-17,324.51
2022-08-16,326.26
2022-08-15,320.14
2022-08-12,317.14
2022-08-11,314.56
2022-08-10,313.45
2022-08-09,303.16
2022-08-08,315.13
2022-08-05,308.77
2022-08-04,313.67
2022-08-03,308.44
2022-08-02,303.58
2022-08-01,305.68
2022-07-29,299.50
2022-07-28,293.36
2022-07-27,283.94
2022-07-26,281.57
2022-07-25,298.82
2022-07-22,301.95
2022-07-21,300.16
2022-07-20,294.34
2022-07-19,286.84
2022-07-18,283.04
2022-07-15,280.60
2022-07-14,272.26
2022-07-13,271.05
2022-07-12,277.05
2022-07-11,277.10
2022-07-08,285.15
2022-07-07,278.23
2022-07-06,275.76
2022-07-05,258.79
2022-07-01,261.03
2022-06-30,271.00
2022-06-29,276.53
2022-06-28,278.16
2022-06-27,284.23
2022-06-24,288.47
2022-06-23,278.00
2022-06-22,271.35
2022-06-21,275.89
2022-06-17,271.15
2022-06-16,267.78
2022-06-15,279.75
2022-06-14,276.58
2022-06-13,273.34
2022-06-10,290.07
2022-06-09,302.13
2022-06-08,304.32
2022-06-07,294.68
2022-06-06,296.60
2022-06-03,293.57
2022-06-02,286.70
2022-06-01,286.87
2022-05-31,289.03
2022-05-27,288.82
2022-05-26,275.49
2022-05-25,251.51
2022-05-24,253.07
2022-05-23,265.53
2022-05-20,263.20
2022-05-19,264.24
2022-05-18,268.36
2022-05-17,300.77
2022-05-16,300.53
2022-05-13,301.36
2022-05-12,281.55
2022-05-11,290.78
2022-05-10,288.72
2022-05-09,291.00
2022-05-06,309.53
2022-05-05,338.33
2022-05-04,345.17
2022-05-03,353.12
2022-05-02,349.63
2022-04-29,353.93
2022-04-28,352.09
2022-04-27,350.05
2022-04-26,352.44
2022-04-25,356.51
2022-04-22,362.66
2022-04-21,375.01
2022-04-20,384.87
2022-04-19,394.47
2022-04-18,382.42
2022-04-14,390.17
2022-04-13,375.79
2022-04-12,372.46
2022-04-11,361.11
2022-04-08,369.08
2022-04-07,368.76
2022-04-06,365.00
2022-04-05,372.28
2022-04-04,368.25
2022-04-01,362.70
2022-03-31,364.91
2022-03-30,358.57
2022-03-29,336.07
2022-03-28,319.86
2022-03-25,316.01
2022-03-24,306.05
2022-03-23,308.18
2022-03-22,311.71
2022-03-21,303.50
2022-03-18,304.75
2022-03-17,300.22
2022-03-16,292.25
2022-03-15,278.00
2022-03-14,283.00
2022-03-11,291.38
2022-03-10,297.52
2022-03-09,301.22
2022-03-08,292.19
2022-03-07,301.87
2022-03-04,314.54
