,MODG
2023-07-03,19.88
2023-06-30,19.84
2023-06-29,19.64
2023-06-28,19.54
2023-06-27,19.35
2023-06-26,19.00
2023-06-23,18.89
2023-06-22,19.02
2023-06-21,18.93
2023-06-20,18.91
2023-06-16,19.09
2023-06-15,19.30
2023-06-14,19.33
2023-06-13,19.52
2023-06-12,19.45
2023-06-09,19.58
2023-06-08,19.15
2023-06-07,19.25
2023-06-06,18.28
2023-06-05,18.08
2023-06-02,17.66
2023-06-01,17.01
2023-05-31,17.05
2023-05-30,17.09
2023-05-26,17.02
2023-05-25,16.86
2023-05-24,16.62
2023-05-23,16.45
2023-05-22,16.13
2023-05-19,16.38
2023-05-18,17.31
2023-05-17,17.33
2023-05-16,17.27
2023-05-15,17.46
2023-05-12,16.98
2023-05-11,17.53
2023-05-10,17.61
2023-05-09,21.50
2023-05-08,21.83
2023-05-05,22.06
2023-05-04,21.89
2023-05-03,22.07
2023-05-02,21.51
2023-05-01,21.85
2023-04-28,22.00
2023-04-27,21.75
2023-04-26,22.01
2023-04-25,22.07
2023-04-24,22.61
2023-04-21,22.26
2023-04-20,22.56
2023-04-19,22.49
2023-04-18,22.40
2023-04-17,22.10
2023-04-14,22.29
2023-04-13,22.27
2023-04-12,22.06
2023-04-11,21.80
2023-04-10,20.60
2023-04-06,20.56
2023-04-05,20.83
2023-04-04,21.35
2023-04-03,21.30
2023-03-31,21.18
2023-03-30,21.05
2023-03-29,20.99
2023-03-28,20.53
2023-03-27,20.28
2023-03-24,19.96
2023-03-23,20.08
2023-03-22,20.66
2023-03-21,21.25
2023-03-20,20.89
2023-03-17,20.83
2023-03-16,21.06
2023-03-15,20.89
2023-03-14,22.01
2023-03-13,21.74
2023-03-10,22.02
2023-03-09,22.82
2023-03-08,22.80
2023-03-07,22.97
2023-03-06,23.59
2023-03-03,23.38
2023-03-02,23.00
2023-03-01,23.07
2023-02-28,23.11
2023-02-27,23.31
2023-02-24,23.18
2023-02-23,23.24
2023-02-22,23.06
2023-02-21,23.32
2023-02-17,23.59
2023-02-16,23.62
2023-02-15,23.72
2023-02-14,23.37
2023-02-13,23.08
2023-02-10,22.75
2023-02-09,23.62
2023-02-08,24.07
2023-02-07,24.15
2023-02-06,24.66
2023-02-03,25.20
2023-02-02,25.11
2023-02-01,24.35
2023-01-31,23.85
2023-01-30,23.42
2023-01-27,23.29
2023-01-26,23.15
2023-01-25,22.75
2023-01-24,23.04
2023-01-23,22.98
2023-01-20,22.78
2023-01-19,22.13
2023-01-18,22.41
2023-01-17,22.26
2023-01-13,21.77
2023-01-12,21.29
2023-01-11,20.95
2023-01-10,20.46
2023-01-09,20.30
2023-01-06,20.27
2023-01-05,19.84
2023-01-04,19.84
2023-01-03,19.55
2022-12-30,19.14
2022-12-29,19.10
2022-12-28,18.92
2022-12-27,19.33
2022-12-23,19.52
2022-12-22,19.36
2022-12-21,20.07
2022-12-20,19.57
2022-12-19,19.71
2022-12-16,20.17
2022-12-15,20.70
2022-12-14,21.39
2022-12-13,21.79
2022-12-12,21.53
2022-12-09,21.89
2022-12-08,21.98
2022-12-07,21.63
2022-12-06,21.71
2022-12-05,21.50
2022-12-02,21.03
2022-12-01,20.83
2022-11-30,20.28
2022-11-29,20.22
2022-11-28,20.27
2022-11-25,20.39
2022-11-23,20.42
2022-11-22,20.17
2022-11-21,19.96
2022-11-18,20.39
2022-11-17,20.74
2022-11-16,21.09
2022-11-15,21.54
2022-11-14,21.26
2022-11-11,20.22
2022-11-10,19.58
2022-11-09,18.65
2022-11-08,18.72
2022-11-07,18.49
2022-11-04,18.04
2022-11-03,17.20
