,MSGE
2023-07-03,33.33
2023-06-30,33.31
2023-06-29,33.47
2023-06-28,32.73
2023-06-27,31.12
2023-06-26,30.62
2023-06-23,32.10
2023-06-22,32.27
2023-06-21,34.82
2023-06-20,38.06
2023-06-16,37.17
2023-06-15,36.28
2023-06-14,36.70
2023-06-13,36.65
2023-06-12,36.42
2023-06-09,36.79
2023-06-08,36.15
2023-06-07,38.15
2023-06-06,37.10
2023-06-05,37.28
2023-06-02,36.38
2023-06-01,34.58
2023-05-31,34.91
2023-05-30,34.88
2023-05-26,34.57
2023-05-25,34.72
2023-05-24,34.99
2023-05-23,36.39
2023-05-22,34.53
2023-05-19,33.62
2023-05-18,31.75
2023-05-17,31.30
2023-05-16,29.10
2023-05-15,21.02
2023-05-12,21.83
2023-05-11,23.96
2023-05-10,25.20
2023-05-09,29.64
2023-05-08,33.92
2023-05-05,33.61
2023-05-04,31.52
2023-05-03,32.44
2023-05-02,32.47
