,MTN
2023-07-03,248.03
2023-06-30,249.12
2023-06-29,246.62
2023-06-28,246.48
2023-06-27,245.04
2023-06-26,241.01
2023-06-23,242.93
2023-06-22,245.75
2023-06-21,245.15
2023-06-20,243.90
2023-06-16,248.03
2023-06-15,246.95
2023-06-14,247.26
2023-06-13,248.81
2023-06-12,241.46
2023-06-09,237.51
2023-06-08,252.60
2023-06-07,251.77
2023-06-06,250.64
2023-06-05,249.54
2023-06-02,247.95
2023-06-01,242.87
2023-05-31,239.71
2023-05-30,241.75
2023-05-26,240.88
2023-05-25,237.34
2023-05-24,230.18
2023-05-23,234.15
2023-05-22,239.36
2023-05-19,240.62
2023-05-18,238.64
2023-05-17,238.30
2023-05-16,237.37
2023-05-15,234.61
2023-05-12,236.34
2023-05-11,236.42
2023-05-10,237.20
2023-05-09,237.02
2023-05-08,238.43
2023-05-05,234.65
2023-05-04,233.52
2023-05-03,238.03
2023-05-02,238.53
2023-05-01,240.39
2023-04-28,237.15
2023-04-27,234.15
2023-04-26,234.46
2023-04-25,241.04
2023-04-24,244.90
2023-04-21,246.73
2023-04-20,244.74
2023-04-19,246.09
2023-04-18,247.82
2023-04-17,244.33
2023-04-14,242.00
2023-04-13,237.54
2023-04-12,236.78
2023-04-11,239.61
2023-04-10,234.42
2023-04-06,232.76
2023-04-05,231.03
2023-04-04,231.86
2023-04-03,231.00
2023-03-31,229.16
2023-03-30,226.32
2023-03-29,220.40
2023-03-28,218.46
2023-03-27,220.20
2023-03-24,214.35
2023-03-23,217.94
2023-03-22,219.60
2023-03-21,223.20
2023-03-20,220.05
2023-03-17,217.62
2023-03-16,214.47
2023-03-15,211.24
2023-03-14,215.28
2023-03-13,213.05
2023-03-10,214.91
2023-03-09,228.69
2023-03-08,231.76
2023-03-07,233.96
2023-03-06,236.65
2023-03-03,237.49
2023-03-02,231.10
2023-03-01,233.44
2023-02-28,233.48
2023-02-27,236.57
2023-02-24,234.17
2023-02-23,238.36
2023-02-22,236.16
2023-02-21,235.87
2023-02-17,242.89
2023-02-16,247.44
2023-02-15,251.90
2023-02-14,252.63
2023-02-13,250.39
2023-02-10,246.95
2023-02-09,252.24
2023-02-08,253.73
2023-02-07,250.32
2023-02-06,253.52
2023-02-03,257.19
