,NKE
2023-07-03,109.11
2023-06-30,109.80
2023-06-29,112.61
2023-06-28,112.12
2023-06-27,112.43
2023-06-26,109.67
2023-06-23,107.30
2023-06-22,109.78
2023-06-21,108.71
2023-06-20,108.96
2023-06-16,113.06
2023-06-15,110.16
2023-06-14,107.48
2023-06-13,106.29
2023-06-12,104.60
2023-06-09,105.35
2023-06-08,105.67
2023-06-07,105.42
2023-06-06,105.20
2023-06-05,105.18
2023-06-02,106.13
2023-06-01,102.90
2023-05-31,104.83
2023-05-30,106.27
2023-05-26,107.00
2023-05-25,107.42
2023-05-24,107.20
2023-05-23,108.19
2023-05-22,110.02
2023-05-19,113.10
2023-05-18,116.85
2023-05-17,115.25
2023-05-16,116.12
2023-05-15,118.01
2023-05-12,119.03
2023-05-11,121.90
2023-05-10,122.17
2023-05-09,124.17
2023-05-08,125.98
2023-05-05,125.22
2023-05-04,122.82
2023-05-03,123.67
2023-05-02,125.17
2023-05-01,126.86
2023-04-28,124.96
2023-04-27,123.14
2023-04-26,123.29
2023-04-25,124.05
2023-04-24,125.15
2023-04-21,123.62
2023-04-20,123.71
2023-04-19,124.92
2023-04-18,125.02
2023-04-17,125.13
2023-04-14,125.49
2023-04-13,124.46
2023-04-12,123.22
2023-04-11,122.04
2023-04-10,119.13
2023-04-06,117.85
2023-04-05,120.56
2023-04-04,121.36
2023-04-03,120.82
2023-03-31,120.60
2023-03-30,119.34
2023-03-29,118.49
2023-03-28,116.85
2023-03-27,117.61
2023-03-24,119.32
2023-03-23,119.47
2023-03-22,119.33
2023-03-21,122.97
2023-03-20,119.81
2023-03-17,118.67
2023-03-16,116.61
2023-03-15,115.81
2023-03-14,117.23
2023-03-13,115.79
2023-03-10,116.64
2023-03-09,117.55
2023-03-08,118.73
2023-03-07,119.23
2023-03-06,119.96
2023-03-03,119.02
2023-03-02,117.55
2023-03-01,117.83
2023-02-28,117.85
2023-02-27,118.32
2023-02-24,117.34
2023-02-23,118.55
2023-02-22,119.64
2023-02-21,120.98
2023-02-17,123.44
2023-02-16,124.11
2023-02-15,124.90
2023-02-14,123.74
2023-02-13,122.46
2023-02-10,120.54
2023-02-09,121.50
2023-02-08,121.80
2023-02-07,123.25
2023-02-06,124.32
2023-02-03,126.44
2023-02-02,127.86
2023-02-01,126.22
2023-01-31,126.01
2023-01-30,126.21
2023-01-27,126.70
2023-01-26,126.01
2023-01-25,124.83
2023-01-24,120.45
2023-01-23,126.54
2023-01-20,124.04
2023-01-19,123.61
2023-01-18,126.00
2023-01-17,127.83
2023-01-13,126.66
2023-01-12,126.46
2023-01-11,126.01
2023-01-10,124.37
2023-01-09,124.55
2023-01-06,121.77
2023-01-05,120.08
2023-01-04,119.53
2023-01-03,117.44
2022-12-30,115.77
2022-12-29,115.80
2022-12-28,114.96
2022-12-27,115.82
2022-12-23,115.78
2022-12-22,114.06
2022-12-21,115.34
2022-12-20,101.68
2022-12-19,102.45
2022-12-16,105.12
2022-12-15,107.73
2022-12-14,110.23
2022-12-13,111.25
2022-12-12,109.71
2022-12-09,109.26
2022-12-08,108.46
2022-12-07,107.06
2022-12-06,106.75
2022-12-05,109.19
2022-12-02,108.34
2022-12-01,109.55
2022-11-30,105.45
2022-11-29,105.12
2022-11-28,104.65
2022-11-25,105.56
2022-11-23,105.23
2022-11-22,103.84
2022-11-21,103.60
2022-11-18,104.17
2022-11-17,102.92
2022-11-16,104.77
2022-11-15,105.53
2022-11-14,104.32
2022-11-11,100.14
2022-11-10,96.23
2022-11-09,91.96
2022-11-08,92.94
2022-11-07,92.67
2022-11-04,93.95
2022-11-03,88.72
2022-11-02,90.19
2022-11-01,92.97
2022-10-31,92.68
2022-10-28,90.46
2022-10-27,90.22
2022-10-26,90.70
2022-10-25,87.89
2022-10-24,86.24
2022-10-21,86.71
2022-10-20,86.61
2022-10-19,87.76
2022-10-18,89.15
2022-10-17,88.70
2022-10-14,87.49
2022-10-13,86.05
2022-10-12,87.31
2022-10-11,85.75
2022-10-10,85.07
2022-10-07,86.69
2022-10-06,89.81
2022-10-05,87.15
2022-10-04,87.11
2022-10-03,82.22
2022-09-30,82.50
2022-09-29,94.48
2022-09-28,96.76
2022-09-27,95.00
2022-09-26,95.71
2022-09-23,95.34
2022-09-22,97.83
2022-09-21,99.77
2022-09-20,101.71
2022-09-19,103.33
2022-09-16,103.25
2022-09-15,104.83
2022-09-14,105.15
2022-09-13,105.44
2022-09-12,111.38
2022-09-09,109.30
2022-09-08,106.08
2022-09-07,105.00
2022-09-06,103.68
2022-09-02,105.05
2022-09-01,103.80
2022-08-31,105.81
2022-08-30,107.13
2022-08-29,106.44
2022-08-26,108.23
2022-08-25,111.39
2022-08-24,110.02
2022-08-23,110.57
2022-08-22,109.84
2022-08-19,113.03
2022-08-18,115.30
2022-08-17,116.41
2022-08-16,115.81
2022-08-15,114.85
2022-08-12,113.77
2022-08-11,113.73
2022-08-10,111.86
2022-08-09,108.82
2022-08-08,113.31
2022-08-05,112.57
2022-08-04,113.83
2022-08-03,112.58
2022-08-02,111.67
2022-08-01,113.25
2022-07-29,111.50
2022-07-28,108.03
2022-07-27,105.75
2022-07-26,104.57
2022-07-25,107.68
2022-07-22,108.75
2022-07-21,110.07
2022-07-20,108.87
2022-07-19,105.43
2022-07-18,103.68
2022-07-15,103.93
2022-07-14,101.85
2022-07-13,101.56
2022-07-12,103.15
2022-07-11,104.87
2022-07-08,106.51
2022-07-07,105.27
2022-07-06,103.45
2022-07-05,100.11
