,NZDUSD
2023-07-03,0.6128
2023-06-30,0.6060
2023-06-29,0.6052
2023-06-28,0.6071
2023-06-27,0.6158
2023-06-26,0.6139
2023-06-23,0.6118
2023-06-22,0.6185
2023-06-21,0.6158
2023-06-20,0.6136
2023-06-19,0.6193
2023-06-16,0.6211
2023-06-15,0.6161
2023-06-14,0.6143
2023-06-13,0.6108
2023-06-12,0.6108
2023-06-09,0.6086
2023-06-08,0.6042
2023-06-07,0.6047
2023-06-06,0.6047
2023-06-05,0.6043
2023-06-02,0.6059
2023-06-01,0.5992
2023-05-31,0.5989
2023-05-30,0.6026
2023-05-29,0.6046
2023-05-26,0.6034
2023-05-25,0.6045
2023-05-24,0.6104
2023-05-23,0.6235
2023-05-22,0.6263
2023-05-19,0.6231
2023-05-18,0.6205
2023-05-17,0.6230
2023-05-16,0.6225
2023-05-15,0.6189
2023-05-12,0.6187
2023-05-11,0.6290
2023-05-10,0.6325
2023-05-09,0.6320
2023-05-08,0.6296
2023-05-05,0.6268
2023-05-04,0.6208
2023-05-03,0.6214
2023-05-02,0.6165
2023-05-01,0.6166
2023-04-28,0.6126
2023-04-27,0.6116
2023-04-26,0.6121
2023-04-25,0.6143
2023-04-24,0.6127
2023-04-21,0.6128
2023-04-20,0.6151
2023-04-19,0.6174
2023-04-18,0.6181
2023-04-17,0.6162
2023-04-14,0.6206
2023-04-13,0.6205
2023-04-12,0.6183
2023-04-11,0.6194
2023-04-10,0.6195
2023-04-07,0.6214
2023-04-06,0.6240
2023-04-05,0.6287
2023-04-04,0.6276
2023-04-03,0.6210
2023-03-31,0.6242
2023-03-30,0.6205
2023-03-29,0.6216
2023-03-28,0.6202
2023-03-27,0.6182
2023-03-24,0.6193
2023-03-23,0.6228
2023-03-22,0.6174
2023-03-21,0.6169
2023-03-20,0.6230
2023-03-17,0.6194
2023-03-16,0.6147
2023-03-15,0.6176
2023-03-14,0.6202
2023-03-13,0.6143
2023-03-10,0.6096
2023-03-09,0.6099
2023-03-08,0.6086
2023-03-07,0.6124
