,ONON
2023-07-03,32.87
2023-06-30,31.86
2023-06-29,31.32
2023-06-28,30.99
2023-06-27,30.67
2023-06-26,29.83
2023-06-23,28.52
2023-06-22,28.55
2023-06-21,28.26
2023-06-20,28.33
2023-06-16,29.76
2023-06-15,29.22
2023-06-14,29.67
2023-06-13,29.72
2023-06-12,29.72
2023-06-09,29.75
2023-06-08,28.00
2023-06-07,27.95
2023-06-06,28.28
2023-06-05,27.64
2023-06-02,27.42
2023-06-01,26.87
2023-05-31,27.02
2023-05-30,27.29
2023-05-26,26.57
2023-05-25,26.04
2023-05-24,25.51
2023-05-23,26.50
2023-05-22,26.42
2023-05-19,26.10
2023-05-18,26.86
2023-05-17,27.52
2023-05-16,29.62
2023-05-15,32.91
2023-05-12,32.54
2023-05-11,32.43
2023-05-10,32.35
2023-05-09,33.18
2023-05-08,33.57
2023-05-05,32.75
2023-05-04,32.13
2023-05-03,31.46
2023-05-02,31.31
2023-05-01,32.13
2023-04-28,31.87
2023-04-27,30.60
2023-04-26,32.02
2023-04-25,32.00
2023-04-24,32.81
2023-04-21,31.62
2023-04-20,31.00
2023-04-19,31.28
2023-04-18,30.56
2023-04-17,29.92
2023-04-14,29.99
2023-04-13,29.33
2023-04-12,29.11
2023-04-11,29.66
2023-04-10,28.86
2023-04-06,28.25
2023-04-05,29.00
2023-04-04,31.68
2023-04-03,29.95
2023-03-31,29.86
2023-03-30,30.77
2023-03-29,29.84
2023-03-28,29.36
2023-03-27,29.92
2023-03-24,29.90
2023-03-23,27.60
2023-03-22,27.01
2023-03-21,25.50
2023-03-20,21.12
2023-03-17,21.29
2023-03-16,20.80
2023-03-15,19.90
2023-03-14,20.52
2023-03-13,19.90
2023-03-10,20.04
2023-03-09,20.95
2023-03-08,21.81
2023-03-07,22.03
2023-03-06,22.32
2023-03-03,22.61
2023-03-02,22.00
2023-03-01,21.88
2023-02-28,21.39
2023-02-27,20.97
2023-02-24,20.31
2023-02-23,20.90
2023-02-22,20.75
2023-02-21,20.72
2023-02-17,21.58
2023-02-16,22.09
2023-02-15,22.88
2023-02-14,21.35
2023-02-13,20.95
2023-02-10,20.59
2023-02-09,21.02
2023-02-08,21.10
2023-02-07,21.30
2023-02-06,21.95
2023-02-03,22.69
2023-02-02,23.38
2023-02-01,22.74
2023-01-31,22.83
2023-01-30,22.44
2023-01-27,22.05
2023-01-26,22.03
2023-01-25,21.05
2023-01-24,21.70
2023-01-23,21.21
2023-01-20,20.59
2023-01-19,20.19
2023-01-18,20.70
2023-01-17,20.35
2023-01-13,20.08
2023-01-12,19.95
2023-01-11,19.62
2023-01-10,19.21
2023-01-09,18.63
2023-01-06,17.72
2023-01-05,16.60
2023-01-04,17.07
2023-01-03,16.84
2022-12-30,16.83
2022-12-29,16.54
2022-12-28,16.08
2022-12-27,16.07
2022-12-23,15.91
2022-12-22,16.00
2022-12-21,16.73
2022-12-20,16.07
2022-12-19,16.22
2022-12-16,16.33
2022-12-15,16.92
2022-12-14,17.45
2022-12-13,17.50
2022-12-12,17.18
2022-12-09,17.33
2022-12-08,17.77
2022-12-07,17.73
2022-12-06,17.72
2022-12-05,18.68
2022-12-02,18.02
2022-12-01,19.01
2022-11-30,18.40
2022-11-29,18.42
2022-11-28,18.34
2022-11-25,18.10
2022-11-23,18.09
2022-11-22,16.90
2022-11-21,16.58
2022-11-18,16.68
2022-11-17,17.20
2022-11-16,17.64
2022-11-15,20.02
2022-11-14,18.83
2022-11-11,18.25
2022-11-10,17.51
2022-11-09,16.32
2022-11-08,16.90
2022-11-07,16.86
2022-11-04,17.22
2022-11-03,16.46
2022-11-02,16.80
2022-11-01,17.70
2022-10-31,17.22
2022-10-28,16.93
2022-10-27,17.17
2022-10-26,17.47
2022-10-25,16.96
2022-10-24,15.95
2022-10-21,15.87
2022-10-20,15.64
2022-10-19,16.07
2022-10-18,16.73
2022-10-17,16.35
2022-10-14,16.07
2022-10-13,15.76
2022-10-12,16.10
2022-10-11,15.44
2022-10-10,15.88
2022-10-07,16.58
2022-10-06,17.87
2022-10-05,17.20
2022-10-04,17.36
2022-10-03,16.01
2022-09-30,15.90
2022-09-29,16.93
2022-09-28,16.91
2022-09-27,16.35
2022-09-26,16.55
2022-09-23,16.42
2022-09-22,16.95
2022-09-21,17.67
2022-09-20,17.73
2022-09-19,17.83
2022-09-16,17.79
2022-09-15,18.41
2022-09-14,18.65
2022-09-13,19.03
2022-09-12,20.37
2022-09-09,19.89
2022-09-08,19.34
2022-09-07,18.62
2022-09-06,18.34
2022-09-02,18.91
2022-09-01,18.87
2022-08-31,19.80
2022-08-30,20.31
2022-08-29,20.31
2022-08-26,20.65
2022-08-25,21.50
2022-08-24,21.46
2022-08-23,21.69
2022-08-22,21.63
2022-08-19,22.23
2022-08-18,22.22
2022-08-17,23.88
2022-08-16,22.75
2022-08-15,24.08
2022-08-12,23.63
2022-08-11,23.44
2022-08-10,23.38
2022-08-09,22.07
2022-08-08,22.97
2022-08-05,21.70
2022-08-04,22.07
2022-08-03,21.80
2022-08-02,21.58
2022-08-01,21.64
2022-07-29,20.78
2022-07-28,18.95
2022-07-27,18.57
2022-07-26,18.30
2022-07-25,19.01
2022-07-22,19.02
2022-07-21,19.00
2022-07-20,18.52
2022-07-19,18.01
2022-07-18,17.56
2022-07-15,16.16
2022-07-14,16.20
2022-07-13,16.94
2022-07-12,17.07
2022-07-11,17.33
2022-07-08,17.64
2022-07-07,17.61
2022-07-06,17.61
2022-07-05,17.05
2022-07-01,17.30
2022-06-30,16.64
2022-06-29,17.00
2022-06-28,17.42
2022-06-27,17.96
2022-06-24,18.56
2022-06-23,17.08
2022-06-22,16.80
2022-06-21,17.09
2022-06-17,16.73
2022-06-16,16.75
2022-06-15,18.43
2022-06-14,18.70
2022-06-13,18.51
2022-06-10,19.76
2022-06-09,20.46
2022-06-08,20.55
2022-06-07,20.73
2022-06-06,20.27
2022-06-03,21.61
2022-06-02,21.18
2022-06-01,20.50
2022-05-31,20.50
2022-05-27,19.94
2022-05-26,18.80
2022-05-25,17.82
2022-05-24,18.06
2022-05-23,18.78
2022-05-20,18.93
2022-05-19,19.25
2022-05-18,18.86
2022-05-17,19.90
2022-05-16,19.34
2022-05-13,19.28
2022-05-12,16.38
2022-05-11,16.54
2022-05-10,19.31
2022-05-09,20.17
2022-05-06,20.80
2022-05-05,22.96
2022-05-04,24.21
2022-05-03,25.77
2022-05-02,24.36
2022-04-29,24.67
2022-04-28,23.97
2022-04-27,23.23
2022-04-26,23.37
2022-04-25,25.33
2022-04-22,25.33
