,PEP
2023-07-03,183.47
2023-06-30,183.88
2023-06-29,181.39
2023-06-28,183.38
2023-06-27,183.96
2023-06-26,184.12
2023-06-23,185.95
2023-06-22,185.87
2023-06-21,184.19
2023-06-20,185.24
2023-06-16,185.70
2023-06-15,183.52
2023-06-14,181.44
2023-06-13,181.08
2023-06-12,180.69
2023-06-09,181.00
2023-06-08,179.33
2023-06-07,179.70
2023-06-06,180.43
2023-06-05,183.61
2023-06-02,181.70
2023-06-01,180.80
2023-05-31,181.46
2023-05-30,180.70
2023-05-26,182.40
2023-05-25,181.95
2023-05-24,184.37
2023-05-23,184.59
2023-05-22,186.41
2023-05-19,191.10
2023-05-18,190.41
2023-05-17,190.84
2023-05-16,192.54
2023-05-15,194.00
2023-05-12,194.95
2023-05-11,193.00
2023-05-10,192.67
2023-05-09,192.71
2023-05-08,192.65
2023-05-05,192.39
2023-05-04,192.16
2023-05-03,191.78
2023-05-02,189.75
2023-05-01,190.28
2023-04-28,189.64
2023-04-27,187.51
2023-04-26,187.87
2023-04-25,186.24
2023-04-24,185.02
2023-04-21,185.13
2023-04-20,184.20
2023-04-19,184.26
2023-04-18,183.74
2023-04-17,183.48
2023-04-14,182.92
2023-04-13,182.11
2023-04-12,182.25
2023-04-11,182.76
2023-04-10,181.69
2023-04-06,183.10
2023-04-05,183.06
2023-04-04,181.10
2023-04-03,180.40
2023-03-31,181.32
2023-03-30,180.08
2023-03-29,179.99
2023-03-28,179.33
2023-03-27,179.31
2023-03-24,176.39
2023-03-23,175.02
2023-03-22,176.42
2023-03-21,176.28
2023-03-20,175.51
2023-03-17,174.23
2023-03-16,175.32
2023-03-15,173.19
2023-03-14,171.57
2023-03-13,172.61
2023-03-10,170.96
2023-03-09,171.20
2023-03-08,171.78
2023-03-07,171.87
2023-03-06,172.22
2023-03-03,171.33
2023-03-02,169.78
2023-03-01,169.12
2023-02-28,173.20
2023-02-27,175.65
2023-02-24,174.29
2023-02-23,174.99
2023-02-22,175.77
2023-02-21,174.67
2023-02-17,174.83
2023-02-16,174.54
2023-02-15,174.59
2023-02-14,174.79
2023-02-13,176.04
2023-02-10,172.65
2023-02-09,172.04
2023-02-08,170.24
2023-02-07,169.26
2023-02-06,169.59
2023-02-03,167.05
2023-02-02,168.51
2023-02-01,169.51
2023-01-31,169.32
2023-01-30,169.14
2023-01-27,168.58
2023-01-26,170.04
2023-01-25,169.34
2023-01-24,168.45
2023-01-23,168.72
2023-01-20,167.46
2023-01-19,169.48
2023-01-18,171.33
2023-01-17,175.49
2023-01-13,174.17
2023-01-12,175.32
2023-01-11,175.68
2023-01-10,177.09
2023-01-09,178.81
2023-01-06,178.80
2023-01-05,176.86
2023-01-04,177.55
2023-01-03,176.57
2022-12-30,179.29
2022-12-29,181.89
2022-12-28,181.64
2022-12-27,182.27
2022-12-23,180.45
2022-12-22,178.92
2022-12-21,181.40
2022-12-20,180.64
2022-12-19,180.35
2022-12-16,178.48
2022-12-15,178.39
2022-12-14,182.13
2022-12-13,182.94
2022-12-12,182.36
2022-12-09,183.05
2022-12-08,181.26
2022-12-07,180.69
2022-12-06,180.70
2022-12-05,182.32
2022-12-02,183.84
2022-12-01,184.16
2022-11-30,180.24
2022-11-29,181.02
2022-11-28,183.51
2022-11-25,183.94
2022-11-23,184.50
2022-11-22,184.37
2022-11-21,182.09
2022-11-18,180.02
2022-11-17,177.43
2022-11-16,177.72
2022-11-15,175.42
2022-11-14,176.50
2022-11-11,175.44
2022-11-10,178.56
2022-11-09,178.40
2022-11-08,178.80
2022-11-07,178.83
2022-11-04,176.53
2022-11-03,176.53
2022-11-02,178.17
2022-11-01,179.89
2022-10-31,180.54
2022-10-28,179.48
2022-10-27,178.57
2022-10-26,178.32
2022-10-25,176.61
2022-10-24,174.67
2022-10-21,170.58
2022-10-20,171.11
2022-10-19,172.33
2022-10-18,173.41
2022-10-17,171.07
2022-10-14,169.99
2022-10-13,166.82
2022-10-12,166.60
2022-10-11,161.56
2022-10-10,161.19
2022-10-07,160.98
2022-10-06,162.50
2022-10-05,163.73
2022-10-04,165.55
2022-10-03,163.02
2022-09-30,163.01
2022-09-29,165.00
2022-09-28,165.24
2022-09-27,165.24
2022-09-26,167.53
2022-09-23,166.53
2022-09-22,168.05
2022-09-21,168.34
2022-09-20,166.86
2022-09-19,166.50
2022-09-16,165.25
2022-09-15,165.34
2022-09-14,167.57
2022-09-13,166.95
2022-09-12,172.75
2022-09-09,171.67
2022-09-08,170.56
2022-09-07,169.93
2022-09-06,169.13
2022-09-02,169.89
2022-09-01,170.24
2022-08-31,172.20
2022-08-30,172.33
2022-08-29,173.21
2022-08-26,174.67
2022-08-25,177.39
2022-08-24,178.11
2022-08-23,177.29
2022-08-22,178.02
2022-08-19,179.32
2022-08-18,179.94
2022-08-17,179.72
2022-08-16,178.64
2022-08-15,176.80
2022-08-12,175.38
2022-08-11,174.67
2022-08-10,174.72
2022-08-09,173.96
2022-08-08,173.32
2022-08-05,172.40
2022-08-04,174.58
2022-08-03,174.24
2022-08-02,175.22
2022-08-01,174.55
2022-07-29,173.39
2022-07-28,171.19
2022-07-27,169.06
2022-07-26,169.24
2022-07-25,169.04
2022-07-22,168.49
2022-07-21,167.56
2022-07-20,167.46
2022-07-19,168.63
2022-07-18,167.85
2022-07-15,170.02
2022-07-14,167.70
2022-07-13,167.98
2022-07-12,168.87
2022-07-11,170.02
2022-07-08,170.55
2022-07-07,169.38
2022-07-06,169.48
2022-07-05,165.33
2022-07-01,165.76
2022-06-30,165.63
2022-06-29,165.35
2022-06-28,163.85
2022-06-27,165.34
2022-06-24,163.94
2022-06-23,163.15
2022-06-22,159.56
2022-06-21,157.35
2022-06-17,156.17
2022-06-16,155.11
2022-06-15,155.93
2022-06-14,154.86
2022-06-13,159.06
2022-06-10,159.45
2022-06-09,162.67
2022-06-08,165.11
2022-06-07,164.22
2022-06-06,164.73
2022-06-03,164.36
2022-06-02,162.65
2022-06-01,163.82
2022-05-31,165.37
2022-05-27,170.20
2022-05-26,168.96
2022-05-25,166.96
2022-05-24,165.16
2022-05-23,163.57
2022-05-20,159.62
2022-05-19,159.67
2022-05-18,162.92
2022-05-17,172.58
2022-05-16,173.42
2022-05-13,169.46
2022-05-12,168.16
2022-05-11,169.92
2022-05-10,170.75
2022-05-09,168.76
2022-05-06,168.72
2022-05-05,169.08
2022-05-04,167.61
2022-05-03,166.58
2022-05-02,165.27
2022-04-29,171.41
2022-04-28,173.82
2022-04-27,173.19
2022-04-26,172.73
2022-04-25,171.00
2022-04-22,171.94
2022-04-21,174.65
2022-04-20,173.72
2022-04-19,169.84
2022-04-18,169.96
2022-04-14,171.76
2022-04-13,171.73
2022-04-12,172.63
2022-04-11,172.32
2022-04-08,171.59
2022-04-07,170.78
2022-04-06,169.49
2022-04-05,168.32
2022-04-04,167.45
2022-04-01,167.37
2022-03-31,167.27
2022-03-30,166.12
2022-03-29,166.37
2022-03-28,163.71
2022-03-25,164.43
2022-03-24,163.27
2022-03-23,162.63
2022-03-22,162.23
2022-03-21,161.07
2022-03-18,160.06
2022-03-17,159.30
2022-03-16,157.04
2022-03-15,156.83
2022-03-14,154.50
2022-03-11,153.48
2022-03-10,153.37
2022-03-09,156.40
2022-03-08,157.69
2022-03-07,162.13
2022-03-04,160.92
2022-03-03,162.80
2022-03-02,162.49
2022-03-01,161.30
2022-02-28,161.41
2022-02-25,164.26
2022-02-24,160.29
2022-02-23,166.52
2022-02-22,166.23
2022-02-18,166.22
2022-02-17,165.00
2022-02-16,164.54
2022-02-15,165.26
2022-02-14,165.10
2022-02-11,167.69
2022-02-10,167.30
2022-02-09,171.01
2022-02-08,170.31
2022-02-07,171.21
2022-02-04,171.19
2022-02-03,173.83
2022-02-02,172.57
2022-02-01,169.56
2022-01-31,170.59
2022-01-28,167.21
2022-01-27,168.78
2022-01-26,166.45
2022-01-25,169.74
2022-01-24,168.96
2022-01-21,174.11
2022-01-20,173.84
2022-01-19,173.57
2022-01-18,173.15
2022-01-14,173.40
2022-01-13,173.24
2022-01-12,172.95
2022-01-11,171.62
2022-01-10,173.62
2022-01-07,172.61
2022-01-06,173.23
2022-01-05,173.23
2022-01-04,172.20
2022-01-03,170.57
2021-12-31,172.11
2021-12-30,172.23
2021-12-29,171.93
2021-12-28,171.20
2021-12-27,169.77
2021-12-23,169.25
2021-12-22,168.27
2021-12-21,167.78
2021-12-20,166.75
2021-12-17,168.05
2021-12-16,171.02
2021-12-15,169.46
2021-12-14,168.30
2021-12-13,168.05
2021-12-10,166.90
2021-12-09,164.85
2021-12-08,164.03
2021-12-07,165.66
2021-12-06,165.79
2021-12-03,161.34
2021-12-02,159.83
2021-12-01,160.05
2021-11-30,158.39
2021-11-29,161.14
2021-11-26,160.89
2021-11-24,162.58
2021-11-23,163.31
2021-11-22,163.18
2021-11-19,163.44
2021-11-18,161.75
2021-11-17,162.08
2021-11-16,163.23
2021-11-15,162.49
2021-11-12,162.08
2021-11-11,162.55
2021-11-10,163.03
2021-11-09,162.00
2021-11-08,161.15
