,PLNT
2023-07-03,67.42
2023-06-30,66.89
2023-06-29,66.18
2023-06-28,66.14
2023-06-27,66.51
2023-06-26,65.33
2023-06-23,64.01
2023-06-22,66.60
2023-06-21,66.71
2023-06-20,67.06
2023-06-16,69.86
2023-06-15,68.84
2023-06-14,70.71
2023-06-13,69.26
2023-06-12,67.28
2023-06-09,66.78
2023-06-08,66.35
2023-06-07,66.13
2023-06-06,67.50
2023-06-05,63.89
2023-06-02,60.22
2023-06-01,62.79
2023-05-31,63.67
2023-05-30,64.65
2023-05-26,66.28
2023-05-25,65.74
2023-05-24,65.82
2023-05-23,66.34
2023-05-22,67.38
2023-05-19,67.64
2023-05-18,69.29
2023-05-17,69.20
2023-05-16,68.06
2023-05-15,68.17
2023-05-12,67.44
2023-05-11,67.95
2023-05-10,67.58
2023-05-09,69.80
2023-05-08,69.22
2023-05-05,68.88
2023-05-04,67.67
2023-05-03,81.35
2023-05-02,81.24
2023-05-01,82.69
2023-04-28,81.51
2023-04-27,79.26
2023-04-26,78.78
2023-04-25,78.30
2023-04-24,78.49
2023-04-21,77.61
2023-04-20,77.11
2023-04-19,76.90
2023-04-18,76.88
2023-04-17,76.29
2023-04-14,76.03
2023-04-13,76.40
2023-04-12,76.00
2023-04-11,78.14
2023-04-10,76.13
2023-04-06,74.97
2023-04-05,74.51
2023-04-04,74.19
2023-04-03,75.97
2023-03-31,76.46
2023-03-30,76.14
2023-03-29,75.18
2023-03-28,75.22
2023-03-27,74.30
2023-03-24,73.22
2023-03-23,74.04
2023-03-22,75.32
2023-03-21,75.37
2023-03-20,73.68
2023-03-17,73.50
2023-03-16,74.06
2023-03-15,73.13
2023-03-14,74.82
2023-03-13,74.55
2023-03-10,75.49
2023-03-09,77.43
2023-03-08,79.11
2023-03-07,80.85
2023-03-06,80.72
2023-03-03,80.35
2023-03-02,78.27
2023-03-01,79.61
2023-02-28,80.30
2023-02-27,80.19
2023-02-24,79.14
2023-02-23,79.11
2023-02-22,76.11
2023-02-21,75.93
2023-02-17,76.89
2023-02-16,80.25
2023-02-15,82.61
2023-02-14,81.88
2023-02-13,81.11
2023-02-10,79.25
2023-02-09,80.15
2023-02-08,81.65
2023-02-07,80.19
2023-02-06,81.08
2023-02-03,81.29
2023-02-02,83.15
2023-02-01,82.37
2023-01-31,82.62
2023-01-30,81.57
2023-01-27,82.24
