,PTON
2023-07-03,7.85
2023-06-30,7.46
2023-06-29,7.26
2023-06-28,7.20
2023-06-27,7.14
2023-06-26,7.22
2023-06-23,7.25
2023-06-22,7.35
2023-06-21,7.32
2023-06-20,8.14
2023-06-16,8.56
2023-06-15,8.72
2023-06-14,9.30
2023-06-13,9.01
2023-06-12,8.40
2023-06-09,8.19
2023-06-08,7.85
2023-06-07,7.99
2023-06-06,8.07
2023-06-05,8.05
2023-06-02,7.87
2023-06-01,7.16
2023-05-31,6.94
2023-05-30,6.92
2023-05-26,6.88
2023-05-25,6.90
2023-05-24,6.89
2023-05-23,7.15
2023-05-22,7.02
2023-05-19,7.03
2023-05-18,7.07
2023-05-17,6.91
2023-05-16,6.86
2023-05-15,6.81
2023-05-12,6.62
2023-05-11,6.76
2023-05-10,7.26
2023-05-09,7.65
2023-05-08,7.86
2023-05-05,7.31
2023-05-04,7.31
2023-05-03,8.57
2023-05-02,8.53
2023-05-01,8.73
2023-04-28,8.54
2023-04-27,8.57
2023-04-26,8.53
2023-04-25,8.80
2023-04-24,9.02
2023-04-21,9.00
2023-04-20,8.95
2023-04-19,9.44
2023-04-18,9.72
2023-04-17,9.48
2023-04-14,9.56
2023-04-13,10.00
2023-04-12,10.01
2023-04-11,11.40
2023-04-10,11.09
2023-04-06,10.97
2023-04-05,11.01
2023-04-04,11.47
2023-04-03,11.11
2023-03-31,10.47
2023-03-30,10.38
2023-03-29,9.98
2023-03-28,9.58
2023-03-27,9.36
2023-03-24,9.09
2023-03-23,9.17
2023-03-22,9.19
2023-03-21,9.56
2023-03-20,9.19
2023-03-17,9.68
2023-03-16,10.52
2023-03-15,10.26
2023-03-14,10.56
2023-03-13,10.81
2023-03-10,11.21
2023-03-09,12.41
2023-03-08,12.86
2023-03-07,13.24
2023-03-06,13.75
2023-03-03,12.95
2023-03-02,12.16
2023-03-01,12.58
2023-02-28,12.78
2023-02-27,12.51
2023-02-24,12.48
2023-02-23,12.65
2023-02-22,13.02
2023-02-21,12.69
2023-02-17,13.16
2023-02-16,13.66
2023-02-15,13.50
2023-02-14,12.86
2023-02-13,13.44
2023-02-10,13.81
2023-02-09,14.65
2023-02-08,15.05
2023-02-07,15.42
2023-02-06,15.15
2023-02-03,16.14
2023-02-02,15.18
2023-02-01,13.60
2023-01-31,12.50
2023-01-30,12.30
2023-01-27,11.65
2023-01-26,11.42
2023-01-25,10.52
2023-01-24,10.87
2023-01-23,10.86
2023-01-20,10.46
2023-01-19,10.19
2023-01-18,11.03
2023-01-17,11.33
2023-01-13,10.82
2023-01-12,10.21
2023-01-11,9.77
2023-01-10,9.31
2023-01-09,9.02
2023-01-06,8.31
2023-01-05,8.31
2023-01-04,7.99
2023-01-03,7.89
2022-12-30,7.68
2022-12-29,7.92
2022-12-28,7.86
2022-12-27,8.12
2022-12-23,8.65
2022-12-22,8.83
2022-12-21,9.86
2022-12-20,10.18
2022-12-19,10.23
2022-12-16,10.69
2022-12-15,11.21
2022-12-14,11.52
2022-12-13,11.41
2022-12-12,11.11
2022-12-09,11.48
2022-12-08,11.70
2022-12-07,11.85
2022-12-06,11.93
2022-12-05,12.74
2022-12-02,11.41
2022-12-01,10.99
2022-11-30,10.14
2022-11-29,10.10
2022-11-28,9.94
2022-11-25,9.79
2022-11-23,9.67
2022-11-22,9.33
2022-11-21,9.49
2022-11-18,10.18
2022-11-17,10.42
2022-11-16,10.71
2022-11-15,11.15
2022-11-14,10.04
2022-11-11,9.50
2022-11-10,9.22
2022-11-09,8.39
2022-11-08,8.78
2022-11-07,8.93
2022-11-04,8.92
2022-11-03,7.24
2022-11-02,8.41
2022-11-01,8.76
2022-10-31,7.98
2022-10-28,7.59
2022-10-27,7.70
2022-10-26,7.25
2022-10-25,7.07
2022-10-24,6.76
2022-10-21,7.03
2022-10-20,7.28
2022-10-19,7.32
2022-10-18,7.53
2022-10-17,7.36
2022-10-14,7.23
2022-10-13,7.83
2022-10-12,8.09
2022-10-11,8.24
2022-10-10,8.56
2022-10-07,8.40
2022-10-06,8.35
2022-10-05,8.10
2022-10-04,7.67
2022-10-03,6.66
2022-09-30,6.86
2022-09-29,6.82
2022-09-28,8.03
2022-09-27,8.06
2022-09-26,8.06
2022-09-23,8.28
2022-09-22,8.59
2022-09-21,9.05
2022-09-20,9.63
2022-09-19,9.59
2022-09-16,9.71
2022-09-15,10.00
2022-09-14,9.66
2022-09-13,9.48
2022-09-12,10.24
2022-09-09,9.30
2022-09-08,8.64
2022-09-07,8.57
2022-09-06,8.68
2022-09-02,9.40
2022-09-01,9.65
2022-08-31,9.67
2022-08-30,9.52
2022-08-29,10.35
2022-08-26,10.12
2022-08-25,10.65
2022-08-24,12.16
2022-08-23,10.78
2022-08-22,11.13
2022-08-19,11.36
2022-08-18,12.29
2022-08-17,12.85
2022-08-16,12.91
2022-08-15,12.69
2022-08-12,11.82
2022-08-11,11.73
2022-08-10,11.41
2022-08-09,10.88
2022-08-08,11.66
2022-08-05,10.05
2022-08-04,10.45
2022-08-03,10.64
2022-08-02,9.56
2022-08-01,9.16
2022-07-29,8.88
2022-07-28,8.68
2022-07-27,8.56
2022-07-26,8.59
2022-07-25,9.27
2022-07-22,9.72
2022-07-21,10.70
2022-07-20,9.38
2022-07-19,8.50
2022-07-18,8.57
2022-07-15,8.22
2022-07-14,8.32
2022-07-13,8.66
2022-07-12,9.02
2022-07-11,8.91
2022-07-08,10.11
2022-07-07,10.10
2022-07-06,10.06
2022-07-05,8.73
2022-07-01,8.88
2022-06-30,8.74
2022-06-29,9.11
2022-06-28,9.82
2022-06-27,10.30
2022-06-24,10.39
2022-06-23,9.61
2022-06-22,9.51
2022-06-21,9.68
2022-06-17,9.37
2022-06-16,9.29
2022-06-15,9.61
2022-06-14,9.44
2022-06-13,9.61
2022-06-10,10.46
2022-06-09,11.10
2022-06-08,12.13
2022-06-07,11.90
2022-06-06,12.29
2022-06-03,12.36
2022-06-02,12.92
2022-06-01,12.89
2022-05-31,13.77
2022-05-27,13.87
2022-05-26,12.87
2022-05-25,12.43
2022-05-24,12.34
2022-05-23,13.05
2022-05-20,13.68
2022-05-19,14.14
2022-05-18,14.31
2022-05-17,14.68
2022-05-16,15.26
2022-05-13,13.82
2022-05-12,11.80
2022-05-11,12.24
2022-05-10,11.25
2022-05-09,14.06
2022-05-06,14.70
2022-05-05,16.67
2022-05-04,16.78
2022-05-03,17.96
2022-05-02,17.21
2022-04-29,17.53
2022-04-28,17.38
2022-04-27,18.34
2022-04-26,18.91
2022-04-25,19.53
2022-04-22,19.66
2022-04-21,20.41
2022-04-20,21.74
2022-04-19,23.51
2022-04-18,21.90
2022-04-14,23.10
2022-04-13,23.29
2022-04-12,23.57
2022-04-11,22.53
2022-04-08,23.40
2022-04-07,22.85
2022-04-06,24.25
2022-04-05,25.88
2022-04-04,25.83
2022-04-01,25.80
2022-03-31,26.25
2022-03-30,27.92
2022-03-29,28.37
2022-03-28,26.88
2022-03-25,27.82
2022-03-24,27.17
2022-03-23,26.86
2022-03-22,25.84
2022-03-21,24.98
2022-03-18,24.61
2022-03-17,22.92
2022-03-16,22.08
2022-03-15,20.56
2022-03-14,20.11
2022-03-11,21.04
2022-03-10,21.99
2022-03-09,22.69
2022-03-08,21.33
2022-03-07,22.14
2022-03-04,22.46
2022-03-03,24.40
2022-03-02,25.85
2022-03-01,27.20
2022-02-28,27.11
2022-02-25,26.75
2022-02-24,25.26
2022-02-23,26.70
2022-02-22,28.40
2022-02-18,29.08
2022-02-17,30.21
2022-02-16,31.53
2022-02-15,31.95
2022-02-14,32.18
2022-02-11,33.68
2022-02-10,36.41
2022-02-09,35.61
2022-02-08,29.70
2022-02-07,27.91
2022-02-04,23.21
2022-02-03,24.19
2022-02-02,25.88
2022-02-01,26.59
2022-01-31,26.01
2022-01-28,22.81
2022-01-27,23.76
2022-01-26,24.67
2022-01-25,26.45
2022-01-24,25.81
2022-01-21,24.34
2022-01-20,23.25
2022-01-19,29.54
2022-01-18,29.11
2022-01-14,30.35
2022-01-13,31.98
2022-01-12,34.47
2022-01-11,34.05
2022-01-10,32.23
2022-01-07,33.03
2022-01-06,31.51
2022-01-05,32.00
2022-01-04,32.39
2022-01-03,34.72
2021-12-31,35.65
2021-12-30,34.48
2021-12-29,33.91
2021-12-28,35.03
2021-12-27,36.47
2021-12-23,35.90
2021-12-22,36.64
2021-12-21,37.94
2021-12-20,38.19
2021-12-17,39.16
2021-12-16,38.43
2021-12-15,36.42
2021-12-14,38.67
2021-12-13,37.75
2021-12-10,37.67
2021-12-09,40.27
2021-12-08,40.97
2021-12-07,41.38
2021-12-06,40.84
2021-12-03,42.29
2021-12-02,43.41
2021-12-01,42.19
2021-11-30,42.50
2021-11-29,42.74
2021-11-26,45.00
2021-11-24,41.74
2021-11-23,41.13
2021-11-22,43.30
2021-11-19,47.00
2021-11-18,45.90
2021-11-17,50.81
2021-11-16,48.85
2021-11-15,46.70
2021-11-12,48.73
2021-11-11,47.57
2021-11-10,48.30
2021-11-09,48.93
2021-11-08,49.11
2021-11-05,55.21
2021-11-04,85.75
2021-11-03,88.79
2021-11-02,87.92
2021-11-01,89.86
2021-10-29,88.94
2021-10-28,88.53
2021-10-27,87.98
2021-10-26,92.20
2021-10-25,93.29
2021-10-22,92.18
2021-10-21,90.35
2021-10-20,89.78
2021-10-19,85.87
2021-10-18,83.58
2021-10-15,84.47
2021-10-14,85.31
2021-10-13,86.25
2021-10-12,84.87
2021-10-11,84.80
2021-10-08,85.13
2021-10-07,84.42
2021-10-06,81.04
2021-10-05,81.50
2021-10-04,81.33
2021-10-01,84.32
2021-09-30,84.67
2021-09-29,85.20
2021-09-28,87.05
2021-09-27,89.63
2021-09-24,91.76
2021-09-23,94.01
2021-09-22,92.61
2021-09-21,100.44
2021-09-20,99.30
2021-09-17,102.50
2021-09-16,103.93
2021-09-15,103.82
2021-09-14,107.82
2021-09-13,110.11
2021-09-10,106.54
2021-09-09,98.87
2021-09-08,96.06
2021-09-07,96.06
2021-09-03,96.95
2021-09-02,99.56
2021-09-01,98.29
2021-08-31,99.10
2021-08-30,100.55
2021-08-27,102.91
2021-08-26,113.35
2021-08-25,112.56
2021-08-24,110.01
2021-08-23,105.34
2021-08-20,107.85
2021-08-19,107.41
2021-08-18,109.76
2021-08-17,108.53
2021-08-16,107.19
2021-08-13,109.88
2021-08-12,111.66
2021-08-11,111.86
2021-08-10,113.56
2021-08-09,111.17
2021-08-06,112.65
2021-08-05,116.80
2021-08-04,118.14
2021-08-03,117.91
2021-08-02,114.63
2021-07-30,115.77
2021-07-29,117.91
2021-07-28,120.36
2021-07-27,117.27
2021-07-26,117.75
2021-07-23,117.57
2021-07-22,119.01
2021-07-21,123.28
2021-07-20,120.51
2021-07-19,109.67
2021-07-16,109.26
2021-07-15,108.10
2021-07-14,113.30
2021-07-13,118.50
2021-07-12,114.54
2021-07-09,117.71
2021-07-08,118.61
2021-07-07,123.20
2021-07-06,119.73
2021-07-02,120.17
2021-07-01,121.31
2021-06-30,123.36
2021-06-29,122.22
2021-06-28,121.40
2021-06-25,118.83
2021-06-24,117.00
2021-06-23,115.52
2021-06-22,107.45
2021-06-21,104.12
2021-06-18,107.24
2021-06-17,104.61
2021-06-16,102.70
2021-06-15,105.63
2021-06-14,111.55
2021-06-11,104.62
2021-06-10,104.49
2021-06-09,106.28
2021-06-08,108.38
2021-06-07,104.25
2021-06-04,101.52
2021-06-03,102.91
2021-06-02,105.95
2021-06-01,108.56
