,PUM.DE
2023-07-03,53.78
2023-06-30,52.90
2023-06-29,52.84
2023-06-28,53.24
2023-06-27,52.70
2023-06-26,51.54
2023-06-23,51.60
2023-06-22,46.97
2023-06-21,47.52
2023-06-20,48.36
2023-06-19,49.38
2023-06-16,50.30
2023-06-15,50.12
2023-06-14,50.96
2023-06-13,50.34
2023-06-09,47.90
2023-06-08,47.16
2023-06-07,47.05
2023-06-06,46.11
2023-06-05,46.61
2023-06-02,45.22
2023-05-31,44.46
2023-05-30,44.85
2023-05-29,44.54
2023-05-26,43.81
2023-05-25,44.17
2023-05-24,45.08
2023-05-22,46.43
2023-05-19,46.22
2023-05-18,48.88
2023-05-17,48.98
2023-05-16,49.95
2023-05-15,50.74
2023-05-12,51.36
2023-05-11,50.80
2023-05-10,50.20
2023-05-09,50.68
2023-05-08,51.68
2023-05-05,51.36
2023-05-04,50.54
2023-05-03,51.50
2023-05-02,51.70
2023-04-28,51.72
2023-04-27,51.48
2023-04-26,54.62
2023-04-25,56.16
2023-04-24,56.10
2023-04-21,55.16
2023-04-20,54.74
2023-04-19,55.16
2023-04-18,55.36
2023-04-17,55.44
2023-04-14,55.12
2023-04-13,54.48
2023-04-12,54.00
2023-04-06,53.02
2023-04-05,54.00
2023-04-04,54.90
2023-04-03,55.46
2023-03-31,55.86
2023-03-30,54.98
2023-03-29,53.28
2023-03-28,52.42
2023-03-27,52.44
2023-03-24,52.24
2023-03-23,52.76
2023-03-22,53.40
2023-03-21,52.42
2023-03-20,49.81
2023-03-17,50.38
2023-03-16,50.46
2023-03-15,50.30
2023-03-14,51.56
2023-03-13,51.80
2023-03-10,52.16
2023-03-09,52.32
2023-03-08,52.82
2023-03-07,53.82
2023-03-06,54.80
2023-03-03,56.66
2023-03-02,54.72
2023-03-01,56.24
2023-02-28,59.40
2023-02-27,60.82
2023-02-24,59.48
2023-02-23,59.98
2023-02-22,58.70
2023-02-21,59.60
2023-02-20,61.26
2023-02-17,61.24
2023-02-16,62.04
2023-02-15,60.82
2023-02-14,60.46
2023-02-13,60.70
2023-02-10,60.02
2023-02-09,63.42
2023-02-08,63.36
2023-02-07,63.72
2023-02-06,64.58
2023-02-03,65.28
2023-02-02,62.38
2023-02-01,61.38
2023-01-31,61.28
2023-01-30,59.50
2023-01-27,59.70
2023-01-26,59.60
2023-01-25,61.12
2023-01-24,61.90
