,RCI
2023-07-03,45.31
2023-06-30,45.57
2023-06-29,45.13
2023-06-28,44.77
2023-06-27,44.86
2023-06-26,44.27
2023-06-23,44.35
2023-06-22,44.09
2023-06-21,43.60
2023-06-20,43.87
2023-06-16,43.93
2023-06-15,43.52
2023-06-14,43.30
2023-06-13,43.01
2023-06-12,42.53
2023-06-09,42.86
2023-06-08,43.12
2023-06-07,43.80
2023-06-06,43.84
2023-06-05,43.89
2023-06-02,42.71
2023-06-01,44.02
2023-05-31,43.68
2023-05-30,44.23
2023-05-26,45.07
2023-05-25,45.58
2023-05-24,47.05
2023-05-23,47.63
2023-05-22,48.80
2023-05-19,48.74
2023-05-18,48.37
2023-05-17,48.34
2023-05-16,48.91
2023-05-15,48.55
2023-05-12,48.48
2023-05-11,48.82
2023-05-10,49.13
2023-05-09,49.05
2023-05-08,49.02
2023-05-05,48.68
2023-05-04,48.18
2023-05-03,48.58
2023-05-02,48.83
2023-05-01,49.54
2023-04-28,48.76
2023-04-27,48.79
2023-04-26,47.46
2023-04-25,46.72
2023-04-24,47.18
2023-04-21,47.94
2023-04-20,48.10
2023-04-19,48.31
2023-04-18,48.60
2023-04-17,48.74
2023-04-14,48.97
2023-04-13,49.09
2023-04-12,48.65
2023-04-11,48.60
2023-04-10,47.50
2023-04-06,47.45
2023-04-05,47.25
2023-04-04,45.68
2023-04-03,44.59
2023-03-31,46.04
2023-03-30,47.02
2023-03-29,46.59
2023-03-28,45.80
2023-03-27,45.41
2023-03-24,45.03
2023-03-23,45.31
2023-03-22,45.23
2023-03-21,45.15
2023-03-20,45.01
2023-03-17,44.18
2023-03-16,43.65
2023-03-15,43.49
2023-03-14,44.64
2023-03-13,44.16
2023-03-10,43.58
2023-03-09,44.13
2023-03-08,45.79
2023-03-07,46.10
2023-03-06,47.18
2023-03-03,46.87
2023-03-02,46.82
2023-03-01,47.50
2023-02-28,47.34
2023-02-27,47.70
2023-02-24,47.38
2023-02-23,47.94
2023-02-22,48.32
2023-02-21,48.43
2023-02-17,48.36
2023-02-16,47.92
2023-02-15,48.39
2023-02-14,48.27
2023-02-13,48.40
2023-02-10,48.22
2023-02-09,48.15
2023-02-08,48.53
2023-02-07,48.49
2023-02-06,48.41
2023-02-03,47.95
2023-02-02,48.13
2023-02-01,48.00
2023-01-31,47.93
2023-01-30,48.15
2023-01-27,48.47
2023-01-26,48.86
2023-01-25,49.19
2023-01-24,48.26
2023-01-23,48.18
2023-01-20,47.78
2023-01-19,47.93
2023-01-18,47.95
2023-01-17,48.49
2023-01-13,47.61
2023-01-12,47.50
2023-01-11,47.04
2023-01-10,46.98
2023-01-09,47.52
2023-01-06,47.02
2023-01-05,46.88
2023-01-04,46.91
2023-01-03,46.32
2022-12-30,45.73
2022-12-29,44.51
2022-12-28,44.36
2022-12-27,45.02
2022-12-23,44.66
2022-12-22,44.38
2022-12-21,44.30
2022-12-20,43.44
2022-12-19,43.65
2022-12-16,43.75
2022-12-15,44.43
2022-12-14,44.26
2022-12-13,44.49
2022-12-12,43.95
2022-12-09,44.57
2022-12-08,44.72
2022-12-07,45.42
2022-12-06,45.64
2022-12-05,45.91
2022-12-02,46.15
2022-12-01,46.19
2022-11-30,45.23
2022-11-29,44.75
2022-11-28,44.87
2022-11-25,44.86
2022-11-23,44.66
2022-11-22,44.53
2022-11-21,44.30
2022-11-18,44.02
2022-11-17,42.62
2022-11-16,42.99
2022-11-15,43.05
2022-11-14,43.41
2022-11-11,43.08
2022-11-10,42.35
2022-11-09,41.91
2022-11-08,41.97
2022-11-07,41.81
2022-11-04,41.65
2022-11-03,40.70
2022-11-02,41.64
2022-11-01,41.55
2022-10-31,41.10
2022-10-28,41.15
2022-10-27,41.67
2022-10-26,40.10
2022-10-25,38.75
2022-10-24,38.25
2022-10-21,37.80
2022-10-20,38.00
2022-10-19,37.81
2022-10-18,37.82
2022-10-17,37.49
2022-10-14,37.02
2022-10-13,36.23
2022-10-12,37.01
2022-10-11,37.04
2022-10-10,37.24
2022-10-07,37.40
2022-10-06,37.57
2022-10-05,38.58
2022-10-04,39.97
2022-10-03,38.70
2022-09-30,38.42
2022-09-29,38.45
2022-09-28,38.99
2022-09-27,39.26
2022-09-26,39.52
2022-09-23,40.51
2022-09-22,40.63
2022-09-21,40.76
2022-09-20,40.99
2022-09-19,41.51
2022-09-16,41.51
2022-09-15,40.88
2022-09-14,40.90
2022-09-13,41.15
2022-09-12,41.88
2022-09-09,41.65
2022-09-08,41.06
2022-09-07,41.47
2022-09-06,42.00
2022-09-02,42.42
2022-09-01,42.61
2022-08-31,43.04
2022-08-30,43.74
2022-08-29,43.63
2022-08-26,43.88
2022-08-25,44.31
2022-08-24,44.50
2022-08-23,44.59
2022-08-22,44.55
2022-08-19,44.94
2022-08-18,45.23
2022-08-17,45.32
2022-08-16,45.33
2022-08-15,45.32
2022-08-12,46.06
2022-08-11,45.92
2022-08-10,45.26
2022-08-09,44.38
2022-08-08,44.14
2022-08-05,42.94
2022-08-04,43.91
2022-08-03,44.22
2022-08-02,44.40
2022-08-01,45.08
2022-07-29,45.50
2022-07-28,45.93
2022-07-27,46.34
2022-07-26,46.17
2022-07-25,46.65
2022-07-22,46.44
2022-07-21,46.47
2022-07-20,46.61
2022-07-19,46.61
2022-07-18,45.68
2022-07-15,45.07
2022-07-14,44.75
2022-07-13,45.65
2022-07-12,45.11
2022-07-11,45.05
2022-07-08,47.37
2022-07-07,47.53
2022-07-06,47.05
2022-07-05,47.13
2022-07-01,47.74
2022-06-30,47.35
2022-06-29,47.54
2022-06-28,47.74
2022-06-27,47.58
2022-06-24,47.53
2022-06-23,46.99
2022-06-22,46.23
2022-06-21,46.99
2022-06-17,44.53
2022-06-16,44.77
2022-06-15,45.70
2022-06-14,45.44
2022-06-13,46.52
2022-06-10,47.64
2022-06-09,48.61
2022-06-08,49.77
2022-06-07,50.44
2022-06-06,50.53
2022-06-03,50.67
2022-06-02,50.59
2022-06-01,50.57
2022-05-31,51.06
2022-05-27,51.40
2022-05-26,51.14
2022-05-25,50.83
2022-05-24,50.71
2022-05-23,50.43
2022-05-20,49.81
2022-05-19,50.06
2022-05-18,50.14
2022-05-17,50.75
2022-05-16,49.60
2022-05-13,48.48
2022-05-12,48.25
2022-05-11,49.49
2022-05-10,49.54
2022-05-09,48.64
2022-05-06,51.71
2022-05-05,52.72
2022-05-04,53.23
2022-05-03,53.19
2022-05-02,52.82
2022-04-29,54.27
2022-04-28,55.98
2022-04-27,55.98
2022-04-26,56.44
2022-04-25,56.73
2022-04-22,57.31
2022-04-21,59.36
2022-04-20,59.97
2022-04-19,58.27
2022-04-18,58.58
2022-04-14,58.73
2022-04-13,57.67
2022-04-12,58.36
2022-04-11,58.02
2022-04-08,58.08
2022-04-07,57.28
2022-04-06,57.19
2022-04-05,56.67
2022-04-04,56.70
2022-04-01,56.53
2022-03-31,55.83
2022-03-30,55.53
2022-03-29,54.73
2022-03-28,54.34
2022-03-25,53.35
2022-03-24,52.93
2022-03-23,53.07
2022-03-22,53.25
2022-03-21,53.28
2022-03-18,53.45
2022-03-17,53.37
2022-03-16,52.82
2022-03-15,53.06
2022-03-14,53.39
