,SGD
2023-07-03,1.3488
2023-06-30,1.3518
2023-06-29,1.3508
2023-06-28,1.3486
2023-06-27,1.3461
2023-06-26,1.3503
2023-06-23,1.3442
2023-06-22,1.3395
2023-06-21,1.3416
2023-06-20,1.3401
2023-06-19,1.3371
2023-06-16,1.3351
2023-06-15,1.3364
2023-06-14,1.3379
2023-06-13,1.3377
2023-06-12,1.3408
2023-06-09,1.3415
2023-06-08,1.3429
2023-06-07,1.3443
2023-06-06,1.3470
2023-06-05,1.3487
2023-06-02,1.3432
2023-06-01,1.3467
2023-05-31,1.3502
2023-05-30,1.3492
2023-05-29,1.3507
2023-05-26,1.3500
2023-05-25,1.3488
2023-05-24,1.3451
2023-05-23,1.3436
2023-05-22,1.3426
2023-05-19,1.3437
2023-05-18,1.3407
2023-05-17,1.3390
2023-05-16,1.3348
2023-05-15,1.3361
2023-05-12,1.3302
2023-05-11,1.3233
2023-05-10,1.3226
2023-05-09,1.3237
2023-05-08,1.3237
2023-05-05,1.3236
2023-05-04,1.3264
2023-05-03,1.3301
2023-05-02,1.3345
2023-05-01,1.3310
2023-04-28,1.3329
2023-04-27,1.3335
2023-04-26,1.3328
2023-04-25,1.3315
2023-04-24,1.3333
2023-04-21,1.3319
2023-04-20,1.3301
2023-04-19,1.3314
2023-04-18,1.3310
2023-04-17,1.3294
2023-04-14,1.3231
2023-04-13,1.3209
2023-04-12,1.3265
2023-04-11,1.3301
2023-04-10,1.3281
2023-04-07,1.3290
2023-04-06,1.3275
2023-04-05,1.3236
2023-04-04,1.3253
2023-04-03,1.3271
2023-03-31,1.3255
2023-03-30,1.3270
2023-03-29,1.3268
2023-03-28,1.3267
2023-03-27,1.3313
2023-03-24,1.3268
2023-03-23,1.3236
2023-03-22,1.3326
2023-03-21,1.3342
2023-03-20,1.3374
2023-03-17,1.3410
2023-03-16,1.3455
2023-03-15,1.3408
2023-03-14,1.3433
2023-03-13,1.3426
2023-03-10,1.3470
2023-03-09,1.3499
2023-03-08,1.3507
2023-03-07,1.3434
2023-03-06,1.3433
2023-03-03,1.3452
2023-03-02,1.3408
2023-03-01,1.3388
2023-02-28,1.3453
2023-02-27,1.3461
2023-02-24,1.3412
2023-02-23,1.3376
2023-02-22,1.3376
2023-02-21,1.3350
2023-02-20,1.3343
2023-02-17,1.3365
2023-02-16,1.3329
2023-02-15,1.3277
2023-02-14,1.3233
2023-02-13,1.3289
2023-02-10,1.3240
2023-02-09,1.3197
2023-02-08,1.3223
2023-02-07,1.3250
2023-02-06,1.3223
2023-02-03,1.3096
2023-02-02,1.3033
2023-02-01,1.3112
2023-01-31,1.3129
2023-01-30,1.3106
2023-01-27,1.3101
2023-01-26,1.3101
2023-01-25,1.3130
2023-01-24,1.3169
2023-01-23,1.3150
2023-01-20,1.3189
2023-01-19,1.3194
2023-01-18,1.3131
2023-01-17,1.3189
2023-01-16,1.3154
2023-01-13,1.3193
2023-01-12,1.3222
2023-01-11,1.3286
2023-01-10,1.3289
2023-01-09,1.3273
2023-01-06,1.3371
2023-01-05,1.3381
2023-01-04,1.3375
2023-01-03,1.3360
2023-01-02,1.3377
2022-12-30,1.3381
2022-12-29,1.3443
2022-12-28,1.3455
2022-12-27,1.3435
2022-12-26,1.3417
2022-12-23,1.3473
2022-12-22,1.3465
2022-12-21,1.3497
2022-12-20,1.3491
2022-12-19,1.3533
2022-12-16,1.3547
2022-12-15,1.3465
2022-12-14,1.3454
2022-12-13,1.3432
2022-12-12,1.3512
2022-12-09,1.3486
2022-12-08,1.3522
2022-12-07,1.3541
2022-12-06,1.3535
2022-12-05,1.3434
2022-12-02,1.3488
2022-12-01,1.3518
2022-11-30,1.3651
2022-11-29,1.3713
2022-11-28,1.3716
2022-11-25,1.3705
2022-11-24,1.3716
2022-11-23,1.3765
2022-11-22,1.3780
2022-11-21,1.3747
2022-11-18,1.3707
2022-11-17,1.3689
2022-11-16,1.3665
2022-11-15,1.3642
2022-11-14,1.3701
2022-11-11,1.3734
2022-11-10,1.3848
2022-11-09,1.3959
2022-11-08,1.3968
2022-11-07,1.4016
2022-11-04,1.4034
2022-11-03,1.4153
2022-11-02,1.4105
2022-11-01,1.4091
2022-10-31,1.4104
2022-10-28,1.4053
2022-10-27,1.4018
2022-10-26,1.4039
2022-10-25,1.4154
2022-10-24,1.4162
2022-10-21,1.4169
2022-10-20,1.4185
2022-10-19,1.4188
2022-10-18,1.4163
2022-10-17,1.4195
2022-10-14,1.4205
2022-10-13,1.4314
2022-10-12,1.4351
2022-10-11,1.4337
2022-10-10,1.4327
2022-10-07,1.4275
2022-10-06,1.4200
2022-10-05,1.4197
2022-10-04,1.4240
2022-10-03,1.4290
2022-09-30,1.4297
2022-09-29,1.4339
2022-09-28,1.4369
2022-09-27,1.4337
2022-09-26,1.4295
2022-09-23,1.4170
2022-09-22,1.4145
2022-09-21,1.4097
2022-09-20,1.4060
2022-09-19,1.4052
2022-09-16,1.4058
2022-09-15,1.4045
2022-09-14,1.4026
2022-09-13,1.3935
2022-09-12,1.3945
2022-09-09,1.3961
2022-09-08,1.4032
2022-09-07,1.4062
2022-09-06,1.4004
2022-09-05,1.4023
2022-09-02,1.3985
2022-09-01,1.3979
2022-08-31,1.3937
2022-08-30,1.3940
2022-08-29,1.3937
2022-08-26,1.3867
2022-08-25,1.3880
2022-08-24,1.3922
2022-08-23,1.3891
2022-08-22,1.3921
2022-08-19,1.3850
2022-08-18,1.3800
2022-08-17,1.3773
2022-08-16,1.3762
2022-08-15,1.3699
2022-08-12,1.3686
2022-08-11,1.3665
2022-08-10,1.3674
2022-08-09,1.3764
2022-08-08,1.3767
2022-08-05,1.3748
2022-08-04,1.3764
2022-08-03,1.3795
2022-08-02,1.3755
2022-08-01,1.3752
2022-07-29,1.3765
2022-07-28,1.3804
2022-07-27,1.3862
2022-07-26,1.3841
2022-07-25,1.3837
2022-07-22,1.3854
2022-07-21,1.3902
2022-07-20,1.3898
2022-07-19,1.3902
2022-07-18,1.3941
2022-07-15,1.3985
2022-07-14,1.3937
2022-07-13,1.4030
2022-07-12,1.4043
2022-07-11,1.3989
2022-07-08,1.3975
2022-07-07,1.3991
2022-07-06,1.4008
2022-07-05,1.3944
2022-07-04,1.3941
2022-07-01,1.3897
2022-06-30,1.3901
2022-06-29,1.3868
2022-06-28,1.3840
2022-06-27,1.3833
2022-06-24,1.3851
2022-06-23,1.3865
