,SHMDF
2023-07-03,166.70
2023-06-30,166.70
2023-06-29,160.01
2023-06-28,160.01
2023-06-27,160.01
2023-06-26,160.01
2023-06-23,153.00
2023-06-22,166.00
2023-06-21,166.00
2023-06-20,166.00
2023-06-16,166.00
2023-06-15,167.49
2023-06-14,167.49
2023-06-13,167.49
2023-06-12,166.45
2023-06-09,164.69
2023-06-08,165.47
2023-06-07,165.47
2023-06-06,159.30
2023-06-05,159.30
2023-06-02,159.30
2023-06-01,155.11
2023-05-31,155.11
2023-05-30,155.11
2023-05-26,154.10
2023-05-25,154.10
2023-05-24,154.10
2023-05-23,159.26
2023-05-22,159.26
2023-05-19,159.81
2023-05-18,156.95
2023-05-17,157.00
2023-05-16,157.00
2023-05-15,157.00
2023-05-12,157.00
2023-05-11,157.00
2023-05-10,157.00
2023-05-09,157.00
2023-05-08,156.12
2023-05-05,160.00
2023-05-04,160.00
2023-05-03,160.00
2023-05-02,160.00
2023-05-01,160.00
2023-04-28,154.64
2023-04-27,154.64
2023-04-26,151.51
2023-04-25,159.88
2023-04-24,172.17
2023-04-21,174.16
2023-04-20,174.16
2023-04-19,171.12
2023-04-18,175.77
2023-04-17,175.77
2023-04-14,177.30
2023-04-13,176.36
2023-04-12,171.50
2023-04-11,171.50
2023-04-10,171.50
2023-04-06,171.50
2023-04-05,174.00
2023-04-04,174.00
2023-04-03,172.63
2023-03-31,168.49
2023-03-30,168.49
2023-03-29,167.00
2023-03-28,167.00
2023-03-27,167.00
2023-03-24,161.89
2023-03-23,161.89
2023-03-22,161.89
2023-03-21,162.00
2023-03-20,162.00
2023-03-17,155.00
2023-03-16,155.00
2023-03-15,156.38
2023-03-14,162.75
2023-03-13,156.33
2023-03-10,158.05
2023-03-09,158.05
2023-03-08,158.05
2023-03-07,157.90
2023-03-06,157.28
2023-03-03,157.28
2023-03-02,156.53
2023-03-01,156.97
2023-02-28,156.97
2023-02-27,156.00
2023-02-24,155.31
2023-02-23,158.00
2023-02-22,157.16
2023-02-21,160.98
