,SKX
2023-07-03,52.69
2023-06-30,50.26
2023-06-29,49.78
2023-06-28,50.31
2023-06-27,50.02
2023-06-26,50.18
2023-06-23,50.48
2023-06-22,50.82
2023-06-21,50.65
2023-06-20,50.45
2023-06-16,51.40
2023-06-15,51.73
2023-06-14,52.17
2023-06-13,51.64
2023-06-12,52.57
2023-06-09,53.51
2023-06-08,53.33
2023-06-07,52.90
2023-06-06,51.70
2023-06-05,51.21
2023-06-02,50.80
2023-06-01,50.25
2023-05-31,50.70
2023-05-30,51.24
2023-05-26,50.86
2023-05-25,50.74
2023-05-24,50.34
2023-05-23,50.82
2023-05-22,51.21
2023-05-19,50.96
2023-05-18,53.79
2023-05-17,53.42
2023-05-16,53.17
2023-05-15,53.22
2023-05-12,52.38
2023-05-11,52.13
2023-05-10,51.92
2023-05-09,52.13
2023-05-08,51.69
2023-05-05,51.71
2023-05-04,51.32
2023-05-03,52.66
2023-05-02,51.82
2023-05-01,52.82
2023-04-28,50.78
2023-04-27,47.00
2023-04-26,48.87
2023-04-25,48.97
2023-04-24,49.66
2023-04-21,49.72
2023-04-20,49.71
2023-04-19,49.25
2023-04-18,49.16
2023-04-17,49.10
2023-04-14,48.66
2023-04-13,48.19
2023-04-12,48.43
2023-04-11,47.42
2023-04-10,45.67
2023-04-06,45.64
2023-04-05,45.99
2023-04-04,46.43
2023-04-03,46.88
2023-03-31,46.71
2023-03-30,46.44
2023-03-29,45.64
2023-03-28,44.43
2023-03-27,44.13
2023-03-24,43.67
2023-03-23,44.09
2023-03-22,44.32
2023-03-21,44.85
2023-03-20,43.48
2023-03-17,43.94
2023-03-16,42.78
2023-03-15,41.56
2023-03-14,42.43
2023-03-13,41.58
2023-03-10,42.40
2023-03-09,43.25
2023-03-08,43.97
2023-03-07,44.44
2023-03-06,44.85
2023-03-03,45.50
2023-03-02,44.66
2023-03-01,44.66
2023-02-28,43.99
2023-02-27,43.89
2023-02-24,43.24
2023-02-23,43.63
2023-02-22,43.55
2023-02-21,43.52
2023-02-17,44.34
2023-02-16,44.58
2023-02-15,44.56
2023-02-14,44.08
2023-02-13,43.80
2023-02-10,43.27
2023-02-09,43.95
2023-02-08,43.22
2023-02-07,43.75
2023-02-06,44.15
2023-02-03,44.47
2023-02-02,48.48
2023-02-01,47.65
2023-01-31,47.65
2023-01-30,46.80
2023-01-27,47.41
2023-01-26,47.48
2023-01-25,47.29
2023-01-24,48.01
2023-01-23,48.02
2023-01-20,45.85
2023-01-19,45.06
2023-01-18,45.41
2023-01-17,46.15
2023-01-13,45.73
2023-01-12,45.74
2023-01-11,46.05
2023-01-10,45.44
2023-01-09,43.97
2023-01-06,43.58
2023-01-05,42.07
2023-01-04,42.20
2023-01-03,41.54
2022-12-30,41.22
2022-12-29,41.55
2022-12-28,41.41
2022-12-27,41.98
2022-12-23,41.44
2022-12-22,41.40
2022-12-21,41.80
2022-12-20,40.25
2022-12-19,40.73
2022-12-16,40.72
2022-12-15,40.84
2022-12-14,41.95
2022-12-13,41.94
2022-12-12,42.24
2022-12-09,42.02
2022-12-08,42.43
2022-12-07,42.29
2022-12-06,41.97
2022-12-05,41.63
2022-12-02,42.46
2022-12-01,42.13
2022-11-30,40.78
2022-11-29,39.63
2022-11-28,39.57
2022-11-25,40.00
2022-11-23,39.76
2022-11-22,38.99
2022-11-21,38.62
2022-11-18,39.62
2022-11-17,38.81
2022-11-16,39.31
2022-11-15,40.06
2022-11-14,39.07
2022-11-11,38.02
2022-11-10,36.89
2022-11-09,35.11
2022-11-08,35.29
2022-11-07,35.10
2022-11-04,35.63
2022-11-03,33.77
2022-11-02,34.78
2022-11-01,34.23
2022-10-31,33.17
2022-10-28,32.16
2022-10-27,32.01
2022-10-26,32.30
2022-10-25,34.65
2022-10-24,34.15
2022-10-21,33.63
2022-10-20,33.71
2022-10-19,35.24
2022-10-18,35.46
2022-10-17,34.85
2022-10-14,34.34
2022-10-13,33.40
2022-10-12,33.97
2022-10-11,33.33
2022-10-10,32.94
2022-10-07,33.89
2022-10-06,34.41
2022-10-05,33.59
2022-10-04,32.99
2022-10-03,31.91
2022-09-30,31.28
2022-09-29,33.23
2022-09-28,33.52
2022-09-27,32.64
2022-09-26,32.66
2022-09-23,33.40
2022-09-22,35.16
2022-09-21,35.85
2022-09-20,36.09
2022-09-19,35.57
2022-09-16,35.37
2022-09-15,35.87
2022-09-14,35.90
2022-09-13,36.11
2022-09-12,38.49
2022-09-09,37.45
2022-09-08,35.90
2022-09-07,36.86
2022-09-06,36.03
2022-09-02,36.89
2022-09-01,36.81
2022-08-31,37.78
2022-08-30,38.26
2022-08-29,37.86
2022-08-26,38.41
2022-08-25,38.94
2022-08-24,38.48
2022-08-23,38.55
2022-08-22,38.42
2022-08-19,39.29
2022-08-18,39.80
2022-08-17,40.05
2022-08-16,39.99
2022-08-15,39.83
2022-08-12,39.85
2022-08-11,39.35
2022-08-10,39.09
2022-08-09,37.80
2022-08-08,39.41
2022-08-05,38.87
2022-08-04,38.20
2022-08-03,37.80
2022-08-02,37.48
2022-08-01,37.26
2022-07-29,37.60
2022-07-28,36.52
2022-07-27,33.51
