,T
2023-07-03,15.95
2023-06-30,15.83
2023-06-29,15.74
2023-06-28,15.61
2023-06-27,15.53
2023-06-26,15.43
2023-06-23,15.42
2023-06-22,15.47
2023-06-21,15.49
2023-06-20,15.77
2023-06-16,15.96
2023-06-15,15.79
2023-06-14,15.82
2023-06-13,15.68
2023-06-12,15.82
2023-06-09,15.91
2023-06-08,15.88
2023-06-07,15.57
2023-06-06,15.36
2023-06-05,15.25
2023-06-02,14.85
2023-06-01,15.63
2023-05-31,15.62
2023-05-30,15.42
2023-05-26,15.18
2023-05-25,15.00
2023-05-24,15.95
2023-05-23,16.07
2023-05-22,16.16
2023-05-19,16.29
2023-05-18,16.37
2023-05-17,16.55
2023-05-16,16.51
2023-05-15,16.94
2023-05-12,16.95
2023-05-11,16.88
2023-05-10,16.86
2023-05-09,16.91
2023-05-08,16.95
2023-05-05,16.88
2023-05-04,16.85
2023-05-03,17.07
2023-05-02,17.03
2023-05-01,17.49
2023-04-28,17.38
2023-04-27,17.36
2023-04-26,17.19
2023-04-25,17.45
2023-04-24,17.51
2023-04-21,17.83
2023-04-20,17.56
2023-04-19,19.61
2023-04-18,19.65
2023-04-17,19.65
2023-04-14,19.77
2023-04-13,19.66
2023-04-12,19.65
2023-04-11,19.58
2023-04-10,19.42
2023-04-06,19.51
2023-04-05,19.59
2023-04-04,19.39
2023-04-03,19.20
2023-03-31,19.03
2023-03-30,18.98
2023-03-29,18.83
2023-03-28,18.72
2023-03-27,18.70
2023-03-24,18.35
2023-03-23,18.34
2023-03-22,18.38
2023-03-21,18.43
2023-03-20,18.22
2023-03-17,18.03
2023-03-16,18.07
2023-03-15,18.06
2023-03-14,18.21
2023-03-13,18.22
2023-03-10,18.24
2023-03-09,18.31
2023-03-08,18.18
2023-03-07,18.60
2023-03-06,18.77
2023-03-03,18.67
2023-03-02,18.50
2023-03-01,18.56
2023-02-28,18.84
2023-02-27,19.01
2023-02-24,18.98
2023-02-23,19.26
2023-02-22,19.22
2023-02-21,19.13
2023-02-17,19.13
2023-02-16,18.93
2023-02-15,18.99
2023-02-14,19.03
2023-02-13,18.99
2023-02-10,18.83
2023-02-09,18.89
2023-02-08,19.02
2023-02-07,19.09
2023-02-06,19.49
2023-02-03,19.77
2023-02-02,20.04
2023-02-01,20.07
2023-01-31,20.07
2023-01-30,19.89
2023-01-27,19.81
2023-01-26,19.81
2023-01-25,19.74
2023-01-24,18.70
2023-01-23,18.98
2023-01-20,18.77
2023-01-19,18.79
2023-01-18,18.97
2023-01-17,19.27
2023-01-13,19.29
2023-01-12,19.37
2023-01-11,19.25
2023-01-10,19.20
2023-01-09,18.98
2023-01-06,19.34
2023-01-05,18.96
2023-01-04,18.81
2023-01-03,18.41
2022-12-30,18.22
2022-12-29,18.24
2022-12-28,18.19
2022-12-27,18.22
2022-12-23,18.10
2022-12-22,17.92
2022-12-21,18.07
2022-12-20,17.83
2022-12-19,17.64
2022-12-16,18.22
2022-12-15,18.36
2022-12-14,18.76
2022-12-13,19.07
2022-12-12,19.07
2022-12-09,19.03
2022-12-08,19.02
2022-12-07,19.00
2022-12-06,18.81
2022-12-05,18.69
2022-12-02,18.86
2022-12-01,19.09
2022-11-30,18.80
2022-11-29,18.75
2022-11-28,18.77
2022-11-25,19.07
2022-11-23,18.89
2022-11-22,18.89
2022-11-21,18.76
2022-11-18,18.92
2022-11-17,18.52
2022-11-16,18.78
2022-11-15,18.81
2022-11-14,19.04
2022-11-11,18.78
2022-11-10,18.58
2022-11-09,18.38
2022-11-08,18.30
2022-11-07,18.15
2022-11-04,18.09
2022-11-03,18.07
2022-11-02,18.27
2022-11-01,18.24
2022-10-31,18.13
2022-10-28,18.23
2022-10-27,17.99
2022-10-26,17.76
2022-10-25,17.50
2022-10-24,17.39
2022-10-21,16.77
2022-10-20,16.12
2022-10-19,15.40
2022-10-18,15.45
2022-10-17,15.08
2022-10-14,14.97
2022-10-13,14.46
2022-10-12,14.62
2022-10-11,14.68
2022-10-10,14.76
2022-10-07,14.90
2022-10-06,15.31
2022-10-05,15.76
2022-10-04,15.89
2022-10-03,15.66
2022-09-30,15.34
2022-09-29,15.41
2022-09-28,15.71
2022-09-27,15.67
2022-09-26,15.58
2022-09-23,15.85
2022-09-22,16.14
2022-09-21,16.25
2022-09-20,16.46
2022-09-19,16.58
2022-09-16,16.55
2022-09-15,16.63
2022-09-14,16.70
2022-09-13,16.78
2022-09-12,17.03
2022-09-09,16.86
2022-09-08,16.70
2022-09-07,16.68
2022-09-06,16.78
2022-09-02,17.16
2022-09-01,17.41
2022-08-31,17.51
2022-08-30,17.75
2022-08-29,17.71
2022-08-26,17.85
2022-08-25,17.94
2022-08-24,17.86
2022-08-23,18.02
2022-08-22,18.07
2022-08-19,18.32
2022-08-18,18.18
2022-08-17,18.32
2022-08-16,18.37
2022-08-15,18.19
2022-08-12,18.09
2022-08-11,18.01
2022-08-10,17.99
2022-08-09,18.04
2022-08-08,18.00
2022-08-05,18.09
2022-08-04,18.22
2022-08-03,18.31
2022-08-02,18.32
2022-08-01,18.61
2022-07-29,18.48
2022-07-28,18.29
2022-07-27,18.23
2022-07-26,18.18
2022-07-25,18.33
2022-07-22,18.25
2022-07-21,18.24
2022-07-20,20.40
2022-07-19,20.53
2022-07-18,20.51
2022-07-15,20.21
2022-07-14,20.05
2022-07-13,20.23
2022-07-12,20.45
2022-07-11,20.63
2022-07-08,20.75
2022-07-07,21.03
2022-07-06,20.89
2022-07-05,20.78
2022-07-01,20.87
2022-06-30,20.75
2022-06-29,20.54
2022-06-28,20.60
2022-06-27,20.67
2022-06-24,20.51
2022-06-23,20.08
2022-06-22,19.82
2022-06-21,19.47
2022-06-17,19.00
2022-06-16,18.67
2022-06-15,19.18
2022-06-14,19.30
2022-06-13,19.68
2022-06-10,20.63
2022-06-09,20.87
2022-06-08,20.99
2022-06-07,20.77
2022-06-06,20.83
2022-06-03,20.80
2022-06-02,20.94
2022-06-01,21.12
2022-05-31,20.97
2022-05-27,21.15
2022-05-26,21.27
2022-05-25,21.06
2022-05-24,20.60
2022-05-23,20.42
2022-05-20,20.09
2022-05-19,19.91
2022-05-18,20.13
2022-05-17,20.24
2022-05-16,19.68
2022-05-13,19.54
2022-05-12,19.39
2022-05-11,19.29
2022-05-10,19.24
2022-05-09,19.47
2022-05-06,19.66
2022-05-05,19.68
2022-05-04,19.21
2022-05-03,19.04
2022-05-02,18.86
2022-04-29,18.81
2022-04-28,19.10
2022-04-27,18.99
2022-04-26,19.30
2022-04-25,19.11
2022-04-22,19.50
2022-04-21,19.63
2022-04-20,19.30
2022-04-19,19.39
2022-04-18,19.29
2022-04-14,19.21
2022-04-13,19.03
2022-04-12,19.51
2022-04-11,18.85
2022-04-08,17.78
2022-04-07,17.82
2022-04-06,17.82
2022-04-05,18.01
2022-04-04,17.80
2022-04-01,17.67
2022-03-31,17.84
2022-03-30,18.07
2022-03-29,18.01
2022-03-28,17.91
2022-03-25,17.62
2022-03-24,17.49
2022-03-23,17.50
2022-03-22,17.51
2022-03-21,17.44
2022-03-18,17.39
2022-03-17,17.33
2022-03-16,17.35
2022-03-15,17.30
2022-03-14,17.23
2022-03-11,17.48
2022-03-10,17.33
2022-03-09,17.52
2022-03-08,17.37
2022-03-07,17.73
2022-03-04,17.70
2022-03-03,17.89
2022-03-02,17.77
2022-03-01,17.50
