,UAA
2023-07-03,7.26
2023-06-30,7.11
2023-06-29,7.08
2023-06-28,7.03
2023-06-27,7.14
2023-06-26,7.14
2023-06-23,6.97
2023-06-22,7.27
2023-06-21,7.41
2023-06-20,7.49
2023-06-16,7.72
2023-06-15,7.59
2023-06-14,7.58
2023-06-13,7.49
2023-06-12,7.34
2023-06-09,7.34
2023-06-08,7.47
2023-06-07,7.70
2023-06-06,7.53
2023-06-05,7.43
2023-06-02,7.42
2023-06-01,7.09
2023-05-31,7.02
2023-05-30,7.03
2023-05-26,7.02
2023-05-25,6.97
2023-05-24,7.03
2023-05-23,7.30
2023-05-22,7.27
2023-05-19,7.23
2023-05-18,7.41
2023-05-17,7.30
2023-05-16,7.32
2023-05-15,7.52
2023-05-12,7.48
2023-05-11,7.51
2023-05-10,7.48
2023-05-09,7.87
2023-05-08,8.59
2023-05-05,8.42
2023-05-04,8.25
2023-05-03,8.41
2023-05-02,8.29
2023-05-01,8.60
2023-04-28,8.72
2023-04-27,8.65
2023-04-26,8.65
2023-04-25,8.56
2023-04-24,8.80
2023-04-21,8.78
2023-04-20,8.84
2023-04-19,8.96
2023-04-18,9.00
2023-04-17,8.90
2023-04-14,9.11
2023-04-13,9.07
2023-04-12,8.87
2023-04-11,9.10
2023-04-10,8.97
2023-04-06,8.84
2023-04-05,8.98
2023-04-04,9.26
2023-04-03,9.32
2023-03-31,9.34
2023-03-30,9.27
2023-03-29,9.08
2023-03-28,8.86
2023-03-27,8.78
2023-03-24,8.73
2023-03-23,8.75
2023-03-22,8.73
2023-03-21,8.71
2023-03-20,8.47
2023-03-17,8.39
2023-03-16,8.09
2023-03-15,7.94
2023-03-14,8.27
2023-03-13,8.12
2023-03-10,8.82
2023-03-09,9.21
2023-03-08,9.36
2023-03-07,9.49
2023-03-06,9.52
2023-03-03,9.90
2023-03-02,9.70
2023-03-01,9.77
2023-02-28,9.71
2023-02-27,9.66
2023-02-24,9.68
2023-02-23,9.81
2023-02-22,9.97
2023-02-21,10.00
2023-02-17,10.19
2023-02-16,10.35
2023-02-15,10.50
2023-02-14,10.55
2023-02-13,10.50
2023-02-10,10.52
2023-02-09,10.85
2023-02-08,10.85
2023-02-07,11.95
2023-02-06,12.10
2023-02-03,12.46
2023-02-02,12.62
2023-02-01,12.33
2023-01-31,12.11
2023-01-30,12.00
2023-01-27,11.71
2023-01-26,11.47
2023-01-25,11.38
2023-01-24,11.67
2023-01-23,11.63
2023-01-20,11.37
2023-01-19,11.20
2023-01-18,11.77
2023-01-17,11.52
2023-01-13,10.99
2023-01-12,10.83
2023-01-11,10.83
2023-01-10,10.57
2023-01-09,10.44
2023-01-06,10.38
2023-01-05,10.30
2023-01-04,10.25
2023-01-03,10.09
2022-12-30,9.72
2022-12-29,9.66
2022-12-28,9.56
2022-12-27,9.61
2022-12-23,9.54
2022-12-22,9.41
2022-12-21,9.73
2022-12-20,9.40
2022-12-19,9.44
2022-12-16,9.90
2022-12-15,9.85
2022-12-14,10.29
2022-12-13,10.32
2022-12-12,9.76
2022-12-09,9.37
2022-12-08,9.40
2022-12-07,9.25
2022-12-06,9.38
2022-12-05,9.57
2022-12-02,9.75
2022-12-01,9.94
2022-11-30,9.54
2022-11-29,9.42
2022-11-28,9.37
2022-11-25,9.52
2022-11-23,9.40
2022-11-22,9.15
2022-11-21,9.01
2022-11-18,9.35
2022-11-17,9.23
2022-11-16,9.20
2022-11-15,9.30
2022-11-14,8.96
2022-11-11,8.71
2022-11-10,8.12
2022-11-09,7.70
2022-11-08,7.95
2022-11-07,8.03
2022-11-04,8.12
2022-11-03,7.46
2022-11-02,7.09
2022-11-01,7.30
2022-10-31,7.21
2022-10-28,7.03
2022-10-27,7.14
2022-10-26,7.18
2022-10-25,7.13
2022-10-24,6.76
2022-10-21,6.49
2022-10-20,6.62
2022-10-19,6.74
2022-10-18,7.11
2022-10-17,7.14
2022-10-14,6.93
2022-10-13,6.71
2022-10-12,7.03
2022-10-11,6.90
2022-10-10,6.83
2022-10-07,6.97
2022-10-06,7.26
2022-10-05,7.16
2022-10-04,7.21
2022-10-03,6.62
2022-09-30,6.38
2022-09-29,7.28
2022-09-28,7.76
2022-09-27,7.52
2022-09-26,7.52
2022-09-23,7.44
2022-09-22,7.74
2022-09-21,8.04
2022-09-20,8.21
2022-09-19,8.22
2022-09-16,8.15
2022-09-15,8.39
2022-09-14,8.52
2022-09-13,8.55
2022-09-12,9.09
2022-09-09,8.91
2022-09-08,8.38
2022-09-07,8.20
2022-09-06,8.02
2022-09-02,8.18
2022-09-01,8.12
2022-08-31,8.42
2022-08-30,8.56
2022-08-29,8.54
2022-08-26,8.62
2022-08-25,8.95
2022-08-24,8.88
2022-08-23,8.93
2022-08-22,8.81
2022-08-19,9.19
2022-08-18,9.65
2022-08-17,9.79
2022-08-16,10.11
2022-08-15,9.88
2022-08-12,9.78
2022-08-11,9.73
2022-08-10,9.49
2022-08-09,9.08
2022-08-08,9.40
2022-08-05,9.14
2022-08-04,9.00
2022-08-03,9.19
2022-08-02,9.07
2022-08-01,8.94
2022-07-29,8.88
2022-07-28,8.56
2022-07-27,8.25
2022-07-26,8.14
2022-07-25,8.53
2022-07-22,8.66
2022-07-21,8.72
2022-07-20,8.69
2022-07-19,8.44
2022-07-18,8.21
2022-07-15,8.11
2022-07-14,8.10
2022-07-13,8.31
2022-07-12,8.54
2022-07-11,8.48
2022-07-08,8.67
2022-07-07,8.53
2022-07-06,8.43
2022-07-05,8.27
2022-07-01,8.13
2022-06-30,8.27
2022-06-29,8.70
2022-06-28,9.13
2022-06-27,9.17
2022-06-24,9.16
2022-06-23,8.78
2022-06-22,8.73
2022-06-21,8.79
2022-06-17,8.90
2022-06-16,8.84
2022-06-15,9.40
2022-06-14,9.41
2022-06-13,9.53
2022-06-10,10.06
2022-06-09,10.52
2022-06-08,10.82
2022-06-07,10.70
2022-06-06,10.84
2022-06-03,10.77
2022-06-02,10.45
2022-06-01,10.20
2022-05-31,10.22
2022-05-27,10.09
2022-05-26,9.83
2022-05-25,8.98
2022-05-24,8.97
2022-05-23,9.26
2022-05-20,9.17
2022-05-19,9.16
2022-05-18,10.44
2022-05-17,11.07
2022-05-16,10.72
2022-05-13,10.70
2022-05-12,9.91
2022-05-11,9.95
2022-05-10,10.13
2022-05-09,10.29
2022-05-06,10.39
2022-05-05,14.06
2022-05-04,14.79
2022-05-03,15.08
2022-05-02,15.10
2022-04-29,15.32
2022-04-28,15.05
2022-04-27,14.63
2022-04-26,14.70
2022-04-25,15.24
2022-04-22,15.40
2022-04-21,16.22
2022-04-20,16.53
2022-04-19,16.09
2022-04-18,15.79
2022-04-14,16.02
2022-04-13,15.87
2022-04-12,15.78
2022-04-11,15.66
2022-04-08,15.87
2022-04-07,15.68
2022-04-06,15.79
2022-04-05,16.36
2022-04-04,16.74
2022-04-01,16.61
2022-03-31,17.01
2022-03-30,17.53
2022-03-29,17.79
2022-03-28,17.05
2022-03-25,17.09
2022-03-24,16.95
2022-03-23,16.85
2022-03-22,17.10
2022-03-21,16.77
2022-03-18,17.00
2022-03-17,16.57
2022-03-16,16.40
2022-03-15,15.79
2022-03-14,15.38
2022-03-11,15.32
2022-03-10,14.87
2022-03-09,14.98
2022-03-08,13.70
2022-03-07,13.77
2022-03-04,15.17
2022-03-03,16.36
2022-03-02,17.04
2022-03-01,17.13
2022-02-28,17.38
2022-02-25,17.03
2022-02-24,15.21
2022-02-23,15.74
2022-02-22,16.03
2022-02-18,16.38
2022-02-17,16.52
2022-02-16,17.11
2022-02-15,17.33
2022-02-14,17.18
2022-02-11,17.25
2022-02-10,19.79
2022-02-09,20.02
2022-02-08,19.40
2022-02-07,19.42
2022-02-04,18.97
2022-02-03,19.12
2022-02-02,19.32
2022-02-01,18.62
2022-01-31,18.18
2022-01-28,17.52
2022-01-27,17.84
2022-01-26,17.91
2022-01-25,18.32
2022-01-24,18.15
2022-01-21,18.35
2022-01-20,18.46
2022-01-19,18.79
2022-01-18,18.73
