,VFC
2023-07-03,19.00
2023-06-30,18.76
2023-06-29,18.76
2023-06-28,18.60
2023-06-27,18.31
2023-06-26,18.06
2023-06-23,18.11
2023-06-22,18.57
2023-06-21,19.12
2023-06-20,19.38
2023-06-16,19.21
2023-06-15,18.88
2023-06-14,19.02
2023-06-13,18.91
2023-06-12,18.96
2023-06-09,18.91
2023-06-08,19.34
2023-06-07,19.10
2023-06-06,17.96
2023-06-05,17.76
2023-06-02,17.41
2023-06-01,16.77
2023-05-31,16.96
2023-05-30,17.44
2023-05-26,17.50
2023-05-25,17.43
2023-05-24,18.04
2023-05-23,18.94
2023-05-22,18.54
2023-05-19,18.78
2023-05-18,20.38
2023-05-17,20.19
2023-05-16,20.59
2023-05-15,21.31
2023-05-12,20.97
2023-05-11,21.24
2023-05-10,21.04
2023-05-09,21.62
2023-05-08,21.76
2023-05-05,21.55
2023-05-04,20.76
2023-05-03,21.65
2023-05-02,21.63
2023-05-01,22.66
2023-04-28,22.90
2023-04-27,22.26
2023-04-26,22.17
2023-04-25,22.30
2023-04-24,22.58
2023-04-21,22.59
2023-04-20,22.60
2023-04-19,22.60
2023-04-18,22.17
2023-04-17,22.16
2023-04-14,22.34
2023-04-13,21.51
2023-04-12,21.54
2023-04-11,22.00
2023-04-10,21.13
2023-04-06,21.22
2023-04-05,21.53
2023-04-04,22.01
2023-04-03,22.25
2023-03-31,22.21
2023-03-30,22.04
2023-03-29,21.22
2023-03-28,20.96
2023-03-27,20.47
2023-03-24,20.03
2023-03-23,20.22
2023-03-22,20.61
2023-03-21,21.45
2023-03-20,21.16
2023-03-17,21.08
2023-03-16,20.85
2023-03-15,20.14
2023-03-14,20.65
2023-03-13,20.77
2023-03-10,21.57
2023-03-09,22.90
2023-03-08,23.91
2023-03-07,24.16
2023-03-06,24.83
2023-03-03,26.16
2023-03-02,24.88
2023-03-01,24.81
2023-02-28,24.25
2023-02-27,24.04
2023-02-24,23.71
2023-02-23,24.36
2023-02-22,24.79
2023-02-21,25.53
2023-02-17,26.27
2023-02-16,27.05
2023-02-15,27.32
2023-02-14,26.83
2023-02-13,26.23
2023-02-10,26.17
2023-02-09,25.91
2023-02-08,26.70
2023-02-07,28.12
2023-02-06,28.49
2023-02-03,30.07
2023-02-02,30.94
2023-02-01,30.22
2023-01-31,30.27
2023-01-30,29.63
2023-01-27,29.65
2023-01-26,29.33
2023-01-25,28.90
2023-01-24,29.77
2023-01-23,29.42
2023-01-20,28.34
2023-01-19,28.13
2023-01-18,30.02
2023-01-17,30.35
2023-01-13,30.18
2023-01-12,30.02
