,WWE
2023-07-03,107.59
2023-06-30,107.37
2023-06-29,106.29
2023-06-28,106.30
2023-06-27,104.50
2023-06-26,100.83
2023-06-23,99.96
2023-06-22,100.37
2023-06-21,100.34
2023-06-20,100.68
2023-06-16,101.32
2023-06-15,101.25
2023-06-14,101.41
2023-06-13,100.41
2023-06-12,98.76
2023-06-09,97.72
2023-06-08,95.56
2023-06-07,98.21
2023-06-06,99.25
2023-06-05,99.65
2023-06-02,99.75
2023-06-01,99.60
2023-05-31,100.15
2023-05-30,99.99
2023-05-26,99.77
2023-05-25,100.34
2023-05-24,100.71
2023-05-23,100.24
2023-05-22,100.91
2023-05-19,100.01
2023-05-18,101.28
2023-05-17,98.93
2023-05-16,105.54
2023-05-15,104.13
2023-05-12,104.08
2023-05-11,104.36
2023-05-10,104.72
2023-05-09,105.75
2023-05-08,106.16
2023-05-05,104.62
2023-05-04,105.37
2023-05-03,106.20
2023-05-02,105.69
2023-05-01,106.88
2023-04-28,106.54
2023-04-27,105.08
2023-04-26,105.92
2023-04-25,107.75
2023-04-24,108.27
2023-04-21,105.41
2023-04-20,105.38
2023-04-19,104.65
2023-04-18,104.35
2023-04-17,103.94
2023-04-14,102.23
2023-04-13,102.13
2023-04-12,101.82
2023-04-11,99.45
2023-04-10,100.28
2023-04-06,98.22
2023-04-05,96.52
2023-04-04,89.00
2023-04-03,82.81
2023-03-31,90.80
2023-03-30,89.26
2023-03-29,87.61
2023-03-28,86.69
2023-03-27,85.00
2023-03-24,83.98
2023-03-23,83.90
2023-03-22,84.15
2023-03-21,85.36
2023-03-20,83.36
2023-03-17,82.15
2023-03-16,82.51
2023-03-15,81.17
2023-03-14,80.42
2023-03-13,79.27
2023-03-10,80.60
2023-03-09,80.32
2023-03-08,80.46
2023-03-07,81.26
2023-03-06,81.79
2023-03-03,83.21
2023-03-02,82.46
2023-03-01,83.55
2023-02-28,83.94
2023-02-27,85.01
2023-02-24,85.00
2023-02-23,85.07
2023-02-22,85.05
2023-02-21,85.88
2023-02-17,87.14
2023-02-16,86.44
2023-02-15,86.91
2023-02-14,86.62
2023-02-13,87.31
2023-02-10,87.60
2023-02-09,87.53
2023-02-08,89.08
2023-02-07,88.71
